ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
667230.21,14.01,1.74,565623.7,11.87
667007.84,14.0,1.74,565438.12,11.87
667225.17,14.01,1.75,565638.13,11.88
667362.86,14.01,1.75,565532.43,11.88
666345.43,14.02,1.75,564721.03,11.88
666121.16,14.02,1.75,564789.04,11.88
665908.27,14.01,1.75,564103.35,11.87
665943.87,14.02,1.75,564062.11,11.87
665645.13,14.01,1.75,563768.51,11.87
665536.32,14.01,1.74,563663.78,11.86
665345.26,14.01,1.74,563404.12,11.86
665120.99,14.01,1.74,563302.49,11.86
664929.93,14.0,1.74,563050.57,11.86
664548.33,14.0,1.73,562733.97,11.85
664512.86,14.0,1.74,562790.1,11.86
664299.97,14.0,1.73,562104.41,11.84
663985.57,13.99,1.73,561713.18,11.84
663983.32,14.0,1.73,561653.74,11.84
662965.9,14.0,1.73,560842.34,11.84
663191.56,14.01,1.74,561173.03,11.85
663191.56,14.01,1.74,561173.03,11.85
663000.5,14.0,1.74,560988.33,11.85
662019.32,14.01,1.74,560249.05,11.85
661795.04,14.01,1.74,560072.45,11.85
661603.99,14.0,1.74,559812.78,11.85
661379.71,14.0,1.74,559711.16,11.85
661166.82,14.0,1.74,558943.14,11.84
661017.44,14.0,1.73,558790.56,11.83
661127.12,14.0,1.74,558915.32,11.84
660936.06,14.0,1.74,558663.39,11.83
660936.06,14.0,1.74,558663.39,11.83
660711.79,14.0,1.73,558554.02,11.84
660520.73,14.0,1.73,558294.36,11.83
660296.46,14.0,1.73,558192.73,11.83
660294.21,14.0,1.73,558133.3,11.83
660511.54,14.01,1.74,558343.05,11.84
659494.12,14.01,1.74,557531.65,11.84
659491.87,14.01,1.74,557472.21,11.84
659110.26,14.0,1.74,557205.08,11.84
659074.8,14.0,1.74,557234.24,11.84
659072.55,14.01,1.74,557174.8,11.84
658848.28,14.01,1.74,557038.45,11.84
658432.95,14.0,1.74,556677.16,11.84
657697.99,14.0,1.73,556029.16,11.83
657397.42,13.99,1.73,555714.7,11.83
657626.68,14.0,1.73,555500.77,11.83
657402.41,14.0,1.73,555773.31,11.83
657211.35,14.0,1.73,555521.38,11.83
656987.08,13.99,1.73,555412.01,11.83
657237.62,14.0,1.74,555398.48,11.83
657013.35,14.0,1.74,555427.32,11.84
656822.29,14.0,1.73,555242.63,11.83
656598.02,14.0,1.73,555066.03,11.83
656406.96,14.0,1.73,554806.37,11.83
656116.65,13.99,1.73,554516.47,11.82
655822.57,13.99,1.72,554212.81,11.82
654805.15,13.99,1.72,553401.4,11.82
654805.15,13.99,1.72,553401.4,11.82
654805.15,13.99,1.72,553401.4,11.82
654423.54,13.98,1.72,553084.8,11.82
654199.27,13.98,1.71,552983.18,11.82
654562.48,13.99,1.72,552372.72,11.8
654562.48,13.99,1.72,552372.72,11.8
654371.42,13.99,1.72,552120.8,11.8
654371.42,13.99,1.72,552120.8,11.8
654147.15,13.98,1.72,552011.43,11.8
654122.95,13.99,1.72,551485.35,11.79
653105.52,13.99,1.72,550673.94,11.79
653102.35,13.99,1.73,551459.64,11.81
652676.46,13.98,1.72,551158.42,11.81
652947.68,13.99,1.73,551233.24,11.81
652945.43,13.99,1.73,551173.8,11.81
652722.19,13.99,1.72,551028.51,11.81
652722.19,13.99,1.72,551028.51,11.81
652686.72,13.99,1.73,551057.66,11.81
652495.67,13.99,1.73,550870.27,11.81
652460.2,13.99,1.73,550857.71,11.81
652269.15,13.99,1.73,550682.82,11.81
652044.87,13.99,1.72,550496.42,11.81
651853.81,13.99,1.72,550321.53,11.81
651629.54,13.99,1.72,550135.13,11.81
651416.65,13.98,1.72,549449.44,11.8
651416.65,13.98,1.72,549449.44,11.8
651632.25,13.99,1.73,549588.21,11.8
651630.0,13.99,1.73,549528.77,11.8
651405.72,13.99,1.73,549412.72,11.8
651403.48,13.99,1.73,549353.28,11.8
651403.48,13.99,1.73,549353.28,11.8
650386.05,14.0,1.73,548540.39,11.8
650386.05,14.0,1.73,548540.39,11.8
650161.78,13.99,1.73,548404.05,11.8
650161.78,13.99,1.73,548404.05,11.8
650161.78,13.99,1.73,548404.05,11.8
650299.46,14.0,1.73,548298.35,11.8
650090.72,13.99,1.73,548366.75,11.8
649866.45,13.99,1.73,548162.75,11.8
649675.39,13.99,1.73,547910.83,11.8
649451.12,13.99,1.73,547801.46,11.8
648639.04,13.98,1.72,546308.92,11.78
648636.79,13.99,1.72,546249.49,11.78
648601.32,13.99,1.72,546278.64,11.78
648185.99,13.99,1.72,545917.35,11.78
647994.94,13.98,1.72,545732.66,11.78
647770.66,13.98,1.72,545556.06,11.78
647579.61,13.98,1.72,545296.39,11.77
647544.14,13.98,1.72,545380.57,11.78
647353.08,13.98,1.72,545120.91,11.77
647128.81,13.98,1.72,545019.28,11.77
646937.75,13.98,1.71,544759.62,11.77
646937.75,13.98,1.71,544759.62,11.77
647249.74,13.99,1.72,545207.95,11.78
646232.32,13.99,1.72,544396.55,11.78
646041.26,13.99,1.72,544211.86,11.78
646041.26,13.99,1.72,544211.86,11.78
645816.98,13.99,1.72,544035.26,11.78
645625.93,13.99,1.72,543850.57,11.78
645119.67,13.98,1.71,543330.6,11.77
645084.2,13.98,1.71,543319.51,11.77
644893.15,13.98,1.71,543059.84,11.77
644668.87,13.97,1.71,542958.22,11.77
644668.87,13.97,1.71,542958.22,11.77
644919.42,13.98,1.72,542944.68,11.77
644184.46,13.98,1.71,542296.69,11.77
644148.99,13.98,1.71,542460.54,11.77
644148.99,13.98,1.71,542460.54,11.77
643999.76,13.98,1.71,542423.71,11.77
643808.7,13.98,1.71,542239.02,11.77
643584.43,13.97,1.71,542062.42,11.77
643057.13,13.97,1.7,540985.5,11.75
642866.08,13.97,1.7,540810.61,11.75
642641.8,13.97,1.7,540624.2,11.75
642450.75,13.96,1.7,540449.32,11.75
642226.47,13.96,1.7,540262.91,11.75
642589.68,13.97,1.71,539652.46,11.73
642398.62,13.97,1.71,539467.77,11.73
642174.35,13.97,1.7,539291.17,11.73
641983.29,13.97,1.7,539031.5,11.73
641759.02,13.97,1.7,538929.88,11.73
641567.96,13.96,1.7,538742.48,11.73
641343.68,13.96,1.7,538564.42,11.73
641130.79,13.96,1.7,537796.4,11.71
640816.39,13.96,1.69,537487.5,11.71
640647.53,13.95,1.69,537054.98,11.7
640537.53,13.95,1.69,536944.98,11.7
640346.47,13.95,1.69,536760.28,11.69
640138.34,13.95,1.68,538123.0,11.72
639914.07,13.95,1.68,537946.4,11.72
639723.01,13.94,1.68,537694.48,11.72
639498.74,13.94,1.68,537585.11,11.72
639474.65,13.94,1.68,537079.19,11.71
639283.6,13.94,1.68,536819.52,11.71
639283.6,13.94,1.68,536819.52,11.71
639059.32,13.94,1.68,536717.9,11.71
638933.73,13.94,1.68,536525.88,11.71
638742.67,13.94,1.68,536341.19,11.71
638529.78,13.94,1.67,535573.17,11.69
638745.38,13.95,1.68,535794.27,11.7
638521.1,13.94,1.68,535617.67,11.7
638749.82,13.95,1.68,535462.52,11.69
638909.97,13.95,1.69,535450.63,11.7
638697.08,13.95,1.69,534764.94,11.68
638382.67,13.95,1.68,534373.71,11.68
638382.67,13.95,1.68,534373.71,11.68
638191.62,13.95,1.68,534118.36,11.67
638167.53,13.95,1.69,533612.44,11.66
638482.35,13.96,1.69,533885.78,11.67
638446.88,13.96,1.69,533965.64,11.68
638050.72,13.95,1.69,533575.76,11.67
638048.48,13.95,1.69,533513.5,11.67
638265.81,13.96,1.7,533721.91,11.67
638263.56,13.96,1.7,533662.47,11.68
638228.09,13.97,1.7,533691.63,11.68
638015.2,13.96,1.7,532923.61,11.66
637824.14,13.96,1.7,532663.95,11.66
637509.74,13.96,1.69,532355.04,11.66
637287.37,13.95,1.69,532106.74,11.65
637063.1,13.95,1.69,532005.11,11.65
637063.1,13.95,1.69,532005.11,11.65
636795.07,13.95,1.68,531710.77,11.65
636645.84,13.95,1.68,531675.32,11.65
636645.84,13.95,1.68,531675.32,11.65
636643.59,13.95,1.68,531684.59,11.65
636608.12,13.95,1.68,531670.26,11.65
635626.94,13.95,1.69,530930.97,11.65
635624.69,13.95,1.69,530871.53,11.65
635400.42,13.95,1.69,530755.49,11.65
635209.36,13.95,1.69,530580.6,11.65
635173.89,13.95,1.69,530559.7,11.66
635171.64,13.96,1.69,530500.26,11.66
635171.64,13.96,1.69,530500.26,11.66
635136.18,13.96,1.69,530529.42,11.66
635386.73,13.96,1.7,530515.89,11.66
635153.8,13.96,1.7,530291.09,11.66
634136.38,13.96,1.7,529479.69,11.66
633118.96,13.96,1.7,528668.29,11.66
632894.69,13.96,1.7,528728.24,11.66
632681.8,13.96,1.7,527960.23,11.65
632556.2,13.96,1.7,527840.13,11.65
632806.75,13.97,1.7,527826.6,11.65
632573.83,13.96,1.7,527601.81,11.65
632538.36,13.97,1.7,527871.32,11.65
632347.31,13.96,1.7,527730.13,11.65
632124.94,13.96,1.7,527480.44,11.65
631900.66,13.96,1.69,527260.34,11.65
631900.66,13.96,1.69,527260.34,11.65
631898.41,13.96,1.7,527200.9,11.65
631674.14,13.96,1.69,527084.85,11.65
630656.72,13.96,1.7,526273.45,11.65
630465.66,13.96,1.7,526098.56,11.65
630241.39,13.96,1.69,525912.16,11.65
630050.33,13.96,1.69,525771.99,11.65
629826.06,13.96,1.69,525550.87,11.64
629635.0,13.95,1.69,525291.2,11.64
629410.72,13.95,1.69,525189.57,11.64
629410.72,13.95,1.69,525189.57,11.64
629410.72,13.95,1.69,525189.57,11.64
629805.07,13.96,1.7,524807.3,11.63
629389.74,13.96,1.69,524446.01,11.63
629389.74,13.96,1.69,524446.01,11.63
629198.68,13.96,1.69,524261.32,11.63
628978.81,13.96,1.69,524304.6,11.63
629196.14,13.96,1.7,524504.6,11.64
628714.37,13.95,1.69,523986.67,11.63
627696.95,13.96,1.69,523173.78,11.63
627696.95,13.96,1.69,523173.78,11.63
627505.9,13.95,1.69,523032.61,11.63
627281.62,13.95,1.69,522812.49,11.63
627068.73,13.95,1.69,522126.8,11.62
626754.33,13.95,1.68,521735.57,11.61
626372.72,13.94,1.67,521418.96,11.6
626181.67,13.94,1.67,521244.08,11.6
625654.37,13.93,1.67,520167.15,11.58
625966.36,13.94,1.68,520433.61,11.59
625460.1,13.93,1.67,520010.75,11.58
625460.1,13.93,1.67,520010.75,11.58
625269.04,13.93,1.67,519751.08,11.58
625269.04,13.93,1.67,519751.08,11.58
625269.04,13.93,1.67,519751.08,11.58
625044.77,13.93,1.66,519649.46,11.58
624853.71,13.93,1.66,519390.91,11.58
624629.44,13.93,1.66,519288.17,11.58
624438.38,13.92,1.66,519113.28,11.58
624214.1,13.92,1.66,518926.87,11.57
624023.05,13.92,1.66,518667.21,11.57
623798.77,13.92,1.65,518565.58,11.57
623607.72,13.92,1.65,518424.39,11.57
623607.72,13.92,1.65,518424.39,11.57
623383.44,13.92,1.65,518204.29,11.57
623192.39,13.92,1.65,518029.4,11.57
623583.23,13.92,1.66,518490.21,11.58
623270.23,13.92,1.65,518140.62,11.57
622535.27,13.91,1.65,517492.62,11.57
622535.27,13.91,1.65,517492.62,11.57
622785.82,13.92,1.66,517479.09,11.57
622561.54,13.92,1.66,517572.62,11.57
622179.94,13.91,1.65,517191.33,11.57
622179.94,13.91,1.65,517191.33,11.57
621988.88,13.91,1.65,517006.64,11.56
622206.21,13.92,1.65,517206.64,11.57
622015.15,13.92,1.65,516951.29,11.57
621803.04,13.91,1.65,516743.68,11.56
620785.62,13.92,1.65,515932.27,11.56
620785.62,13.92,1.65,515932.27,11.56
620561.34,13.91,1.65,515826.33,11.56
620189.74,13.91,1.64,515519.72,11.56
619998.68,13.91,1.64,515335.03,11.56
619774.41,13.9,1.64,515158.43,11.56
619774.41,13.9,1.64,515158.43,11.56
619774.41,13.9,1.64,515158.43,11.56
619583.35,13.9,1.64,514899.89,11.55
619800.68,13.91,1.64,515238.43,11.56
619567.76,13.9,1.64,514980.07,11.56
619247.76,13.9,1.63,514660.07,11.55
619056.7,13.9,1.63,514400.4,11.55
618832.43,13.89,1.63,514298.78,11.55
618417.1,13.89,1.63,513937.48,11.54
618204.2,13.89,1.63,513169.47,11.53
618419.8,13.9,1.63,513390.56,11.54
618228.75,13.9,1.63,513138.64,11.53
618446.08,13.9,1.64,513470.56,11.54
618287.27,13.9,1.63,513354.69,11.54
617871.94,13.9,1.63,512989.24,11.54
617680.88,13.89,1.63,512811.65,11.54
617299.28,13.89,1.62,512430.36,11.53
617263.81,13.89,1.62,512408.0,11.53
617105.0,13.89,1.62,512252.85,11.53
617242.68,13.89,1.63,512147.16,11.53
617207.22,13.89,1.63,512332.53,11.53
617204.97,13.9,1.63,512273.09,11.53
616980.7,13.89,1.63,512136.75,11.53
616789.64,13.89,1.63,511952.05,11.53
616490.9,13.89,1.62,511726.22,11.53
616266.62,13.88,1.62,511549.63,11.53
616075.57,13.88,1.62,511291.08,11.52
615851.29,13.88,1.62,511188.33,11.52
615660.24,13.88,1.62,510928.67,11.52
615435.96,13.88,1.61,510827.04,11.52
615433.71,13.88,1.62,510767.61,11.52
615651.05,13.89,1.62,510977.36,11.53
615648.8,13.89,1.62,510917.92,11.53
615613.33,13.89,1.63,510947.08,11.53
615422.27,13.89,1.63,510807.98,11.53
614687.31,13.89,1.62,510159.99,11.52
614463.04,13.88,1.62,509937.79,11.52
614230.12,13.88,1.62,509818.66,11.52
614129.31,13.88,1.62,509382.3,11.51
614128.1,13.88,1.62,508956.93,11.51
614128.1,13.88,1.62,508956.93,11.51
614019.29,13.88,1.62,508848.12,11.5
613875.51,13.88,1.62,508406.28,11.5
613875.51,13.88,1.62,508406.28,11.5
614173.33,13.89,1.62,508470.19,11.5
613361.25,13.88,1.62,506977.65,11.48
613217.46,13.88,1.62,506731.06,11.47
613217.46,13.88,1.62,506731.06,11.47
613053.93,13.88,1.62,505895.91,11.46
613027.68,13.89,1.62,508612.86,11.52
612883.9,13.89,1.62,508366.26,11.52
612970.07,13.89,1.63,508930.01,11.53
612968.52,13.89,1.63,508283.42,11.52
612842.93,13.89,1.63,508461.87,11.53
612699.14,13.89,1.63,508291.68,11.53
612665.19,13.89,1.63,507332.2,11.51
612521.4,13.89,1.63,507119.58,11.5
612466.46,13.9,1.63,506911.75,11.5
612466.46,13.9,1.63,506911.75,11.5
612466.46,13.9,1.63,506911.75,11.5
611449.04,13.9,1.63,506100.35,11.5
611474.32,13.9,1.64,505437.87,11.49
611283.96,13.9,1.64,504618.6,11.47
610970.75,13.9,1.63,504608.07,11.48
610996.03,13.9,1.63,503915.25,11.46
610852.24,13.9,1.63,503745.06,11.46
610850.69,13.9,1.64,504198.35,11.47
610795.75,13.9,1.64,503990.52,11.47
610483.74,13.9,1.63,503559.36,11.47
610752.49,13.91,1.64,503369.73,11.46
610752.49,13.91,1.64,503175.6,11.46
610757.56,13.91,1.65,503796.37,11.48
610415.17,13.91,1.65,503233.7,11.47
610278.12,13.91,1.65,503773.27,11.48
610278.12,13.91,1.65,503773.27,11.48
610429.39,13.92,1.65,503581.63,11.48
610603.95,13.92,1.66,503669.81,11.48
610872.71,13.93,1.67,503775.04,11.49
610255.55,13.92,1.66,503379.21,11.48
610255.55,13.92,1.66,503379.21,11.48
610454.76,13.93,1.66,502854.17,11.47
610271.02,13.93,1.66,503352.68,11.49
610112.37,13.93,1.66,503096.93,11.48
610304.06,13.93,1.67,502812.73,11.48
610425.13,13.94,1.67,503729.86,11.5
610243.83,13.94,1.67,503624.58,11.5
610198.61,13.94,1.67,503561.15,11.5
610198.61,13.94,1.67,503561.15,11.5
610467.36,13.95,1.68,503666.38,11.51
610472.43,13.95,1.69,503395.14,11.5
610288.69,13.95,1.68,503066.81,11.5
610104.95,13.95,1.68,503459.08,11.51
609992.99,13.95,1.68,503221.03,11.51
608975.57,13.95,1.69,502409.63,11.51
608767.9,13.95,1.68,502141.59,11.51
608474.95,13.94,1.68,501997.34,11.5
608474.95,13.94,1.68,501997.34,11.5
608704.21,13.95,1.69,502539.97,11.52
608479.93,13.95,1.68,502334.94,11.52
607462.51,13.95,1.69,501523.53,11.52
607731.27,13.96,1.7,501628.77,11.52
607068.09,13.96,1.69,500967.18,11.52
606860.42,13.96,1.69,501154.39,11.53
606669.36,13.96,1.69,500925.97,11.52
606633.9,13.96,1.69,500884.04,11.52
605616.48,13.96,1.69,500072.63,11.53
605885.23,13.97,1.7,500177.86,11.53
605701.49,13.97,1.7,499666.33,11.52
605517.75,13.97,1.7,500117.66,11.54
605359.1,13.97,1.7,499855.0,11.53
604599.06,13.96,1.7,499261.23,11.53
604624.33,13.96,1.7,498207.43,11.51
604622.78,13.97,1.7,498994.5,11.53
604332.26,13.96,1.7,498504.02,11.52
604168.73,13.96,1.7,497584.9,11.5
604394.63,13.97,1.71,498060.86,11.51
604663.39,13.98,1.72,498018.6,11.52
604522.92,13.98,1.71,497872.59,11.51
603541.73,13.98,1.72,497133.3,11.52
603001.07,13.97,1.71,496520.51,11.5
602597.96,13.96,1.7,496161.27,11.5
602597.96,13.96,1.7,496161.27,11.5
601580.54,13.97,1.7,495349.87,11.5
601585.61,13.97,1.7,495031.03,11.49
601401.87,13.97,1.7,494897.79,11.49
601406.94,13.97,1.71,495336.76,11.51
601108.2,13.96,1.7,494988.15,11.5
600996.24,13.97,1.7,494711.47,11.5
600788.57,13.96,1.7,494434.46,11.49
600448.26,13.96,1.69,494161.69,11.49
599430.84,13.96,1.69,493350.28,11.49
599568.52,13.96,1.7,494017.28,11.51
599794.18,13.97,1.71,494093.14,11.51
599585.44,13.97,1.7,494102.12,11.51
599854.2,13.98,1.71,494070.68,11.51
599670.46,13.98,1.71,493657.27,11.51
599518.08,13.98,1.71,494194.1,11.52
598500.66,13.98,1.71,493382.69,11.52
598239.53,13.97,1.71,493116.68,11.52
598238.32,13.98,1.71,492828.03,11.51
597873.63,13.97,1.71,491932.46,11.5
598044.3,13.98,1.71,491968.34,11.5
597026.88,13.98,1.72,491156.94,11.5
597052.16,13.98,1.72,490268.87,11.48
596915.11,13.98,1.72,490066.68,11.48
596896.25,13.99,1.72,489856.49,11.48
596894.0,13.99,1.72,490404.73,11.49
596669.73,13.99,1.72,490169.86,11.49
596895.63,14.0,1.73,490804.77,11.51
597297.75,14.01,1.74,490158.39,11.49
597566.5,14.02,1.75,490128.65,11.5
597382.76,14.02,1.75,489713.54,11.49
597230.38,14.02,1.75,490243.89,11.5
597230.38,14.02,1.75,490243.89,11.5
596690.91,14.01,1.74,489631.1,11.49
597037.16,14.01,1.75,489321.86,11.49
596900.11,14.01,1.75,489047.06,11.48
595882.69,14.02,1.75,488235.65,11.49
595675.02,14.02,1.75,488829.13,11.5
595377.64,14.01,1.75,488562.65,11.5
595231.53,14.01,1.75,488548.51,11.5
594932.11,14.01,1.74,488131.47,11.49
595334.46,14.02,1.75,486816.57,11.46
595404.58,14.02,1.75,488889.82,11.51
595673.33,14.03,1.76,488905.37,11.51
595489.59,14.03,1.76,488452.84,11.51
595494.66,14.03,1.77,488901.29,11.52
595499.73,14.03,1.77,488684.87,11.52
595336.2,14.03,1.77,487689.35,11.5
595760.96,14.04,1.78,488513.35,11.52
596090.61,14.05,1.79,488313.69,11.51
595808.0,14.05,1.78,488605.26,11.52
595600.33,14.05,1.78,488290.26,11.52
594582.91,14.05,1.78,487478.86,11.52
594719.37,14.05,1.79,487349.84,11.52
594528.31,14.05,1.79,487122.98,11.51
594304.04,14.05,1.78,487503.38,11.52
594572.8,14.06,1.79,487502.81,11.53
593555.37,14.06,1.8,486691.4,11.53
593360.05,14.06,1.79,486612.38,11.53
593176.31,14.06,1.79,486175.98,11.52
592992.57,14.06,1.79,486647.41,11.54
592833.92,14.06,1.79,486354.56,11.53
592696.87,14.06,1.79,486076.85,11.53
592499.89,14.05,1.79,486480.83,11.54
591482.47,14.06,1.79,485669.43,11.54
590941.81,14.05,1.78,485056.64,11.53
590749.82,14.05,1.78,484625.45,11.52
590704.6,14.05,1.78,484549.26,11.52
590422.14,14.05,1.79,484165.65,11.52
590310.17,14.05,1.79,483992.91,11.52
590102.51,14.05,1.79,484132.48,11.53
590353.06,14.06,1.8,484128.3,11.53
590549.1,14.07,1.8,484611.5,11.54
590420.76,14.07,1.8,483827.59,11.53
590039.15,14.06,1.8,483384.94,11.52
590749.51,14.08,1.81,483490.51,11.52
590565.77,14.08,1.81,482972.47,11.51
589584.59,14.08,1.82,482233.18,11.52
588567.17,14.08,1.82,481421.77,11.52
588414.79,14.08,1.82,482234.51,11.54
588033.18,14.08,1.81,481868.16,11.53
588385.09,14.09,1.82,483190.69,11.57
588385.09,14.09,1.82,483190.92,11.57
588201.35,14.08,1.82,482617.06,11.56
588470.11,14.09,1.83,482722.29,11.56
588706.68,14.1,1.84,482199.7,11.55
588964.55,14.11,1.84,482795.74,11.57
588805.9,14.11,1.84,482456.85,11.56
588831.17,14.11,1.85,481349.59,11.54
588694.12,14.11,1.85,481069.53,11.53
588403.81,14.11,1.84,480828.54,11.53
588032.21,14.1,1.83,481472.39,11.54
588030.65,14.1,1.84,482342.68,11.57
587808.7,14.1,1.84,481965.68,11.56
587808.7,14.1,1.84,481965.68,11.56
587789.84,14.1,1.84,481558.56,11.55
587789.84,14.1,1.84,481575.46,11.55
586808.66,14.11,1.84,480836.18,11.56
586414.38,14.1,1.83,480453.51,11.55
586223.33,14.1,1.83,480077.02,11.54
585999.05,14.09,1.83,480527.52,11.56
586267.81,14.1,1.84,480496.07,11.56
586084.07,14.1,1.84,480082.66,11.55
586341.94,14.11,1.85,480646.24,11.57
586341.94,14.11,1.85,480646.24,11.57
586341.94,14.11,1.85,480646.24,11.57
586027.53,14.11,1.84,480585.07,11.57
585333.11,14.1,1.84,479875.6,11.56
585368.71,14.11,1.84,479785.95,11.56
585368.71,14.11,1.84,479785.95,11.56
585168.32,14.11,1.84,480048.52,11.57
585253.33,14.11,1.85,479798.07,11.57
585253.33,14.11,1.85,479798.07,11.57
584847.85,14.11,1.84,479374.85,11.56
584695.46,14.11,1.84,479150.71,11.56
584505.45,14.11,1.84,479687.77,11.58
584557.21,14.11,1.84,479377.23,11.57
584349.55,14.11,1.84,479069.61,11.57
583332.12,14.11,1.85,478258.2,11.57
583332.12,14.11,1.85,478255.71,11.57
583332.12,14.11,1.85,478255.71,11.57
583141.07,14.11,1.84,478429.03,11.58
582916.79,14.11,1.84,478174.0,11.57
582788.45,14.11,1.84,477390.09,11.56
583057.21,14.12,1.85,477457.0,11.56
582873.47,14.12,1.85,477099.61,11.55
582721.09,14.12,1.85,477505.86,11.57
582394.03,14.11,1.85,477010.74,11.56
582186.36,14.11,1.85,476749.37,11.56
581995.31,14.11,1.85,476853.29,11.56
581959.84,14.11,1.85,476750.6,11.56
581959.84,14.11,1.85,476750.6,11.56
582228.6,14.12,1.86,476817.5,11.57
582044.86,14.12,1.86,476513.61,11.56
581861.12,14.12,1.86,476244.65,11.56
581702.47,14.12,1.86,476680.71,11.57
580685.04,14.12,1.86,475869.31,11.57
580547.99,14.12,1.86,475382.84,11.57
580529.14,14.13,1.86,475313.97,11.57
580420.33,14.12,1.86,475205.67,11.56
580229.27,14.12,1.86,475436.48,11.57
580333.74,14.13,1.86,475478.64,11.58
580520.03,14.14,1.87,475819.6,11.59
580605.05,14.14,1.88,475569.15,11.59
580262.66,14.14,1.88,475783.16,11.6
580262.66,14.14,1.88,475783.16,11.6
580141.64,14.14,1.88,475437.79,11.59
580410.39,14.15,1.89,475437.21,11.59
580226.65,14.15,1.89,474992.94,11.59
579539.54,14.15,1.89,475136.15,11.6
579346.05,14.15,1.88,475572.47,11.61
578720.95,14.14,1.87,474920.7,11.6
578539.65,14.14,1.87,474684.7,11.6
578494.43,14.14,1.87,474582.84,11.6
578494.43,14.14,1.87,474582.84,11.6
579020.38,14.15,1.89,474654.63,11.6
579730.74,14.17,1.91,474760.2,11.6
579547.0,14.17,1.91,474318.95,11.6
579363.26,14.17,1.9,474723.67,11.61
579204.61,14.17,1.9,474424.4,11.61
578187.19,14.17,1.91,473613.0,11.61
578050.14,14.17,1.91,473331.94,11.6
577668.53,14.16,1.9,473812.3,11.62
577471.55,14.16,1.9,473523.89,11.61
577279.57,14.16,1.9,473185.59,11.61
577279.57,14.16,1.9,473185.59,11.61
577045.54,14.16,1.89,473091.83,11.61
577755.9,14.18,1.91,473197.39,11.61
577760.97,14.18,1.92,472892.82,11.61
577073.86,14.18,1.91,472511.67,11.61
576882.8,14.18,1.91,472970.8,11.62
576658.53,14.17,1.91,472816.28,11.62
576885.16,14.18,1.92,473622.52,11.64
576269.01,14.17,1.91,472853.07,11.63
576726.57,14.19,1.92,473003.18,11.63
576542.84,14.18,1.92,472642.47,11.63
576175.36,14.18,1.92,472741.63,11.64
576175.36,14.18,1.92,472794.9,11.64
576063.39,14.18,1.92,472551.13,11.63
575855.73,14.18,1.92,472281.12,11.63
575855.73,14.18,1.92,472281.12,11.63
575440.4,14.18,1.91,472282.09,11.64
575019.51,14.17,1.9,471871.77,11.63
574860.7,14.17,1.9,471712.97,11.62
575129.46,14.18,1.91,471779.87,11.63
574945.72,14.18,1.91,471422.48,11.62
575144.93,14.18,1.92,471790.18,11.63
575315.02,14.19,1.92,471518.89,11.63
575177.97,14.19,1.92,471221.23,11.62
574970.3,14.19,1.92,471986.53,11.65
574863.87,14.18,1.92,471880.86,11.64
574672.82,14.18,1.92,471481.52,11.64
574757.84,14.19,1.93,471279.28,11.64
574533.56,14.19,1.93,471235.9,11.64
573846.45,14.19,1.92,471033.47,11.65
573844.2,14.19,1.93,470939.15,11.65
573619.93,14.19,1.92,470814.45,11.65
574217.43,14.21,1.94,470852.43,11.65
574362.43,14.21,1.95,470412.36,11.64
574178.69,14.21,1.95,471016.96,11.66
573858.69,14.2,1.94,470696.96,11.65
573562.98,14.2,1.94,470608.3,11.65
573355.32,14.2,1.94,470292.09,11.65
573174.02,14.2,1.94,470021.68,11.65
573268.73,14.21,1.94,470714.27,11.66
572928.41,14.2,1.93,470340.01,11.66
572556.81,14.19,1.93,470062.37,11.65
573267.17,14.21,1.95,470167.93,11.65
573083.43,14.21,1.94,469832.56,11.65
573083.43,14.21,1.94,469832.56,11.65
572899.69,14.21,1.94,469588.8,11.65
572600.95,14.2,1.94,469348.07,11.64
572442.3,14.2,1.94,469958.23,11.66
572494.06,14.21,1.94,469662.56,11.65
572286.39,14.2,1.94,469307.77,11.65
572095.34,14.2,1.94,469783.64,11.66
571723.49,14.19,1.93,469398.68,11.65
571489.46,14.19,1.93,469258.67,11.65
571758.21,14.2,1.94,469274.22,11.66
572016.08,14.21,1.95,468888.69,11.65
571328.97,14.21,1.94,469085.86,11.67
571466.65,14.21,1.95,469007.24,11.67
571431.19,14.22,1.95,469415.14,11.68
571888.75,14.23,1.97,469565.25,11.68
571705.01,14.23,1.96,469204.54,11.68
571323.41,14.22,1.96,468778.96,11.67
571139.67,14.22,1.96,468495.22,11.66
571422.62,14.23,1.96,469079.15,11.68
