ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_71c5-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
641953.21,10.49,0.27,168553.39,2.75
641850.99,10.49,0.27,168814.9,2.76
641748.77,10.49,0.27,168719.39,2.76
641382.52,10.49,0.26,168434.36,2.75
641280.3,10.49,0.26,168364.28,2.75
641178.08,10.49,0.26,168272.59,2.75
641075.86,10.49,0.26,168609.09,2.76
640973.64,10.49,0.26,168609.09,2.76
640815.01,10.48,0.26,168450.46,2.76
641174.68,10.49,0.27,168218.28,2.75
641072.46,10.49,0.27,168126.59,2.75
640970.23,10.49,0.27,168126.59,2.75
640970.23,10.49,0.27,168126.59,2.75
640970.23,10.49,0.27,168126.59,2.75
640868.01,10.49,0.27,168034.9,2.75
640765.79,10.49,0.27,168034.9,2.75
640675.39,10.49,0.27,167963.7,2.75
640573.16,10.49,0.27,167963.79,2.75
640670.81,10.49,0.27,167852.1,2.75
640557.35,10.49,0.27,167725.57,2.75
640468.24,10.49,0.27,167035.34,2.74
640206.45,10.49,0.27,168305.39,2.76
640000.4,10.49,0.26,168103.9,2.75
639898.18,10.49,0.26,168103.61,2.75
639898.18,10.49,0.26,168103.61,2.75
640224.13,10.49,0.27,168126.8,2.76
640121.91,10.49,0.27,168125.32,2.76
640019.69,10.49,0.27,168106.21,2.76
639917.47,10.49,0.27,168697.51,2.77
639815.24,10.49,0.27,168334.48,2.76
639890.41,10.5,0.27,167740.98,2.75
639788.19,10.5,0.27,167741.35,2.75
640011.48,10.5,0.28,168305.63,2.76
639909.26,10.5,0.28,168305.08,2.76
639807.04,10.5,0.28,168504.49,2.77
639704.82,10.5,0.28,168455.92,2.77
639361.14,10.5,0.27,168070.77,2.76
639258.92,10.5,0.27,168967.59,2.77
639156.7,10.5,0.27,168950.85,2.77
639591.36,10.5,0.28,168633.74,2.77
639489.14,10.5,0.28,168558.8,2.77
639386.92,10.5,0.28,168539.12,2.77
639386.92,10.5,0.28,168539.12,2.77
639386.92,10.5,0.28,168539.12,2.77
639284.7,10.5,0.28,168463.36,2.77
639182.48,10.5,0.28,168463.18,2.77
639152.11,10.5,0.28,167937.83,2.76
639478.05,10.51,0.29,167937.82,2.76
639375.83,10.51,0.29,167937.82,2.76
639273.61,10.51,0.29,168054.77,2.76
639373.13,10.51,0.29,168796.59,2.78
639153.44,10.51,0.29,168695.49,2.77
639153.44,10.51,0.29,168695.49,2.77
639326.24,10.51,0.29,168700.82,2.77
639652.19,10.52,0.3,168684.97,2.77
639294.02,10.52,0.29,169453.35,2.79
639191.8,10.52,0.29,169453.16,2.79
639278.2,10.52,0.3,169046.59,2.78
639375.85,10.52,0.3,169094.38,2.78
639262.39,10.52,0.3,169305.58,2.79
639212.39,10.52,0.3,169255.58,2.79
639110.17,10.52,0.3,169255.58,2.79
638828.31,10.52,0.29,169014.88,2.78
639162.34,10.52,0.3,169032.66,2.78
638796.09,10.52,0.29,169024.98,2.78
639019.38,10.52,0.3,169014.88,2.78
638917.16,10.52,0.3,169310.2,2.79
638711.65,10.52,0.3,169128.08,2.79
638609.43,10.52,0.3,169483.92,2.79
638507.21,10.52,0.3,169216.7,2.79
638404.99,10.52,0.3,169204.88,2.79
638404.99,10.52,0.3,169204.88,2.79
638404.99,10.52,0.3,169204.88,2.79
638302.77,10.52,0.3,169204.97,2.79
638389.17,10.52,0.3,169204.69,2.79
638286.95,10.52,0.3,169217.3,2.79
638184.73,10.52,0.3,169217.94,2.79
638082.51,10.52,0.3,169208.09,2.79
637980.29,10.52,0.3,169605.04,2.8
638066.7,10.52,0.3,169660.41,2.8
637964.47,10.53,0.3,169557.69,2.8
637862.25,10.53,0.3,169557.51,2.8
637862.25,10.53,0.3,169557.51,2.8
637760.03,10.53,0.3,169557.51,2.8
637657.81,10.53,0.3,169576.56,2.8
637555.59,10.53,0.3,169569.97,2.8
637642.0,10.53,0.31,169557.51,2.8
637728.4,10.53,0.31,169916.05,2.81
637814.81,10.53,0.31,170115.6,2.81
637814.81,10.53,0.31,170115.6,2.81
638140.76,10.54,0.32,170333.72,2.81
638140.76,10.54,0.32,170333.72,2.81
637982.27,10.54,0.32,170191.45,2.81
637880.05,10.54,0.32,170191.55,2.81
637880.05,10.54,0.32,170191.55,2.81
637777.83,10.54,0.32,170191.74,2.81
637864.24,10.54,0.32,170191.26,2.81
637950.64,10.54,0.32,170208.62,2.81
637848.42,10.54,0.32,170213.77,2.81
637746.2,10.54,0.32,170201.28,2.81
637643.98,10.54,0.32,170654.5,2.82
637507.02,10.54,0.32,170735.93,2.82
637404.8,10.54,0.32,170621.98,2.82
637302.58,10.54,0.32,170621.79,2.82
637200.36,10.54,0.32,170621.79,2.82
637200.36,10.54,0.32,170621.79,2.82
637098.14,10.54,0.32,170621.79,2.82
637424.09,10.55,0.33,170621.79,2.82
637321.87,10.55,0.33,170733.36,2.83
637408.27,10.55,0.33,170703.55,2.83
637306.05,10.55,0.33,170671.04,2.83
637203.83,10.55,0.33,171259.03,2.84
637101.61,10.55,0.33,171258.84,2.84
637101.61,10.55,0.33,171258.84,2.84
636999.39,10.55,0.33,171258.84,2.84
636897.17,10.55,0.33,171267.47,2.84
636794.95,10.55,0.33,171264.55,2.84
636436.78,10.55,0.32,170881.02,2.83
636143.98,10.54,0.32,170578.2,2.83
636469.93,10.55,0.33,170572.96,2.83
636367.71,10.55,0.33,170574.4,2.83
636265.49,10.55,0.33,171037.64,2.84
636163.27,10.55,0.33,171037.45,2.84
635954.82,10.55,0.32,170755.52,2.83
635841.36,10.55,0.32,170780.79,2.83
635739.14,10.55,0.32,170780.79,2.83
636015.76,10.55,0.33,170787.93,2.83
635913.54,10.55,0.33,170780.79,2.83
635692.33,10.55,0.33,170511.43,2.83
635778.74,10.55,0.33,170511.43,2.83
635578.6,10.55,0.33,170556.85,2.83
635578.6,10.55,0.33,170556.85,2.83
635476.37,10.55,0.33,170522.04,2.83
635374.15,10.55,0.33,170511.43,2.83
635271.93,10.55,0.33,170879.14,2.84
635169.71,10.55,0.33,170870.62,2.84
635256.12,10.55,0.33,170956.65,2.84
635153.9,10.55,0.33,170864.97,2.84
635051.68,10.55,0.33,170864.97,2.84
634944.42,10.55,0.33,170756.12,2.84
635270.37,10.56,0.33,170755.94,2.84
635168.15,10.56,0.33,170755.94,2.84
634799.98,10.55,0.33,170755.94,2.84
634886.38,10.55,0.33,170778.12,2.84
635212.33,10.56,0.34,170766.34,2.84
635110.11,10.56,0.34,170765.24,2.84
635007.89,10.56,0.34,171200.36,2.85
635231.18,10.56,0.34,171316.12,2.85
635231.18,10.56,0.34,171316.12,2.85
635231.18,10.56,0.34,171316.12,2.85
635128.96,10.56,0.34,171609.86,2.85
634786.65,10.56,0.34,171415.94,2.85
634684.43,10.56,0.34,171415.76,2.85
634582.21,10.56,0.34,171415.75,2.85
634479.99,10.56,0.34,171428.27,2.85
634566.4,10.56,0.34,171423.32,2.85
634566.4,10.56,0.34,171423.32,2.85
634652.8,10.57,0.34,171441.05,2.85
634550.58,10.57,0.34,171426.67,2.85
634636.99,10.57,0.35,172028.48,2.86
634534.77,10.57,0.35,171923.36,2.86
634432.54,10.57,0.35,171930.15,2.86
634432.54,10.57,0.35,171930.15,2.86
634343.44,10.57,0.35,171239.92,2.85
634326.02,10.57,0.35,171227.05,2.85
634223.79,10.57,0.35,171128.58,2.85
634121.57,10.57,0.35,171128.58,2.85
634533.77,10.58,0.36,171128.58,2.85
634431.54,10.58,0.36,171128.58,2.85
634251.94,10.58,0.35,171128.58,2.85
634528.56,10.58,0.36,171128.58,2.85
634528.56,10.58,0.36,171128.58,2.85
634369.93,10.58,0.36,170970.46,2.85
634695.88,10.58,0.36,171040.66,2.85
634327.71,10.58,0.36,170970.46,2.85
634225.49,10.58,0.36,170970.46,2.85
634123.27,10.58,0.36,171710.88,2.86
634123.27,10.58,0.36,171710.88,2.86
634209.68,10.58,0.36,171923.65,2.87
634107.46,10.58,0.36,171927.82,2.87
634005.23,10.58,0.36,171828.21,2.87
633903.01,10.58,0.36,171811.46,2.87
633903.01,10.58,0.36,171811.46,2.87
633800.79,10.58,0.36,171736.52,2.87
633887.2,10.59,0.36,171850.37,2.87
634110.49,10.59,0.37,172091.85,2.87
634008.26,10.59,0.37,172000.16,2.87
634008.26,10.59,0.37,172000.16,2.87
634094.67,10.59,0.37,171513.83,2.87
633992.45,10.59,0.37,171184.23,2.86
633890.23,10.59,0.37,171184.23,2.86
633987.87,10.6,0.37,171669.56,2.87
633874.41,10.6,0.37,171495.52,2.87
634200.36,10.6,0.38,171496.41,2.87
634098.14,10.6,0.38,171497.12,2.87
633995.92,10.6,0.38,171495.33,2.87
633791.48,10.6,0.38,171495.33,2.87
633423.31,10.6,0.38,171700.39,2.87
633321.09,10.6,0.38,171495.71,2.87
633116.28,10.59,0.37,171191.72,2.86
633014.06,10.59,0.37,171194.75,2.87
632725.22,10.59,0.37,171010.09,2.86
632429.71,10.59,0.36,170779.02,2.86
632338.73,10.59,0.36,171040.54,2.86
632604.11,10.59,0.37,171178.34,2.87
632501.89,10.59,0.37,171175.13,2.87
632399.67,10.59,0.37,171188.75,2.87
632399.67,10.59,0.37,171188.75,2.87
632110.82,10.59,0.37,170939.06,2.86
632110.82,10.59,0.37,170939.06,2.86
632197.23,10.59,0.37,171052.9,2.87
632095.01,10.59,0.37,170926.81,2.86
632420.96,10.6,0.37,171019.0,2.87
632284.0,10.59,0.37,171651.29,2.88
632707.43,10.6,0.38,171547.07,2.87
632603.15,10.6,0.38,172034.19,2.88
632602.99,10.6,0.38,171924.98,2.88
632826.28,10.61,0.39,171991.94,2.88
632724.06,10.61,0.39,172155.82,2.89
632621.84,10.61,0.39,172147.3,2.89
632519.62,10.61,0.39,172064.13,2.89
632417.39,10.61,0.39,172063.95,2.89
632315.17,10.61,0.39,172063.95,2.89
632641.12,10.61,0.39,172107.6,2.89
632538.9,10.61,0.39,172116.88,2.89
632170.73,10.61,0.39,172088.12,2.89
632068.51,10.61,0.39,172544.14,2.9
632068.51,10.61,0.39,172544.14,2.9
632394.46,10.62,0.39,172389.92,2.89
632292.24,10.62,0.39,172390.02,2.89
632190.02,10.62,0.39,172389.74,2.89
632099.04,10.62,0.39,172127.15,2.89
631985.58,10.62,0.39,172576.35,2.9
632071.98,10.62,0.4,172576.35,2.9
631777.17,10.61,0.39,172263.47,2.89
631863.58,10.62,0.39,172300.89,2.9
631761.36,10.62,0.4,172284.85,2.9
630943.59,10.62,0.4,172284.67,2.9
630575.42,10.61,0.39,171892.07,2.89
630473.2,10.61,0.39,171888.46,2.89
630370.98,10.61,0.39,171910.21,2.89
630212.35,10.61,0.39,171754.81,2.89
630110.13,10.61,0.39,172093.79,2.9
630007.91,10.61,0.39,172094.16,2.9
630231.2,10.62,0.39,172093.61,2.9
630128.98,10.62,0.39,172175.68,2.9
630026.75,10.62,0.39,172121.15,2.9
