ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_fc42-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
141,274,157030,6212,157030
141,274,157030,6212,157030
142,276,157500,6212,157500
143,278,157500,6212,157500
143,278,157660,6212,157660
143,278,158660,6212,158660
143,278,158660,6212,158660
143,278,159660,6212,159660
143,278,160470,6212,160470
143,278,161280,6212,161280
144,282,162280,6212,162280
144,282,163280,6212,163280
144,282,164280,6212,164280
144,282,164510,6212,164510
145,286,165510,6212,165510
145,286,166510,6212,166510
145,286,167510,6212,167510
146,288,167510,6212,167510
146,288,168510,6212,168510
146,288,168980,6212,168980
146,288,169980,6212,169980
146,288,170790,6212,170790
147,292,171790,6212,171790
147,292,172790,6212,172790
148,296,173790,6212,173790
149,300,173790,6212,173790
149,300,174790,6212,174790
149,300,175790,6212,175790
150,302,176790,6212,176790
150,302,177250,6212,177250
150,302,177570,6212,177570
150,302,178040,6212,178040
150,302,179040,6212,179040
151,304,180040,6212,180040
151,304,181040,6212,181040
151,304,181360,6212,181360
152,306,182360,6212,182360
152,306,183360,6212,183360
152,306,183950,6212,183950
152,306,184950,6212,184950
152,306,185180,6212,185180
152,306,185990,6212,185990
152,306,186220,6212,186220
152,306,186220,6212,186220
153,308,187220,6212,187220
153,308,188220,6212,188220
154,312,189220,6212,189220
154,312,190220,6212,190220
154,312,191030,6212,191030
155,314,192030,6212,192030
155,314,193030,6212,193030
155,314,193140,6212,193140
155,314,193610,6212,193610
156,316,194610,6212,194610
156,316,195080,6212,195080
156,316,195890,6212,195890
156,316,196360,6212,196360
157,320,197360,6212,197360
157,320,198360,6212,198360
157,320,199010,6212,199010
157,320,199010,6212,199010
157,320,199010,6212,199010
158,324,200010,6212,200010
158,324,200480,6212,200480
158,324,201480,6212,201480
158,324,202480,6212,202480
158,324,203480,6212,203480
158,324,204290,6212,204290
158,324,204290,6212,204290
158,324,205100,6212,205100
158,324,206100,6212,206100
158,324,206910,6212,206910
159,328,207910,6212,207910
159,328,208910,6212,208910
159,328,208910,6212,208910
159,328,209910,6212,209910
159,328,210720,6212,210720
160,330,211720,6212,211720
160,330,212720,6212,212720
160,330,213040,6212,213040
161,332,214040,6212,214040
161,332,214360,6212,214360
161,332,214950,6212,214950
161,332,214950,6212,214950
161,332,215110,6212,215110
161,332,215580,6212,215580
161,332,216050,6212,216050
161,332,217050,6212,217050
162,336,218050,6212,218050
162,336,218050,6212,218050
162,336,218860,6212,218860
162,336,219860,6212,219860
163,338,220860,6212,220860
163,338,221860,6212,221860
163,338,221860,6212,221860
163,338,222860,6212,222860
163,338,223670,6212,223670
164,342,224320,6212,224320
164,342,225320,6212,225320
164,342,225320,6212,225320
164,342,226130,6212,226130
164,342,227130,6212,227130
165,346,228130,6212,228130
165,346,228940,6212,228940
165,346,229940,6212,229940
166,348,230410,6212,230410
166,348,231410,6212,231410
167,350,232410,6212,232410
168,354,234410,6212,234410
168,354,234880,6212,234880
168,354,235880,6212,235880
168,354,236110,6212,236110
169,358,237110,6212,237110
169,358,237430,6212,237430
169,358,237750,6212,237750
169,358,238750,6212,238750
169,358,239340,6212,239340
170,362,240340,6212,240340
170,362,241340,6212,241340
170,362,241340,6212,241340
170,362,241660,6212,241660
170,362,241660,6212,241660
170,362,242470,6212,242470
171,366,243470,6212,243470
171,366,243940,6212,243940
171,366,244170,6212,244170
171,366,244490,6212,244490
171,366,244810,6212,244810
171,366,245620,6212,245620
172,370,246270,6212,246270
172,370,247270,6212,247270
172,370,248270,6212,248270
173,372,249270,6212,249270
173,372,250270,6212,250270
174,376,251270,6212,251270
174,376,251740,6212,251740
174,376,252740,6212,252740
174,376,253210,6212,253210
175,380,254210,6212,254210
175,380,254210,6212,254210
175,380,254680,6212,254680
175,380,255680,6212,255680
176,382,256680,6212,256680
176,382,257680,6212,257680
176,382,258680,6212,258680
176,382,259490,6212,259490
176,382,259810,6212,259810
177,386,260620,6212,260620
177,386,261620,6212,261620
178,394,269620,6212,269620
178,394,270090,6212,270090
179,396,271090,6212,271090
179,396,272090,6212,272090
179,396,272250,6212,272250
180,398,273250,6212,273250
180,398,274250,6212,274250
181,400,274900,6212,274900
181,400,275900,6212,275900
181,400,276900,6212,276900
182,404,277900,6212,277900
182,404,278900,6212,278900
182,404,279900,6212,279900
182,404,280900,6212,280900
183,408,281900,6212,281900
183,408,282900,6212,282900
183,408,283900,6212,283900
183,408,284710,6212,284710
184,412,285710,6212,285710
184,412,286710,6212,286710
184,412,287520,6212,287520
184,412,287520,6212,287520
184,412,287990,6212,287990
185,416,288990,6212,288990
185,416,289990,6212,289990
185,416,290990,6212,290990
185,416,291990,6212,291990
186,420,292990,6212,292990
186,420,293990,6212,293990
186,420,294990,6212,294990
186,420,294990,6212,294990
186,420,295460,6212,295460
186,420,295460,6212,295460
187,424,296460,6212,296460
187,424,296690,6212,296690
187,424,297690,6212,297690
187,424,297690,6212,297690
187,424,298690,6212,298690
187,424,298910,6212,298910
188,428,299910,6212,299910
188,428,300370,6212,300370
188,428,301180,6212,301180
188,428,302180,6212,302180
188,428,302990,6212,302990
189,432,303460,6212,303460
189,432,304460,6212,304460
189,432,305270,6212,305270
189,432,306270,6212,306270
189,432,306270,6212,306270
189,432,306270,6212,306270
190,436,307270,6212,307270
190,436,308270,6212,308270
190,436,309270,6212,309270
191,440,310270,6212,310270
191,440,310920,6212,310920
191,440,311920,6212,311920
191,440,312920,6212,312920
192,442,313920,6212,313920
192,442,314380,6212,314380
192,442,315380,6212,315380
193,444,316380,6212,316380
193,444,317380,6212,317380
193,444,317380,6212,317380
194,446,318380,6212,318380
194,446,318850,6212,318850
195,448,319850,6212,319850
195,448,320850,6212,320850
195,448,321170,6212,321170
195,448,321640,6212,321640
196,450,322110,6212,322110
196,450,322480,6212,322480
196,450,323290,6212,323290
197,452,323760,6212,323760
197,452,324760,6212,324760
197,452,324760,6212,324760
198,454,325760,6212,325760
198,454,326570,6212,326570
198,454,326570,6212,326570
198,454,327040,6212,327040
199,456,328040,6212,328040
199,456,329040,6212,329040
200,458,330040,6212,330040
200,458,330510,6212,330510
200,458,330730,6212,330730
201,460,331730,6212,331730
201,460,332730,6212,332730
