ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9c90-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
887196.01,14.43,0.86,217421.69,3.54
887247.54,14.43,0.86,217075.39,3.53
887131.53,14.43,0.86,216993.11,3.53
887344.98,14.43,0.87,216994.93,3.53
887048.68,14.43,0.86,216647.66,3.52
887100.21,14.43,0.87,216301.36,3.52
887151.74,14.43,0.87,216081.26,3.52
887559.89,14.44,0.88,216012.52,3.52
888272.79,14.46,0.89,216311.3,3.52
888202.99,14.46,0.89,216020.34,3.52
888645.43,14.46,0.9,215842.99,3.51
889203.96,14.47,0.91,215940.77,3.51
890932.63,14.5,0.94,217009.02,3.53
891988.64,14.52,0.95,217799.99,3.55
892701.55,14.53,0.97,218098.76,3.55
892361.88,14.53,0.96,217796.71,3.55
892232.02,14.53,0.96,217467.19,3.54
891967.79,14.53,0.96,216956.66,3.53
892077.7,14.53,0.96,216972.11,3.53
892083.31,14.53,0.96,216986.76,3.53
892495.44,14.54,0.97,216775.15,3.53
893208.35,14.55,0.98,217073.93,3.54
892734.68,14.54,0.98,216654.07,3.53
893161.14,14.55,0.98,217120.6,3.54
893874.04,14.56,1.0,217419.38,3.54
894347.97,14.57,1.01,217402.07,3.54
894083.74,14.57,1.0,216891.54,3.53
894548.48,14.58,1.01,217187.1,3.54
895604.5,14.6,1.03,217978.07,3.55
895604.5,14.6,1.03,218788.98,3.57
897333.17,14.62,1.06,219857.23,3.58
896863.26,14.62,1.05,219310.55,3.57
896599.02,14.62,1.05,218800.03,3.57
897311.93,14.63,1.06,219098.8,3.57
897785.86,14.64,1.07,219081.5,3.57
898720.61,14.65,1.09,219847.05,3.58
898456.37,14.65,1.08,219336.52,3.58
898857.81,14.66,1.09,219394.68,3.58
898857.81,14.66,1.09,220205.6,3.59
899416.34,14.67,1.1,220303.37,3.59
899126.48,14.66,1.1,219813.84,3.59
898862.25,14.66,1.1,219303.31,3.58
899249.49,14.67,1.1,219373.4,3.58
899112.15,14.67,1.1,218840.68,3.57
899825.06,14.68,1.12,219139.46,3.58
900226.49,14.69,1.12,219197.62,3.58
900763.73,14.7,1.13,219417.71,3.58
900606.54,14.7,1.13,219260.51,3.58
900606.54,14.7,1.13,220071.43,3.59
900342.3,14.7,1.13,219560.9,3.58
900204.97,14.69,1.13,219028.17,3.58
900917.88,14.71,1.14,219326.95,3.58
900983.64,14.71,1.14,219146.42,3.58
901193.41,14.71,1.15,218995.79,3.58
901503.07,14.72,1.15,219210.9,3.58
901455.98,14.72,1.15,219013.75,3.58
901857.42,14.73,1.16,219071.91,3.58
901383.75,14.72,1.16,218542.83,3.57
901345.39,14.72,1.16,218160.44,3.56
901746.82,14.73,1.16,218218.6,3.56
901789.64,14.73,1.17,217946.02,3.56
901841.17,14.74,1.17,217599.71,3.56
901892.7,14.74,1.17,217379.62,3.55
902294.13,14.75,1.18,217437.78,3.55
902255.77,14.75,1.18,217055.39,3.55
902968.68,14.76,1.19,217354.17,3.55
902704.44,14.76,1.19,216843.64,3.55
903105.88,14.77,1.2,216901.8,3.55
903818.79,14.78,1.21,217200.58,3.55
903584.39,14.78,1.21,216993.06,3.55
903477.2,14.77,1.21,216885.86,3.55
903477.2,14.77,1.21,216861.14,3.55
903212.96,14.77,1.21,216350.61,3.54
903174.6,14.77,1.21,215968.23,3.53
903226.13,14.78,1.21,215621.92,3.53
902991.73,14.77,1.21,215414.4,3.52
904720.4,14.8,1.23,217260.06,3.55
905117.55,14.81,1.24,217394.61,3.56
905830.46,14.82,1.26,217693.39,3.56
906238.61,14.83,1.26,217624.65,3.56
906951.51,14.84,1.28,217923.43,3.57
906687.28,14.84,1.27,217412.9,3.56
906423.05,14.84,1.27,216902.37,3.55
907135.95,14.85,1.28,217201.15,3.56
906901.56,14.85,1.28,216993.62,3.55
907283.73,14.85,1.29,217191.68,3.56
907757.66,14.86,1.3,217174.37,3.56
911215.01,14.92,1.35,220354.74,3.61
911263.42,14.92,1.36,220306.99,3.61
912319.43,14.94,1.37,221097.96,3.62
913032.34,14.95,1.39,221396.73,3.63
913433.78,14.96,1.39,221454.9,3.63
913992.31,14.97,1.4,221552.67,3.63
914705.22,14.98,1.42,221851.45,3.63
915092.46,14.99,1.42,221921.54,3.64
915805.36,15.0,1.44,222220.32,3.64
916279.29,15.01,1.45,222203.01,3.64
916744.04,15.02,1.45,222498.56,3.65
916270.37,15.02,1.45,221951.87,3.64
916560.51,15.02,1.45,222042.34,3.64
916968.66,15.03,1.46,221973.6,3.64
917194.43,15.03,1.47,221953.07,3.64
916930.2,15.03,1.46,221442.54,3.63
917086.06,15.03,1.47,221523.84,3.63
917644.59,15.05,1.48,221621.61,3.63
917980.13,15.05,1.49,221574.62,3.63
917900.27,15.05,1.49,221383.97,3.63
919628.95,15.08,1.51,222452.22,3.65
919474.56,15.08,1.51,222306.86,3.65
919184.71,15.08,1.51,221817.33,3.64
919500.47,15.08,1.51,221886.8,3.64
919236.24,15.08,1.51,221376.27,3.63
919275.51,15.08,1.51,221132.79,3.63
919683.66,15.09,1.52,221064.05,3.63
919546.32,15.09,1.52,220531.33,3.62
919928.49,15.1,1.53,220729.38,3.62
920336.64,15.1,1.54,220660.64,3.62
921049.55,15.12,1.55,220959.42,3.63
920785.32,15.11,1.55,220448.89,3.62
920729.18,15.12,1.55,220175.49,3.61
920780.71,15.12,1.55,219829.18,3.61
921134.39,15.12,1.56,219826.05,3.61
921191.05,15.12,1.56,219916.44,3.61
922247.06,15.14,1.58,220707.41,3.62
922609.6,15.15,1.58,220903.89,3.63
923502.87,15.16,1.6,221302.8,3.63
923206.34,15.16,1.59,221100.49,3.63
923069.01,15.16,1.59,220567.76,3.62
923120.54,15.16,1.6,220221.46,3.62
923172.07,15.17,1.6,220001.37,3.61
923223.6,15.17,1.6,219655.06,3.61
923275.13,15.17,1.61,219434.97,3.61
923610.66,15.18,1.61,219387.98,3.61
923883.8,15.18,1.62,219383.22,3.61
924442.33,15.2,1.63,219480.99,3.61
924843.77,15.2,1.64,219539.15,3.61
924727.64,15.2,1.64,219427.88,3.61
926456.31,15.23,1.66,220496.13,3.62
926746.45,15.24,1.67,220586.6,3.63
926708.09,15.24,1.67,220204.21,3.62
926759.62,15.24,1.67,219857.91,3.62
926811.15,15.24,1.68,219637.81,3.61
927219.3,15.25,1.68,219569.07,3.61
927163.17,15.25,1.69,219295.67,3.61
927214.7,15.26,1.69,218949.37,3.6
927266.23,15.26,1.69,218729.27,3.6
930723.57,15.31,1.75,221909.64,3.65
