ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
108,266,227090,6212,227090
108,266,227090,6212,227090
109,274,235090,6212,235090
110,276,236090,6212,236090
111,278,237090,6212,237090
112,280,237740,6212,237740
112,280,238740,6212,238740
112,280,239210,6212,239210
112,280,239210,6212,239210
112,280,239680,6212,239680
113,282,240680,6212,240680
114,284,241150,6212,241150
114,284,242150,6212,242150
114,284,242150,6212,242150
115,286,243150,6212,243150
115,286,243470,6212,243470
115,286,244470,6212,244470
115,286,245060,6212,245060
116,288,245710,6212,245710
116,288,246710,6212,246710
117,290,247360,6212,247360
118,292,248360,6212,248360
118,292,249360,6212,249360
118,292,250170,6212,250170
118,292,251170,6212,251170
119,294,252170,6212,252170
120,298,256170,6212,256170
121,300,257170,6212,257170
121,300,258170,6212,258170
121,300,258820,6212,258820
121,300,259140,6212,259140
122,302,260140,6212,260140
123,304,260610,6212,260610
123,304,261610,6212,261610
124,306,262610,6212,262610
124,306,263080,6212,263080
125,310,267080,6212,267080
126,312,268080,6212,268080
126,312,268080,6212,268080
126,312,268540,6212,268540
126,312,268540,6212,268540
126,312,269540,6212,269540
126,312,269540,6212,269540
127,314,270540,6212,270540
127,314,271010,6212,271010
128,322,271010,6212,271010
129,324,271480,6212,271480
129,324,272480,6212,272480
129,324,272710,6212,272710
129,324,273180,6212,273180
129,324,273180,6212,273180
130,326,274180,6212,274180
130,326,274990,6212,274990
130,326,275990,6212,275990
130,326,275990,6212,275990
131,328,276310,6212,276310
132,330,277310,6212,277310
132,330,278310,6212,278310
132,330,279310,6212,279310
133,332,280310,6212,280310
133,332,281310,6212,281310
133,332,281770,6212,281770
134,334,282770,6212,282770
134,334,283770,6212,283770
134,334,284580,6212,284580
135,336,285390,6212,285390
136,338,287390,6212,287390
136,338,287620,6212,287620
137,340,288620,6212,288620
137,340,288620,6212,288620
137,340,288990,6212,288990
138,342,289990,6212,289990
139,344,290460,6212,290460
139,344,291460,6212,291460
139,344,292460,6212,292460
140,346,293460,6212,293460
141,348,294460,6212,294460
141,348,295270,6212,295270
141,348,296270,6212,296270
141,348,296270,6212,296270
141,348,296740,6212,296740
142,350,297550,6212,297550
142,350,297550,6212,297550
142,350,298360,6212,298360
143,352,298830,6212,298830
143,352,299060,6212,299060
144,354,300060,6212,300060
144,354,301060,6212,301060
144,354,301870,6212,301870
145,356,302680,6212,302680
145,356,302680,6212,302680
146,358,303680,6212,303680
146,358,304150,6212,304150
147,366,312150,6212,312150
147,366,312960,6212,312960
148,368,313430,6212,313430
148,368,313430,6212,313430
148,368,314430,6212,314430
148,368,315430,6212,315430
149,370,316430,6212,316430
149,370,316900,6212,316900
149,370,317900,6212,317900
149,370,317900,6212,317900
150,374,321900,6212,321900
150,374,322490,6212,322490
151,376,323490,6212,323490
152,384,323490,6212,323490
152,384,324490,6212,324490
153,386,325300,6212,325300
154,388,326300,6212,326300
154,388,327300,6212,327300
154,388,328110,6212,328110
155,390,329110,6212,329110
155,390,329270,6212,329270
155,390,330270,6212,330270
155,390,330270,6212,330270
156,392,331080,6212,331080
156,392,331630,6212,331630
157,394,332630,6212,332630
158,396,333090,6212,333090
158,396,334090,6212,334090
159,398,335090,6212,335090
159,398,336090,6212,336090
159,398,336090,6212,336090
160,400,337090,6212,337090
161,402,338090,6212,338090
161,402,338900,6212,338900
162,410,346900,6212,346900
162,410,347900,6212,347900
163,412,348900,6212,348900
163,412,349120,6212,349120
164,414,349930,6212,349930
164,414,349930,6212,349930
164,414,350930,6212,350930
164,414,351740,6212,351740
165,416,352550,6212,352550
166,418,353550,6212,353550
166,418,354550,6212,354550
167,420,355550,6212,355550
168,424,359550,6212,359550
168,424,360550,6212,360550
168,424,361010,6212,361010
169,432,369010,6212,369010
169,432,369820,6212,369820
169,432,370820,6212,370820
170,434,371820,6212,371820
171,436,372280,6212,372280
171,436,372750,6212,372750
171,436,372980,6212,372980
171,436,373980,6212,373980
172,438,374980,6212,374980
172,438,375980,6212,375980
172,438,375980,6212,375980
173,440,376980,6212,376980
173,440,377980,6212,377980
173,440,378450,6212,378450
173,440,378680,6212,378680
173,440,379150,6212,379150
174,442,379620,6212,379620
174,442,379620,6212,379620
174,442,380430,6212,380430
175,444,381240,6212,381240
175,444,381560,6212,381560
176,446,382560,6212,382560
176,446,383030,6212,383030
177,448,383400,6212,383400
177,448,383400,6212,383400
177,448,384400,6212,384400
178,450,385400,6212,385400
178,450,386210,6212,386210
178,450,386680,6212,386680
178,450,386680,6212,386680
179,452,388680,6212,388680
180,460,396680,6212,396680
180,460,397680,6212,397680
181,462,398490,6212,398490
181,462,398490,6212,398490
182,464,399490,6212,399490
182,464,400490,6212,400490
183,466,401490,6212,401490
183,466,402490,6212,402490
184,468,403490,6212,403490
185,470,404490,6212,404490
185,470,405490,6212,405490
186,472,406490,6212,406490
186,472,406490,6212,406490
186,472,407140,6212,407140
187,474,407510,6212,407510
187,474,408320,6212,408320
187,474,409320,6212,409320
188,476,410320,6212,410320
188,476,410790,6212,410790
189,480,414790,6212,414790
189,480,415790,6212,415790
190,482,416790,6212,416790
190,482,417110,6212,417110
191,484,417580,6212,417580
191,484,418390,6212,418390
192,486,420390,6212,420390
192,486,420390,6212,420390
192,486,421390,6212,421390
193,488,422390,6212,422390
194,492,426390,6212,426390
194,492,427390,6212,427390
195,494,428390,6212,428390
195,494,429390,6212,429390
196,496,429940,6212,429940
196,496,430410,6212,430410
197,498,431410,6212,431410
197,498,431880,6212,431880
198,500,432530,6212,432530
199,502,434530,6212,434530
199,502,435340,6212,435340
199,502,435810,6212,435810
200,504,436280,6212,436280
200,504,436280,6212,436280
200,504,437090,6212,437090
201,506,437680,6212,437680
201,506,438680,6212,438680
201,506,439150,6212,439150
201,506,439960,6212,439960
202,508,440960,6212,440960
203,510,442960,6212,442960
204,512,443430,6212,443430
204,512,444240,6212,444240
204,512,445240,6212,445240
205,514,445890,6212,445890
206,516,447890,6212,447890
206,516,448700,6212,448700
207,518,449700,6212,449700
207,518,450020,6212,450020
208,520,450490,6212,450490
208,520,451490,6212,451490
208,520,451490,6212,451490
208,520,451490,6212,451490
209,522,453490,6212,453490
210,530,461490,6212,461490
210,530,461490,6212,461490
211,532,462490,6212,462490
211,532,462960,6212,462960
211,532,463550,6212,463550
212,534,464200,6212,464200
212,534,465010,6212,465010
212,534,466010,6212,466010
212,534,466010,6212,466010
212,534,466010,6212,466010
213,536,466820,6212,466820
214,538,467820,6212,467820
214,538,467870,6212,467870
214,538,468870,6212,468870
215,540,469870,6212,469870
215,540,470680,6212,470680
216,542,471490,6212,471490
216,542,472490,6212,472490
216,542,472720,6212,472720
217,544,473720,6212,473720
217,544,474190,6212,474190
218,546,475000,6212,475000
219,548,477000,6212,477000
219,548,478000,6212,478000
219,548,478810,6212,478810
220,550,479810,6212,479810
220,550,479810,6212,479810
220,550,479810,6212,479810
221,552,480810,6212,480810
221,552,481810,6212,481810
222,554,483810,6212,483810
223,556,484810,6212,484810
223,556,484810,6212,484810
223,556,485810,6212,485810
223,556,486280,6212,486280
224,558,487090,6212,487090
225,566,495090,6212,495090
225,566,495900,6212,495900
225,566,495900,6212,495900
226,568,496370,6212,496370
226,568,496370,6212,496370
226,568,497180,6212,497180
227,576,505180,6212,505180
227,576,506180,6212,506180
228,578,506830,6212,506830
229,580,507830,6212,507830
230,588,515830,6212,515830
231,590,516830,6212,516830
232,592,517830,6212,517830
233,594,518300,6212,518300
234,596,520300,6212,520300
234,596,521110,6212,521110
234,596,522110,6212,522110
235,598,523110,6212,523110
235,598,523570,6212,523570
235,598,524040,6212,524040
235,598,524040,6212,524040
235,598,524040,6212,524040
236,600,525040,6212,525040
237,602,526040,6212,526040
237,602,527040,6212,527040
237,602,527510,6212,527510
238,604,528510,6212,528510
239,606,529160,6212,529160
239,606,530160,6212,530160
239,606,531160,6212,531160
239,606,531810,6212,531810
239,606,532130,6212,532130
240,608,533130,6212,533130
241,610,534130,6212,534130
242,612,535130,6212,535130
243,614,535940,6212,535940
244,618,539940,6212,539940
244,618,540750,6212,540750
244,618,541070,6212,541070
245,626,549070,6212,549070
246,634,549070,6212,549070
246,634,549300,6212,549300
247,638,553300,6212,553300
248,640,553770,6212,553770
248,640,553770,6212,553770
248,640,554000,6212,554000
248,640,554470,6212,554470
248,640,555470,6212,555470
249,642,556470,6212,556470
250,644,557470,6212,557470
251,646,559470,6212,559470
252,648,560470,6212,560470
252,648,561470,6212,561470
253,650,562470,6212,562470
253,650,563470,6212,563470
254,652,564470,6212,564470
255,654,566470,6212,566470
255,654,566940,6212,566940
255,654,567940,6212,567940
256,656,568750,6212,568750
257,658,570750,6212,570750
258,660,571750,6212,571750
258,660,572750,6212,572750
259,668,580750,6212,580750
259,668,580750,6212,580750
260,670,582750,6212,582750
260,670,583400,6212,583400
260,670,584400,6212,584400
260,670,585400,6212,585400
261,672,586400,6212,586400
261,672,587400,6212,587400
262,674,588400,6212,588400
262,674,589400,6212,589400
262,674,589400,6212,589400
262,674,589400,6212,589400
263,682,597400,6212,597400
264,690,605400,6212,605400
265,692,606210,6212,606210
265,692,607020,6212,607020
266,694,609020,6212,609020
266,694,610020,6212,610020
267,702,618020,6212,618020
268,704,619020,6212,619020
268,704,619490,6212,619490
268,704,620490,6212,620490
268,704,620490,6212,620490
269,706,621490,6212,621490
269,706,621490,6212,621490
269,706,622490,6212,622490
270,708,623490,6212,623490
270,708,624490,6212,624490
271,710,625490,6212,625490
272,712,625960,6212,625960
273,714,627960,6212,627960
273,714,628430,6212,628430
273,714,629240,6212,629240
273,714,630240,6212,630240
274,718,634240,6212,634240
274,718,634240,6212,634240
275,720,634710,6212,634710
276,722,635710,6212,635710
276,722,636180,6212,636180
276,722,636990,6212,636990
277,724,637460,6212,637460
277,724,638270,6212,638270
277,724,638590,6212,638590
277,724,639060,6212,639060
278,726,640060,6212,640060
278,726,640380,6212,640380
279,728,640840,6212,640840
280,730,641840,6212,641840
280,730,642650,6212,642650
280,730,642760,6212,642760
281,732,643570,6212,643570
281,732,643890,6212,643890
281,732,644890,6212,644890
282,734,646890,6212,646890
282,734,646890,6212,646890
283,736,647890,6212,647890
283,736,648890,6212,648890
283,736,648890,6212,648890
284,738,649890,6212,649890
284,738,650700,6212,650700
285,746,658700,6212,658700
286,748,659020,6212,659020
286,748,660020,6212,660020
286,748,661020,6212,661020
287,750,662020,6212,662020
287,750,662830,6212,662830
288,752,663830,6212,663830
288,752,663830,6212,663830
288,752,664830,6212,664830
289,754,665830,6212,665830
289,754,666830,6212,666830
290,756,667640,6212,667640
290,756,667640,6212,667640
290,756,668640,6212,668640
290,756,668870,6212,668870
291,758,669870,6212,669870
292,760,670870,6212,670870
292,760,671870,6212,671870
293,762,672870,6212,672870
293,762,673870,6212,673870
294,764,674870,6212,674870
294,764,674870,6212,674870
294,764,675340,6212,675340
294,764,676340,6212,676340
294,764,677340,6212,677340
294,764,678340,6212,678340
294,764,678340,6212,678340
294,764,678560,6212,678560
294,764,679020,6212,679020
295,766,679490,6212,679490
296,768,680490,6212,680490
296,768,680810,6212,680810
296,768,681360,6212,681360
297,776,689360,6212,689360
297,776,689360,6212,689360
298,778,690170,6212,690170
299,782,694170,6212,694170
299,782,694170,6212,694170
299,782,695170,6212,695170
300,784,696170,6212,696170
301,786,697170,6212,697170
301,786,697640,6212,697640
301,786,698450,6212,698450
301,786,698770,6212,698770
301,786,699770,6212,699770
301,786,699990,6212,699990
302,788,701990,6212,701990
303,796,709990,6212,709990
304,804,717990,6212,717990
305,806,718990,6212,718990
306,808,719990,6212,719990
306,808,720990,6212,720990
306,808,721990,6212,721990
307,810,722990,6212,722990
307,810,723990,6212,723990
308,812,724990,6212,724990
309,814,725460,6212,725460
309,814,725780,6212,725780
309,814,726590,6212,726590
310,816,726910,6212,726910
310,816,727910,6212,727910
310,816,728720,6212,728720
311,818,729530,6212,729530
311,818,729750,6212,729750
311,818,730070,6212,730070
311,818,731070,6212,731070
312,820,732070,6212,732070
312,820,733070,6212,733070
313,822,734070,6212,734070
313,822,734230,6212,734230
313,822,734820,6212,734820
314,824,736820,6212,736820
315,826,737820,6212,737820
315,826,738820,6212,738820
315,826,739040,6212,739040
316,828,739850,6212,739850
316,828,740320,6212,740320
317,830,740640,6212,740640
317,830,741290,6212,741290
317,830,741750,6212,741750
318,832,742560,6212,742560
319,834,743560,6212,743560
319,834,744210,6212,744210
319,834,745210,6212,745210
320,836,746020,6212,746020
321,838,747020,6212,747020
321,838,748020,6212,748020
321,838,748490,6212,748490
321,838,748720,6212,748720
321,838,749720,6212,749720
321,838,749720,6212,749720
321,838,750190,6212,750190
322,840,751190,6212,751190
323,848,759190,6212,759190
323,848,760190,6212,760190
324,850,760660,6212,760660
324,850,761130,6212,761130
324,850,761600,6212,761600
324,850,762600,6212,762600
324,850,763070,6212,763070
325,852,764070,6212,764070
325,852,765070,6212,765070
325,852,765070,6212,765070
325,852,765390,6212,765390
326,854,766390,6212,766390
327,856,766710,6212,766710
327,856,766710,6212,766710
327,856,767710,6212,767710
328,858,768710,6212,768710
329,860,769710,6212,769710
329,860,769710,6212,769710
329,860,770710,6212,770710
329,860,771710,6212,771710
330,862,772710,6212,772710
330,862,773710,6212,773710
331,864,775710,6212,775710
331,864,776180,6212,776180
332,866,777180,6212,777180
333,874,785180,6212,785180
333,874,786180,6212,786180
334,876,787180,6212,787180
334,876,788180,6212,788180
334,876,788990,6212,788990
335,878,789800,6212,789800
336,880,790800,6212,790800
336,880,791800,6212,791800
337,882,792800,6212,792800
337,882,793450,6212,793450
338,884,794100,6212,794100
