ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
58,228,181140,6212,181140
58,228,181620,6212,181620
58,228,181850,6212,181850
58,228,182660,6212,182660
58,228,183660,6212,183660
58,228,183660,6212,183660
58,228,183980,6212,183980
59,230,183980,6212,183980
59,230,184630,6212,184630
59,230,184950,6212,184950
59,230,185760,6212,185760
59,230,186230,6212,186230
59,230,186230,6212,186230
60,232,186880,6212,186880
60,232,187690,6212,187690
60,232,188160,6212,188160
61,234,188620,6212,188620
61,234,188780,6212,188780
61,234,189780,6212,189780
62,242,190330,6212,190330
62,242,190650,6212,190650
62,242,191460,6212,191460
62,242,191830,6212,191830
62,242,192640,6212,192640
62,242,193110,6212,193110
62,242,193920,6212,193920
62,242,194730,6212,194730
62,242,195200,6212,195200
62,242,195670,6212,195670
62,242,195670,6212,195670
62,242,195990,6212,195990
62,242,196450,6212,196450
62,242,197260,6212,197260
63,250,197910,6212,197910
63,250,198560,6212,198560
63,250,199370,6212,199370
63,250,199370,6212,199370
63,250,199370,6212,199370
63,250,199830,6212,199830
63,250,200640,6212,200640
63,250,200640,6212,200640
63,250,201450,6212,201450
63,250,201920,6212,201920
63,250,202390,6212,202390
63,250,202610,6212,202610
63,250,203420,6212,203420
63,250,204070,6212,204070
64,258,204540,6212,204540
64,258,204540,6212,204540
64,258,205350,6212,205350
64,258,206160,6212,206160
64,258,206160,6212,206160
64,258,207160,6212,207160
64,258,207620,6212,207620
64,258,208090,6212,208090
64,258,208250,6212,208250
64,258,208710,6212,208710
64,258,209260,6212,209260
64,258,209730,6212,209730
64,258,210730,6212,210730
65,262,211540,6212,211540
65,262,211860,6212,211860
65,262,212180,6212,212180
66,270,212830,6212,212830
66,270,213200,6212,213200
66,270,214010,6212,214010
66,270,214600,6212,214600
66,270,214600,6212,214600
66,270,215070,6212,215070
66,270,215880,6212,215880
66,270,216690,6212,216690
66,270,217500,6212,217500
66,270,217500,6212,217500
66,270,218310,6212,218310
66,270,218780,6212,218780
66,270,218780,6212,218780
66,270,219010,6212,219010
66,270,219820,6212,219820
66,270,220140,6212,220140
66,270,220950,6212,220950
66,270,221760,6212,221760
66,270,222130,6212,222130
67,278,222780,6212,222780
67,278,223330,6212,223330
67,278,223800,6212,223800
67,278,224610,6212,224610
67,278,225420,6212,225420
67,278,225890,6212,225890
67,278,226540,6212,226540
67,278,227540,6212,227540
67,278,228540,6212,228540
67,278,228860,6212,228860
68,286,229670,6212,229670
68,286,229670,6212,229670
68,286,230480,6212,230480
68,286,230950,6212,230950
68,286,230950,6212,230950
68,286,231180,6212,231180
68,286,231990,6212,231990
68,286,232800,6212,232800
68,286,233280,6212,233280
69,294,241280,6212,241280
69,294,241600,6212,241600
69,294,241760,6212,241760
69,294,242080,6212,242080
69,294,242890,6212,242890
69,294,243360,6212,243360
69,294,243680,6212,243680
