ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f4b4-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
845636.89,13.76,0.17,194158.38,3.16
845636.89,13.76,0.17,194330.5,3.16
845381.28,13.76,0.17,194086.64,3.16
845596.94,13.76,0.17,194032.03,3.16
845644.3,13.76,0.17,193690.33,3.15
845459.47,13.76,0.17,193925.62,3.16
845686.32,13.77,0.18,193870.35,3.16
845925.0,13.77,0.18,193974.2,3.16
845975.45,13.78,0.18,193974.15,3.16
846135.13,13.78,0.19,193973.78,3.16
846314.84,13.78,0.19,193973.78,3.16
846105.99,13.78,0.19,193712.74,3.15
846156.44,13.78,0.19,193712.74,3.16
845994.32,13.78,0.19,193653.59,3.15
845994.32,13.78,0.19,193554.18,3.15
845994.32,13.78,0.19,193554.18,3.15
846044.77,13.78,0.19,193678.73,3.16
845801.17,13.78,0.19,193478.99,3.15
845545.56,13.78,0.19,193436.28,3.15
845596.01,13.78,0.19,193528.42,3.15
845443.54,13.78,0.19,193418.63,3.15
845443.54,13.78,0.19,193535.52,3.15
845623.25,13.78,0.19,193594.17,3.16
845518.9,13.78,0.19,193485.13,3.15
845678.57,13.78,0.19,194977.41,3.18
845678.57,13.78,0.19,194977.41,3.18
845729.02,13.79,0.2,194977.36,3.18
845593.12,13.79,0.2,194976.99,3.18
845643.56,13.79,0.2,194976.99,3.18
845498.14,13.79,0.2,194820.22,3.18
845498.14,13.79,0.2,194820.22,3.18
845498.14,13.79,0.2,194820.22,3.18
845498.14,13.79,0.2,194820.22,3.18
845362.23,13.79,0.2,194860.69,3.18
