ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1265-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1608642.92,26.2,0.63,224201.78,3.65
1608716.79,26.21,0.63,224223.45,3.65
1608512.89,26.21,0.63,224167.34,3.65
1608512.89,26.21,0.63,224167.34,3.65
1608512.89,26.21,0.63,224162.87,3.65
1608512.89,26.21,0.63,224202.25,3.65
1608512.89,26.21,0.63,224159.94,3.65
1608257.15,26.21,0.63,224116.17,3.65
1608047.55,26.2,0.63,223923.82,3.65
1607791.81,26.2,0.63,223923.82,3.65
1607791.81,26.2,0.63,223960.06,3.65
1607536.07,26.2,0.63,223916.29,3.65
1607150.88,26.2,0.63,223501.98,3.64
1606895.14,26.2,0.63,223501.98,3.64
1606639.4,26.2,0.63,223509.9,3.64
1606828.85,26.2,0.63,223958.59,3.65
1612782.94,26.3,0.73,231922.35,3.78
1612527.21,26.3,0.73,231870.66,3.78
1612527.21,26.3,0.73,231870.66,3.78
1612227.6,26.3,0.72,231634.68,3.78
1611754.66,26.29,0.72,231206.87,3.77
1611013.07,26.29,0.71,230425.53,3.76
1611013.07,26.29,0.71,230425.53,3.76
1610757.33,26.29,0.71,230381.76,3.76
1610501.59,26.29,0.71,230381.76,3.76
1610642.78,26.29,0.72,230004.01,3.75
1610642.78,26.29,0.72,230004.01,3.75
1610387.04,26.29,0.72,230011.93,3.76
1610001.85,26.29,0.72,229870.42,3.75
1610001.85,26.29,0.72,229947.6,3.75
1610001.85,26.29,0.72,229947.6,3.75
1609746.11,26.29,0.72,229895.91,3.75
1609746.11,26.29,0.72,229895.91,3.75
1609490.37,26.29,0.72,229852.14,3.75
1609234.63,26.29,0.72,229852.14,3.76
1608978.9,26.29,0.72,229865.73,3.76
1608723.16,26.29,0.72,229808.37,3.76
1608467.42,26.29,0.72,229764.6,3.76
1608211.68,26.29,0.72,229764.6,3.76
1608211.68,26.29,0.72,229722.33,3.76
1607738.74,26.29,0.71,229149.32,3.75
1607483.0,26.29,0.71,229157.24,3.75
1607351.2,26.29,0.71,228925.37,3.74
1606878.25,26.28,0.71,228352.36,3.73
1606622.51,26.28,0.71,228300.67,3.73
1606622.51,26.28,0.71,228258.36,3.73
1606697.4,26.28,0.71,234373.02,3.83
1606565.6,26.28,0.71,234141.15,3.83
1609528.82,26.33,0.76,235468.43,3.85
1608800.61,26.32,0.75,234740.22,3.84
1608501.01,26.32,0.75,234457.6,3.84
1608501.01,26.32,0.75,234534.78,3.84
1608245.27,26.32,0.75,234548.37,3.84
1607989.53,26.32,0.75,234491.01,3.84
1607830.79,26.32,0.74,234343.54,3.84
1607671.93,26.32,0.74,234184.69,3.83
1607416.2,26.32,0.74,234192.61,3.83
1607416.2,26.32,0.74,234150.34,3.83
1607160.46,26.32,0.74,234098.65,3.83
1607160.46,26.32,0.74,234056.34,3.83
1607235.34,26.32,0.74,240171.0,3.93
1607424.79,26.32,0.75,240256.93,3.93
1607049.6,26.32,0.75,240278.4,3.94
1606793.86,26.32,0.75,240234.63,3.94
1610498.79,26.38,0.81,240635.73,3.94
1610498.79,26.38,0.81,240635.73,3.94
1613414.77,26.43,0.85,241193.79,3.95
1613159.03,26.43,0.85,241193.79,3.95
1613313.59,26.43,0.86,240879.62,3.95
1612572.0,26.43,0.85,240087.81,3.93
1611910.2,26.42,0.85,239325.95,3.92
1611654.46,26.42,0.85,239282.18,3.92
1611398.72,26.42,0.85,239282.18,3.92
1611553.28,26.43,0.85,238957.54,3.92
1611553.28,26.43,0.85,238957.54,3.92
1610891.48,26.42,0.85,238340.87,3.91
1611080.93,26.43,0.85,238611.81,3.91
1610825.19,26.43,0.85,238568.04,3.91
1611325.2,26.44,0.86,238543.81,3.91
1610778.16,26.43,0.86,238002.06,3.91
1610305.22,26.43,0.85,237429.05,3.9
1610305.22,26.43,0.85,237493.23,3.9
1610305.22,26.43,0.85,237472.12,3.9
1610238.34,26.43,0.86,237561.25,3.9
1610312.2,26.43,0.86,237925.29,3.91
1609570.61,26.43,0.85,237143.96,3.89
