ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
2075656.11,33.88,0.19,188974.57,3.08
2075656.11,33.88,0.19,188974.57,3.08
2075656.11,33.88,0.19,189868.47,3.1
2075277.16,33.87,0.19,189868.47,3.1
2074919.26,33.87,0.19,189080.23,3.09
2074614.0,33.87,0.19,189057.17,3.09
2074498.74,33.88,0.2,189186.41,3.09
2074498.74,33.88,0.2,189186.41,3.09
2074498.74,33.88,0.2,189186.41,3.09
2074119.79,33.88,0.2,189186.41,3.09
2074119.79,33.88,0.2,189257.54,3.09
2074119.79,33.88,0.2,189431.9,3.09
2074119.79,33.88,0.2,189431.9,3.09
2074072.42,33.88,0.2,189431.9,3.09
2073904.53,33.88,0.2,189318.36,3.09
2073904.53,33.88,0.2,189318.36,3.09
2073567.68,33.88,0.2,189267.96,3.09
2073188.74,33.88,0.2,189268.01,3.09
2073299.47,33.89,0.21,190727.35,3.12
2072962.63,33.89,0.21,190687.67,3.12
2072583.68,33.88,0.21,190687.62,3.12
2072415.79,33.89,0.21,190603.96,3.12
2072036.84,33.89,0.21,190603.96,3.12
2071731.58,33.89,0.21,190550.14,3.12
2071731.58,33.89,0.21,190550.14,3.12
2071705.26,33.89,0.21,190552.44,3.12
2071326.32,33.89,0.21,190663.52,3.12
2071326.32,33.89,0.21,190663.52,3.12
2070704.95,33.88,0.21,190026.99,3.11
2070296.32,33.88,0.2,189711.92,3.1
2069917.37,33.88,0.2,189608.16,3.1
2069728.42,33.88,0.2,189808.23,3.11
2069539.47,33.88,0.21,190060.7,3.11
2069160.53,33.88,0.21,190060.7,3.11
2068971.58,33.88,0.21,189543.52,3.1
2068571.58,33.88,0.21,189194.43,3.1
2068682.32,33.88,0.21,189913.42,3.11
2068303.37,33.88,0.21,189913.42,3.11
2067966.53,33.88,0.21,189912.04,3.11
2067798.63,33.89,0.21,190027.93,3.11
2067419.68,33.88,0.21,190027.93,3.11
2067118.11,33.88,0.21,189663.11,3.11
2067186.53,33.89,0.22,190089.03,3.12
2066807.58,33.89,0.22,190089.03,3.12
2066428.63,33.88,0.22,190089.03,3.12
2066030.0,33.88,0.21,189774.72,3.11
2065651.05,33.88,0.21,189829.81,3.11
2065462.11,33.88,0.21,189947.49,3.12
2065083.16,33.88,0.21,189964.72,3.12
2064704.21,33.88,0.21,189964.72,3.12
2064407.89,33.88,0.21,189661.57,3.11
2064028.95,33.88,0.21,189661.57,3.11
2063727.37,33.87,0.21,189507.95,3.11
2063348.42,33.87,0.21,189507.95,3.11
2063052.11,33.87,0.2,189228.31,3.11
2063052.11,33.87,0.2,189228.31,3.11
2062673.16,33.87,0.2,188452.37,3.09
2062673.16,33.87,0.2,188452.37,3.09
2062273.16,33.87,0.2,188172.03,3.09
2061967.89,33.87,0.2,188142.03,3.09
2061778.95,33.87,0.21,188142.03,3.09
2061421.05,33.87,0.21,188137.96,3.09
2061421.05,33.87,0.21,188137.96,3.09
