ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
102,232,206600,6212,206600
103,234,207410,6212,207410
103,234,208060,6212,208060
103,234,208060,6212,208060
104,242,216060,6212,216060
105,244,217060,6212,217060
105,244,218060,6212,218060
105,244,218060,6212,218060
105,244,218530,6212,218530
106,246,219340,6212,219340
106,246,220340,6212,220340
107,248,221150,6212,221150
107,248,222150,6212,222150
108,250,222620,6212,222620
108,250,223620,6212,223620
108,250,223730,6212,223730
109,252,224380,6212,224380
109,252,225380,6212,225380
109,252,225380,6212,225380
110,254,226030,6212,226030
110,254,227030,6212,227030
111,256,227840,6212,227840
111,256,228840,6212,228840
112,258,229840,6212,229840
113,260,230650,6212,230650
113,260,231120,6212,231120
113,260,231120,6212,231120
113,260,231440,6212,231440
113,260,232440,6212,232440
113,260,233440,6212,233440
114,262,234250,6212,234250
114,262,235250,6212,235250
115,264,235900,6212,235900
115,264,236370,6212,236370
115,264,236370,6212,236370
116,268,237370,6212,237370
116,268,237690,6212,237690
116,268,238690,6212,238690
116,268,239690,6212,239690
116,268,240160,6212,240160
117,270,240970,6212,240970
117,270,241780,6212,241780
117,270,241940,6212,241940
117,270,242940,6212,242940
118,274,243940,6212,243940
118,274,243940,6212,243940
118,274,243940,6212,243940
119,276,244410,6212,244410
119,276,244410,6212,244410
120,278,245220,6212,245220
121,286,253220,6212,253220
121,286,254220,6212,254220
121,286,255220,6212,255220
121,286,256220,6212,256220
122,288,257220,6212,257220
122,288,258030,6212,258030
123,290,259030,6212,259030
123,290,260030,6212,260030
124,294,260680,6212,260680
125,296,261490,6212,261490
125,296,262490,6212,262490
125,296,262810,6212,262810
125,296,262810,6212,262810
125,296,263810,6212,263810
125,296,264810,6212,264810
125,296,265810,6212,265810
126,298,266810,6212,266810
126,298,267280,6212,267280
126,298,268280,6212,268280
127,300,269090,6212,269090
127,300,270090,6212,270090
128,302,271090,6212,271090
128,302,271560,6212,271560
129,304,272560,6212,272560
130,306,273370,6212,273370
130,306,274370,6212,274370
130,306,275370,6212,275370
130,306,275840,6212,275840
131,308,276840,6212,276840
131,308,277160,6212,277160
131,308,278160,6212,278160
132,310,279160,6212,279160
132,310,280160,6212,280160
132,310,280970,6212,280970
133,312,281440,6212,281440
133,312,282250,6212,282250
134,314,283250,6212,283250
135,316,284060,6212,284060
135,316,285060,6212,285060
135,316,286060,6212,286060
136,320,287060,6212,287060
137,324,288060,6212,288060
137,324,288220,6212,288220
137,324,289220,6212,289220
137,324,290220,6212,290220
137,324,290220,6212,290220
137,324,290220,6212,290220
137,324,290220,6212,290220
137,324,291030,6212,291030
137,324,291500,6212,291500
138,326,291970,6212,291970
139,330,292620,6212,292620
139,330,292940,6212,292940
139,330,293940,6212,293940
139,330,294410,6212,294410
139,330,295410,6212,295410
139,330,295410,6212,295410
139,330,296410,6212,296410
139,330,297000,6212,297000
139,330,298000,6212,298000
140,332,299000,6212,299000
140,332,300000,6212,300000
140,332,300000,6212,300000
141,340,308000,6212,308000
142,342,308650,6212,308650
142,342,309460,6212,309460
143,344,310460,6212,310460
143,344,311050,6212,311050
144,348,315050,6212,315050
144,348,315860,6212,315860
145,350,316860,6212,316860
145,350,316860,6212,316860
146,358,324860,6212,324860
146,358,324860,6212,324860
146,358,325330,6212,325330
147,360,326330,6212,326330
147,360,326330,6212,326330
147,360,326550,6212,326550
147,360,326550,6212,326550
147,360,327010,6212,327010
147,360,328010,6212,328010
148,362,329010,6212,329010
148,362,329660,6212,329660
149,364,330660,6212,330660
149,364,330660,6212,330660
149,364,331140,6212,331140
149,364,332140,6212,332140
150,368,333140,6212,333140
150,368,333460,6212,333460
151,370,334270,6212,334270
151,370,334590,6212,334590
152,372,335590,6212,335590
152,372,336400,6212,336400
152,372,336720,6212,336720
152,372,337190,6212,337190
152,372,337190,6212,337190
152,372,338190,6212,338190
153,374,339190,6212,339190
153,374,339660,6212,339660
154,376,340660,6212,340660
154,376,341310,6212,341310
154,376,341310,6212,341310
155,378,342310,6212,342310
155,378,343310,6212,343310
155,378,343780,6212,343780
155,378,343780,6212,343780
156,380,344780,6212,344780
156,380,345250,6212,345250
156,380,345250,6212,345250
157,382,346250,6212,346250
157,382,347250,6212,347250
157,382,347250,6212,347250
157,382,347250,6212,347250
158,384,348250,6212,348250
159,386,350250,6212,350250
159,386,351250,6212,351250
160,388,352250,6212,352250
160,388,353250,6212,353250
160,388,353250,6212,353250
161,390,354250,6212,354250
161,390,355250,6212,355250
161,390,355250,6212,355250
162,392,356060,6212,356060
162,392,356870,6212,356870
163,394,357680,6212,357680
163,394,358680,6212,358680
163,394,358680,6212,358680
163,394,359150,6212,359150
164,396,360150,6212,360150
164,396,360150,6212,360150
164,396,360960,6212,360960
165,398,361960,6212,361960
165,398,362280,6212,362280
165,398,363280,6212,363280
166,400,364280,6212,364280
167,402,365090,6212,365090
167,402,366090,6212,366090
167,402,366560,6212,366560
168,404,367560,6212,367560
168,404,368370,6212,368370
169,406,370370,6212,370370
169,406,371370,6212,371370
170,410,372370,6212,372370
171,412,373370,6212,373370
171,412,374370,6212,374370
172,414,375180,6212,375180
172,414,376180,6212,376180
172,414,376550,6212,376550
173,416,377200,6212,377200
173,416,377670,6212,377670
174,418,378480,6212,378480
174,418,379480,6212,379480
175,426,379480,6212,379480
176,428,380480,6212,380480
176,428,381480,6212,381480
176,428,381640,6212,381640
176,428,381640,6212,381640
176,428,381640,6212,381640
177,430,382450,6212,382450
177,430,383450,6212,383450
177,430,383920,6212,383920
178,432,384920,6212,384920
178,432,385920,6212,385920
179,434,386730,6212,386730
179,434,387540,6212,387540
180,436,388540,6212,388540
180,436,388700,6212,388700
180,436,389700,6212,389700
180,436,390020,6212,390020
180,436,391020,6212,391020
180,436,391020,6212,391020
181,438,392020,6212,392020
181,438,392830,6212,392830
182,440,393300,6212,393300
182,440,394300,6212,394300
183,442,395300,6212,395300
183,442,395770,6212,395770
183,442,395770,6212,395770
183,442,396580,6212,396580
184,444,397390,6212,397390
184,444,398200,6212,398200
185,446,399200,6212,399200
185,446,400200,6212,400200
186,448,401200,6212,401200
186,448,401670,6212,401670
187,450,402670,6212,402670
187,450,402670,6212,402670
187,450,403670,6212,403670
188,452,404670,6212,404670
189,454,405480,6212,405480
189,454,406290,6212,406290
189,454,407290,6212,407290
190,456,408290,6212,408290
190,456,408760,6212,408760
190,456,409760,6212,409760
191,458,410760,6212,410760
191,458,411760,6212,411760
192,460,412230,6212,412230
192,460,413230,6212,413230
192,460,413230,6212,413230
192,460,413700,6212,413700
192,460,414020,6212,414020
192,460,414180,6212,414180
193,462,415180,6212,415180
194,464,415990,6212,415990
194,464,416990,6212,416990
194,464,417990,6212,417990
195,466,418990,6212,418990
195,466,419990,6212,419990
196,468,420990,6212,420990
196,468,421990,6212,421990
197,472,422990,6212,422990
198,474,423990,6212,423990
198,474,424460,6212,424460
198,474,424460,6212,424460
198,474,424460,6212,424460
199,476,425460,6212,425460
199,476,426110,6212,426110
199,476,426110,6212,426110
200,478,427110,6212,427110
201,480,427920,6212,427920
201,480,428920,6212,428920
201,480,428920,6212,428920
202,488,436920,6212,436920
202,488,437920,6212,437920
202,488,438380,6212,438380
203,490,439380,6212,439380
203,490,439850,6212,439850
203,490,439850,6212,439850
203,490,440850,6212,440850
204,494,441850,6212,441850
205,496,442850,6212,442850
205,496,443320,6212,443320
205,496,443640,6212,443640
205,496,444640,6212,444640
206,498,445450,6212,445450
206,498,446260,6212,446260
206,498,446260,6212,446260
206,498,446260,6212,446260
207,502,447260,6212,447260
208,504,448260,6212,448260
208,504,449070,6212,449070
209,506,449540,6212,449540
209,506,450540,6212,450540
210,508,451540,6212,451540
210,508,452540,6212,452540
211,512,453540,6212,453540
212,514,454540,6212,454540
212,514,455540,6212,455540
212,514,455540,6212,455540
212,514,456000,6212,456000
213,516,457000,6212,457000
214,518,457810,6212,457810
214,518,458810,6212,458810
214,518,459810,6212,459810
215,520,460810,6212,460810
215,520,461810,6212,461810
215,520,462810,6212,462810
216,524,463810,6212,463810
217,526,464280,6212,464280
217,526,465280,6212,465280
217,526,465750,6212,465750
217,526,466750,6212,466750
218,528,467750,6212,467750
218,528,468070,6212,468070
218,528,469070,6212,469070
219,530,470070,6212,470070
219,530,470070,6212,470070
219,530,470720,6212,470720
220,532,471530,6212,471530
220,532,471530,6212,471530
221,536,475530,6212,475530
221,536,476530,6212,476530
221,536,476530,6212,476530
221,536,476760,6212,476760
221,536,477080,6212,477080
222,538,478080,6212,478080
222,538,479080,6212,479080
223,540,479730,6212,479730
223,540,480730,6212,480730
224,542,481200,6212,481200
224,542,482200,6212,482200
224,542,482200,6212,482200
225,546,483200,6212,483200
225,546,483670,6212,483670
226,548,484670,6212,484670
226,548,485670,6212,485670
226,548,486260,6212,486260
226,548,487070,6212,487070
227,550,488070,6212,488070
227,550,488390,6212,488390
227,550,489390,6212,489390
228,558,497390,6212,497390
228,558,498390,6212,498390
229,560,499390,6212,499390
229,560,499860,6212,499860
230,562,500860,6212,500860
230,562,501860,6212,501860
231,564,502860,6212,502860
231,564,503330,6212,503330
231,564,503800,6212,503800
231,564,504270,6212,504270
232,566,505080,6212,505080
232,566,505080,6212,505080
232,566,506080,6212,506080
233,568,506890,6212,506890
233,568,507890,6212,507890
234,570,508890,6212,508890
234,570,509050,6212,509050
234,570,509050,6212,509050
234,570,510050,6212,510050
235,572,510860,6212,510860
235,572,511230,6212,511230
236,576,512230,6212,512230
237,578,513230,6212,513230
237,578,514230,6212,514230
238,580,515040,6212,515040
238,580,516040,6212,516040
238,580,516040,6212,516040
239,582,517040,6212,517040
240,584,517850,6212,517850
240,584,518320,6212,518320
240,584,518790,6212,518790
240,584,519790,6212,519790
241,588,523790,6212,523790
242,590,524790,6212,524790
242,590,525790,6212,525790
242,590,526110,6212,526110
243,592,527110,6212,527110
243,592,527110,6212,527110
244,594,527920,6212,527920
244,594,528920,6212,528920
244,594,528920,6212,528920
244,594,529920,6212,529920
245,596,530920,6212,530920
245,596,532920,6212,532920
245,596,533920,6212,533920
245,596,533920,6212,533920
246,598,534920,6212,534920
247,600,536920,6212,536920
247,600,537920,6212,537920
247,600,538380,6212,538380
247,600,539190,6212,539190
247,600,540190,6212,540190
248,602,541190,6212,541190
248,602,542190,6212,542190
249,604,543190,6212,543190
249,604,544190,6212,544190
250,606,545190,6212,545190
250,606,546000,6212,546000
250,606,546000,6212,546000
251,610,547000,6212,547000
252,612,548000,6212,548000
252,612,549000,6212,549000
253,614,549810,6212,549810
253,614,550810,6212,550810
253,614,551130,6212,551130
253,614,551600,6212,551600
254,616,552600,6212,552600
254,616,552820,6212,552820
254,616,552820,6212,552820
255,618,553630,6212,553630
255,618,553630,6212,553630
256,626,561630,6212,561630
256,626,562440,6212,562440
257,628,563440,6212,563440
257,628,563440,6212,563440
257,628,564090,6212,564090
257,628,564900,6212,564900
257,628,564900,6212,564900
257,628,564900,6212,564900
258,630,565900,6212,565900
258,630,566220,6212,566220
258,630,566540,6212,566540
258,630,567130,6212,567130
259,632,568130,6212,568130
259,632,568780,6212,568780
260,634,569780,6212,569780
260,634,569780,6212,569780
260,634,570430,6212,570430
261,636,571430,6212,571430
262,638,572240,6212,572240
262,638,572240,6212,572240
262,638,572350,6212,572350
262,638,572350,6212,572350
262,638,572820,6212,572820
262,638,573140,6212,573140
262,638,573140,6212,573140
262,638,574140,6212,574140
262,638,574140,6212,574140
263,640,574790,6212,574790
263,640,575600,6212,575600
264,642,576600,6212,576600
264,642,577070,6212,577070
264,642,577070,6212,577070
264,642,577540,6212,577540
265,644,578540,6212,578540
266,646,580540,6212,580540
266,646,581540,6212,581540
266,646,581860,6212,581860
267,648,582860,6212,582860
267,648,583090,6212,583090
267,648,583740,6212,583740
268,656,583740,6212,583740
269,658,584740,6212,584740
269,658,585740,6212,585740
269,658,585960,6212,585960
269,658,585960,6212,585960
270,660,586960,6212,586960
270,660,587960,6212,587960
271,662,588960,6212,588960
271,662,589960,6212,589960
272,664,590960,6212,590960
272,664,590960,6212,590960
272,664,590960,6212,590960
272,664,591960,6212,591960
273,666,592960,6212,592960
273,666,593280,6212,593280
273,666,593280,6212,593280
273,666,593740,6212,593740
274,668,594740,6212,594740
274,668,595740,6212,595740
275,670,596550,6212,596550
275,670,597550,6212,597550
275,670,598550,6212,598550
276,672,599550,6212,599550
276,672,600550,6212,600550
277,674,601550,6212,601550
277,674,602550,6212,602550
278,676,603360,6212,603360
278,676,603360,6212,603360
278,676,603680,6212,603680
279,678,604680,6212,604680
279,678,604680,6212,604680
279,678,605680,6212,605680
280,680,606680,6212,606680
280,680,607680,6212,607680
281,682,608680,6212,608680
281,682,609680,6212,609680
282,684,610680,6212,610680
282,684,611680,6212,611680
283,686,612150,6212,612150
283,686,612610,6212,612610
283,686,613610,6212,613610
284,688,614420,6212,614420
284,688,614420,6212,614420
284,688,614420,6212,614420
284,688,615420,6212,615420
285,692,616420,6212,616420
286,694,617420,6212,617420
286,694,618420,6212,618420
287,696,619230,6212,619230
