ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
933935.99,15.4,3.13,828965.98,13.66
933288.49,15.39,3.12,828214.31,13.65
933170.99,15.39,3.12,827992.64,13.65
933374.35,15.39,3.13,827693.83,13.65
933577.72,15.4,3.13,827384.1,13.65
932577.72,15.38,3.12,826384.1,13.63
931842.76,15.38,3.12,825736.1,13.63
932315.47,15.39,3.13,825654.28,13.63
931667.97,15.38,3.12,825028.26,13.62
931132.05,15.38,3.11,824408.94,13.62
930605.32,15.37,3.11,823882.22,13.61
930051.07,15.36,3.1,823327.96,13.6
930051.07,15.36,3.1,823327.96,13.6
930254.44,15.37,3.1,823029.15,13.6
929237.02,15.37,3.11,822217.74,13.6
929426.45,15.38,3.11,821852.65,13.6
928695.79,15.37,3.1,821080.56,13.59
928912.75,15.38,3.11,820742.99,13.59
929129.7,15.38,3.12,820405.42,13.58
928589.04,15.37,3.11,819812.42,13.57
927858.38,15.37,3.1,819029.42,13.56
928577.57,15.38,3.11,819235.4,13.57
928812.57,15.38,3.12,819247.06,13.57
927831.38,15.39,3.12,818507.77,13.57
927640.33,15.39,3.12,818368.48,13.57
928188.95,15.4,3.13,818445.99,13.58
928071.45,15.4,3.13,818224.32,13.57
927530.79,15.39,3.13,817631.32,13.57
926786.53,15.38,3.12,816887.07,13.56
927259.24,15.39,3.13,816805.25,13.56
927034.97,15.39,3.12,816579.09,13.56
927507.67,15.4,3.14,816497.27,13.56
927711.04,15.41,3.14,816187.54,13.55
927183.75,15.4,3.14,815105.72,13.54
926536.24,15.39,3.13,814354.05,13.53
926255.58,15.39,3.13,814021.05,13.53
926255.58,15.39,3.13,814021.05,13.53
925840.25,15.39,3.12,813655.6,13.52
925803.76,15.39,3.12,813577.81,13.52
926276.47,15.4,3.13,813495.99,13.52
926479.84,15.41,3.14,813186.26,13.52
926479.84,15.41,3.14,813186.26,13.52
926683.2,15.41,3.15,812876.53,13.52
927402.4,15.42,3.16,813082.5,13.52
927875.11,15.44,3.17,813000.68,13.52
927907.6,15.44,3.17,812929.02,13.52
927907.6,15.44,3.17,812929.02,13.52
928110.97,15.44,3.18,812630.2,13.52
928327.93,15.45,3.18,812292.63,13.52
927800.63,15.44,3.18,811210.81,13.5
928903.54,15.46,3.2,811958.49,13.52
929452.16,15.47,3.21,812035.99,13.52
929415.67,15.47,3.21,811958.2,13.52
929298.17,15.47,3.21,811736.53,13.52
929533.16,15.48,3.21,811748.19,13.52
929664.29,15.48,3.22,812299.59,13.53
929123.63,15.48,3.21,811706.59,13.52
928476.13,15.47,3.2,810954.93,13.51
928476.13,15.47,3.2,810954.93,13.51
929532.92,15.49,3.22,810910.99,13.51
930635.82,15.51,3.24,811658.66,13.52
930635.82,15.51,3.24,811658.66,13.52
930852.78,15.51,3.25,811321.1,13.52
