ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
123,266,145600,6212,145600
124,267,146070,6212,146070
125,269,147070,6212,147070
126,271,147540,6212,147540
127,273,148540,6212,148540
128,275,149540,6212,149540
129,276,150010,6212,150010
130,278,151010,6212,151010
130,278,151820,6212,151820
130,278,152630,6212,152630
130,278,153630,6212,153630
130,278,153630,6212,153630
131,280,154630,6212,154630
131,280,155100,6212,155100
132,281,156100,6212,156100
133,283,156570,6212,156570
133,283,156940,6212,156940
134,285,157940,6212,157940
135,286,158750,6212,158750
135,286,159560,6212,159560
135,286,160020,6212,160020
135,286,160830,6212,160830
136,288,161480,6212,161480
136,288,161710,6212,161710
137,290,161710,6212,161710
138,294,161710,6212,161710
139,298,161710,6212,161710
140,300,162710,6212,162710
140,300,163520,6212,163520
141,304,167520,6212,167520
142,306,168520,6212,168520
142,306,169520,6212,169520
143,310,170520,6212,170520
143,310,171520,6212,171520
144,314,172520,6212,172520
145,316,172990,6212,172990
146,320,173990,6212,173990
147,328,174990,6212,174990
147,328,175460,6212,175460
147,328,176460,6212,176460
148,330,177460,6212,177460
149,331,178270,6212,178270
149,331,179270,6212,179270
150,332,179740,6212,179740
150,332,180740,6212,180740
151,334,181740,6212,181740
152,336,182740,6212,182740
153,338,183740,6212,183740
154,339,184740,6212,184740
155,341,185200,6212,185200
155,341,186200,6212,186200
156,345,186200,6212,186200
157,347,187200,6212,187200
158,349,188200,6212,188200
158,349,189200,6212,189200
158,349,189520,6212,189520
158,349,190330,6212,190330
158,349,191140,6212,191140
158,349,191690,6212,191690
159,350,192160,6212,192160
159,350,192160,6212,192160
159,350,192390,6212,192390
160,354,192860,6212,192860
160,354,193080,6212,193080
161,356,194080,6212,194080
161,356,194890,6212,194890
161,356,195890,6212,195890
161,356,196700,6212,196700
161,356,196700,6212,196700
162,358,197170,6212,197170
163,362,198170,6212,198170
163,362,199170,6212,199170
163,362,199980,6212,199980
163,362,200980,6212,200980
164,364,201980,6212,201980
164,364,202450,6212,202450
165,368,203450,6212,203450
165,368,204260,6212,204260
165,368,205260,6212,205260
165,368,205730,6212,205730
166,370,205730,6212,205730
167,372,206540,6212,206540
167,372,207350,6212,207350
168,374,207350,6212,207350
169,376,208350,6212,208350
170,378,209350,6212,209350
170,378,209580,6212,209580
170,378,211580,6212,211580
171,380,211580,6212,211580
171,380,212390,6212,212390
172,384,212390,6212,212390
172,384,213390,6212,213390
172,384,214390,6212,214390
172,384,215200,6212,215200
173,388,216200,6212,216200
173,388,217200,6212,217200
174,390,218200,6212,218200
174,390,219010,6212,219010
174,390,219330,6212,219330
174,390,220140,6212,220140
175,392,221140,6212,221140
176,394,222140,6212,222140
177,398,222140,6212,222140
177,398,223140,6212,223140
178,400,223790,6212,223790
178,400,223790,6212,223790
179,402,224790,6212,224790
180,406,226790,6212,226790
180,406,227020,6212,227020
180,406,227490,6212,227490
181,408,228490,6212,228490
181,408,229300,6212,229300
181,408,230300,6212,230300
182,410,231300,6212,231300
182,410,232300,6212,232300
182,410,233110,6212,233110
182,410,233110,6212,233110
182,410,233920,6212,233920
182,410,234510,6212,234510
182,410,234830,6212,234830
182,410,235830,6212,235830
183,414,235830,6212,235830
184,416,235830,6212,235830
185,418,236300,6212,236300
185,418,237110,6212,237110
186,420,237110,6212,237110
186,420,238110,6212,238110
186,420,238340,6212,238340
187,422,239340,6212,239340
187,422,240340,6212,240340
188,424,241340,6212,241340
189,428,241340,6212,241340
190,430,241660,6212,241660
190,430,242130,6212,242130
191,432,243130,6212,243130
191,432,243130,6212,243130
191,432,243780,6212,243780
191,432,244590,6212,244590
192,440,252590,6212,252590
193,444,253590,6212,253590
193,444,254590,6212,254590
194,448,255590,6212,255590
194,448,256240,6212,256240
194,448,257240,6212,257240
195,450,257710,6212,257710
195,450,258710,6212,258710
195,450,259710,6212,259710
195,450,260710,6212,260710
195,450,261710,6212,261710
195,450,262710,6212,262710
195,450,262940,6212,262940
196,458,263940,6212,263940
196,458,264940,6212,264940
197,460,265750,6212,265750
197,460,266560,6212,266560
198,462,267030,6212,267030
198,462,268030,6212,268030
199,466,269030,6212,269030
199,466,270030,6212,270030
200,468,271030,6212,271030
200,468,271030,6212,271030
201,470,271580,6212,271580
201,470,272050,6212,272050
201,470,272700,6212,272700
201,470,272700,6212,272700
201,470,273700,6212,273700
201,470,274700,6212,274700
201,470,275510,6212,275510
201,470,275980,6212,275980
201,470,276980,6212,276980
201,470,277980,6212,277980
201,470,278980,6212,278980
201,470,279790,6212,279790
202,472,280790,6212,280790
203,480,288790,6212,288790
203,480,289600,6212,289600
204,482,290600,6212,290600
204,482,291150,6212,291150
205,484,292150,6212,292150
205,484,293150,6212,293150
206,486,293620,6212,293620
206,486,294620,6212,294620
206,486,295430,6212,295430
206,486,296080,6212,296080
207,488,297080,6212,297080
208,490,298080,6212,298080
208,490,299080,6212,299080
208,490,300080,6212,300080
209,492,301080,6212,301080
210,496,302080,6212,302080
211,498,303080,6212,303080
211,498,304080,6212,304080
211,498,304550,6212,304550
211,498,305550,6212,305550
211,498,305550,6212,305550
211,498,306550,6212,306550
211,498,306550,6212,306550
211,498,307550,6212,307550
211,498,308550,6212,308550
211,498,308550,6212,308550
211,498,309550,6212,309550
211,498,309780,6212,309780
211,498,310780,6212,310780
212,500,311780,6212,311780
212,500,311780,6212,311780
212,500,311780,6212,311780
212,500,312240,6212,312240
212,500,313240,6212,313240
213,502,314050,6212,314050
213,502,314050,6212,314050
213,502,315050,6212,315050
213,502,315270,6212,315270
213,502,316270,6212,316270
213,502,317080,6212,317080
214,504,318080,6212,318080
214,504,318540,6212,318540
214,504,319350,6212,319350
214,504,320160,6212,320160
215,506,320810,6212,320810
215,506,321810,6212,321810
215,506,322040,6212,322040
216,508,323040,6212,323040
216,508,324040,6212,324040
217,510,325040,6212,325040
217,510,326040,6212,326040
217,510,326510,6212,326510
218,514,326980,6212,326980
218,514,327980,6212,327980
218,514,328980,6212,328980
219,522,329980,6212,329980
220,524,330980,6212,330980
220,524,331300,6212,331300
220,524,332300,6212,332300
220,524,333110,6212,333110
220,524,333920,6212,333920
221,526,334920,6212,334920
221,526,335920,6212,335920
222,528,336920,6212,336920
222,528,337730,6212,337730
222,528,338540,6212,338540
222,528,339540,6212,339540
222,528,340010,6212,340010
222,528,341010,6212,341010
222,528,341010,6212,341010
222,528,341010,6212,341010
222,528,342010,6212,342010
222,528,342010,6212,342010
222,528,343010,6212,343010
222,528,343010,6212,343010
223,530,343820,6212,343820
223,530,344820,6212,344820
223,530,345050,6212,345050
224,532,346050,6212,346050
225,533,346860,6212,346860
225,533,347670,6212,347670
225,533,347670,6212,347670
226,535,348670,6212,348670
226,535,349020,6212,349020
227,539,350020,6212,350020
227,539,351020,6212,351020
227,539,351020,6212,351020
227,539,351340,6212,351340
227,539,352340,6212,352340
228,541,353340,6212,353340
228,541,353340,6212,353340
228,541,354340,6212,354340
228,541,355340,6212,355340
229,543,356150,6212,356150
229,543,357150,6212,357150
229,543,357150,6212,357150
230,545,358150,6212,358150
230,545,359150,6212,359150
231,547,360150,6212,360150
231,547,360620,6212,360620
231,547,361620,6212,361620
232,551,362620,6212,362620
232,551,363430,6212,363430
232,551,364240,6212,364240
233,553,365240,6212,365240
233,553,365240,6212,365240
233,553,365240,6212,365240
233,553,366240,6212,366240
233,553,366470,6212,366470
234,554,367470,6212,367470
235,556,368470,6212,368470
235,556,369280,6212,369280
236,558,369930,6212,369930
236,558,369930,6212,369930
236,558,370930,6212,370930
237,560,371930,6212,371930
237,560,372390,6212,372390
237,560,373200,6212,373200
237,560,374200,6212,374200
238,564,375200,6212,375200
238,564,376200,6212,376200
238,564,377200,6212,377200
238,564,378010,6212,378010
238,564,378010,6212,378010
239,566,379010,6212,379010
239,566,380010,6212,380010
239,566,381010,6212,381010
239,566,381480,6212,381480
240,570,382480,6212,382480
241,572,383480,6212,383480
241,572,383480,6212,383480
241,572,384480,6212,384480
241,572,385290,6212,385290
241,572,385520,6212,385520
241,572,386520,6212,386520
241,572,387520,6212,387520
242,574,388520,6212,388520
242,574,389520,6212,389520
243,576,389990,6212,389990
243,576,390990,6212,390990
243,576,391990,6212,391990
243,576,392990,6212,392990
243,576,393990,6212,393990
243,576,394800,6212,394800
244,578,395800,6212,395800
244,578,396800,6212,396800
245,580,397800,6212,397800
245,580,398030,6212,398030
245,580,398030,6212,398030
245,580,399030,6212,399030
246,582,399840,6212,399840
246,582,400840,6212,400840
247,584,401840,6212,401840
247,584,401840,6212,402160
247,584,402840,6212,403160
247,584,402840,6212,403160
248,586,403840,6212,404160
248,586,404650,6212,404970
249,588,405200,6212,405520
249,588,405200,6212,405520
249,588,405360,6212,405680
249,588,405680,6212,406000
249,588,406490,6212,406810
249,588,406960,6212,407280
250,590,407960,6212,408280
250,590,408770,6212,409090
251,592,409240,6212,409560
251,592,409240,6212,410020
251,592,410240,6212,411020
252,594,411240,6212,412020
252,594,412240,6212,413020
252,594,412460,6212,413240
252,594,412460,6212,413240
