ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_92c5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
98,204,147070,6212,147070
99,206,147540,6212,147540
99,206,148540,6212,148540
100,208,149540,6212,149540
101,210,150010,6212,150010
102,212,151010,6212,151010
102,212,151820,6212,151820
102,212,152630,6212,152630
102,212,153630,6212,153630
102,212,153630,6212,153630
102,212,154630,6212,154630
102,212,155100,6212,155100
103,214,156100,6212,156100
104,216,156570,6212,156570
104,216,156940,6212,156940
104,216,157940,6212,157940
104,216,158750,6212,158750
105,218,159560,6212,159560
105,218,160020,6212,160020
106,220,160830,6212,160830
106,220,161480,6212,161480
106,220,161710,6212,161710
106,220,161710,6212,161710
106,220,161710,6212,161710
107,228,161710,6212,161710
108,230,162710,6212,162710
109,232,163520,6212,163520
110,236,167520,6212,167520
111,238,168520,6212,168520
111,238,169520,6212,169520
112,240,170520,6212,170520
112,240,171520,6212,171520
112,240,172520,6212,172520
112,240,172990,6212,172990
113,242,173990,6212,173990
113,242,174990,6212,174990
113,242,175460,6212,175460
114,244,176460,6212,176460
114,244,177460,6212,177460
115,246,178270,6212,178270
116,248,179270,6212,179270
116,248,179740,6212,179740
116,248,180740,6212,180740
117,250,181740,6212,181740
118,252,182740,6212,182740
119,254,183740,6212,183740
119,254,184740,6212,184740
119,254,185200,6212,185200
119,254,186200,6212,186200
119,254,186200,6212,186200
120,256,187200,6212,187200
120,256,188200,6212,188200
121,258,189200,6212,189200
121,258,189520,6212,189520
122,260,190330,6212,190330
122,260,191140,6212,191140
123,262,191690,6212,191690
123,262,192160,6212,192160
123,262,192160,6212,192160
123,262,192390,6212,192390
123,262,192860,6212,192860
123,262,193080,6212,193080
123,262,194080,6212,194080
124,264,194890,6212,194890
125,266,195890,6212,195890
125,266,196700,6212,196700
125,266,196700,6212,196700
126,268,197170,6212,197170
126,268,198170,6212,198170
127,270,199170,6212,199170
127,270,199980,6212,199980
128,272,200980,6212,200980
128,272,201980,6212,201980
129,274,202450,6212,202450
129,274,203450,6212,203450
129,274,204260,6212,204260
130,276,205260,6212,205260
131,278,205730,6212,205730
131,278,205730,6212,205730
131,278,206540,6212,206540
132,280,207350,6212,207350
132,280,207350,6212,207350
132,280,208350,6212,208350
133,282,209350,6212,209350
133,282,209580,6212,209580
134,284,211580,6212,211580
134,284,211580,6212,211580
134,284,212390,6212,212390
134,284,212390,6212,212390
134,284,213390,6212,213390
134,284,214390,6212,214390
135,286,215200,6212,215200
136,288,216200,6212,216200
136,288,217200,6212,217200
137,290,218200,6212,218200
137,290,219010,6212,219010
137,290,219330,6212,219330
138,292,220140,6212,220140
138,292,221140,6212,221140
139,294,222140,6212,222140
139,294,222140,6212,222140
139,294,223140,6212,223140
139,294,223790,6212,223790
139,294,223790,6212,223790
140,296,224790,6212,224790
141,298,226790,6212,226790
141,298,227020,6212,227020
142,300,227490,6212,227490
142,300,228490,6212,228490
142,300,229300,6212,229300
143,302,230300,6212,230300
144,304,231300,6212,231300
144,304,232300,6212,232300
145,306,233110,6212,233110
145,306,233110,6212,233110
145,306,233920,6212,233920
146,308,234510,6212,234510
146,308,234830,6212,234830
146,308,235830,6212,235830
146,308,235830,6212,235830
147,316,235830,6212,235830
147,316,236300,6212,236300
148,318,237110,6212,237110
148,318,237110,6212,237110
149,320,238110,6212,238110
149,320,238340,6212,238340
149,320,239340,6212,239340
150,322,240340,6212,240340
150,322,241340,6212,241340
150,322,241340,6212,241340
