ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_672c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_672c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_672c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_672c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_672c-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
873282.51,14.06,1.0,446604.12,7.19
872661.82,14.05,0.99,445872.72,7.18
872932.64,14.06,0.99,445578.28,7.18
873218.3,14.07,1.0,445354.44,7.17
873127.61,14.07,1.0,445153.03,7.17
874567.55,14.09,1.03,446362.29,7.19
874853.21,14.1,1.03,446138.45,7.19
875138.87,14.1,1.04,445914.61,7.19
874634.45,14.1,1.03,445410.19,7.18
874013.77,14.09,1.03,444678.78,7.17
874194.5,14.09,1.03,444803.77,7.17
873675.23,14.09,1.02,444228.75,7.16
875115.17,14.11,1.05,445438.01,7.18
874595.9,14.11,1.04,444862.99,7.18
874440.51,14.11,1.04,444710.24,7.17
874008.56,14.1,1.04,444167.56,7.17
873576.61,14.1,1.03,443758.49,7.16
873880.58,14.1,1.04,443497.21,7.16
873343.0,14.1,1.03,442959.64,7.15
873176.73,14.1,1.03,442924.01,7.15
873753.12,14.11,1.04,442935.15,7.15
874192.01,14.11,1.05,442562.75,7.15
873050.84,14.11,1.05,442125.61,7.15
872958.35,14.12,1.05,442279.16,7.15
873480.86,14.12,1.06,441920.08,7.15
874663.35,14.14,1.08,442749.6,7.16
874045.75,14.14,1.08,442308.38,7.16
874045.75,14.14,1.08,442308.38,7.16
873755.25,14.14,1.07,442441.57,7.16
873669.64,14.14,1.07,442248.6,7.16
873237.68,14.13,1.07,441705.93,7.15
874420.17,14.15,1.09,442535.44,7.16
873799.48,14.15,1.08,441804.04,7.15
873367.53,14.14,1.08,441261.36,7.14
873671.5,14.15,1.08,441000.08,7.14
874091.64,14.15,1.09,443049.44,7.17
873364.06,14.14,1.08,442321.86,7.16
873659.65,14.15,1.09,442566.38,7.17
873945.31,14.16,1.09,442342.54,7.17
874316.81,14.16,1.1,442593.44,7.17
874057.55,14.16,1.1,442278.42,7.17
873625.59,14.16,1.09,441735.74,7.16
874260.03,14.17,1.1,441799.06,7.16
875442.52,14.19,1.12,442628.58,7.17
874821.83,14.18,1.11,441897.18,7.16
873776.67,14.18,1.12,441564.2,7.17
875216.61,14.21,1.14,442773.45,7.19
875502.27,14.21,1.15,442537.99,7.18
