ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
174,851,127880,6212,127880
174,851,128880,6212,128880
175,853,129530,6212,129530
176,855,129530,6212,129530
177,857,129530,6212,129530
178,865,129760,6212,129760
179,867,130080,6212,130080
180,875,130400,6212,130400
181,877,131210,6212,131210
182,879,132210,6212,132210
183,881,133020,6212,133020
184,883,133020,6212,133020
185,891,133020,6212,133020
186,899,134020,6212,134020
186,899,134830,6212,134830
187,907,134830,6212,134830
188,915,134830,6212,134830
189,923,135640,6212,135640
190,925,135960,6212,135960
190,925,136960,6212,136960
190,925,137960,6212,137960
191,927,138960,6212,138960
192,929,139610,6212,139610
193,933,140610,6212,140610
194,941,141420,6212,141420
195,943,141420,6212,141420
196,945,142420,6212,142420
196,945,143420,6212,143420
197,947,144420,6212,144420
198,949,145230,6212,145230
199,951,145600,6212,145600
200,959,146070,6212,146070
200,959,147070,6212,147070
201,961,147540,6212,147540
202,963,148540,6212,148540
203,965,149540,6212,149540
204,967,150010,6212,150010
205,975,151010,6212,151010
206,983,151820,6212,151820
207,985,152630,6212,152630
208,993,153630,6212,153630
209,1001,153630,6212,153630
209,1001,154630,6212,154630
210,1009,155100,6212,155100
211,1017,156100,6212,156100
212,1019,156570,6212,156570
213,1027,156940,6212,156940
214,1035,157940,6212,157940
215,1043,158750,6212,158750
216,1045,159560,6212,159560
217,1049,160020,6212,160020
218,1051,160830,6212,160830
219,1053,161480,6212,161480
219,1053,161710,6212,161710
220,1061,161710,6212,161710
221,1063,161710,6212,161710
222,1071,161710,6212,161710
223,1073,162710,6212,162710
224,1081,163520,6212,163520
225,1089,167520,6212,167520
226,1091,168520,6212,168520
227,1093,169520,6212,169520
228,1095,170520,6212,170520
229,1103,171520,6212,171520
230,1111,172520,6212,172520
231,1113,172990,6212,172990
232,1121,173990,6212,173990
233,1129,174990,6212,174990
234,1137,175460,6212,175460
235,1145,176460,6212,176460
236,1147,177460,6212,177460
237,1149,178270,6212,178270
238,1151,179270,6212,179270
239,1153,179740,6212,179740
240,1155,180740,6212,180740
241,1163,181740,6212,181740
242,1165,182740,6212,182740
243,1173,183740,6212,183740
244,1181,184740,6212,184740
245,1183,185200,6212,185200
246,1191,186200,6212,186200
246,1191,186200,6212,186200
246,1191,187200,6212,187200
247,1193,188200,6212,188200
247,1193,189200,6212,189200
248,1195,189520,6212,189520
249,1203,190330,6212,190330
250,1205,191140,6212,191140
251,1213,191690,6212,191690
252,1215,192160,6212,192160
252,1215,192160,6212,192160
252,1215,192390,6212,192390
253,1217,192860,6212,192860
254,1219,193080,6212,193080
255,1221,194080,6212,194080
256,1229,194890,6212,194890
257,1231,195890,6212,195890
258,1233,196700,6212,196700
259,1235,196700,6212,196700
259,1235,197170,6212,197170
260,1243,198170,6212,198170
261,1245,199170,6212,199170
262,1253,199980,6212,199980
263,1255,200980,6212,200980
264,1257,201980,6212,201980
265,1259,202450,6212,202450
265,1259,203450,6212,203450
266,1267,204260,6212,204260
267,1269,205260,6212,205260
268,1271,205730,6212,205730
269,1279,205730,6212,205730
270,1287,206540,6212,206540
271,1295,207350,6212,207350
272,1303,207350,6212,207350
273,1305,208350,6212,208350
274,1307,209350,6212,209350
275,1309,209580,6212,209580
276,1313,211580,6212,211580
276,1313,211580,6212,211580
277,1321,212390,6212,212390
278,1329,212390,6212,212390
279,1337,213390,6212,213390
280,1345,214390,6212,214390
281,1347,215200,6212,215200
281,1347,216200,6212,216200
282,1349,217200,6212,217200
282,1349,218200,6212,218200
283,1351,219010,6212,219010
284,1353,219330,6212,219330
285,1355,220140,6212,220140
285,1355,221140,6212,221140
286,1357,222140,6212,222140
287,1359,222140,6212,222140
288,1361,223140,6212,223140
289,1363,223790,6212,223790
290,1367,223790,6212,223790
291,1375,224790,6212,224790
292,1383,226790,6212,226790
292,1383,227020,6212,227020
293,1385,227490,6212,227490
294,1387,228490,6212,228490
295,1389,229300,6212,229300
296,1391,230300,6212,230300
297,1393,231300,6212,231300
297,1393,232300,6212,232300
298,1395,233110,6212,233110
298,1395,233110,6212,233110
299,1403,233920,6212,233920
299,1403,234510,6212,234510
300,1411,234830,6212,234830
301,1419,235830,6212,235830
302,1421,235830,6212,235830
303,1423,235830,6212,235830
303,1423,236300,6212,236300
304,1431,237110,6212,237110
304,1431,237110,6212,237110
305,1433,238110,6212,238110
305,1433,238340,6212,238340
306,1435,239340,6212,239340
307,1443,240340,6212,240340
308,1451,241340,6212,241340
309,1459,241340,6212,241340
310,1461,241660,6212,241660
311,1463,242130,6212,242130
312,1465,243130,6212,243130
313,1473,243130,6212,243130
314,1475,243780,6212,243780
315,1483,244590,6212,244590
316,1491,252590,6212,252590
317,1499,253590,6212,253590
318,1501,254590,6212,254590
319,1509,255590,6212,255590
319,1509,256240,6212,256240
320,1517,257240,6212,257240
320,1517,257710,6212,257710
321,1521,258710,6212,258710
322,1529,259710,6212,259710
323,1531,260710,6212,260710
324,1533,261710,6212,261710
325,1535,262710,6212,262710
326,1543,262940,6212,262940
327,1551,263940,6212,263940
328,1559,264940,6212,264940
328,1559,265750,6212,265750
329,1567,266560,6212,266560
330,1575,267030,6212,267030
331,1583,268030,6212,268030
331,1583,269030,6212,269030
332,1585,270030,6212,270030
333,1593,271030,6212,271030
334,1601,271030,6212,271030
334,1601,271580,6212,271580
335,1609,272050,6212,272050
336,1611,272700,6212,272700
337,1619,272700,6212,272700
338,1627,273700,6212,273700
339,1635,274700,6212,274700
340,1643,275510,6212,275510
341,1651,275980,6212,275980
342,1659,276980,6212,276980
342,1659,277980,6212,277980
343,1667,278980,6212,278980
344,1669,279790,6212,279790
345,1677,280790,6212,280790
346,1685,288790,6212,288790
347,1693,289600,6212,289600
348,1695,290600,6212,290600
348,1695,291150,6212,291150
349,1697,292150,6212,292150
349,1697,293150,6212,293150
350,1699,293620,6212,293620
350,1699,294620,6212,294620
351,1707,295430,6212,295430
352,1709,296080,6212,296080
352,1709,297080,6212,297080
353,1711,298080,6212,298080
353,1711,299080,6212,299080
353,1711,300080,6212,300080
354,1719,301080,6212,301080
355,1723,302080,6212,302080
355,1723,303080,6212,303080
355,1723,304080,6212,304080
356,1725,304550,6212,304550
356,1725,305550,6212,305550
356,1725,305550,6212,305550
356,1725,306550,6212,306550
357,1733,306550,6212,306550
358,1735,307550,6212,307550
358,1735,308550,6212,308550
359,1737,308550,6212,308550
359,1737,309550,6212,309550
360,1745,309780,6212,309780
360,1745,310780,6212,310780
361,1753,311780,6212,311780
362,1755,311780,6212,311780
363,1757,311780,6212,311780
364,1765,312240,6212,312240
365,1773,313240,6212,313240
365,1773,314050,6212,314050
366,1775,314050,6212,314050
367,1783,315050,6212,315050
367,1783,315270,6212,315270
368,1791,316270,6212,316270
368,1791,317080,6212,317080
368,1791,318080,6212,318080
368,1791,318540,6212,318540
369,1793,319350,6212,319350
369,1793,320160,6212,320160
370,1795,320810,6212,320810
371,1797,321810,6212,321810
372,1799,322040,6212,322040
373,1807,323040,6212,323040
374,1809,324040,6212,324040
374,1809,325040,6212,325040
374,1809,326040,6212,326040
374,1809,326510,6212,326510
374,1809,326980,6212,326980
374,1809,327980,6212,327980
375,1811,328980,6212,328980
375,1811,329980,6212,329980
376,1813,330980,6212,330980
377,1821,331300,6212,331300
377,1821,332300,6212,332300
378,1829,333110,6212,333110
379,1831,333920,6212,333920
379,1831,334920,6212,334920
380,1839,335920,6212,335920
381,1841,336920,6212,336920
381,1841,337730,6212,337730
381,1841,338540,6212,338540
382,1845,339540,6212,339540
382,1845,340010,6212,340010
382,1845,341010,6212,341010
383,1853,341010,6212,341010
384,1855,341010,6212,341010
384,1855,342010,6212,342010
385,1863,342010,6212,342010
386,1871,343010,6212,343010
387,1873,343010,6212,343010
388,1875,343820,6212,343820
389,1883,344820,6212,344820
390,1885,345050,6212,345050
391,1893,346050,6212,346050
392,1901,346860,6212,346860
393,1903,347670,6212,347670
393,1903,347670,6212,347670
393,1903,348670,6212,348670
394,1911,349020,6212,349020
395,1915,350020,6212,350020
395,1915,351020,6212,351020
396,1917,351020,6212,351020
397,1925,351340,6212,351340
397,1925,352340,6212,352340
398,1933,353340,6212,353340
399,1935,353340,6212,353340
399,1935,354340,6212,354340
400,1937,355340,6212,355340
400,1937,356150,6212,356150
400,1937,357150,6212,357150
401,1939,357150,6212,357150
402,1947,358150,6212,358150
402,1947,359150,6212,359150
403,1949,360150,6212,360150
404,1951,360620,6212,360620
405,1959,361620,6212,361620
405,1959,362620,6212,362620
405,1959,363430,6212,363430
406,1967,364240,6212,364240
407,1969,365240,6212,365240
408,1977,365240,6212,365240
409,1985,365240,6212,365240
409,1985,366240,6212,366240
410,1987,366470,6212,366470
411,1995,367470,6212,367470
412,1997,368470,6212,368470
413,1999,369280,6212,369280
414,2001,369930,6212,369930
415,2009,369930,6212,369930
416,2011,370930,6212,370930
416,2011,371930,6212,371930
417,2013,372390,6212,372390
418,2021,373200,6212,373200
419,2029,374200,6212,374200
419,2029,375200,6212,375200
420,2033,376200,6212,376200
421,2041,377200,6212,377200
421,2041,378010,6212,378010
421,2041,378010,6212,378010
422,2043,379010,6212,379010
423,2045,380010,6212,380010
424,2053,381010,6212,381010
424,2053,381480,6212,381480
425,2055,382480,6212,382480
426,2063,383480,6212,383480
426,2063,383480,6212,383480
427,2065,384480,6212,384480
428,2067,385290,6212,385290
429,2069,385520,6212,385520
430,2077,386520,6212,386520
431,2085,387520,6212,387520
432,2093,388520,6212,388520
433,2095,389520,6212,389520
433,2095,389990,6212,389990
434,2097,390990,6212,390990
435,2099,391990,6212,391990
436,2101,392990,6212,392990
436,2101,393990,6212,393990
436,2101,394800,6212,394800
437,2109,395800,6212,395800
438,2117,396800,6212,396800
438,2117,397800,6212,397800
439,2119,398030,6212,398030
440,2121,398030,6212,398030
440,2121,399030,6212,399030
441,2129,399840,6212,399840
441,2129,400840,6212,400840
441,2129,401840,6212,401840
441,2129,402160,6212,402160
442,2137,403160,6212,403160
443,2145,403160,6212,403160
444,2147,404160,6212,404160
444,2147,404970,6212,404970
445,2155,405520,6212,405520
446,2157,405520,6212,405520
446,2157,405680,6212,405680
447,2165,406000,6212,406000
448,2166,406810,6212,406810
449,2168,407280,6212,407280
449,2168,408280,6212,408280
450,2170,409090,6212,409090
451,2172,409560,6212,409560
452,2174,410020,6212,410020
453,2182,411020,6212,411020
454,2190,412020,6212,412020
455,2198,413020,6212,413020
455,2198,413240,6212,413240
455,2198,413240,6212,413240
456,2206,414240,6212,414240
457,2214,422240,6212,422240
458,2222,423240,6212,423240
459,2224,424050,6212,424050
459,2224,424050,6212,424050
460,2232,425050,6212,425050
460,2232,426050,6212,426050
460,2232,426270,6212,426270
461,2234,426920,6212,426920
462,2242,427920,6212,427920
462,2242,428920,6212,428920
462,2242,429920,6212,429920
463,2244,430570,6212,430570
463,2244,431380,6212,431380
464,2246,432380,6212,432380
464,2246,433030,6212,433030
465,2254,433500,6212,433500
465,2254,433500,6212,433500
465,2254,434310,6212,434310
