ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_683b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
128,271,145600,6212,145600
129,273,146070,6212,146070
130,275,147070,6212,147070
131,277,147540,6212,147540
132,279,148540,6212,148540
133,281,149540,6212,149540
134,282,150010,6212,150010
135,284,151010,6212,151010
135,284,151820,6212,151820
135,284,152630,6212,152630
135,284,153630,6212,153630
136,288,153630,6212,153630
137,290,154630,6212,154630
138,292,155100,6212,155100
139,293,156100,6212,156100
140,294,156570,6212,156570
140,294,156940,6212,156940
141,296,157940,6212,157940
141,296,158750,6212,158750
141,296,159560,6212,159560
141,296,160020,6212,160020
141,296,160830,6212,160830
142,298,161480,6212,161480
142,298,161710,6212,161710
143,300,161710,6212,161710
144,304,161710,6212,161710
145,308,161710,6212,161710
146,310,162710,6212,162710
147,311,163520,6212,163520
148,315,167520,6212,167520
149,317,168520,6212,168520
149,317,169520,6212,169520
149,317,170520,6212,170520
149,317,171520,6212,171520
150,321,172520,6212,172520
150,321,172990,6212,172990
151,323,173990,6212,173990
152,325,174990,6212,174990
153,327,175460,6212,175460
153,327,176460,6212,176460
154,329,177460,6212,177460
154,329,178270,6212,178270
155,331,179270,6212,179270
156,332,179740,6212,179740
157,334,180740,6212,180740
158,336,181740,6212,181740
159,338,182740,6212,182740
160,340,183740,6212,183740
161,342,184740,6212,184740
161,342,185200,6212,185200
161,342,186200,6212,186200
162,346,186200,6212,186200
163,348,187200,6212,187200
163,348,188200,6212,188200
164,350,189200,6212,189200
164,350,189520,6212,189520
164,350,190330,6212,190330
164,350,191140,6212,191140
164,350,191690,6212,191690
164,350,192160,6212,192160
164,350,192160,6212,192160
164,350,192390,6212,192390
165,354,192860,6212,192860
165,354,193080,6212,193080
165,354,194080,6212,194080
165,354,194890,6212,194890
166,356,195890,6212,195890
166,356,196700,6212,196700
166,356,196700,6212,196700
166,356,197170,6212,197170
166,356,198170,6212,198170
166,356,199170,6212,199170
166,356,199980,6212,199980
167,360,200980,6212,200980
168,362,201980,6212,201980
168,362,202450,6212,202450
168,362,203450,6212,203450
168,362,204260,6212,204260
169,364,205260,6212,205260
169,364,205730,6212,205730
169,364,205730,6212,205730
169,364,206540,6212,206540
169,364,207350,6212,207350
169,364,207350,6212,207350
169,364,208350,6212,208350
169,364,209350,6212,209350
169,364,209580,6212,209580
170,366,211580,6212,211580
170,366,211580,6212,211580
170,366,212390,6212,212390
170,366,212390,6212,212390
170,366,213390,6212,213390
170,366,214390,6212,214390
170,366,215200,6212,215200
171,370,216200,6212,216200
171,370,217200,6212,217200
172,372,218200,6212,218200
172,372,219010,6212,219010
172,372,219330,6212,219330
172,372,220140,6212,220140
173,374,221140,6212,221140
173,374,222140,6212,222140
173,374,222140,6212,222140
174,376,223140,6212,223140
174,376,223790,6212,223790
174,376,223790,6212,223790
175,378,224790,6212,224790
176,380,226790,6212,226790
176,380,227020,6212,227020
176,380,227490,6212,227490
176,380,228490,6212,228490
176,380,229300,6212,229300
177,382,230300,6212,230300
177,382,231300,6212,231300
178,384,232300,6212,232300
178,384,233110,6212,233110
178,384,233110,6212,233110
178,384,233920,6212,233920
178,384,234510,6212,234510
178,384,234830,6212,234830
178,384,235830,6212,235830
178,384,235830,6212,235830
179,388,235830,6212,235830
179,388,236300,6212,236300
179,388,237110,6212,237110
179,388,237110,6212,237110
180,390,238110,6212,238110
180,390,238340,6212,238340
180,390,239340,6212,239340
181,392,240340,6212,240340
182,400,241340,6212,241340
182,400,241340,6212,241340
182,400,241660,6212,241660
182,400,242130,6212,242130
182,400,243130,6212,243130
182,400,243130,6212,243130
182,400,243780,6212,243780
182,400,244590,6212,244590
183,408,252590,6212,252590
184,412,253590,6212,253590
184,412,254590,6212,254590
185,416,255590,6212,255590
185,416,256240,6212,256240
186,418,257240,6212,257240
186,418,257710,6212,257710
186,418,258710,6212,258710
187,420,259710,6212,259710
187,420,260710,6212,260710
188,422,261710,6212,261710
188,422,262710,6212,262710
188,422,262940,6212,262940
189,426,263940,6212,263940
189,426,264940,6212,264940
189,426,265750,6212,265750
190,428,266560,6212,266560
190,428,267030,6212,267030
191,430,268030,6212,268030
192,434,269030,6212,269030
192,434,270030,6212,270030
192,434,271030,6212,271030
192,434,271030,6212,271030
192,434,271580,6212,271580
192,434,272050,6212,272050
193,438,272700,6212,272700
193,438,272700,6212,272700
193,438,273700,6212,273700
193,438,274700,6212,274700
193,438,275510,6212,275510
193,438,275980,6212,275980
194,440,276980,6212,276980
194,440,277980,6212,277980
194,440,278980,6212,278980
194,440,279790,6212,279790
195,441,280790,6212,280790
196,449,288790,6212,288790
196,449,289600,6212,289600
197,451,290600,6212,290600
197,451,291150,6212,291150
198,455,292150,6212,292150
198,455,293150,6212,293150
198,455,293620,6212,293620
198,455,294620,6212,294620
198,455,295430,6212,295430
199,459,296080,6212,296080
199,459,297080,6212,297080
199,459,298080,6212,298080
199,459,299080,6212,299080
199,459,300080,6212,300080
200,461,301080,6212,301080
200,461,302080,6212,302080
200,461,303080,6212,303080
201,463,304080,6212,304080
202,467,304550,6212,304550
202,467,305550,6212,305550
202,467,305550,6212,305550
202,467,306550,6212,306550
202,467,306550,6212,306550
202,467,307550,6212,307550
203,471,308550,6212,308550
203,471,308550,6212,308550
204,473,309550,6212,309550
204,473,309780,6212,309780
204,473,310780,6212,310780
205,477,311780,6212,311780
205,477,311780,6212,311780
205,477,311780,6212,311780
205,477,312240,6212,312240
205,477,313240,6212,313240
205,477,314050,6212,314050
205,477,314050,6212,314050
206,479,315050,6212,315050
206,479,315270,6212,315270
206,479,316270,6212,316270
206,479,317080,6212,317080
207,481,318080,6212,318080
207,481,318540,6212,318540
207,481,319350,6212,319350
208,482,320160,6212,320160
209,486,320810,6212,320810
209,486,321810,6212,321810
209,486,322040,6212,322040
210,488,323040,6212,323040
210,488,324040,6212,324040
210,488,325040,6212,325040
211,490,326040,6212,326040
211,490,326510,6212,326510
211,490,326980,6212,326980
212,494,327980,6212,327980
212,494,328980,6212,328980
213,498,329980,6212,329980
213,498,330980,6212,330980
213,498,331300,6212,331300
213,498,332300,6212,332300
213,498,333110,6212,333110
214,500,333920,6212,333920
214,500,334920,6212,334920
214,500,335920,6212,335920
215,504,336920,6212,336920
216,506,337730,6212,337730
216,506,338540,6212,338540
216,506,339540,6212,339540
216,506,340010,6212,340010
216,506,341010,6212,341010
216,506,341010,6212,341010
216,506,341010,6212,341010
217,508,342010,6212,342010
217,508,342010,6212,342010
217,508,343010,6212,343010
217,508,343010,6212,343010
218,510,343820,6212,343820
218,510,344820,6212,344820
218,510,345050,6212,345050
219,512,346050,6212,346050
219,512,346860,6212,346860
220,514,347670,6212,347670
220,514,347670,6212,347670
220,514,348670,6212,348670
220,514,349020,6212,349020
221,516,350020,6212,350020
221,516,351020,6212,351020
221,516,351020,6212,351020
221,516,351340,6212,351340
222,518,352340,6212,352340
222,518,353340,6212,353340
222,518,353340,6212,353340
223,520,354340,6212,354340
223,520,355340,6212,355340
224,522,356150,6212,356150
224,522,357150,6212,357150
224,522,357150,6212,357150
225,524,358150,6212,358150
225,524,359150,6212,359150
226,526,360150,6212,360150
226,526,360620,6212,360620
226,526,361620,6212,361620
227,528,362620,6212,362620
227,528,363430,6212,363430
228,530,364240,6212,364240
228,530,365240,6212,365240
228,530,365240,6212,365240
228,530,365240,6212,365240
229,532,366240,6212,366240
229,532,366470,6212,366470
229,532,367470,6212,367470
229,532,368470,6212,368470
230,534,369280,6212,369280
230,534,369930,6212,369930
230,534,369930,6212,369930
230,534,370930,6212,370930
230,534,371930,6212,371930
230,534,372390,6212,372390
231,536,373200,6212,373200
231,536,374200,6212,374200
232,538,375200,6212,375200
233,546,376200,6212,376200
233,546,377200,6212,377200
234,548,378010,6212,378010
234,548,378010,6212,378010
234,548,379010,6212,379010
235,550,380010,6212,380010
235,550,381010,6212,381010
236,554,381480,6212,381480
236,554,382480,6212,382480
236,554,383480,6212,383480
236,554,383480,6212,383480
236,554,384480,6212,384480
237,556,385290,6212,385290
237,556,385520,6212,385520
237,556,386520,6212,386520
238,558,387520,6212,387520
239,566,388520,6212,388520
239,566,389520,6212,389520
239,566,389520,6212,389990
240,568,390520,6212,390990
240,568,391520,6212,391990
241,570,392520,6212,392990
241,570,393520,6212,393990
242,572,394330,6212,394800
242,572,395330,6212,395800
243,574,396330,6212,396800
243,574,397330,6212,397800
243,574,397560,6212,398030
243,574,397560,6212,398030
243,574,398560,6212,399030
244,576,399370,6212,399840
244,576,400370,6212,400840
245,578,401370,6212,401840
245,578,401690,6212,402160
245,578,402690,6212,403160
245,578,402690,6212,403160
245,578,403690,6212,404160
246,580,404500,6212,404970
246,580,405050,6212,405520
246,580,405050,6212,405520
246,580,405210,6212,405680
246,580,405530,6212,406000
247,582,406340,6212,406810
247,582,406810,6212,407280
248,584,407810,6212,408280
248,584,408620,6212,409090
248,584,409090,6212,409560
249,586,409550,6212,410020
249,586,410550,6212,411020
250,588,411550,6212,412020
250,588,412550,6212,413020
250,588,412770,6212,413240
250,588,412770,6212,413240
251,590,413770,6212,414240
252,598,421770,6212,422240
252,598,422770,6212,423240
253,600,423580,6212,424050
253,600,423580,6212,424050
253,600,424580,6212,425050
254,602,425580,6212,426050
254,602,425800,6212,426270
254,602,426450,6212,426920
255,604,427450,6212,427920
255,604,428450,6212,428920
256,606,429450,6212,429920
256,606,430100,6212,430570
257,608,430910,6212,431380
257,608,431910,6212,432380
258,610,432560,6212,433030
258,610,433030,6212,433500
258,610,433030,6212,433500
