ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
136,315,185610,6212,185610
136,315,186420,6212,186420
136,315,186420,6212,186420
137,317,187420,6212,187420
138,319,188420,6212,188420
139,321,189420,6212,189420
140,322,189890,6212,189890
140,322,189890,6212,189890
141,324,190890,6212,190890
142,332,198890,6212,198890
143,336,199890,6212,199890
144,338,200890,6212,200890
144,338,201700,6212,201700
145,342,201700,6212,201700
146,344,202020,6212,202020
147,346,203020,6212,203020
148,348,204020,6212,204020
149,350,205020,6212,205020
150,352,206020,6212,206020
150,352,206180,6212,206180
150,352,207180,6212,207180
150,352,207770,6212,207770
151,354,208770,6212,208770
152,362,216770,6212,216770
153,364,217770,6212,217770
154,368,217770,6212,217770
155,370,218770,6212,218770
155,370,219580,6212,219580
155,370,220390,6212,220390
156,374,220390,6212,220390
157,376,221390,6212,221390
157,376,222390,6212,222390
157,376,222390,6212,222390
157,376,222940,6212,222940
158,378,223940,6212,223940
158,378,224940,6212,224940
158,378,225940,6212,225940
158,378,225940,6212,225940
159,380,226940,6212,226940
159,380,227940,6212,227940
159,380,228940,6212,228940
159,380,229940,6212,229940
160,382,230940,6212,230940
160,382,231940,6212,231940
160,382,232400,6212,232400
161,384,233400,6212,233400
161,384,233400,6212,233400
162,385,233870,6212,233870
162,385,233870,6212,233870
162,385,234680,6212,234680
162,385,234680,6212,234680
162,385,235000,6212,235000
163,386,235470,6212,235470
163,386,236470,6212,236470
163,386,236470,6212,236470
163,386,236790,6212,236790
163,386,237600,6212,237600
163,386,238600,6212,238600
164,390,239250,6212,239250
164,390,240250,6212,240250
165,391,241250,6212,241250
165,391,241900,6212,241900
165,391,241900,6212,241900
166,393,242900,6212,242900
166,393,243370,6212,243370
166,393,243370,6212,243370
166,393,243530,6212,243530
167,395,244530,6212,244530
167,395,245000,6212,245000
168,397,246000,6212,246000
