ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6358-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
44,134,104570,6212,104570
44,134,105120,6212,105120
44,134,105120,6212,105120
44,134,105590,6212,105590
44,134,106060,6212,106060
45,142,106710,6212,106710
45,142,107180,6212,107180
45,142,107650,6212,107650
45,142,108120,6212,108120
45,142,108440,6212,108440
45,142,108910,6212,108910
45,142,109720,6212,109720
45,142,109950,6212,109950
45,142,110410,6212,110410
45,142,110730,6212,110730
45,142,111540,6212,111540
45,142,112090,6212,112090
46,150,112740,6212,112740
46,150,113390,6212,113390
46,150,113620,6212,113620
46,150,113620,6212,113620
46,150,113780,6212,113780
47,152,114590,6212,114590
47,152,114820,6212,114820
47,152,115630,6212,115630
47,152,116220,6212,116220
47,152,116680,6212,116680
47,152,117490,6212,117490
47,152,117960,6212,117960
47,152,118420,6212,118420
47,152,118890,6212,118890
47,152,119700,6212,119700
47,152,120510,6212,120510
47,152,121320,6212,121320
47,152,121320,6212,121320
47,152,121370,6212,121370
47,152,121370,6212,121370
47,152,121370,6212,121370
48,160,121830,6212,121830
48,160,122640,6212,122640
48,160,123450,6212,123450
48,160,124260,6212,124260
48,160,125070,6212,125070
48,160,125880,6212,125880
48,160,126690,6212,126690
48,160,127340,6212,127340
48,160,127810,6212,127810
49,168,128460,6212,128460
49,168,128930,6212,128930
49,168,129160,6212,129160
49,168,129160,6212,129160
49,168,129390,6212,129390
49,168,130200,6212,130200
49,168,131010,6212,131010
49,168,131820,6212,131820
49,168,132280,6212,132280
49,168,133090,6212,133090
49,168,133900,6212,133900
49,168,134710,6212,134710
49,168,134710,6212,134710
49,168,134710,6212,134710
50,176,135180,6212,135180
50,176,135650,6212,135650
50,176,136460,6212,136460
50,176,136460,6212,136460
50,176,137110,6212,137110
50,176,137580,6212,137580
50,176,138390,6212,138390
50,176,138860,6212,138860
50,176,139670,6212,139670
50,176,140480,6212,140480
50,176,140480,6212,140480
50,176,140940,6212,140940
51,184,141490,6212,141490
51,184,141810,6212,141810
51,184,142620,6212,142620
51,184,143090,6212,143090
51,184,143900,6212,143900
51,184,144220,6212,144220
51,184,145030,6212,145030
51,184,145500,6212,145500
51,184,145970,6212,145970
51,184,146780,6212,146780
51,184,147590,6212,147590
52,186,148400,6212,148400
52,186,149050,6212,149050
52,186,149160,6212,149160
53,194,149970,6212,149970
53,194,150620,6212,150620
53,194,150940,6212,150940
53,194,151160,6212,151160
53,194,151160,6212,151160
53,194,151160,6212,151160
53,194,151970,6212,151970
53,194,152290,6212,152290
53,194,153100,6212,153100
53,194,153910,6212,153910
53,194,154380,6212,154380
53,194,154700,6212,154700
53,194,154700,6212,154700
53,194,155350,6212,155350
53,194,155350,6212,155350
53,194,155670,6212,155670
53,194,156480,6212,156480
54,196,157290,6212,157290
54,196,158100,6212,158100
55,204,158750,6212,158750
55,204,159220,6212,159220
55,204,159220,6212,159220
55,204,159220,6212,159220
55,204,159690,6212,159690
55,204,160010,6212,160010
55,204,160240,6212,160240
55,204,160710,6212,160710
55,204,161520,6212,161520
55,204,161750,6212,161750
55,204,161910,6212,161910
55,204,162230,6212,162230
55,204,162230,6212,162230
55,204,163040,6212,163040
55,204,163040,6212,163040
55,204,163850,6212,163850
55,204,164080,6212,164080
55,204,164310,6212,164310
55,204,165120,6212,165120
56,212,165590,6212,165590
56,212,165590,6212,165590
56,212,165590,6212,165590
56,212,166400,6212,166400
56,212,167210,6212,167210
56,212,167860,6212,167860
56,212,168670,6212,168670
56,212,169480,6212,169480
56,212,170290,6212,170290
56,212,170760,6212,170760
56,212,171570,6212,171570
57,214,172040,6212,172040
57,214,172360,6212,172360
57,214,173170,6212,173170
57,214,173640,6212,173640
57,214,173640,6212,173640
57,214,173960,6212,173960
58,222,174770,6212,174770
58,222,175580,6212,175580
58,222,175580,6212,175580
58,222,176230,6212,176230
58,222,176690,6212,176690
58,222,177010,6212,177010
58,222,177820,6212,177820
58,222,178630,6212,178630
58,222,179440,6212,179440
58,222,180090,6212,180090
59,230,180900,6212,180900
59,230,181270,6212,181270
59,230,181270,6212,181270
59,230,182080,6212,182080
59,230,182080,6212,182080
59,230,182890,6212,182890
59,230,183210,6212,183210
59,230,183680,6212,183680
59,230,184000,6212,184000
59,230,184000,6212,184000
59,230,184650,6212,184650
59,230,185460,6212,185460
59,230,185780,6212,185780
59,230,186590,6212,186590
59,230,187400,6212,187400
60,234,188210,6212,188210
60,234,189020,6212,189020
60,234,189670,6212,189670
60,234,189830,6212,189830
60,234,190060,6212,190060
60,234,190530,6212,190530
60,234,190850,6212,190850
61,242,191170,6212,191170
61,242,191980,6212,191980
61,242,192570,6212,192570
61,242,193380,6212,193380
61,242,193380,6212,193380
61,242,193850,6212,193850
61,242,194320,6212,194320
61,242,194870,6212,194870
61,242,195340,6212,195340
61,242,196150,6212,196150
61,242,196620,6212,196620
61,242,196620,6212,196620
61,242,196620,6212,196620
61,242,197080,6212,197080
62,250,197890,6212,197890
62,250,197890,6212,197890
62,250,198120,6212,198120
62,250,198580,6212,198580
62,250,199390,6212,199390
62,250,200200,6212,200200
62,250,200660,6212,200660
62,250,201130,6212,201130
62,250,201450,6212,201450
62,250,201450,6212,201450
62,250,201770,6212,201770
62,250,202420,6212,202420
62,250,202420,6212,202420
62,250,202890,6212,202890
62,250,203210,6212,203210
62,250,203430,6212,203430
62,250,204080,6212,204080
63,258,204890,6212,204890
63,258,205700,6212,205700
63,258,206170,6212,206170
63,258,206280,6212,206280
63,258,206750,6212,206750
63,258,207560,6212,207560
63,258,208370,6212,208370
63,258,209180,6212,209180
63,258,209990,6212,209990
63,258,210800,6212,210800
64,266,211610,6212,211610
64,266,211610,6212,211610
64,266,212080,6212,212080
64,266,212890,6212,212890
64,266,213360,6212,213360
64,266,213830,6212,213830
64,266,213830,6212,213830
64,266,214310,6212,214310
64,266,215120,6212,215120
64,266,215120,6212,215120
64,266,215440,6212,215440
64,266,215760,6212,215760
64,266,216410,6212,216410
64,266,216880,6212,216880
64,266,217350,6212,217350
64,266,217820,6212,217820
64,266,218170,6212,218170
64,266,218650,6212,218650
65,274,219120,6212,219120
65,274,219930,6212,219930
65,274,220740,6212,220740
65,274,221060,6212,221060
65,274,221710,6212,221710
65,274,222520,6212,222520
65,274,222840,6212,222840
65,274,223070,6212,223070
65,274,223880,6212,223880
65,274,223880,6212,223880
65,274,224040,6212,224040
65,274,224510,6212,224510
65,274,224510,6212,224510
65,274,225320,6212,225320
66,276,226130,6212,226130
66,276,226940,6212,226940
66,276,227170,6212,227170
66,276,227490,6212,227490
67,284,227960,6212,227960
67,284,228510,6212,228510
67,284,229160,6212,229160
67,284,229480,6212,229480
67,284,229710,6212,229710
67,284,230180,6212,230180
67,284,230180,6212,230180
67,284,230500,6212,230500
67,284,230500,6212,230500
67,284,231310,6212,231310
67,284,231780,6212,231780
67,284,232590,6212,232590
67,284,232590,6212,232590
67,284,233400,6212,233400
67,284,234210,6212,234210
67,284,234210,6212,234210
68,292,234530,6212,234530
68,292,235340,6212,235340
68,292,235660,6212,235660
68,292,236310,6212,236310
68,292,236780,6212,236780
68,292,236780,6212,236780
68,292,237250,6212,237250
68,292,237250,6212,237250
68,292,238060,6212,238060
68,292,238380,6212,238380
68,292,239190,6212,239190
68,292,239660,6212,239660
68,292,240130,6212,240130
69,300,240600,6212,240600
69,300,241250,6212,241250
69,300,242060,6212,242060
69,300,242870,6212,242870
69,300,243190,6212,243190
69,300,243510,6212,243510
69,300,243830,6212,243830
69,300,244060,6212,244060
69,300,244060,6212,244060
69,300,244870,6212,244870
69,300,245190,6212,245190
69,300,245780,6212,245780
69,300,246250,6212,246250
69,300,246470,6212,246470
69,300,247280,6212,247280
70,308,247280,6212,247280
70,308,247750,6212,247750
70,308,248220,6212,248220
70,308,248590,6212,248590
70,308,248590,6212,248590
70,308,249400,6212,249400
70,308,249400,6212,249400
70,308,249870,6212,249870
70,308,250680,6212,250680
70,308,251150,6212,251150
70,308,251370,6212,251370
70,308,252180,6212,252180
70,308,252650,6212,252650
70,308,253460,6212,253460
70,308,253460,6212,253460
70,308,253460,6212,253460
70,308,254270,6212,254270
70,308,255080,6212,255080
71,310,255550,6212,255550
71,310,256360,6212,256360
71,310,256680,6212,256680
72,312,257330,6212,257330
72,312,258140,6212,258140
73,314,258950,6212,258950
73,314,259180,6212,259180
73,314,259550,6212,259550
73,314,259550,6212,259550
73,314,259870,6212,259870
73,314,260520,6212,260520
74,316,260990,6212,260990
74,316,261460,6212,261460
74,316,262270,6212,262270
75,324,262740,6212,262740
75,324,263200,6212,263200
75,324,264010,6212,264010
75,324,264330,6212,264330
75,324,264790,6212,264790
75,324,265250,6212,265250
75,324,265710,6212,265710
75,324,266360,6212,266360
75,324,266590,6212,266590
75,324,267400,6212,267400
75,324,267400,6212,267400
75,324,267630,6212,267630
75,324,268100,6212,268100
76,326,268570,6212,268570
76,326,269380,6212,269380
76,326,269970,6212,269970
76,326,269970,6212,269970
76,326,270340,6212,270340
77,334,271150,6212,271150
77,334,271960,6212,271960
77,334,272770,6212,272770
77,334,273580,6212,273580
77,334,274390,6212,274390
77,334,275200,6212,275200
77,334,275430,6212,275430
77,334,275900,6212,275900
77,334,276130,6212,276130
77,334,276450,6212,276450
77,334,276770,6212,276770
77,334,277090,6212,277090
77,334,277090,6212,277090
77,334,277740,6212,277740
77,334,277740,6212,277740
77,334,277740,6212,277740
78,336,278010,6212,278010
78,336,278820,6212,278820
78,336,279290,6212,279290
78,336,279290,6212,279290
78,336,279520,6212,279520
79,344,280330,6212,280330
79,344,281140,6212,281140
79,344,281950,6212,281950
79,344,282760,6212,282760
79,344,283080,6212,283080
79,344,283540,6212,283540
79,344,283540,6212,283540
