ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,2,0,6212,0
2,4,810,6212,810
3,6,1810,6212,1810
4,14,2620,6212,2620
5,22,2620,6212,2620
6,24,3090,6212,3090
7,26,3410,6212,3410
8,34,4410,6212,4410
9,42,5410,6212,5410
10,50,6220,6212,6220
11,58,6770,6212,6770
12,66,7580,6212,7580
13,68,8390,6212,8390
14,72,8440,6212,8440
15,80,9250,6212,9250
16,82,9480,6212,9480
17,90,10290,6212,10290
18,92,10760,6212,10760
19,100,10760,6212,10760
20,102,11570,6212,11570
21,110,12380,6212,12380
22,118,13190,6212,13190
23,126,14190,6212,14190
24,128,15190,6212,15190
25,130,15350,6212,15350
26,138,16000,6212,16000
27,146,16470,6212,16470
28,154,16790,6212,16790
29,162,17790,6212,17790
30,170,18020,6212,18020
31,178,18830,6212,18830
32,186,19640,6212,19640
33,188,19640,6212,19640
34,190,20290,6212,20290
35,198,21290,6212,21290
36,199,21610,6212,21610
37,207,22610,6212,22610
38,209,23420,6212,23420
39,211,23420,6212,23420
40,213,24070,6212,24070
41,215,24880,6212,24880
42,217,25880,6212,25880
43,219,26530,6212,26530
44,227,27000,6212,27000
45,235,27110,6212,27110
46,243,27580,6212,27580
47,245,28580,6212,28580
48,249,29390,6212,29390
48,249,29940,6212,29940
49,251,30590,6212,30590
50,259,30750,6212,30750
51,261,31220,6212,31220
52,269,32220,6212,32220
53,277,32220,6212,32220
54,285,32220,6212,32220
54,285,32220,6212,32220
55,293,32870,6212,32870
56,301,33870,6212,33870
57,309,34870,6212,34870
58,317,35680,6212,35680
59,319,35680,6212,35680
59,319,35680,6212,35680
60,327,36680,6212,36680
61,329,36680,6212,36680
62,331,37490,6212,37490
63,333,38300,6212,38300
64,335,38770,6212,38770
65,337,39580,6212,39580
66,339,40050,6212,40050
67,341,40860,6212,40860
68,349,41860,6212,41860
69,357,42860,6212,42860
70,365,43670,6212,43670
71,373,44140,6212,44140
72,375,44610,6212,44610
72,375,44930,6212,44930
73,383,45930,6212,45930
74,385,46480,6212,46480
75,387,47480,6212,47480
76,389,47850,6212,47850
77,397,48310,6212,48310
78,405,49310,6212,49310
79,407,49310,6212,49310
80,415,50120,6212,50120
81,423,50120,6212,50120
82,425,50770,6212,50770
83,433,51580,6212,51580
84,441,52580,6212,52580
84,441,53390,6212,53390
85,449,53860,6212,53860
86,457,54330,6212,54330
87,459,55140,6212,55140
88,467,55950,6212,55950
88,467,56950,6212,56950
89,475,56950,6212,56950
90,477,57420,6212,57420
91,485,65420,6212,65420
92,493,65420,6212,65420
93,501,66070,6212,66070
94,509,66880,6212,66880
95,517,67110,6212,67110
96,525,67110,6212,67110
97,533,67920,6212,67920
98,541,67920,6212,67920
99,543,68920,6212,68920
100,551,69730,6212,69730
101,553,70200,6212,70200
102,561,71200,6212,71200
103,563,71850,6212,71850
104,571,72660,6212,72660
105,579,72980,6212,72980
106,587,73980,6212,73980
107,589,74790,6212,74790
108,591,75110,6212,75110
109,593,75570,6212,75570
110,601,75940,6212,75940
111,603,76410,6212,76410
112,605,77220,6212,77220
113,613,77870,6212,77870
114,615,78870,6212,78870
115,616,79100,6212,79100
116,624,80100,6212,80100
117,632,80570,6212,80570
118,640,81570,6212,81570
119,648,82570,6212,82570
120,650,82570,6212,82570
121,658,82800,6212,82800
122,666,83610,6212,83610
122,666,84420,6212,84420
123,668,85230,6212,85230
124,676,86230,6212,86230
125,678,86550,6212,86550
126,686,87020,6212,87020
127,688,87670,6212,87670
128,690,88110,6212,88110
129,692,88580,6212,88580
130,700,89390,6212,89390
131,701,89850,6212,89850
132,709,89850,6212,89850
133,717,89850,6212,89850
133,717,90850,6212,90850
134,725,91660,6212,91660
135,727,92660,6212,92660
136,735,93250,6212,93250
137,743,93570,6212,93570
138,751,93570,6212,93570
139,759,93790,6212,93790
140,767,94790,6212,94790
141,769,95600,6212,95600
142,777,95600,6212,95600
143,785,96070,6212,96070
144,793,97070,6212,97070
145,801,97880,6212,97880
145,801,98690,6212,98690
146,805,98690,6212,98690
147,813,98690,6212,98690
148,817,98690,6212,98690
149,819,99690,6212,99690
150,821,100690,6212,100690
151,829,101500,6212,101500
152,837,101970,6212,101970
153,845,101970,6212,101970
154,847,102290,6212,102290
155,849,102760,6212,102760
156,851,102760,6212,102760
157,853,103570,6212,103570
158,861,103800,6212,103800
159,863,104800,6212,104800
160,871,105390,6212,105390
161,873,106200,6212,106200
162,881,107010,6212,107010
163,883,107330,6212,107330
164,885,107800,6212,107800
165,887,108800,6212,108800
166,895,108800,6212,108800
167,903,109120,6212,109120
168,911,109350,6212,109350
169,919,110350,6212,110350
170,927,111350,6212,111350
171,929,112160,6212,112160
172,931,112810,6212,112810
172,931,113810,6212,113810
173,933,114810,6212,114810
174,935,115620,6212,115620
175,939,116090,6212,116090
175,939,116320,6212,116320
176,941,117130,6212,117130
177,942,117940,6212,117940
178,950,118750,6212,118750
179,958,119070,6212,119070
180,960,120070,6212,120070
181,962,120390,6212,120390
182,964,121200,6212,121200
183,972,121660,6212,121660
183,972,122470,6212,122470
184,980,123120,6212,123120
185,982,123930,6212,123930
186,990,123930,6212,123930
187,992,124740,6212,124740
187,992,124850,6212,124850
188,1000,125170,6212,125170
189,1002,125720,6212,125720
189,1002,125720,6212,125720
190,1010,126530,6212,126530
191,1012,127340,6212,127340
192,1020,128150,6212,128150
193,1028,128960,6212,128960
194,1030,129610,6212,129610
195,1038,129830,6212,129830
196,1046,130300,6212,130300
197,1054,131110,6212,131110
198,1062,131920,6212,131920
199,1064,132920,6212,132920
199,1064,132920,6212,132920
199,1064,133150,6212,133150
200,1066,133150,6212,133150
201,1074,133380,6212,133380
202,1076,133610,6212,133610
202,1076,134420,6212,134420
203,1078,135230,6212,135230
203,1078,135700,6212,135700
204,1080,136160,6212,136160
205,1082,137160,6212,137160
206,1086,137970,6212,137970
207,1090,138440,6212,138440
208,1092,139250,6212,139250
209,1094,139410,6212,139410
210,1102,140220,6212,140220
211,1104,141030,6212,141030
212,1106,141680,6212,141680
213,1114,142150,6212,142150
214,1122,142610,6212,142610
215,1130,143080,6212,143080
216,1138,143080,6212,143080
216,1138,143890,6212,143890
217,1146,144890,6212,144890
218,1148,145360,6212,145360
218,1148,146170,6212,146170
219,1156,146760,6212,146760
220,1164,147220,6212,147220
220,1164,148030,6212,148030
221,1172,148500,6212,148500
221,1172,148970,6212,148970
222,1174,149620,6212,149620
223,1182,150430,6212,150430
224,1184,151430,6212,151430
225,1186,152240,6212,152240
226,1188,152240,6212,152240
227,1190,153240,6212,153240
228,1192,153240,6212,153240
228,1192,153240,6212,153240
229,1194,154240,6212,154240
229,1194,155050,6212,155050
230,1198,155860,6212,155860
