ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,2,0,6212,0
2,4,810,6212,810
3,12,1810,6212,1810
4,20,2810,6212,2810
5,22,3810,6212,3810
6,30,4620,6212,4620
7,38,5090,6212,5090
8,40,5740,6212,5740
9,42,6550,6212,6550
10,44,6780,6212,6780
11,52,7590,6212,7590
12,60,8590,6212,8590
13,62,9060,6212,9060
14,66,9520,6212,9520
15,74,9520,6212,9520
16,82,10520,6212,10520
17,84,10980,6212,10980
18,92,11440,6212,11440
19,93,12440,6212,12440
20,95,13440,6212,13440
21,103,13440,6212,13440
22,105,13910,6212,13910
22,105,13910,6212,13910
23,107,14720,6212,14720
24,115,14880,6212,14880
25,123,14880,6212,14880
26,131,15880,6212,15880
27,139,16880,6212,16880
28,147,17690,6212,17690
29,155,18690,6212,18690
30,163,18800,6212,18800
31,171,19800,6212,19800
32,173,19800,6212,19800
33,177,20270,6212,20270
34,185,21270,6212,21270
35,193,22270,6212,22270
36,201,23270,6212,23270
37,209,24270,6212,24270
38,217,25270,6212,25270
39,225,25740,6212,25740
40,233,25740,6212,25740
41,235,26740,6212,26740
42,237,26740,6212,26740
43,245,27740,6212,27740
44,253,28060,6212,28060
45,261,29060,6212,29060
46,263,29060,6212,29060
47,265,29380,6212,29380
48,267,30380,6212,30380
49,269,31190,6212,31190
50,271,31190,6212,31190
51,273,31560,6212,31560
52,275,32560,6212,32560
53,283,33560,6212,33560
54,291,34560,6212,34560
55,299,34880,6212,34880
56,301,35880,6212,35880
57,309,36880,6212,36880
58,311,37880,6212,37880
59,313,38690,6212,38690
60,315,39690,6212,39690
61,317,40690,6212,40690
62,319,41010,6212,41010
63,321,42010,6212,42010
64,329,43010,6212,43010
65,337,44010,6212,44010
66,345,45010,6212,45010
67,353,45010,6212,45010
68,355,46010,6212,46010
69,363,47010,6212,47010
70,371,47480,6212,47480
71,379,48290,6212,48290
72,387,49290,6212,49290
73,395,50290,6212,50290
74,397,51100,6212,51100
75,401,51100,6212,51100
76,409,52100,6212,52100
76,409,53100,6212,53100
77,411,53910,6212,53910
78,419,57910,6212,57910
79,421,57910,6212,57910
80,429,58720,6212,58720
81,437,58720,6212,58720
82,439,59530,6212,59530
83,441,60530,6212,60530
84,443,61530,6212,61530
85,451,61530,6212,61530
86,459,62340,6212,62340
87,460,63340,6212,63340
88,462,64340,6212,64340
89,470,65340,6212,65340
90,472,66340,6212,66340
91,480,66990,6212,66990
92,482,67800,6212,67800
93,490,68800,6212,68800
94,498,69800,6212,69800
95,500,70270,6212,70270
96,508,70590,6212,70590
97,510,70590,6212,70590
98,512,71400,6212,71400
99,514,72210,6212,72210
100,516,72760,6212,72760
100,516,73570,6212,73570
101,524,73570,6212,73570
102,526,73570,6212,73570
103,528,74570,6212,74570
104,530,75570,6212,75570
105,538,76570,6212,76570
105,538,77380,6212,77380
106,540,78380,6212,78380
106,540,78850,6212,78850
107,548,79850,6212,79850
108,556,80850,6212,80850
109,564,81660,6212,81660
110,566,82660,6212,82660
111,574,83660,6212,83660
112,578,84660,6212,84660
113,580,84660,6212,84660
113,580,84660,6212,84660
114,588,84660,6212,84660
115,596,84660,6212,84660
116,604,85660,6212,85660
116,604,86660,6212,86660
117,612,87660,6212,87660
118,614,88470,6212,88470
119,622,88470,6212,88470
120,624,88470,6212,88470
121,632,89470,6212,89470
122,640,89470,6212,89470
123,642,89470,6212,89470
124,644,89470,6212,89470
125,646,90120,6212,90120
126,648,90930,6212,90930
127,650,90930,6212,90930
127,650,91930,6212,91930
128,658,92930,6212,92930
129,660,93400,6212,93400
130,662,94400,6212,94400
131,664,95400,6212,95400
132,672,96210,6212,96210
133,674,97210,6212,97210
134,676,98210,6212,98210
135,684,98210,6212,98210
136,688,98860,6212,98860
137,690,99860,6212,99860
138,698,99860,6212,99860
139,700,100510,6212,100510
140,708,100980,6212,100980
141,710,101980,6212,101980
142,712,102790,6212,102790
143,720,103600,6212,103600
144,728,104600,6212,104600
144,728,105410,6212,105410
144,728,106410,6212,106410
145,730,106880,6212,106880
146,732,107880,6212,107880
147,740,108880,6212,108880
148,742,109690,6212,109690
149,750,110690,6212,110690
150,758,111010,6212,111010
151,766,111560,6212,111560
152,774,112560,6212,112560
153,782,113560,6212,113560
154,790,114020,6212,114020
155,798,115020,6212,115020
156,806,115830,6212,115830
157,810,116830,6212,116830
157,810,117830,6212,117830
158,812,118150,6212,118150
158,812,119150,6212,119150
159,820,119470,6212,119470
160,822,120470,6212,120470
161,824,120790,6212,120790
162,832,120790,6212,120790
163,834,121790,6212,121790
164,842,121790,6212,121790
165,844,122790,6212,122790
166,852,123790,6212,123790
167,860,124600,6212,124600
168,862,125600,6212,125600
169,870,125600,6212,125600
170,878,126600,6212,126600
171,886,127070,6212,127070
172,888,127880,6212,127880
172,888,128880,6212,128880
173,896,129530,6212,129530
174,904,129530,6212,129530
174,904,129530,6212,129530
175,906,129760,6212,129760
175,906,130080,6212,130080
176,914,130400,6212,130400
177,922,131210,6212,131210
177,922,132210,6212,132210
178,930,133020,6212,133020
179,938,133020,6212,133020
180,946,133020,6212,133020
180,946,134020,6212,134020
181,948,134830,6212,134830
182,950,134830,6212,134830
183,958,134830,6212,134830
184,962,135640,6212,135640
184,962,135960,6212,135960
185,970,136960,6212,136960
186,978,137960,6212,137960
187,986,138960,6212,138960
188,988,139610,6212,139610
189,990,140610,6212,140610
190,992,141420,6212,141420
191,994,141420,6212,141420
192,1002,142420,6212,142420
193,1004,143420,6212,143420
194,1006,144420,6212,144420
194,1006,145230,6212,145230
195,1007,145600,6212,145600
196,1015,146070,6212,146070
196,1015,147070,6212,147070
197,1023,147540,6212,147540
198,1031,148540,6212,148540
198,1031,149540,6212,149540
199,1039,150010,6212,150010
200,1047,151010,6212,151010
201,1055,151820,6212,151820
202,1063,152630,6212,152630
203,1071,153630,6212,153630
204,1075,153630,6212,153630
204,1075,154630,6212,154630
205,1077,155100,6212,155100
206,1085,156100,6212,156100
206,1085,156570,6212,156570
207,1089,156940,6212,156940
208,1097,157940,6212,157940
209,1105,158750,6212,158750
209,1105,159560,6212,159560
210,1107,160020,6212,160020
211,1109,160830,6212,160830
212,1111,161480,6212,161480
212,1111,161710,6212,161710
212,1111,161710,6212,161710
213,1115,161710,6212,161710
214,1123,161710,6212,161710
215,1125,162710,6212,162710
216,1133,163520,6212,163520
217,1141,167520,6212,167520
218,1143,168520,6212,168520
219,1151,169520,6212,169520
219,1151,170520,6212,170520
220,1153,171520,6212,171520
221,1161,172520,6212,172520
222,1169,172990,6212,172990
223,1171,173990,6212,173990
223,1171,174990,6212,174990
224,1173,175460,6212,175460
225,1175,176460,6212,176460
225,1175,177460,6212,177460
