ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ac30-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
226,1183,178270,6212,178270
227,1191,179270,6212,179270
228,1193,179740,6212,179740
229,1195,180740,6212,180740
230,1203,181740,6212,181740
231,1211,182740,6212,182740
232,1213,183740,6212,183740
232,1213,184740,6212,184740
233,1215,185200,6212,185200
234,1217,186200,6212,186200
235,1219,186200,6212,186200
236,1221,187200,6212,187200
237,1223,188200,6212,188200
238,1225,189200,6212,189200
239,1227,189520,6212,189520
240,1235,190330,6212,190330
241,1237,191140,6212,191140
241,1237,191690,6212,191690
242,1245,192160,6212,192160
243,1247,192160,6212,192160
244,1251,192390,6212,192390
245,1259,192860,6212,192860
246,1267,193080,6212,193080
246,1267,194080,6212,194080
246,1267,194890,6212,194890
247,1275,195890,6212,195890
247,1275,196700,6212,196700
248,1277,196700,6212,196700
249,1285,197170,6212,197170
250,1287,198170,6212,198170
251,1295,199170,6212,199170
251,1295,199980,6212,199980
252,1299,200980,6212,200980
253,1301,201980,6212,201980
254,1309,202450,6212,202450
255,1317,203450,6212,203450
256,1325,204260,6212,204260
257,1327,205260,6212,205260
258,1335,205730,6212,205730
259,1343,205730,6212,205730
260,1345,206540,6212,206540
261,1353,207350,6212,207350
262,1361,207350,6212,207350
263,1363,208350,6212,208350
264,1371,209350,6212,209350
264,1371,209580,6212,209580
265,1379,211580,6212,211580
266,1381,211580,6212,211580
267,1389,212390,6212,212390
268,1397,212390,6212,212390
269,1405,213390,6212,213390
269,1405,214390,6212,214390
270,1413,215200,6212,215200
271,1421,216200,6212,216200
272,1429,217200,6212,217200
273,1437,218200,6212,218200
273,1437,219010,6212,219010
274,1445,219330,6212,219330
275,1453,220140,6212,220140
276,1455,221140,6212,221140
277,1463,222140,6212,222140
278,1471,222140,6212,222140
279,1473,223140,6212,223140
279,1473,223790,6212,223790
280,1475,223790,6212,223790
280,1475,224790,6212,224790
281,1477,226790,6212,226790
281,1477,227020,6212,227020
282,1485,227490,6212,227490
283,1493,228490,6212,228490
284,1501,229300,6212,229300
284,1501,230300,6212,230300
284,1501,231300,6212,231300
284,1501,232300,6212,232300
285,1503,233110,6212,233110
286,1505,233110,6212,233110
287,1513,233920,6212,233920
287,1513,234510,6212,234510
288,1521,234830,6212,234830
289,1523,235830,6212,235830
290,1525,235830,6212,235830
291,1527,235830,6212,235830
292,1529,236300,6212,236300
293,1531,237110,6212,237110
294,1539,237110,6212,237110
295,1541,238110,6212,238110
295,1541,238340,6212,238340
296,1549,239340,6212,239340
297,1557,240340,6212,240340
298,1565,241340,6212,241340
298,1565,241340,6212,241340
299,1567,241660,6212,241660
300,1569,242130,6212,242130
301,1571,243130,6212,243130
302,1573,243130,6212,243130
303,1581,243780,6212,243780
303,1581,244590,6212,244590
304,1589,252590,6212,252590
305,1591,253590,6212,253590
306,1593,254590,6212,254590
307,1601,255590,6212,255590
308,1603,256240,6212,256240
308,1603,257240,6212,257240
309,1611,257710,6212,257710
310,1619,258710,6212,258710
311,1627,259710,6212,259710
312,1629,260710,6212,260710
313,1631,261710,6212,261710
314,1639,262710,6212,262710
315,1647,262940,6212,262940
316,1649,263940,6212,263940
317,1651,264940,6212,264940
318,1653,265750,6212,265750
319,1655,266560,6212,266560
319,1655,267030,6212,267030
320,1659,268030,6212,268030
321,1663,269030,6212,269030
322,1667,270030,6212,270030
323,1675,271030,6212,271030
324,1683,271030,6212,271030
325,1685,271580,6212,271580
326,1693,272050,6212,272050
327,1695,272700,6212,272700
328,1703,272700,6212,272700
329,1711,273700,6212,273700
330,1713,274700,6212,274700
330,1713,275510,6212,275510
331,1721,275980,6212,275980
331,1721,276980,6212,276980
332,1723,277980,6212,277980
333,1731,278980,6212,278980
334,1739,279790,6212,279790
334,1739,280790,6212,280790
335,1747,288790,6212,288790
335,1747,289600,6212,289600
336,1755,290600,6212,290600
337,1757,291150,6212,291150
338,1759,292150,6212,292150
339,1761,293150,6212,293150
340,1769,293620,6212,293620
340,1769,294620,6212,294620
341,1777,295430,6212,295430
342,1785,296080,6212,296080
343,1793,297080,6212,297080
344,1801,298080,6212,298080
345,1809,299080,6212,299080
346,1817,300080,6212,300080
347,1825,301080,6212,301080
347,1825,302080,6212,302080
347,1825,303080,6212,303080
348,1827,304080,6212,304080
349,1835,304550,6212,304550
350,1837,305550,6212,305550
351,1839,305550,6212,305550
351,1839,306550,6212,306550
352,1841,306550,6212,306550
353,1849,307550,6212,307550
354,1857,308550,6212,308550
355,1865,308550,6212,308550
356,1867,309550,6212,309550
357,1869,309780,6212,309780
358,1877,310780,6212,310780
359,1879,311780,6212,311780
360,1887,311780,6212,311780
361,1895,311780,6212,311780
362,1897,312240,6212,312240
363,1901,313240,6212,313240
364,1903,314050,6212,314050
365,1905,314050,6212,314050
366,1907,315050,6212,315050
367,1915,315270,6212,315270
367,1915,316270,6212,316270
367,1915,317080,6212,317080
368,1917,318080,6212,318080
368,1917,318540,6212,318540
369,1919,319350,6212,319350
370,1927,320160,6212,320160
371,1935,320810,6212,320810
372,1943,321810,6212,321810
372,1943,322040,6212,322040
373,1945,323040,6212,323040
374,1949,324040,6212,324040
374,1949,325040,6212,325040
374,1949,326040,6212,326040
374,1949,326510,6212,326510
374,1949,326980,6212,326980
375,1953,327980,6212,327980
376,1955,328980,6212,328980
377,1957,329980,6212,329980
378,1965,330980,6212,330980
379,1967,331300,6212,331300
380,1975,332300,6212,332300
381,1977,333110,6212,333110
382,1979,333920,6212,333920
383,1981,334920,6212,334920
384,1989,335920,6212,335920
385,1991,336920,6212,336920
385,1991,337730,6212,337730
386,1999,338540,6212,338540
386,1999,339540,6212,339540
386,1999,340010,6212,340010
387,2007,341010,6212,341010
388,2009,341010,6212,341010
388,2009,341010,6212,341010
388,2009,342010,6212,342010
389,2011,342010,6212,342010
390,2013,343010,6212,343010
390,2013,343010,6212,343010
391,2015,343820,6212,343820
392,2017,344820,6212,344820
393,2025,345050,6212,345050
393,2025,346050,6212,346050
394,2033,346860,6212,346860
394,2033,347670,6212,347670
394,2033,347670,6212,347670
394,2033,348670,6212,348670
395,2037,349020,6212,349020
396,2045,350020,6212,350020
396,2045,351020,6212,351020
397,2047,351020,6212,351020
398,2049,351340,6212,351340
398,2049,352340,6212,352340
399,2051,353340,6212,353340
399,2051,353340,6212,353340
399,2051,354340,6212,354340
400,2053,355340,6212,355340
400,2053,356150,6212,356150
400,2053,357150,6212,357150
401,2061,357150,6212,357150
402,2069,358150,6212,358150
403,2071,359150,6212,359150
404,2079,360150,6212,360150
405,2081,360620,6212,360620
406,2089,361620,6212,361620
407,2097,362620,6212,362620
408,2099,363430,6212,363430
409,2107,364240,6212,364240
409,2107,365240,6212,365240
410,2115,365240,6212,365240
410,2115,365240,6212,365240
410,2115,366240,6212,366240
410,2115,366470,6212,366470
411,2123,367470,6212,367470
412,2131,368470,6212,368470
412,2131,369280,6212,369280
412,2131,369930,6212,369930
413,2133,369930,6212,369930
414,2135,370930,6212,370930
414,2135,371930,6212,371930
414,2135,372390,6212,372390
415,2137,373200,6212,373200
416,2145,374200,6212,374200
417,2147,375200,6212,375200
417,2147,376200,6212,376200
418,2155,377200,6212,377200
419,2157,378010,6212,378010
420,2159,378010,6212,378010
421,2167,379010,6212,379010
421,2167,380010,6212,380010
422,2175,381010,6212,381010
423,2177,381480,6212,381480
424,2179,382480,6212,382480
424,2179,383480,6212,383480
424,2179,383480,6212,383480
424,2179,384480,6212,384480
425,2187,385290,6212,385290
425,2187,385520,6212,385520
425,2187,386520,6212,386520
426,2195,387520,6212,387520
427,2203,388520,6212,388520
427,2203,389520,6212,389520
428,2205,389990,6212,389990
429,2213,390990,6212,390990
429,2213,391990,6212,391990
430,2221,392990,6212,392990
431,2229,393990,6212,393990
432,2237,394800,6212,394800
433,2245,395800,6212,395800
434,2253,396800,6212,396800
435,2254,397800,6212,397800
435,2254,398030,6212,398030
436,2256,398030,6212,398030
436,2256,399030,6212,399030
437,2264,399840,6212,399840
438,2272,400840,6212,400840
439,2274,401840,6212,401840
439,2274,402160,6212,402160
439,2274,403160,6212,403160
440,2276,403160,6212,403160
440,2276,404160,6212,404160
441,2284,404970,6212,404970
442,2286,405520,6212,405520
443,2294,405520,6212,405520
444,2296,405680,6212,405680
445,2298,406000,6212,406000
446,2306,406810,6212,406810
446,2306,407280,6212,407280
446,2306,408280,6212,408280
446,2306,409090,6212,409090
447,2314,409560,6212,409560
448,2322,410020,6212,410020
448,2322,411020,6212,411020
448,2322,412020,6212,412020
448,2322,413020,6212,413020
448,2322,413240,6212,413240
449,2324,413240,6212,413240
449,2324,414240,6212,414240
450,2332,422240,6212,422240
451,2340,423240,6212,423240
451,2340,424050,6212,424050
451,2340,424050,6212,424050
451,2340,425050,6212,425050
452,2348,426050,6212,426050
453,2356,426270,6212,426270
454,2358,426920,6212,426920
455,2366,427920,6212,427920
456,2368,428920,6212,428920
456,2368,429920,6212,429920
457,2370,430570,6212,430570
458,2378,431380,6212,431380
459,2386,432380,6212,432380
460,2394,433030,6212,433030
461,2402,433500,6212,433500
462,2404,433500,6212,433500
462,2404,434310,6212,434310
462,2404,434780,6212,434780
463,2408,435250,6212,435250
464,2416,435720,6212,435720
465,2420,436190,6212,436190
466,2428,437000,6212,437000
467,2436,438000,6212,438000
467,2436,438320,6212,438320
468,2444,439320,6212,439320
469,2452,440130,6212,440130
470,2460,440600,6212,440600
470,2460,441600,6212,441600
471,2462,441920,6212,441920
472,2464,442730,6212,442730
473,2472,442890,6212,442890
473,2472,443890,6212,443890
474,2474,444540,6212,444540
475,2476,444540,6212,444540
475,2476,445540,6212,445540
475,2476,446010,6212,446010
475,2476,447010,6212,447010
476,2478,447330,6212,447330
477,2480,448330,6212,448330
478,2488,449330,6212,449330
478,2488,449700,6212,449700
478,2488,450700,6212,450700
479,2490,451700,6212,451700
480,2492,452700,6212,452700
481,2500,453700,6212,453700
482,2508,454700,6212,454700
482,2508,455700,6212,455700
482,2508,456700,6212,456700
482,2508,456700,6212,456700
482,2508,456700,6212,456700
482,2508,456930,6212,456930
482,2508,457930,6212,457930
483,2512,457930,6212,457930
483,2512,458250,6212,458250
484,2514,458720,6212,458720
485,2522,459720,6212,459720
486,2530,460720,6212,460720
486,2530,461720,6212,461720
487,2538,462530,6212,462530
487,2538,463340,6212,463340
488,2546,463820,6212,463820
488,2546,464820,6212,464820
488,2546,465820,6212,465820
489,2554,466820,6212,466820
490,2562,466820,6212,466820
490,2562,467820,6212,467820
490,2562,468820,6212,468820
491,2570,469630,6212,469630
491,2570,470630,6212,470630
492,2578,471100,6212,471100
492,2578,472100,6212,472100
493,2580,472910,6212,472910
494,2582,473720,6212,473720
495,2584,474720,6212,474720
496,2592,475720,6212,475720
497,2594,476720,6212,476720
498,2595,477530,6212,477530
498,2595,477760,6212,477760
498,2595,478760,6212,478760
499,2597,478760,6212,478760
500,2605,479760,6212,479760
501,2613,479980,6212,479980
501,2613,480450,6212,480450
501,2613,481260,6212,481260
501,2613,482260,6212,482260
502,2615,483260,6212,483260
502,2615,484260,6212,484260
503,2623,485070,6212,485070
503,2623,485660,6212,485660
504,2631,486660,6212,486660
505,2639,494660,6212,494660
505,2639,495210,6212,495210
506,2641,496020,6212,496020
507,2645,496020,6212,496020
507,2645,497020,6212,497020
508,2653,498020,6212,498020
509,2661,498020,6212,498020
510,2669,499020,6212,499020
511,2671,500020,6212,500020
512,2679,500250,6212,500250
513,2681,501250,6212,501250
513,2681,501410,6212,501410
514,2689,502410,6212,502410
515,2691,503410,6212,503410
516,2699,504410,6212,504410
517,2707,504880,6212,504880
518,2715,505350,6212,505350
519,2723,505820,6212,505820
520,2725,506820,6212,506820
521,2733,507630,6212,507630
521,2733,508630,6212,508630
521,2733,509630,6212,509630
521,2733,509950,6212,509950
522,2735,510760,6212,510760
523,2737,511080,6212,511080
523,2737,511550,6212,511550
524,2739,512360,6212,512360
525,2741,512830,6212,512830
526,2749,513830,6212,513830
527,2751,514300,6212,514300
528,2759,514300,6212,514300
529,2761,514620,6212,514620
529,2761,515620,6212,515620
529,2761,516620,6212,516620
529,2761,517430,6212,517430
530,2769,518430,6212,518430
530,2769,518900,6212,518900
531,2771,519220,6212,519220
532,2773,519690,6212,519690
532,2773,520500,6212,520500
532,2773,520970,6212,520970
533,2775,521970,6212,521970
534,2777,522970,6212,522970
535,2779,523970,6212,523970
536,2781,523970,6212,523970
537,2783,524620,6212,524620
538,2785,525620,6212,525620
539,2793,526430,6212,526430
539,2793,526430,6212,526430
539,2793,527240,6212,527240
539,2793,528240,6212,528240
540,2801,529240,6212,529240
540,2801,529710,6212,529710
541,2803,529710,6212,529710
542,2805,529710,6212,529710
542,2805,530710,6212,530710
543,2807,531710,6212,531710
544,2815,532710,6212,532710
545,2823,533710,6212,533710
546,2831,534710,6212,534710
546,2831,535030,6212,535030
546,2831,536030,6212,536030
546,2831,537030,6212,537030
547,2835,537030,6212,537030
548,2843,537030,6212,537030
548,2843,538030,6212,538030
548,2843,539030,6212,539030
549,2845,539500,6212,539500
550,2847,540500,6212,540500
550,2847,540500,6212,540500
551,2855,541150,6212,541150
552,2857,542150,6212,542150
552,2857,542620,6212,542620
553,2859,542620,6212,542620
553,2859,542730,6212,542730
553,2859,543200,6212,543200
554,2867,544200,6212,544200
555,2869,544200,6212,544200
555,2869,545200,6212,545200
555,2869,546200,6212,546200
555,2869,547200,6212,547200
555,2869,548200,6212,548200
556,2871,549200,6212,549200
556,2871,550200,6212,550200
557,2879,551200,6212,551200
558,2887,551430,6212,551430
558,2887,552430,6212,552430
559,2895,553430,6212,553430
560,2897,554240,6212,554240
561,2905,555240,6212,555240
562,2913,556240,6212,556240
563,2915,556700,6212,556700
563,2915,557700,6212,557700
563,2915,558160,6212,558160
564,2923,559160,6212,559160
564,2923,559970,6212,559970
565,2931,559970,6212,559970
566,2939,560970,6212,560970
566,2939,561970,6212,561970
567,2947,562970,6212,562970
568,2955,563780,6212,563780
569,2957,564370,6212,564370
570,2965,564840,6212,564840
571,2973,565840,6212,565840
571,2973,569840,6212,569840
572,2981,569840,6212,569840
573,2983,570310,6212,570310
573,2983,570310,6212,570310
573,2983,570630,6212,570630
574,2991,571440,6212,571440
574,2991,572440,6212,572440
575,2993,573440,6212,573440
576,3001,573440,6212,573440
576,3001,574440,6212,574440
576,3001,574670,6212,574670
577,3009,575670,6212,575670
578,3011,576670,6212,576670
578,3011,577670,6212,577670
579,3019,577670,6212,577670
579,3019,578670,6212,578670
579,3019,579140,6212,579140
579,3019,579790,6212,579790
579,3019,580790,6212,580790
579,3019,581790,6212,581790
579,3019,581790,6212,581790
579,3019,582790,6212,582790
579,3019,583260,6212,583260
580,3021,583580,6212,583580
581,3023,584390,6212,584390
581,3023,585200,6212,585200
582,3025,585670,6212,585670
583,3033,586670,6212,586670
583,3033,586670,6212,586670
583,3033,587670,6212,587670
584,3041,588670,6212,588670
585,3043,589670,6212,589670
585,3043,590670,6212,590670
585,3043,590890,6212,590890
585,3043,591890,6212,591890
585,3043,592890,6212,592890
586,3051,593890,6212,593890
587,3059,594700,6212,594700
587,3059,594700,6212,594700
587,3059,595160,6212,595160
587,3059,595380,6212,595380
588,3067,596380,6212,596380
588,3067,597380,6212,597380
588,3067,597850,6212,597850
588,3067,598850,6212,598850
589,3075,599850,6212,599850
589,3075,600850,6212,600850
589,3075,608850,6212,608850
589,3075,609170,6212,609170
590,3083,609720,6212,609720
590,3083,610720,6212,610720
591,3085,610720,6212,610720
591,3085,611720,6212,611720
592,3093,612530,6212,612530
592,3093,613000,6212,613000
593,3101,613810,6212,613810
594,3103,614810,6212,614810
594,3103,615030,6212,615030
594,3103,616030,6212,616030
594,3103,616500,6212,616500
594,3103,617310,6212,617310
594,3103,618310,6212,618310
595,3105,619120,6212,619120
596,3106,619440,6212,619440
597,3114,619440,6212,619440
598,3116,620250,6212,620250
598,3116,621060,6212,621060
598,3116,621060,6212,621060
599,3124,621060,6212,621060
599,3124,621870,6212,621870
600,3132,622870,6212,622870
600,3132,623680,6212,623680
600,3132,624000,6212,624000
600,3132,624810,6212,624810
600,3132,625810,6212,625810
601,3134,626620,6212,626620
602,3142,627620,6212,627620
602,3142,628620,6212,628620
602,3142,628940,6212,628940
603,3150,629940,6212,629940
603,3150,630400,6212,630400
603,3150,631400,6212,631400
603,3150,632210,6212,632210
603,3150,633210,6212,633210
604,3152,634210,6212,634210
605,3160,635210,6212,635210
605,3160,635210,6212,635210
606,3162,636020,6212,636020
607,3166,637020,6212,637020
608,3174,637020,6212,637020
609,3178,638020,6212,638020
610,3180,638830,6212,638830
611,3182,639830,6212,639830
611,3182,640830,6212,640830
612,3190,641830,6212,641830
613,3192,642640,6212,642640
614,3194,643450,6212,643450
614,3194,643670,6212,643670
615,3196,644670,6212,644670
616,3204,645130,6212,645130
616,3204,645940,6212,645940
617,3206,646940,6212,646940
617,3206,647940,6212,647940
618,3214,648940,6212,648940
618,3214,649940,6212,649940
618,3214,650940,6212,650940
618,3214,651940,6212,651940
618,3214,651940,6212,651940
618,3214,651940,6212,651940
619,3222,652940,6212,652940
620,3224,653940,6212,653940
621,3226,654940,6212,654940
621,3226,655940,6212,655940
622,3228,656940,6212,656940
623,3230,656940,6212,656940
623,3230,656940,6212,656940
623,3230,657940,6212,657940
624,3232,658750,6212,658750
625,3236,659750,6212,659750
625,3236,660560,6212,660560
626,3238,660560,6212,660560
627,3246,661560,6212,661560
627,3246,662560,6212,662560
627,3246,663560,6212,663560
627,3246,664560,6212,664560
628,3248,664560,6212,664560
629,3250,665560,6212,665560
629,3250,666370,6212,666370
629,3250,667370,6212,667370
629,3250,668370,6212,668370
630,3252,669370,6212,669370
631,3260,670370,6212,670370
632,3268,671370,6212,671370
633,3270,672020,6212,672020
633,3270,673020,6212,673020
633,3270,674020,6212,674020
634,3272,675020,6212,675020
634,3272,675830,6212,675830
635,3280,676830,6212,676830
635,3280,677150,6212,677150
635,3280,678150,6212,678150
636,3282,679150,6212,679150
637,3290,680150,6212,680150
637,3290,680150,6212,680150
637,3290,681150,6212,681150
638,3292,682150,6212,682150
639,3294,683150,6212,683150
640,3296,684150,6212,684150
640,3296,685150,6212,685150
641,3300,685960,6212,685960
642,3302,685960,6212,685960
643,3310,685960,6212,685960
644,3312,686960,6212,686960
645,3316,687610,6212,687610
646,3324,688610,6212,688610
647,3326,689610,6212,689610
648,3328,690200,6212,690200
648,3328,690200,6212,690200
649,3332,690430,6212,690430
649,3332,691430,6212,691430
649,3332,691890,6212,691890
649,3332,692890,6212,692890
650,3334,692890,6212,692890
650,3334,693890,6212,693890
651,3342,694260,6212,694260
652,3350,695260,6212,695260
652,3350,696070,6212,696070
652,3350,697070,6212,697070
653,3352,698070,6212,698070
653,3352,699070,6212,699070
653,3352,699540,6212,699540
653,3352,700540,6212,700540
654,3360,701540,6212,701540
654,3360,702540,6212,702540
654,3360,703540,6212,703540
654,3360,704540,6212,704540
655,3368,705540,6212,705540
656,3376,705540,6212,705540
657,3384,706000,6212,706000
657,3384,707000,6212,707000
658,3392,707000,6212,707000
658,3392,708000,6212,708000
659,3400,709000,6212,709000
660,3402,709000,6212,709000
660,3402,709000,6212,709000
660,3402,710000,6212,710000
661,3410,710000,6212,710000
661,3410,711000,6212,711000
661,3410,711000,6212,711000
661,3410,711160,6212,711160
662,3412,712160,6212,712160
663,3414,712970,6212,712970
664,3422,713970,6212,713970
665,3423,713970,6212,713970
666,3425,714970,6212,714970
666,3425,715970,6212,715970
667,3433,716620,6212,716620
668,3441,716990,6212,716990
