ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eae0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eae0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eae0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eae0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eae0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
851611.85,13.83,0.26,214651.41,3.48
852013.28,13.83,0.27,214709.57,3.49
852726.19,13.85,0.28,215008.35,3.49
852687.83,13.85,0.28,214625.96,3.49
852842.09,13.85,0.28,214717.93,3.49
852577.86,13.85,0.28,214207.4,3.48
852283.92,13.84,0.28,213912.69,3.47
852126.73,13.84,0.28,213755.49,3.47
852287.04,13.85,0.28,213863.05,3.47
852338.57,13.85,0.28,213981.53,3.48
852390.1,13.85,0.29,214040.57,3.48
852441.63,13.85,0.29,214159.05,3.48
852294.88,13.85,0.29,214121.14,3.48
852058.9,13.85,0.28,214093.23,3.48
852110.43,13.85,0.29,214152.28,3.48
851850.51,13.85,0.28,213958.27,3.48
851902.04,13.85,0.28,214076.74,3.48
852067.94,13.85,0.29,214094.38,3.48
852073.85,13.86,0.29,214109.8,3.48
851842.28,13.85,0.29,214053.49,3.48
851893.81,13.86,0.29,214171.97,3.48
851747.06,13.85,0.29,214134.78,3.48
851352.67,13.85,0.28,213767.26,3.48
851512.98,13.85,0.29,213794.98,3.48
851564.51,13.85,0.29,213913.46,3.48
851616.04,13.86,0.29,213972.5,3.48
851390.06,13.85,0.29,213906.11,3.48
851550.38,13.86,0.29,213877.35,3.48
851324.4,13.86,0.29,213733.59,3.48
851514.42,13.86,0.29,214157.08,3.49
851668.69,13.86,0.3,214244.39,3.49
851668.69,13.86,0.3,214233.71,3.49
851668.69,13.86,0.3,216061.27,3.52
851500.64,13.86,0.3,215842.36,3.51
851552.17,13.86,0.3,215950.05,3.52
851706.43,13.87,0.3,216184.48,3.52
851757.97,13.87,0.3,216239.91,3.52
852159.4,13.88,0.31,216298.08,3.52
852159.4,13.88,0.31,215504.26,3.51
852458.46,13.88,0.32,215486.17,3.51
852618.77,13.89,0.32,215457.4,3.51
852670.3,13.89,0.32,215632.37,3.51
852670.3,13.89,0.32,214978.33,3.5
852434.32,13.89,0.32,214902.14,3.5
852174.39,13.88,0.32,214648.0,3.5
852225.92,13.89,0.32,214766.47,3.5
852386.24,13.89,0.32,214794.2,3.5
854926.84,13.93,0.37,221911.72,3.62
854926.84,13.93,0.37,221880.28,3.62
854926.84,13.93,0.37,221912.61,3.62
854978.37,13.93,0.37,222031.09,3.62
855029.9,13.94,0.37,222090.13,3.62
854793.92,13.93,0.37,222013.95,3.62
854533.99,13.93,0.37,221853.67,3.62
854533.99,13.93,0.37,221821.33,3.62
854585.52,13.93,0.37,221939.81,3.62
854745.84,13.94,0.37,221967.53,3.62
854745.84,13.94,0.37,222003.18,3.62
854900.1,13.94,0.38,222095.15,3.62
854951.63,13.94,0.38,222204.72,3.62
855003.16,13.95,0.38,221858.41,3.62
854767.18,13.94,0.38,221782.22,3.62
854818.71,13.95,0.38,221562.13,3.61
854979.03,13.95,0.38,221533.37,3.61
854743.05,13.95,0.38,221389.61,3.61
854483.12,13.94,0.38,221114.13,3.61
854325.93,13.94,0.38,220957.6,3.61
854325.93,13.94,0.38,220957.6,3.61
854377.46,13.94,0.38,221200.13,3.61
854428.99,13.95,0.38,221318.61,3.61
854589.31,13.95,0.38,221346.33,3.61
854343.33,13.95,0.38,221231.5,3.61
854173.4,13.95,0.38,221158.75,3.61
854363.42,13.95,0.38,221081.55,3.61
854326.27,13.95,0.38,220986.23,3.61
854486.59,13.95,0.39,221550.41,3.62
854538.12,13.96,0.39,221668.89,3.62
854589.65,13.96,0.39,221727.93,3.62
854353.67,13.96,0.39,221482.73,3.62
854405.2,13.96,0.39,221303.67,3.62
854456.73,13.96,0.4,221673.59,3.62
854508.26,13.96,0.4,221327.28,3.62
854819.8,13.97,0.4,221349.36,3.62
854871.33,13.97,0.41,221467.83,3.62
855031.65,13.98,0.41,221495.56,3.62
855083.18,13.98,0.41,221614.03,3.62
854847.2,13.98,0.41,221537.84,3.62
855007.51,13.98,0.41,221565.57,3.62
854773.12,13.98,0.41,221358.05,3.62
854663.12,13.98,0.41,221248.05,3.62
854663.12,13.98,0.41,221248.05,3.62
854714.65,13.98,0.41,221366.52,3.62
854766.18,13.98,0.42,221425.57,3.62
854817.71,13.98,0.42,221544.04,3.62
854728.62,13.98,0.42,221614.26,3.63
854728.62,13.98,0.42,221614.26,3.63
854888.94,13.99,0.42,221641.98,3.63
854652.96,13.98,0.42,221565.79,3.63
854818.86,13.99,0.42,221513.08,3.62
854587.3,13.99,0.42,221393.27,3.62
854638.83,13.99,0.42,221645.6,3.63
854690.36,13.99,0.42,221764.08,3.63
854850.67,13.99,0.43,221791.8,3.63
854761.59,13.99,0.43,221862.02,3.63
854921.91,14.0,0.43,221833.25,3.63
854832.83,14.0,0.43,221689.5,3.63
854832.83,14.0,0.43,221699.58,3.63
855063.68,14.0,0.44,222270.24,3.64
855063.68,14.0,0.44,222259.56,3.64
855776.59,14.01,0.45,222558.34,3.64
855936.91,14.02,0.45,222529.58,3.64
856091.18,14.02,0.46,222757.87,3.65
855855.2,14.02,0.45,222729.96,3.65
856015.51,14.02,0.46,222701.2,3.65
855779.53,14.02,0.45,222557.44,3.65
855519.6,14.02,0.45,222303.29,3.64
855679.92,14.02,0.45,222665.35,3.65
855415.69,14.02,0.45,222154.82,3.64
855207.15,14.02,0.45,221975.84,3.64
854981.17,14.01,0.45,221743.79,3.63
854744.65,14.01,0.44,221475.56,3.63
854796.18,14.01,0.45,221129.25,3.62
855027.04,14.02,0.45,221049.87,3.62
855181.31,14.02,0.45,221141.84,3.63
855335.57,14.03,0.46,221445.37,3.63
855183.37,14.02,0.46,221344.51,3.63
855183.37,14.02,0.46,223172.07,3.66
855026.18,14.02,0.45,223020.15,3.66
855077.71,14.02,0.46,223138.63,3.66
854907.78,14.02,0.46,222896.18,3.66
