ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
73,188,145230,6212,145230
73,188,145600,6212,145600
73,188,146070,6212,146070
73,188,147070,6212,147070
73,188,147540,6212,147540
73,188,148540,6212,148540
73,188,149540,6212,149540
73,188,150010,6212,150010
73,188,151010,6212,151010
73,188,151820,6212,151820
73,188,152630,6212,152630
74,190,153630,6212,153630
74,190,153630,6212,153630
74,190,154630,6212,154630
75,198,155100,6212,155100
75,198,156100,6212,156100
75,198,156570,6212,156570
75,198,156940,6212,156940
75,198,157940,6212,157940
76,206,158750,6212,158750
76,206,159560,6212,159560
76,206,160020,6212,160020
76,206,160830,6212,160830
76,206,161480,6212,161480
76,206,161710,6212,161710
76,206,161710,6212,161710
76,206,161710,6212,161710
76,206,161710,6212,161710
76,206,162710,6212,162710
76,206,163520,6212,163520
76,206,167520,6212,167520
77,214,168520,6212,168520
77,214,169520,6212,169520
77,214,170520,6212,170520
78,216,171520,6212,171520
79,224,172520,6212,172520
79,224,172990,6212,172990
79,224,173990,6212,173990
79,224,174990,6212,174990
80,232,175460,6212,175460
80,232,176460,6212,176460
80,232,177460,6212,177460
80,232,178270,6212,178270
80,232,179270,6212,179270
80,232,179740,6212,179740
81,234,180740,6212,180740
81,234,181740,6212,181740
81,234,182740,6212,182740
81,234,183740,6212,183740
81,234,184740,6212,184740
81,234,185200,6212,185200
82,236,186200,6212,186200
82,236,186200,6212,186200
82,236,187200,6212,187200
83,244,188200,6212,188200
83,244,189200,6212,189200
83,244,189520,6212,189520
83,244,190330,6212,190330
83,244,191140,6212,191140
83,244,191690,6212,191690
83,244,192160,6212,192160
83,244,192160,6212,192160
83,244,192390,6212,192390
83,244,192860,6212,192860
83,244,193080,6212,193080
84,246,194080,6212,194080
84,246,194890,6212,194890
84,246,195890,6212,195890
85,254,196700,6212,196700
85,254,196700,6212,196700
85,254,197170,6212,197170
85,254,198170,6212,198170
85,254,199170,6212,199170
85,254,199980,6212,199980
85,254,200980,6212,200980
85,254,201980,6212,201980
85,254,202450,6212,202450
85,254,203450,6212,203450
86,262,204260,6212,204260
86,262,205260,6212,205260
86,262,205730,6212,205730
86,262,205730,6212,205730
86,262,206540,6212,206540
86,262,207350,6212,207350
86,262,207350,6212,207350
86,262,208350,6212,208350
86,262,209350,6212,209350
86,262,209580,6212,209580
87,264,211580,6212,211580
87,264,211580,6212,211580
87,264,212390,6212,212390
87,264,212390,6212,212390
88,266,213390,6212,213390
88,266,214390,6212,214390
89,268,215200,6212,215200
89,268,216200,6212,216200
89,268,217200,6212,217200
89,268,218200,6212,218200
