ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3722-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1498039.68,24.45,0.24,196490.28,3.21
1497797.58,24.45,0.24,196537.64,3.21
1497555.47,24.45,0.24,196529.53,3.21
1497471.79,24.45,0.24,196001.73,3.2
1497471.79,24.45,0.24,196001.73,3.2
1497471.79,24.45,0.24,196001.73,3.2
1497177.05,24.45,0.24,195652.44,3.2
1497177.05,24.45,0.24,195652.44,3.2
1497177.05,24.45,0.24,195652.44,3.2
1497177.05,24.45,0.24,195652.44,3.2
1497262.84,24.46,0.25,195618.41,3.2
1497179.16,24.46,0.25,195090.62,3.19
1497179.16,24.46,0.25,195090.62,3.19
1496884.42,24.46,0.25,194741.33,3.18
1496642.32,24.46,0.25,195308.8,3.19
1496549.47,24.46,0.25,192943.61,3.15
1496307.37,24.46,0.25,192726.92,3.15
1496065.26,24.46,0.25,192726.92,3.15
1496013.16,24.46,0.25,192726.92,3.15
1495771.05,24.46,0.25,192732.08,3.15
1495528.95,24.46,0.25,192732.19,3.15
1495528.95,24.46,0.25,192732.19,3.15
1495614.74,24.47,0.26,192726.92,3.15
1495372.63,24.47,0.26,193470.61,3.17
1495372.63,24.47,0.26,193470.61,3.17
1495405.79,24.47,0.26,197410.65,3.23
1495632.32,24.47,0.26,197243.86,3.23
1495390.21,24.47,0.26,197680.62,3.24
1495306.53,24.48,0.27,197152.82,3.23
1495201.79,24.48,0.27,196993.54,3.22
1494959.68,24.48,0.27,196991.49,3.23
1494876.0,24.48,0.27,196463.69,3.22
1494581.26,24.48,0.27,196114.4,3.21
1494176.32,24.47,0.26,195669.17,3.21
1493934.21,24.47,0.26,195669.16,3.21
1493692.11,24.47,0.26,195685.32,3.21
1493608.42,24.48,0.27,195157.52,3.2
1493313.68,24.48,0.26,194808.23,3.19
1493015.79,24.47,0.26,194512.23,3.19
1493195.26,24.48,0.27,194517.82,3.19
1492953.16,24.48,0.27,194505.95,3.19
1492711.05,24.48,0.27,194496.08,3.19
1492946.42,24.48,0.27,195339.48,3.2
1492704.32,24.48,0.27,195303.46,3.2
1492620.63,24.48,0.27,194775.66,3.2
1492325.89,24.48,0.27,194426.37,3.19
1492083.79,24.48,0.27,194424.31,3.19
1491782.21,24.48,0.27,194135.89,3.19
1491540.11,24.48,0.27,194135.89,3.19
1491248.53,24.48,0.27,193943.19,3.18
1491006.42,24.48,0.27,193952.26,3.18
1490686.42,24.47,0.26,193632.26,3.18
1490686.42,24.47,0.26,193632.26,3.18
1490444.32,24.47,0.26,193623.41,3.18
1490444.32,24.47,0.26,193623.41,3.18
1490202.21,24.47,0.26,193674.78,3.18
1489960.11,24.47,0.26,193623.19,3.18
