ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79df-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
59,194,124430,6212,124430
59,194,125240,6212,125240
59,194,126240,6212,126240
59,194,126240,6212,126240
59,194,127240,6212,127240
59,194,128240,6212,128240
59,194,128710,6212,128710
60,196,129710,6212,129710
60,196,129710,6212,129710
60,196,129710,6212,129710
60,196,129710,6212,129710
61,204,129710,6212,129710
61,204,129710,6212,129710
61,204,130710,6212,130710
61,204,131520,6212,131520
61,204,131980,6212,131980
61,204,132980,6212,132980
61,204,133790,6212,133790
61,204,134790,6212,134790
61,204,135600,6212,135600
61,204,135600,6212,135600
61,204,136070,6212,136070
61,204,136390,6212,136390
61,204,136850,6212,136850
61,204,137850,6212,137850
61,204,138850,6212,138850
61,204,138850,6212,138850
62,212,138850,6212,138850
62,212,138850,6212,138850
62,212,138850,6212,138850
62,212,139660,6212,139660
62,212,139890,6212,139890
62,212,140890,6212,140890
62,212,141890,6212,141890
63,220,141890,6212,141890
63,220,142700,6212,142700
63,220,142930,6212,142930
63,220,142930,6212,142930
63,220,143520,6212,143520
63,220,144520,6212,144520
63,220,145520,6212,145520
64,228,145520,6212,145520
64,228,146520,6212,146520
64,228,146990,6212,146990
64,228,147310,6212,147310
64,228,147310,6212,147310
64,228,147780,6212,147780
64,228,148780,6212,148780
64,228,149590,6212,149590
65,230,149590,6212,149590
65,230,149910,6212,149910
65,230,149910,6212,149910
65,230,150380,6212,150380
65,230,150930,6212,150930
65,230,151400,6212,151400
65,230,152210,6212,152210
65,230,152530,6212,152530
65,230,153530,6212,153530
66,238,154530,6212,154530
66,238,155530,6212,155530
66,238,155530,6212,155530
66,238,156180,6212,156180
66,238,156180,6212,156180
66,238,157180,6212,157180
66,238,158180,6212,158180
66,238,159180,6212,159180
66,238,159990,6212,159990
67,246,159990,6212,159990
67,246,160460,6212,160460
67,246,160460,6212,160460
67,246,161460,6212,161460
67,246,162460,6212,162460
67,246,162460,6212,162460
67,246,163460,6212,163460
67,246,164460,6212,164460
67,246,165460,6212,165460
68,254,166460,6212,166460
68,254,166460,6212,166460
68,254,166460,6212,166460
68,254,167460,6212,167460
68,254,168460,6212,168460
68,254,169460,6212,169460
69,262,170460,6212,170460
69,262,171460,6212,171460
69,262,171570,6212,171570
69,262,172220,6212,172220
69,262,172540,6212,172540
69,262,173540,6212,173540
69,262,173540,6212,173540
69,262,174540,6212,174540
69,262,174540,6212,174540
69,262,174770,6212,174770
69,262,175580,6212,175580
69,262,176050,6212,176050
69,262,177050,6212,177050
70,264,178050,6212,178050
70,264,178700,6212,178700
70,264,178700,6212,178700
70,264,179170,6212,179170
70,264,180170,6212,180170
71,266,180820,6212,180820
71,266,181290,6212,181290
71,266,181760,6212,181760
72,274,181760,6212,181760
73,276,182230,6212,182230
73,276,182700,6212,182700
73,276,183700,6212,183700
74,278,184700,6212,184700
74,278,185700,6212,185700
74,278,186700,6212,186700
74,278,186700,6212,186700
75,286,186700,6212,186700
76,288,187700,6212,187700
76,288,187700,6212,187700
77,296,187700,6212,187700
77,296,188510,6212,188510
77,296,189510,6212,189510
78,298,190510,6212,190510
78,298,191510,6212,191510
