ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
2204453.28,35.49,0.31,190842.07,3.07
2204396.58,35.49,0.32,190939.43,3.07
2204151.74,35.49,0.32,190973.03,3.08
2203906.9,35.49,0.32,190920.9,3.07
2203662.07,35.5,0.32,190917.46,3.08
2203605.36,35.5,0.32,191018.72,3.08
2203794.62,35.51,0.32,191351.23,3.08
2203874.4,35.51,0.33,191360.29,3.08
2203817.7,35.51,0.33,191728.24,3.09
2203612.87,35.51,0.33,191594.99,3.09
2203556.17,35.52,0.33,191696.25,3.09
2203311.33,35.52,0.33,191722.88,3.09
2203392.12,35.52,0.33,191775.97,3.09
2203016.46,35.52,0.33,191839.75,3.09
2203016.46,35.52,0.33,191817.75,3.09
2202771.62,35.52,0.33,191765.62,3.09
2202407.53,35.52,0.33,191527.34,3.09
2202604.98,35.52,0.33,191953.32,3.1
2201897.44,35.52,0.32,191235.88,3.08
2201652.6,35.52,0.32,191184.05,3.08
2201652.6,35.52,0.32,191207.76,3.08
2201280.31,35.52,0.32,190848.34,3.08
2201280.68,35.52,0.32,190851.5,3.08
2201223.98,35.52,0.32,191031.22,3.08
2201065.48,35.52,0.32,190872.89,3.08
2201065.48,35.52,0.32,190872.89,3.08
2200820.64,35.52,0.32,190821.05,3.08
2200575.8,35.52,0.32,190817.31,3.08
2200519.1,35.52,0.32,190918.57,3.08
2200274.26,35.53,0.32,190945.21,3.08
2200166.13,35.53,0.32,190844.16,3.08
2199823.2,35.53,0.32,190846.14,3.08
2199823.2,35.53,0.32,190846.14,3.08
2200012.46,35.53,0.33,190904.97,3.08
2199767.62,35.53,0.33,191150.77,3.09
2199522.79,35.54,0.33,191157.17,3.09
2199277.95,35.54,0.33,191095.2,3.09
2198908.18,35.54,0.33,191071.9,3.09
2198663.34,35.54,0.33,191020.07,3.09
2198289.24,35.54,0.32,190719.86,3.08
2198289.24,35.54,0.32,190719.86,3.08
2198044.4,35.54,0.32,190716.12,3.08
2198044.4,35.54,0.32,190716.12,3.08
2197799.57,35.54,0.32,190664.04,3.08
2198081.14,35.54,0.33,191180.83,3.09
2197836.3,35.55,0.33,191128.91,3.09
2197836.3,35.55,0.33,191128.91,3.09
2197832.0,35.55,0.33,191236.89,3.09
2197587.16,35.55,0.33,191233.24,3.09
2197530.46,35.55,0.33,191334.5,3.1
2197530.46,35.55,0.33,191334.5,3.1
2197303.56,35.55,0.33,191069.8,3.09
2197058.73,35.55,0.33,191078.29,3.09
2196813.89,35.56,0.33,191026.15,3.09
2196569.05,35.56,0.33,191022.72,3.09
2196850.63,35.56,0.34,191011.49,3.09
2196605.79,35.57,0.34,191000.85,3.09
2196360.95,35.57,0.34,191323.65,3.1
2195991.18,35.57,0.34,191355.48,3.1
2195934.48,35.57,0.34,191674.98,3.1
2195564.71,35.57,0.34,191647.46,3.1
2195319.87,35.57,0.34,191595.62,3.1
2195127.34,35.57,0.34,191374.41,3.1
2194882.51,35.57,0.34,191370.68,3.1
2194637.67,35.58,0.34,191318.84,3.1
2194392.83,35.58,0.34,191315.11,3.1
2194147.99,35.58,0.34,191263.28,3.1
2194147.99,35.58,0.34,191263.28,3.1
2193903.16,35.58,0.34,191259.54,3.1
2193658.32,35.58,0.34,191265.93,3.1
2193847.58,35.59,0.34,191564.17,3.11
2193790.88,35.59,0.34,191665.43,3.11
2193546.04,35.59,0.34,191692.07,3.11
2193301.2,35.6,0.34,191639.98,3.11
2193244.5,35.6,0.35,191821.22,3.11
2193244.5,35.6,0.35,191821.22,3.11
2192999.66,35.6,0.35,191827.61,3.11
2192754.83,35.6,0.35,191765.65,3.11
2192259.27,35.6,0.34,191381.96,3.11
2190780.18,35.6,0.34,191355.17,3.11
2190780.18,35.6,0.34,191355.17,3.11
2190723.48,35.6,0.35,191456.43,3.11
2190723.48,35.6,0.35,191420.52,3.11
2190666.78,35.61,0.35,191594.32,3.11
2190421.94,35.61,0.35,191542.24,3.11
2190177.1,35.61,0.35,191538.75,3.11
2190177.1,35.61,0.35,191576.86,3.11
2190120.4,35.61,0.35,191678.12,3.12
2189875.56,35.62,0.35,191704.75,3.12
2189630.73,35.62,0.35,191652.69,3.12
2189385.89,35.62,0.35,191649.18,3.12
2189141.05,35.62,0.35,191597.35,3.12
2189220.83,35.63,0.35,191906.4,3.12
2189164.13,35.63,0.36,192007.65,3.13
2188919.29,35.63,0.36,192034.89,3.13
2188674.45,35.63,0.36,192018.39,3.13
2188755.24,35.64,0.36,192260.56,3.13
2188461.35,35.63,0.36,192052.65,3.13
2188461.35,35.63,0.36,192026.14,3.13
2187965.8,35.63,0.35,191642.45,3.12
2187909.1,35.63,0.36,191635.2,3.12
2188079.18,35.64,0.36,192146.08,3.13
2188022.48,35.64,0.36,192365.64,3.13
