ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_206c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
82,164,110300,6212,110300
82,164,110520,6212,110520
82,164,110520,6212,110520
83,166,111170,6212,111170
83,166,111630,6212,111630
83,166,112280,6212,112280
83,166,112500,6212,112500
83,166,112820,6212,112820
84,168,113630,6212,113630
85,170,114630,6212,114630
85,170,115280,6212,115280
85,170,115500,6212,115500
86,172,115960,6212,115960
86,172,116550,6212,116550
87,174,117360,6212,117360
87,174,118170,6212,118170
87,174,118490,6212,118490
87,174,118810,6212,118810
87,174,119280,6212,119280
88,176,119740,6212,119740
88,176,119740,6212,119740
88,176,120550,6212,120550
88,176,121550,6212,121550
88,176,122020,6212,122020
89,178,122490,6212,122490
89,178,122810,6212,122810
90,180,123280,6212,123280
90,180,123750,6212,123750
90,180,124300,6212,124300
90,180,124620,6212,124620
91,182,125170,6212,125170
91,182,125980,6212,125980
91,182,126300,6212,126300
91,182,126530,6212,126530
91,182,126530,6212,126530
91,182,127340,6212,127340
91,182,127340,6212,127340
91,182,127340,6212,127340
92,184,127660,6212,127660
92,184,128310,6212,128310
92,184,128770,6212,128770
93,186,129420,6212,129420
93,186,130230,6212,130230
93,186,130700,6212,130700
94,188,131170,6212,131170
94,188,131720,6212,131720
94,188,132040,6212,132040
95,190,132850,6212,132850
95,190,133660,6212,133660
95,190,134010,6212,134010
95,190,134010,6212,134010
95,190,134470,6212,134470
96,192,134940,6212,134940
97,194,135940,6212,135940
97,194,136410,6212,136410
97,194,136730,6212,136730
97,194,136960,6212,136960
98,196,137770,6212,137770
98,196,138230,6212,138230
99,204,138230,6212,138230
99,204,138230,6212,138230
99,204,139230,6212,139230
99,204,139700,6212,139700
100,206,140250,6212,140250
100,206,140250,6212,140250
100,206,140720,6212,140720
100,206,141040,6212,141040
100,206,141270,6212,141270
101,208,141920,6212,141920
101,208,142390,6212,142390
101,208,143200,6212,143200
101,208,143200,6212,143200
102,210,144200,6212,144200
102,210,144520,6212,144520
103,212,145330,6212,145330
103,212,146140,6212,146140
104,214,146510,6212,146510
104,214,146980,6212,146980
104,214,147790,6212,147790
105,216,148260,6212,148260
105,216,148580,6212,148580
105,216,149390,6212,149390
105,216,149860,6212,149860
106,218,150670,6212,150670
106,218,151670,6212,151670
107,220,152670,6212,152670
107,220,153040,6212,153040
107,220,153510,6212,153510
108,222,153740,6212,153740
108,222,154550,6212,154550
109,224,155360,6212,155360
109,224,155360,6212,155360
110,232,155360,6212,155360
110,232,155830,6212,155830
110,232,156300,6212,156300
110,232,156770,6212,156770
111,234,157000,6212,157000
111,234,157810,6212,157810
111,234,158130,6212,158130
111,234,158130,6212,158130
111,234,158350,6212,158350
111,234,158350,6212,158350
111,234,158670,6212,158670
111,234,158890,6212,158890
112,236,159540,6212,159540
112,236,160010,6212,160010
112,236,160330,6212,160330
112,236,160700,6212,160700
112,236,160700,6212,160700
112,236,160700,6212,160700
113,238,161020,6212,161020
113,238,161830,6212,161830
113,238,162150,6212,162150
113,238,162470,6212,162470
114,240,163280,6212,163280
114,240,164090,6212,164090
115,242,164900,6212,164900
115,242,165120,6212,165120
115,242,165120,6212,165120
115,242,165590,6212,165590
115,242,165590,6212,165590
116,244,166240,6212,166240
116,244,166710,6212,166710
116,244,167520,6212,167520
117,246,167840,6212,167840
117,246,168490,6212,168490
117,246,168490,6212,168490
118,254,168490,6212,168490
119,256,169300,6212,169300
119,256,169620,6212,169620
119,256,170270,6212,170270
120,258,170590,6212,170590
120,258,171400,6212,171400
120,258,172050,6212,172050
121,260,172860,6212,172860
121,260,173090,6212,173090
121,260,174090,6212,174090
121,260,174410,6212,174410
122,262,175220,6212,175220
122,262,176030,6212,176030
122,262,176030,6212,176030
123,264,176490,6212,176490
123,264,176960,6212,176960
123,264,177430,6212,177430
123,264,177430,6212,177430
124,266,178240,6212,178240
124,266,179050,6212,179050
125,268,179860,6212,179860
125,268,180670,6212,180670
125,268,181140,6212,181140
126,270,181620,6212,181620
126,270,181850,6212,181850
126,270,182660,6212,182660
127,272,183660,6212,183660
127,272,183660,6212,183660
127,272,183980,6212,183980
127,272,183980,6212,183980
128,274,184630,6212,184630
128,274,184950,6212,184950
129,276,185760,6212,185760
129,276,186230,6212,186230
129,276,186230,6212,186230
130,278,186880,6212,186880
130,278,187690,6212,187690
130,278,188160,6212,188160
131,280,188620,6212,188620
131,280,188780,6212,188780
131,280,189780,6212,189780
131,280,190330,6212,190330
131,280,190650,6212,190650
132,282,191460,6212,191460
132,282,191830,6212,191830
132,282,192640,6212,192640
133,284,193110,6212,193110
133,284,193920,6212,193920
134,286,194730,6212,194730
134,286,195200,6212,195200
134,286,195670,6212,195670
134,286,195670,6212,195670
134,286,195990,6212,195990
135,288,196450,6212,196450
135,288,197260,6212,197260
136,290,197910,6212,197910
137,292,198560,6212,198560
137,292,199370,6212,199370
137,292,199370,6212,199370
137,292,199370,6212,199370
137,292,199830,6212,199830
137,292,200640,6212,200640
137,292,200640,6212,200640
138,294,201450,6212,201450
138,294,201920,6212,201920
138,294,202390,6212,202390
138,294,202610,6212,202610
139,296,203420,6212,203420
139,296,204070,6212,204070
140,298,204540,6212,204540
140,298,204540,6212,204540
140,298,205350,6212,205350
141,300,206160,6212,206160
142,308,206160,6212,206160
143,310,207160,6212,207160
143,310,207620,6212,207620
143,310,208090,6212,208090
143,310,208250,6212,208250
144,312,208710,6212,208710
144,312,209260,6212,209260
145,314,209730,6212,209730
145,314,210730,6212,210730
145,314,211540,6212,211540
145,314,211860,6212,211860
145,314,212180,6212,212180
146,316,212830,6212,212830
146,316,213200,6212,213200
146,316,214010,6212,214010
147,318,214600,6212,214600
147,318,214600,6212,214600
147,318,215070,6212,215070
147,318,215880,6212,215880
148,320,216690,6212,216690
148,320,217500,6212,217500
148,320,217500,6212,217500
149,322,218310,6212,218310
149,322,218780,6212,218780
149,322,218780,6212,218780
149,322,219010,6212,219010
150,324,219820,6212,219820
150,324,220140,6212,220140
150,324,220950,6212,220950
151,326,221760,6212,221760
151,326,222130,6212,222130
151,326,222780,6212,222780
152,328,223330,6212,223330
152,328,223800,6212,223800
153,330,224610,6212,224610
153,330,225420,6212,225420
153,330,225890,6212,225890
154,332,226540,6212,226540
155,334,227540,6212,227540
156,336,228540,6212,228540
156,336,228860,6212,228860
156,336,229670,6212,229670
157,344,229670,6212,229670
158,346,230480,6212,230480
158,346,230950,6212,230950
158,346,230950,6212,230950
158,346,231180,6212,231180
159,348,231990,6212,231990
159,348,232800,6212,232800
159,348,233280,6212,233280
160,356,241280,6212,241280
160,356,241600,6212,241600
160,356,241760,6212,241760
161,358,242080,6212,242080
161,358,242890,6212,242890
161,358,243360,6212,243360
162,360,243680,6212,243680
162,360,243680,6212,243680
162,360,244490,6212,244490
162,360,244490,6212,244490
162,360,244950,6212,244950
163,362,245600,6212,245600
163,362,246410,6212,246410
163,362,246410,6212,246410
164,364,247220,6212,247220
164,364,247680,6212,247680
164,364,247680,6212,247680
164,364,248680,6212,248680
164,364,249000,6212,249000
165,366,249810,6212,249810
165,366,250360,6212,250360
166,368,250830,6212,250830
167,376,250830,6212,250830
168,378,251300,6212,251300
168,378,251300,6212,251300
169,380,252300,6212,252300
169,380,253110,6212,253110
169,380,253920,6212,253920
170,382,254730,6212,254730
170,382,255280,6212,255280
171,384,256090,6212,256090
171,384,256900,6212,256900
171,384,257220,6212,257220
171,384,257680,6212,257680
171,384,258680,6212,258680
172,386,259680,6212,259680
173,388,260330,6212,260330
173,388,261140,6212,261140
173,388,261140,6212,261140
173,388,262140,6212,262140
173,388,262610,6212,262610
174,390,263200,6212,263200
175,392,264200,6212,264200
175,392,265010,6212,265010
176,394,265480,6212,265480
176,394,265480,6212,265480
176,394,265800,6212,265800
176,394,266170,6212,266170
176,394,266640,6212,266640
177,402,266640,6212,266640
177,402,267110,6212,267110
177,402,267110,6212,267110
177,402,267570,6212,267570
177,402,267800,6212,267800
178,404,268610,6212,268610
178,404,268930,6212,268930
178,404,269930,6212,269930
179,406,270740,6212,270740
179,406,271550,6212,271550
179,406,271550,6212,271550
179,406,271550,6212,271550
180,408,272020,6212,272020
181,410,273020,6212,273020
181,410,273830,6212,273830
182,412,274640,6212,274640
182,412,275450,6212,275450
182,412,275770,6212,275770
182,412,276090,6212,276090
182,412,277090,6212,277090
182,412,277250,6212,277250
183,414,277720,6212,277720
183,414,277720,6212,277720
183,414,278310,6212,278310
184,416,279120,6212,279120
184,416,279440,6212,279440
184,416,279910,6212,279910
184,416,280500,6212,280500
185,418,281310,6212,281310
185,418,281470,6212,281470
185,418,282280,6212,282280
185,418,282600,6212,282600
186,420,283410,6212,283410
186,420,284220,6212,284220
187,422,284540,6212,284540
187,422,285350,6212,285350
187,422,286000,6212,286000
188,424,286470,6212,286470
188,424,286470,6212,286470
188,424,287470,6212,287470
189,426,288470,6212,288470
189,426,289280,6212,289280
190,428,290090,6212,290090
190,428,290740,6212,290740
190,428,290740,6212,290740
190,428,291220,6212,291220
190,428,291380,6212,291380
190,428,291700,6212,291700
191,430,292510,6212,292510
191,430,292830,6212,292830
192,432,293640,6212,293640
192,432,294290,6212,294290
193,434,294940,6212,294940
193,434,295750,6212,295750
193,434,296220,6212,296220
193,434,296540,6212,296540
193,434,296650,6212,296650
194,436,297120,6212,297120
194,436,297120,6212,297120
194,436,297590,6212,297590
194,436,297590,6212,297590
194,436,297590,6212,297590
194,436,298240,6212,298240
195,438,299050,6212,299050
195,438,299640,6212,299640
195,438,299640,6212,299640
196,440,300450,6212,300450
196,440,301040,6212,301040
196,440,302040,6212,302040
197,442,302510,6212,302510
197,442,302730,6212,302730
197,442,303540,6212,303540
198,444,304010,6212,304010
198,444,304010,6212,304010
199,446,305010,6212,305010
199,446,305820,6212,305820
199,446,306290,6212,306290
200,448,306940,6212,306940
200,448,307490,6212,307490
201,450,308300,6212,308300
201,450,308950,6212,308950
202,452,309420,6212,309420
202,452,310230,6212,310230
202,452,310550,6212,310550
203,454,311360,6212,311360
203,454,311950,6212,311950
204,462,311950,6212,311950
204,462,312420,6212,312420
205,464,312890,6212,312890
205,464,312940,6212,312940
205,464,312940,6212,312940
205,464,313260,6212,313260
205,464,313730,6212,313730
205,464,314050,6212,314050
205,464,315050,6212,315050
206,466,316050,6212,316050
206,466,316860,6212,316860
206,466,316860,6212,316860
207,474,316860,6212,316860
208,476,317670,6212,317670
208,476,317670,6212,317670
208,476,317670,6212,317670
208,476,318480,6212,318480
209,478,319030,6212,319030
209,478,319840,6212,319840
209,478,320160,6212,320160
209,478,320480,6212,320480
210,480,320950,6212,320950
210,480,321410,6212,321410
210,480,322220,6212,322220
211,482,322870,6212,322870
211,482,323340,6212,323340
212,484,324150,6212,324150
212,484,324470,6212,324470
212,484,324470,6212,324470
212,484,324940,6212,324940
212,484,325750,6212,325750
212,484,326070,6212,326070
213,486,326620,6212,326620
213,486,326620,6212,326620
213,486,327430,6212,327430
214,488,328240,6212,328240
214,488,329050,6212,329050
214,488,329050,6212,329050
215,490,329700,6212,329700
216,498,329700,6212,329700
216,498,330700,6212,330700
216,498,330700,6212,330700
216,498,330920,6212,330920
216,498,331390,6212,331390
216,498,331390,6212,331390
216,498,331390,6212,331390
217,500,332200,6212,332200
217,500,333010,6212,333010
218,502,333820,6212,333820
218,502,334630,6212,334630
219,504,335440,6212,335440
219,504,335910,6212,335910
219,504,336380,6212,336380
220,506,336850,6212,336850
220,506,337660,6212,337660
221,508,338130,6212,338130
221,508,338130,6212,338130
221,508,338130,6212,338130
221,508,338940,6212,338940
222,510,339750,6212,339750
222,510,340220,6212,340220
222,510,341030,6212,341030
223,512,341840,6212,341840
224,520,341840,6212,341840
224,520,342110,6212,342110
224,520,342920,6212,342920
225,522,343730,6212,343730
225,522,344200,6212,344200
225,522,344670,6212,344670
226,524,345140,6212,345140
227,526,345790,6212,345790
227,526,346260,6212,346260
227,526,346630,6212,346630
227,526,347280,6212,347280
228,528,347750,6212,347750
228,528,348560,6212,348560
229,530,349210,6212,349210
230,532,350210,6212,350210
230,532,350680,6212,350680
230,532,351270,6212,351270
231,534,351920,6212,351920
232,536,352380,6212,352380
232,536,353190,6212,353190
232,536,353190,6212,353190
232,536,353650,6212,353650
232,536,354460,6212,354460
233,538,354930,6212,354930
233,538,355250,6212,355250
233,538,356250,6212,356250
233,538,356470,6212,356470
233,538,356940,6212,356940
234,540,357530,6212,357530
234,540,357530,6212,357530
234,540,358010,6212,358010
235,542,359010,6212,359010
235,542,359480,6212,359480
235,542,359480,6212,359480
236,544,360030,6212,360030
237,552,360030,6212,360030
237,552,361030,6212,361030
237,552,361030,6212,361030
237,552,361500,6212,361500
237,552,362310,6212,362310
238,554,362900,6212,362900
238,554,363550,6212,363550
238,554,363780,6212,363780
239,556,364780,6212,364780
239,556,364780,6212,364780
240,558,365250,6212,365250
241,560,365720,6212,365720
241,560,365940,6212,365940
241,560,366490,6212,366490
242,568,374490,6212,374490
242,568,375080,6212,375080
242,568,376080,6212,376080
242,568,376310,6212,376310
243,570,377120,6212,377120
243,570,377120,6212,377120
244,574,377120,6212,377120
244,574,377440,6212,377440
244,574,378250,6212,378250
245,576,378900,6212,378900
245,576,379220,6212,379220
245,576,380030,6212,380030
245,576,380350,6212,380350
246,578,381160,6212,381160
247,580,382160,6212,382160
247,580,382480,6212,382480
247,580,382940,6212,382940
247,580,383750,6212,383750
247,580,384070,6212,384070
248,582,384540,6212,384540
248,582,384700,6212,384700
248,582,385290,6212,385290
249,584,386100,6212,386100
249,584,387100,6212,387100
249,584,387100,6212,387100
250,586,388100,6212,388100
250,586,388910,6212,388910
251,588,389560,6212,389560
251,588,389780,6212,389780
251,588,390430,6212,390430
252,590,391080,6212,391080
252,590,391550,6212,391550
252,590,392360,6212,392360
253,592,393010,6212,393010
253,592,393330,6212,393330
253,592,393650,6212,393650
253,592,394460,6212,394460
254,594,394930,6212,394930
254,594,395740,6212,395740
255,596,396550,6212,396550
255,596,397200,6212,397200
256,598,398010,6212,398010
256,598,398820,6212,398820
257,600,399630,6212,399630
257,600,399630,6212,399630
257,600,399950,6212,399950
257,600,400760,6212,400760
257,600,401230,6212,401230
258,602,402040,6212,402040
258,602,402360,6212,402360
258,602,403010,6212,403010
258,602,403330,6212,403330
259,604,403800,6212,403800
259,604,404800,6212,404800
259,604,405260,6212,405260
260,606,406260,6212,406260
260,606,406260,6212,406260
260,606,407070,6212,407070
261,608,407720,6212,407720
261,608,408720,6212,408720
261,608,409190,6212,409190
262,610,410000,6212,410000
262,610,410810,6212,410810
263,612,411620,6212,411620
263,612,412090,6212,412090
263,612,412900,6212,412900
263,612,412900,6212,412900
263,612,412900,6212,412900
263,612,413220,6212,413220
264,614,413690,6212,413690
264,614,414500,6212,414500
265,616,415500,6212,415500
266,618,416310,6212,416310
266,618,416310,6212,416310
266,618,417120,6212,417120
267,626,417120,6212,417120
267,626,417590,6212,417590
267,626,417590,6212,417590
268,628,418400,6212,418400
268,628,419210,6212,419210
268,628,419580,6212,419580
269,630,420390,6212,420390
269,630,421040,6212,421040
270,632,421510,6212,421510
270,632,421980,6212,421980
270,632,422450,6212,422450
270,632,422930,6212,422930
271,634,423740,6212,423740
271,634,424390,6212,424390
271,634,424620,6212,424620
272,636,425090,6212,425090
272,636,425560,6212,425560
272,636,426030,6212,426030
273,638,426840,6212,426840
273,638,427310,6212,427310
273,638,427310,6212,427310
273,638,428310,6212,428310
273,638,428780,6212,428780
274,640,429430,6212,429430
274,640,430240,6212,430240
274,640,430700,6212,430700
274,640,431020,6212,431020
275,642,431830,6212,431830
275,642,431830,6212,431830
275,642,432150,6212,432150
275,642,432470,6212,432470
275,642,432950,6212,432950
275,642,433270,6212,433270
276,644,434080,6212,434080
276,644,434890,6212,434890
277,646,435540,6212,435540
277,646,435860,6212,435860
278,648,436860,6212,436860
278,648,436860,6212,436860
278,648,437670,6212,437670
279,650,438220,6212,438220
279,650,438690,6212,438690
279,650,439500,6212,439500
279,650,439820,6212,439820
279,650,440140,6212,440140
279,650,440300,6212,440300
280,652,440760,6212,440760
280,652,440920,6212,440920
280,652,441570,6212,441570
280,652,442040,6212,442040
280,652,442040,6212,442040
281,654,442510,6212,442510
281,654,442970,6212,442970
281,654,443780,6212,443780
282,656,444780,6212,444780
283,658,445590,6212,445590
283,658,445590,6212,445590
283,658,445590,6212,445590
283,658,446400,6212,446400
283,658,446630,6212,446630
283,658,446740,6212,446740
284,660,447390,6212,447390
284,660,447860,6212,447860
285,662,448670,6212,448670
285,662,449670,6212,449670
285,662,450140,6212,450140
286,664,451140,6212,451140
286,664,452140,6212,452140
286,664,452950,6212,452950
287,666,453760,6212,453760
287,666,454080,6212,454080
287,666,454890,6212,454890
288,668,455700,6212,455700
289,670,456700,6212,456700
289,670,457170,6212,457170
290,678,457170,6212,457170
290,678,457170,6212,457170
290,678,457170,6212,457170
291,680,457760,6212,457760
291,680,458570,6212,458570
291,680,459040,6212,459040
292,682,460040,6212,460040
293,684,460850,6212,460850
293,684,461660,6212,461660
294,686,462310,6212,462310
294,686,462310,6212,462310
294,686,462540,6212,462540
295,688,463190,6212,463190
295,688,464190,6212,464190
295,688,465000,6212,465000
295,688,465810,6212,465810
296,690,466810,6212,466810
297,692,467280,6212,467280
297,692,468090,6212,468090
297,692,469090,6212,469090
297,692,469090,6212,469090
297,692,469090,6212,469090
298,694,469740,6212,469740
298,694,470210,6212,470210
298,694,470680,6212,470680
299,696,471490,6212,471490
299,696,471810,6212,471810
299,696,471810,6212,471810
299,696,472130,6212,472130
300,698,473130,6212,473130
300,698,473450,6212,473450
300,698,474260,6212,474260
301,700,474730,6212,474730
301,700,475730,6212,475730
301,700,476540,6212,476540
301,700,477010,6212,477010
302,702,477820,6212,477820
302,702,478630,6212,478630
303,704,479100,6212,479100
303,704,479910,6212,479910
303,704,480140,6212,480140
304,706,480950,6212,480950
304,706,481760,6212,481760
305,708,482230,6212,482230
305,708,482460,6212,482460
305,708,482930,6212,482930
305,708,483400,6212,483400
306,710,483990,6212,483990
306,710,484220,6212,484220
306,710,484690,6212,484690
307,712,485500,6212,485500
307,712,485730,6212,485730
308,714,486730,6212,486730
308,714,487540,6212,487540
308,714,488010,6212,488010
309,716,488490,6212,488490
309,716,488490,6212,488490
309,716,489140,6212,489140
310,718,489950,6212,489950
310,718,490760,6212,490760
311,720,491230,6212,491230
311,720,492230,6212,492230
311,720,493040,6212,493040
311,720,493040,6212,493040
312,722,493590,6212,493590
312,722,494400,6212,494400
313,724,495210,6212,495210
313,724,496020,6212,496020
314,726,496830,6212,496830
314,726,497640,6212,497640
315,728,498290,6212,498290
315,728,498880,6212,498880
316,736,498880,6212,498880
316,736,499350,6212,499350
316,736,499350,6212,499350
317,738,500160,6212,500160
317,738,500480,6212,500480
317,738,501290,6212,501290
317,738,501610,6212,501610
318,740,502200,6212,502200
318,740,502520,6212,502520
319,742,503520,6212,503520
319,742,504330,6212,504330
319,742,504330,6212,504330
