ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1788308.34,29.21,0.69,197439.67,3.22
1789302.27,29.22,0.71,198332.76,3.24
1790296.2,29.24,0.73,199225.86,3.25
1791290.14,29.26,0.74,200118.95,3.27
1791397.7,29.26,0.75,200358.11,3.27
1790840.89,29.26,0.74,199806.2,3.26
1791834.82,29.27,0.76,200699.29,3.28
1791911.78,29.28,0.76,200527.41,3.28
1791618.81,29.28,0.77,200434.61,3.28
1791472.89,29.28,0.77,200246.2,3.27
1791257.4,29.28,0.77,200251.45,3.27
1790955.4,29.28,0.77,200024.33,3.27
1790398.59,29.28,0.76,199492.78,3.26
1790475.55,29.28,0.77,199320.9,3.26
1790258.5,29.28,0.77,199246.84,3.26
1791588.65,29.3,0.79,200333.04,3.28
1792010.89,29.31,0.8,200454.73,3.28
1792087.84,29.32,0.8,200262.48,3.28
1793081.78,29.34,0.82,201155.57,3.29
1792433.27,29.33,0.81,200507.07,3.28
1792287.35,29.33,0.81,200318.65,3.28
1791993.74,29.33,0.81,200319.43,3.28
1791966.21,29.33,0.82,200415.56,3.28
1791937.13,29.34,0.82,200573.52,3.28
1792300.07,29.35,0.83,201197.61,3.29
1791743.27,29.34,0.82,200645.7,3.29
1791820.22,29.35,0.83,200473.81,3.28
1792411.44,29.36,0.84,200784.37,3.29
1791664.64,29.35,0.84,200042.46,3.28
1790988.72,29.35,0.83,199324.04,3.27
1790431.91,29.34,0.82,198792.5,3.26
1790083.69,29.34,0.82,198650.8,3.26
1790016.88,29.34,0.82,198588.89,3.26
1789789.98,29.34,0.82,198319.49,3.25
1789866.93,29.34,0.83,198127.24,3.25
1789943.88,29.35,0.84,197934.98,3.25
1790156.42,29.36,0.84,198081.13,3.25
1789409.62,29.35,0.83,197359.58,3.24
1788852.81,29.34,0.83,196828.04,3.23
1788944.49,29.35,0.84,196627.35,3.23
1789003.36,29.36,0.84,196389.99,3.22
1788921.84,29.36,0.84,196356.89,3.22
1788653.67,29.36,0.84,196341.66,3.22
1789011.26,29.36,0.85,196631.11,3.23
1788713.14,29.36,0.85,196618.3,3.23
1788418.53,29.36,0.85,196335.07,3.22
1789071.08,29.37,0.86,196811.84,3.23
1788342.36,29.36,0.85,196135.4,3.22
1788342.36,29.36,0.85,196135.4,3.22
1788434.03,29.37,0.86,195934.71,3.22
1788510.98,29.38,0.86,195762.83,3.22
1787939.46,29.37,0.86,195239.72,3.21
1788016.41,29.38,0.86,195067.84,3.2
1788016.41,29.38,0.86,195067.84,3.2
1788093.36,29.38,0.87,194895.96,3.2
1788684.58,29.4,0.88,195206.51,3.21
1788127.78,29.39,0.88,194654.6,3.2
1788219.45,29.4,0.88,194453.91,3.2
1788641.69,29.41,0.89,194575.6,3.2
1788641.69,29.41,0.89,194575.6,3.2
1788641.69,29.41,0.89,194575.6,3.2
1788650.17,29.41,0.9,194632.49,3.2
1788583.36,29.41,0.9,194570.58,3.2
1788304.98,29.41,0.89,194300.36,3.19
1787748.17,29.4,0.89,193748.45,3.19
1787532.68,29.4,0.89,193685.18,3.19
