ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
2170308.58,35.42,0.25,182174.91,2.97
2170308.58,35.42,0.25,182174.33,2.97
2170320.97,35.42,0.25,182163.44,2.97
2169956.1,35.42,0.25,182160.09,2.97
2169711.27,35.42,0.25,182111.08,2.97
2169335.3,35.42,0.25,182117.06,2.97
2169158.81,35.42,0.26,182209.51,2.98
2169158.81,35.42,0.26,182185.45,2.98
2169173.27,35.42,0.26,182178.31,2.98
2168803.5,35.42,0.26,182616.97,2.98
2168803.5,35.42,0.26,182709.81,2.98
2168803.5,35.42,0.26,182709.81,2.98
2168803.5,35.42,0.26,182709.81,2.98
2168763.89,35.43,0.26,182410.43,2.98
2168549.63,35.43,0.26,182440.37,2.98
2168549.63,35.43,0.26,182440.37,2.98
2168146.82,35.43,0.26,182420.28,2.98
2167744.0,35.43,0.26,182401.19,2.98
2167795.19,35.43,0.27,182431.73,2.98
2167550.35,35.43,0.27,182428.23,2.98
2167305.52,35.43,0.27,182379.13,2.98
2167124.3,35.43,0.27,184238.86,3.01
2166721.48,35.43,0.27,184214.09,3.01
2166318.67,35.43,0.27,184199.84,3.01
2166325.12,35.43,0.27,184905.75,3.02
2166265.66,35.44,0.27,185081.5,3.03
2166020.82,35.44,0.27,185078.1,3.03
2166020.82,35.44,0.27,185078.1,3.03
2165406.8,35.43,0.27,184478.48,3.02
2165596.06,35.44,0.27,184535.39,3.02
2165351.23,35.44,0.27,184847.08,3.03
2165174.74,35.44,0.27,185018.43,3.03
2165008.36,35.44,0.27,185026.04,3.03
2164626.59,35.44,0.27,184997.83,3.03
2164433.36,35.44,0.28,184992.68,3.03
2164051.59,35.44,0.28,185047.08,3.03
2163677.49,35.44,0.27,184685.97,3.03
2163294.94,35.44,0.27,184110.77,3.02
2162913.16,35.44,0.27,184062.75,3.02
2162719.94,35.44,0.27,184046.95,3.02
2162338.17,35.44,0.27,184639.75,3.03
2162077.95,35.44,0.27,184484.39,3.02
2162118.88,35.44,0.28,184675.47,3.03
2161754.01,35.44,0.28,184622.22,3.03
2161509.17,35.44,0.28,184573.44,3.03
2161595.77,35.45,0.28,184574.84,3.03
2161213.22,35.45,0.28,184366.92,3.02
2161156.52,35.45,0.28,184546.66,3.03
2160911.69,35.45,0.28,184497.8,3.03
2160508.87,35.45,0.28,184511.94,3.03
2160206.73,35.45,0.28,184209.88,3.02
2159831.41,35.45,0.28,183938.68,3.02
2159538.47,35.45,0.28,183838.04,3.02
2159150.24,35.45,0.28,183786.27,3.02
2158831.42,35.44,0.27,183467.45,3.01
2158831.42,35.44,0.27,183396.62,3.01
2158456.1,35.44,0.27,183536.49,3.01
2158456.1,35.44,0.27,183536.49,3.01
2158211.26,35.44,0.27,183532.85,3.01
2157823.03,35.44,0.27,183311.41,3.01
2157608.77,35.44,0.28,183293.42,3.01
2157363.94,35.45,0.28,183300.21,3.01
2157363.94,35.45,0.28,183280.3,3.01
2156961.12,35.44,0.28,183299.57,3.01
2156568.55,35.44,0.27,183286.02,3.01
2156354.29,35.44,0.27,183272.65,3.01
2155951.48,35.44,0.27,183463.76,3.02
2156031.26,35.45,0.28,183717.26,3.02
2156044.16,35.45,0.28,183908.25,3.02
2156044.16,35.45,0.28,183864.84,3.02
2155839.33,35.44,0.28,183655.1,3.02
2155584.85,35.44,0.27,187241.57,3.08
2155734.03,35.45,0.28,186955.1,3.07
2155546.62,35.45,0.28,186964.95,3.07
2155143.8,35.45,0.28,186936.73,3.07
2155087.1,35.45,0.28,187034.09,3.08
2155099.49,35.45,0.28,187028.35,3.08
2155099.49,35.45,0.28,187058.91,3.08
2154696.68,35.45,0.28,187038.42,3.08
2154639.98,35.45,0.29,187255.49,3.08
2154639.98,35.45,0.29,187254.96,3.08
2154639.98,35.45,0.29,187239.4,3.08
2154425.72,35.46,0.29,187269.48,3.08
2154242.63,35.45,0.29,188210.47,3.1
2153797.61,35.45,0.29,187888.52,3.09
2153432.74,35.45,0.29,187882.67,3.09
2153187.9,35.45,0.29,187833.57,3.09
2153267.68,35.46,0.29,188142.95,3.1
2152864.86,35.46,0.29,188106.57,3.1
2152650.6,35.46,0.29,188393.87,3.1
2152650.6,35.46,0.29,188217.53,3.1
2152247.79,35.46,0.29,188780.46,3.11
2151884.6,35.46,0.29,188835.29,3.11
2151481.78,35.46,0.29,188681.69,3.11
2151294.37,35.46,0.29,188691.53,3.11
2151422.93,35.46,0.3,188663.0,3.11
2151050.34,35.46,0.3,188695.17,3.11
2150805.5,35.46,0.3,188646.02,3.11
2150856.69,35.47,0.3,188627.71,3.11
2150493.5,35.47,0.3,188682.02,3.11
2150128.63,35.47,0.3,188684.01,3.11
2149734.63,35.46,0.3,188665.42,3.11
2149369.76,35.46,0.3,188604.33,3.11
2149155.5,35.46,0.3,188623.32,3.11
2148979.01,35.47,0.3,188715.78,3.11
2148620.73,35.47,0.3,188035.07,3.1
2148621.83,35.47,0.3,188071.22,3.1
2148189.2,35.46,0.3,187858.27,3.1
2148240.39,35.47,0.3,187845.23,3.1
2147875.52,35.47,0.3,187877.42,3.1
2147956.31,35.47,0.31,187930.5,3.1
2147669.29,35.47,0.3,188052.96,3.11
2147304.42,35.47,0.3,187954.28,3.1
2147137.66,35.47,0.31,187951.36,3.1
2146923.4,35.47,0.31,187938.39,3.11
2147120.85,35.48,0.31,188364.46,3.11
2147064.15,35.48,0.32,188352.33,3.11
2147027.51,35.49,0.32,188357.46,3.11
2146817.67,35.48,0.32,188207.89,3.11
2146817.67,35.48,0.32,188207.89,3.11
2146817.67,35.48,0.32,188232.5,3.11
2146817.67,35.48,0.32,188215.75,3.11
2146572.83,35.48,0.32,188204.16,3.11
2146391.61,35.49,0.32,188189.27,3.11
2144864.51,35.48,0.32,187990.29,3.11
2144481.96,35.48,0.32,187892.56,3.11
2144237.12,35.49,0.32,188137.3,3.11
2143854.57,35.49,0.32,188087.45,3.11
2143472.02,35.49,0.32,188033.04,3.11
2143089.47,35.48,0.32,188014.46,3.11
2143170.26,35.49,0.32,188695.57,3.12
2142815.33,35.49,0.32,188688.48,3.13
2142445.55,35.49,0.32,188900.38,3.13
2142051.55,35.48,0.32,189251.71,3.14
2141648.74,35.48,0.32,189373.43,3.14
2141403.9,35.49,0.32,189282.8,3.14
2141189.64,35.49,0.32,189682.37,3.14
2140944.8,35.49,0.32,189633.38,3.14
2140572.52,35.49,0.32,189273.95,3.14
2140196.42,35.49,0.32,189417.94,3.14
2139807.41,35.48,0.32,189192.38,3.14
2139444.22,35.48,0.32,189247.22,3.14
2139062.45,35.48,0.32,189230.64,3.14
2138680.67,35.48,0.32,189377.33,3.14
2138305.02,35.48,0.32,188960.6,3.14
2137922.47,35.48,0.32,188385.39,3.13
2137922.47,35.48,0.32,190579.02,3.16
2137599.28,35.48,0.32,190453.7,3.16
2137354.45,35.48,0.32,190450.18,3.16
2136984.67,35.48,0.32,190412.97,3.16
2136690.06,35.48,0.31,190130.18,3.16
2136508.84,35.48,0.31,189947.31,3.15
2136452.14,35.48,0.32,190044.67,3.16
2136493.07,35.49,0.32,188402.19,3.13
2136577.3,35.49,0.33,189178.86,3.14
2136577.3,35.49,0.33,189178.86,3.14
2136368.85,35.49,0.32,189037.5,3.14
2136558.11,35.5,0.33,189365.57,3.15
2136423.53,35.5,0.33,189363.78,3.15
2136178.7,35.5,0.33,189314.92,3.15
2135991.28,35.5,0.33,189324.76,3.15
2135588.47,35.5,0.33,189304.41,3.15
2135374.21,35.5,0.33,189291.4,3.15
2135374.21,35.5,0.33,189320.91,3.15
2134995.43,35.5,0.33,189142.98,3.14
2134630.57,35.5,0.33,189087.23,3.14
2134385.73,35.5,0.33,189083.59,3.14
2134171.47,35.5,0.33,189065.59,3.14
2133768.66,35.5,0.33,189048.28,3.15
2133365.84,35.5,0.33,189280.02,3.15
2133417.03,35.5,0.33,189420.99,3.15
2133041.71,35.5,0.33,189258.28,3.15
2132842.03,35.5,0.34,189355.34,3.15
2132597.19,35.5,0.34,189306.2,3.15
2132786.45,35.51,0.34,189295.3,3.15
2132798.84,35.51,0.34,189289.56,3.15
2132632.08,35.51,0.34,189287.38,3.15
2132450.86,35.51,0.34,189271.74,3.15
2132450.86,35.51,0.34,189368.66,3.15
2132087.67,35.51,0.35,189423.49,3.16
2131722.8,35.51,0.35,189420.14,3.16
2131503.28,35.51,0.34,189173.44,3.15
2130773.55,35.51,0.34,189114.34,3.15
2130773.55,35.51,0.34,189114.34,3.15
2130607.17,35.51,0.34,189121.95,3.15
2130607.17,35.51,0.34,189803.31,3.16
2130277.02,35.51,0.35,189037.4,3.15
2129911.51,35.51,0.35,188517.88,3.14
2129663.56,35.51,0.35,188684.62,3.15
2129298.69,35.51,0.35,188628.88,3.15
2128916.92,35.51,0.35,188598.23,3.15
2128535.14,35.51,0.35,188645.06,3.15
2128358.65,35.51,0.35,188826.52,3.15
2128113.05,35.51,0.35,188447.68,3.14
2128056.35,35.52,0.35,188627.79,3.15
2127691.48,35.52,0.35,188572.09,3.15
2127326.61,35.52,0.35,188568.69,3.15
2127326.61,35.52,0.35,188568.54,3.15
2126961.74,35.52,0.35,188515.29,3.15
2126889.1,35.52,0.35,189597.89,3.17
2126889.1,35.52,0.35,189547.79,3.17
2126524.23,35.52,0.35,189541.94,3.17
2125760.68,35.52,0.35,189460.37,3.17
2125550.29,35.51,0.35,189320.22,3.16
2125176.2,35.51,0.35,189310.32,3.16
2124931.36,35.51,0.35,189261.46,3.16
2124738.14,35.51,0.35,189229.29,3.16
2124493.3,35.52,0.35,189225.65,3.16
2124248.46,35.52,0.35,189176.55,3.16
2124003.63,35.52,0.35,189173.15,3.16
2123822.41,35.52,0.35,188709.29,3.16
2123822.41,35.52,0.35,188688.77,3.16
2123629.18,35.52,0.35,188828.93,3.16
2123632.54,35.53,0.36,188684.86,3.16
2123337.41,35.52,0.35,189073.94,3.16
2122972.54,35.52,0.35,189019.89,3.16
2122972.54,35.52,0.35,188997.89,3.16
2122972.54,35.52,0.35,188997.89,3.16
2123161.8,35.53,0.36,189054.8,3.16
2122974.38,35.53,0.36,189064.65,3.16
2122974.38,35.53,0.36,189049.53,3.16
2122609.51,35.53,0.36,189044.47,3.16
2122436.15,35.53,0.36,191635.84,3.21
2122191.32,35.53,0.36,191947.98,3.21
2122021.72,35.53,0.36,193754.0,3.24
2121656.86,35.53,0.36,193756.0,3.25
2121663.01,35.53,0.36,193757.68,3.25
2121436.86,35.53,0.36,193514.57,3.24
2121626.12,35.54,0.36,193571.49,3.24
2121261.25,35.54,0.36,193510.4,3.24
2121261.25,35.54,0.36,193510.4,3.24
2121209.64,35.54,0.37,193527.53,3.24
2120995.38,35.54,0.37,193512.64,3.24
2118064.04,35.54,0.37,193467.16,3.25
2117721.12,35.54,0.37,193465.29,3.25
2117476.28,35.54,0.37,193776.95,3.25
2117133.35,35.54,0.37,193775.08,3.25
2117093.75,35.55,0.37,193753.29,3.25
2116723.97,35.55,0.37,193853.39,3.26
2116349.88,35.54,0.37,193492.32,3.25
2115968.1,35.54,0.37,194044.33,3.26
2115586.33,35.54,0.37,193997.65,3.26
2115204.55,35.54,0.37,194015.73,3.26
2114834.78,35.54,0.37,193962.81,3.26
2114589.94,35.54,0.37,193913.66,3.26
2114379.55,35.54,0.37,193858.48,3.26
2114032.63,35.54,0.37,195094.1,3.28
2113667.76,35.54,0.37,195040.05,3.28
2113478.92,35.54,0.37,194483.19,3.27
2113264.66,35.54,0.37,194508.75,3.27
2113315.85,35.55,0.38,194492.86,3.27
2112946.08,35.55,0.38,194469.38,3.27
2112564.3,35.55,0.38,194398.64,3.27
2112199.43,35.55,0.38,194393.59,3.27
2111817.66,35.55,0.38,194370.79,3.27
2111817.66,35.55,0.38,196259.13,3.3
2111987.74,35.55,0.38,196661.76,3.31
2111593.74,35.55,0.38,196646.22,3.31
2111557.1,35.55,0.38,196651.35,3.31
2111557.1,35.55,0.38,196591.8,3.31
2111214.17,35.55,0.38,196593.39,3.31
2110849.3,35.55,0.38,196844.44,3.32
2110668.08,35.55,0.38,196113.36,3.3
2110752.31,35.56,0.39,196088.73,3.3
2110387.44,35.56,0.39,196032.99,3.3
2110022.57,35.56,0.39,196029.63,3.3
2109652.8,35.56,0.39,196081.87,3.3
2109471.58,35.56,0.39,196047.29,3.3
2109106.71,35.56,0.39,195991.59,3.3
2105911.05,35.55,0.39,195950.02,3.31
2105723.63,35.56,0.39,195959.87,3.31
2105478.8,35.56,0.39,195911.09,3.31
2105648.88,35.56,0.4,196076.62,3.31
2105404.04,35.57,0.4,196072.9,3.31
2105039.17,35.57,0.4,196069.49,3.31
2105119.96,35.57,0.4,196122.58,3.31
2104875.13,35.57,0.4,196073.58,3.31
2104660.86,35.57,0.4,196091.88,3.31
2104588.22,35.57,0.41,196074.56,3.31
2104219.35,35.57,0.41,195999.04,3.31
2103974.51,35.58,0.41,195995.55,3.31
2103571.7,35.58,0.41,195986.31,3.31
2103326.86,35.58,0.41,195937.45,3.31
2102924.05,35.58,0.41,197046.71,3.33
2102560.86,35.58,0.41,197008.93,3.33
2102316.02,35.58,0.41,197005.29,3.33
2101913.21,35.58,0.41,196982.07,3.33
2101527.55,35.57,0.4,196873.44,3.33
2101162.68,35.57,0.4,196929.88,3.33
2101162.68,35.57,0.4,196929.88,3.33
2100759.87,35.57,0.4,196919.1,3.33
2100759.87,35.57,0.4,196919.1,3.33
2100515.03,35.58,0.4,196870.0,3.33
2100132.48,35.57,0.4,198969.86,3.37
2100132.48,35.57,0.4,198969.86,3.37
2099729.67,35.57,0.4,198985.36,3.37
2099567.77,35.57,0.4,198960.33,3.37
2099322.93,35.57,0.4,198956.93,3.37
2098920.11,35.57,0.4,198939.63,3.37
2098920.11,35.57,0.4,198939.63,3.37
2098920.11,35.57,0.4,198939.63,3.37
2098979.87,35.58,0.41,199083.39,3.37
2098616.68,35.58,0.41,198377.26,3.36
2098559.98,35.58,0.41,198602.48,3.37
2098559.98,35.58,0.41,198602.48,3.37
2098177.43,35.58,0.41,197986.14,3.36
2097965.33,35.58,0.41,198119.21,3.36
2097607.04,35.58,0.41,197455.51,3.35
2097362.79,35.58,0.41,197413.5,3.35
2096999.6,35.58,0.41,197467.81,3.35
2096617.04,35.58,0.41,197317.06,3.35
2096402.77,35.58,0.41,197313.33,3.35
2096221.56,35.58,0.41,197193.04,3.35
2096301.33,35.58,0.41,197607.84,3.35
2096056.49,35.59,0.41,197558.7,3.35
2095857.83,35.58,0.41,197338.07,3.35
2095455.01,35.58,0.41,197780.64,3.36
2095085.24,35.58,0.41,197761.03,3.36
2094715.47,35.58,0.41,198305.56,3.37
2094345.69,35.58,0.41,198160.89,3.37
2094423.73,35.59,0.42,198167.37,3.37
2094612.99,35.59,0.42,198585.09,3.37
2094210.17,35.59,0.42,198594.12,3.38
2093965.34,35.59,0.42,198545.25,3.37
2093622.41,35.59,0.42,198548.61,3.38
2093267.48,35.59,0.42,198542.4,3.38
2092969.25,35.59,0.42,198257.12,3.37
2092724.41,35.59,0.42,198253.48,3.37
2092543.19,35.59,0.42,198236.69,3.37
2092373.29,35.6,0.42,197803.13,3.37
2091970.48,35.6,0.42,197767.95,3.37
2091537.85,35.59,0.42,197495.8,3.36
2091135.03,35.59,0.42,197512.25,3.36
2090920.77,35.59,0.42,197496.89,3.36
2090750.87,35.6,0.43,197063.34,3.36
2090319.86,35.6,0.43,196793.22,3.35
2089925.86,35.59,0.42,196781.13,3.35
2089550.54,35.59,0.42,196789.61,3.35
2089550.54,35.59,0.42,196750.26,3.35
2089550.54,35.59,0.42,196798.47,3.35
2089180.76,35.59,0.42,196784.25,3.35
2089180.76,35.59,0.42,197181.13,3.36
2088810.99,35.59,0.42,197089.3,3.36
2088837.84,35.59,0.42,197098.66,3.36
2088667.93,35.59,0.43,196665.1,3.35
2088236.92,35.59,0.42,196394.99,3.35
2088026.54,35.59,0.42,196263.64,3.35
2087638.31,35.59,0.42,196173.59,3.34
2087457.09,35.59,0.42,196151.71,3.34
2087242.83,35.59,0.43,196327.88,3.35
2087242.83,35.59,0.43,199294.16,3.4
2086997.99,35.59,0.43,199245.29,3.4
2086673.38,35.59,0.42,199079.88,3.4
2086291.6,35.59,0.42,199062.42,3.4
2085909.82,35.59,0.42,199527.47,3.4
2085909.82,35.59,0.42,199616.5,3.41
2085624.67,35.59,0.42,199333.54,3.4
2085379.83,35.59,0.42,199329.9,3.4
2085134.99,35.59,0.42,199280.76,3.4
2085134.99,35.59,0.42,199236.22,3.4
2084732.18,35.59,0.42,199255.37,3.4
2084329.37,35.59,0.42,199477.22,3.41
