ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_82d2-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
63,210,143420,6212,143420
63,210,144420,6212,144420
63,210,145230,6212,145230
63,210,145600,6212,145600
63,210,146070,6212,146070
64,212,147070,6212,147070
64,212,147540,6212,147540
64,212,148540,6212,148540
64,212,149540,6212,149540
64,212,150010,6212,150010
64,212,151010,6212,151010
65,220,151820,6212,151820
66,222,152630,6212,152630
66,222,153630,6212,153630
66,222,153630,6212,153630
66,222,154630,6212,154630
66,222,155100,6212,155100
66,222,156100,6212,156100
66,222,156570,6212,156570
66,222,156940,6212,156940
66,222,157940,6212,157940
66,222,158750,6212,158750
66,222,159560,6212,159560
66,222,160020,6212,160020
67,226,160830,6212,160830
67,226,161480,6212,161480
67,226,161710,6212,161710
67,226,161710,6212,161710
68,234,161710,6212,161710
69,242,161710,6212,161710
69,242,162710,6212,162710
70,250,163520,6212,163520
71,258,167520,6212,167520
71,258,168520,6212,168520
71,258,169520,6212,169520
71,258,170520,6212,170520
71,258,171520,6212,171520
71,258,172520,6212,172520
71,258,172990,6212,172990
71,258,173990,6212,173990
71,258,174990,6212,174990
71,258,175460,6212,175460
71,258,176460,6212,176460
71,258,177460,6212,177460
71,258,178270,6212,178270
72,260,179270,6212,179270
72,260,179740,6212,179740
72,260,180740,6212,180740
72,260,181740,6212,181740
73,268,182740,6212,182740
