ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f022-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
107,228,206600,6212,206600
107,228,207410,6212,207410
108,230,208060,6212,208060
108,230,208060,6212,208060
109,238,216060,6212,216060
110,240,217060,6212,217060
110,240,218060,6212,218060
110,240,218060,6212,218060
110,240,218530,6212,218530
110,240,219340,6212,219340
111,242,220340,6212,220340
112,244,221150,6212,221150
112,244,222150,6212,222150
112,244,222620,6212,222620
113,246,223620,6212,223620
113,246,223730,6212,223730
114,248,224380,6212,224380
114,248,225380,6212,225380
114,248,225380,6212,225380
114,248,226030,6212,226030
115,250,227030,6212,227030
116,252,227840,6212,227840
116,252,228840,6212,228840
117,254,229840,6212,229840
117,254,230650,6212,230650
118,256,231120,6212,231120
118,256,231120,6212,231120
118,256,231440,6212,231440
118,256,232440,6212,232440
119,258,233440,6212,233440
119,258,234250,6212,234250
119,258,235250,6212,235250
120,260,235900,6212,235900
120,260,236370,6212,236370
120,260,236370,6212,236370
121,262,237370,6212,237370
121,262,237690,6212,237690
122,264,238690,6212,238690
122,264,239690,6212,239690
122,264,240160,6212,240160
123,266,240970,6212,240970
123,266,241780,6212,241780
123,266,241940,6212,241940
123,266,242940,6212,242940
124,268,243940,6212,243940
124,268,243940,6212,243940
124,268,243940,6212,243940
124,268,244410,6212,244410
124,268,244410,6212,244410
125,270,245220,6212,245220
126,278,253220,6212,253220
126,278,254220,6212,254220
127,280,255220,6212,255220
127,280,256220,6212,256220
128,282,257220,6212,257220
128,282,258030,6212,258030
128,282,259030,6212,259030
129,284,260030,6212,260030
130,286,260680,6212,260680
130,286,261490,6212,261490
130,286,262490,6212,262490
130,286,262810,6212,262810
130,286,262810,6212,262810
131,288,263810,6212,263810
131,288,264810,6212,264810
132,290,265810,6212,265810
132,290,266810,6212,266810
133,292,267280,6212,267280
134,294,268280,6212,268280
134,294,269090,6212,269090
135,296,270090,6212,270090
135,296,271090,6212,271090
136,298,271560,6212,271560
137,300,272560,6212,272560
137,300,273370,6212,273370
137,300,274370,6212,274370
138,302,275370,6212,275370
138,302,275840,6212,275840
138,302,276840,6212,276840
138,302,277160,6212,277160
139,304,278160,6212,278160
139,304,279160,6212,279160
139,304,280160,6212,280160
140,306,280970,6212,280970
140,306,281440,6212,281440
141,308,282250,6212,282250
142,310,283250,6212,283250
142,310,284060,6212,284060
142,310,285060,6212,285060
143,312,286060,6212,286060
143,312,287060,6212,287060
144,314,288060,6212,288060
144,314,288220,6212,288220
144,314,289220,6212,289220
145,316,290220,6212,290220
145,316,290220,6212,290220
145,316,290220,6212,290220
146,324,290220,6212,290220
147,326,291030,6212,291030
147,326,291500,6212,291500
147,326,291970,6212,291970
148,328,292620,6212,292620
148,328,292940,6212,292940
148,328,293940,6212,293940
148,328,294410,6212,294410
149,330,295410,6212,295410
149,330,295410,6212,295410
149,330,296410,6212,296410
149,330,297000,6212,297000
150,332,298000,6212,298000
150,332,299000,6212,299000
151,334,300000,6212,300000
151,334,300000,6212,300000
152,342,308000,6212,308000
153,344,308650,6212,308650
153,344,309460,6212,309460
153,344,310460,6212,310460
153,344,311050,6212,311050
154,348,315050,6212,315050
155,350,315860,6212,315860
156,352,316860,6212,316860
156,352,316860,6212,316860
157,360,324860,6212,324860
157,360,324860,6212,324860
157,360,325330,6212,325330
157,360,326330,6212,326330
157,360,326330,6212,326330
157,360,326550,6212,326550
157,360,326550,6212,326550
157,360,327010,6212,327010
158,362,328010,6212,328010
158,362,329010,6212,329010
159,364,329660,6212,329660
160,366,330660,6212,330660
160,366,330660,6212,330660
160,366,331140,6212,331140
160,366,332140,6212,332140
161,368,333140,6212,333140
161,368,333460,6212,333460
162,370,334270,6212,334270
162,370,334590,6212,334590
162,370,335590,6212,335590
162,370,336400,6212,336400
162,370,336720,6212,336720
162,370,337190,6212,337190
163,378,337190,6212,337190
164,380,338190,6212,338190
164,380,339190,6212,339190
165,382,339660,6212,339660
166,384,340660,6212,340660
166,384,341310,6212,341310
166,384,341310,6212,341310
166,384,342310,6212,342310
167,386,343310,6212,343310
167,386,343780,6212,343780
167,386,343780,6212,343780
167,386,344780,6212,344780
168,388,345250,6212,345250
168,388,345250,6212,345250
169,390,346250,6212,346250
169,390,347250,6212,347250
169,390,347250,6212,347250
169,390,347250,6212,347250
170,392,348250,6212,348250
171,394,350250,6212,350250
172,396,351250,6212,351250
172,396,352250,6212,352250
173,398,353250,6212,353250
174,406,353250,6212,353250
174,406,354250,6212,354250
175,408,355250,6212,355250
175,408,355250,6212,355250
175,408,356060,6212,356060
176,410,356870,6212,356870
176,410,357680,6212,357680
176,410,358680,6212,358680
177,418,358680,6212,358680
178,420,359150,6212,359150
179,422,360150,6212,360150
179,422,360150,6212,360150
