ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
118,254,132920,6212,132920
118,254,133150,6212,133150
119,256,133150,6212,133150
119,256,133380,6212,133380
119,256,133610,6212,133610
119,256,134420,6212,134420
120,258,135230,6212,135230
120,258,135700,6212,135700
120,258,136160,6212,136160
121,260,137160,6212,137160
121,260,137970,6212,137970
122,262,138440,6212,138440
122,262,139250,6212,139250
122,262,139410,6212,139410
123,264,140220,6212,140220
123,264,141030,6212,141030
124,266,141680,6212,141680
125,268,142150,6212,142150
126,270,142610,6212,142610
126,270,143080,6212,143080
127,272,143080,6212,143080
127,272,143890,6212,143890
127,272,144890,6212,144890
128,274,145360,6212,145360
128,274,146170,6212,146170
128,274,146760,6212,146760
129,276,147220,6212,147220
130,277,148030,6212,148030
131,279,148500,6212,148500
132,281,148970,6212,148970
133,283,149620,6212,149620
133,283,150430,6212,150430
134,285,151430,6212,151430
134,285,152240,6212,152240
135,289,152240,6212,152240
136,291,153240,6212,153240
136,291,153240,6212,153240
136,291,153240,6212,153240
137,293,154240,6212,154240
137,293,155050,6212,155050
138,295,155860,6212,155860
138,295,156860,6212,156860
139,296,157670,6212,157670
140,298,158670,6212,158670
140,298,159480,6212,159480
140,298,160290,6212,160290
141,300,161290,6212,161290
141,300,162100,6212,162100
141,300,162420,6212,162420
142,302,163230,6212,163230
143,304,163230,6212,163230
143,304,164040,6212,164040
143,304,164360,6212,164360
143,304,165360,6212,165360
143,304,166170,6212,166170
144,306,166640,6212,166640
145,308,167290,6212,167290
145,308,167510,6212,167510
145,308,168320,6212,168320
146,312,168320,6212,168320
147,316,168320,6212,168320
148,318,169320,6212,169320
148,318,169590,6212,169590
148,318,170400,6212,170400
148,318,170400,6212,170400
149,320,171050,6212,171050
149,320,171370,6212,171370
150,322,171840,6212,171840
150,322,172650,6212,172650
150,322,173460,6212,173460
150,322,173780,6212,173780
151,324,173780,6212,173780
152,326,174780,6212,174780
153,328,175430,6212,175430
154,330,175900,6212,175900
154,330,176710,6212,176710
154,330,177520,6212,177520
154,330,177840,6212,177840
154,330,178160,6212,178160
154,330,179160,6212,179160
155,332,179620,6212,179620
156,334,179940,6212,179940
156,334,180410,6212,180410
156,334,181220,6212,181220
157,336,182220,6212,182220
158,338,183220,6212,183220
158,338,184030,6212,184030
159,340,185030,6212,185030
159,340,185840,6212,185840
160,342,186650,6212,186650
161,344,187650,6212,187650
162,346,187650,6212,187650
163,350,187650,6212,187650
163,350,188120,6212,188120
164,352,188590,6212,188590
165,354,189240,6212,189240
165,354,190050,6212,190050
165,354,190860,6212,190860
166,356,191670,6212,191670
167,358,191670,6212,191670
167,358,191830,6212,191830
167,358,191830,6212,191830
168,360,192300,6212,192300
168,360,193300,6212,193300
169,362,194300,6212,194300
169,362,194530,6212,194530
170,364,195340,6212,195340
171,366,195710,6212,195710
171,366,195710,6212,195710
171,366,195710,6212,195710
171,366,196520,6212,196520
171,366,197520,6212,197520
172,368,198330,6212,198330
172,368,199140,6212,199140
172,368,199950,6212,199950
173,370,200950,6212,200950
174,372,201420,6212,201420
175,374,202420,6212,202420
175,374,202420,6212,202420
175,374,202740,6212,202740
175,374,202740,6212,202740
175,374,202970,6212,202970
175,374,203190,6212,203190
175,374,203350,6212,203350
176,378,204350,6212,204350
177,380,204670,6212,204670
177,380,204670,6212,204670
178,384,204670,6212,204670
178,384,205480,6212,205480
178,384,206030,6212,206030
178,384,206500,6212,206500
178,384,207050,6212,207050
178,384,207600,6212,207600
178,384,208410,6212,208410
178,384,209220,6212,209220
178,384,210030,6212,210030
178,384,211030,6212,211030
178,384,211840,6212,211840
179,388,212490,6212,212490
179,388,213080,6212,213080
179,388,213080,6212,213080
179,388,213890,6212,213890
180,390,214350,6212,214350
180,390,215160,6212,215160
181,394,215160,6212,215160
181,394,215970,6212,215970
182,398,216620,6212,216620
182,398,216940,6212,216940
182,398,217170,6212,217170
182,398,217720,6212,217720
182,398,217880,6212,217880
182,398,218340,6212,218340
182,398,218820,6212,218820
183,400,219820,6212,219820
184,404,219820,6212,219820
184,404,220050,6212,220050
185,408,220050,6212,220050
185,408,220520,6212,220520
185,408,221330,6212,221330
185,408,222140,6212,222140
186,412,222610,6212,222610
187,416,222610,6212,222610
187,416,223070,6212,223070
187,416,223540,6212,223540
187,416,223860,6212,223860
187,416,224330,6212,224330
188,420,224980,6212,224980
188,420,225980,6212,225980
188,420,226980,6212,226980
188,420,227630,6212,227630
189,424,228100,6212,228100
189,424,228560,6212,228560
189,424,229210,6212,229210
189,424,229680,6212,229680
190,426,230490,6212,230490
190,426,231490,6212,231490
191,430,232140,6212,232140
191,430,232610,6212,232610
191,430,232610,6212,232610
192,432,233610,6212,233610
192,432,233930,6212,233930
192,432,234410,6212,234410
192,432,235220,6212,235220
192,432,236030,6212,236030
192,432,236500,6212,236500
192,432,236500,6212,236500
192,432,236500,6212,236500
193,434,237310,6212,237310
194,438,237780,6212,237780
194,438,237780,6212,237780
194,438,237940,6212,237940
194,438,238750,6212,238750
194,438,239400,6212,239400
195,440,240400,6212,240400
195,440,241400,6212,241400
195,440,241870,6212,241870
196,444,242340,6212,242340
196,444,242340,6212,242340
196,444,243150,6212,243150
196,444,243960,6212,243960
196,444,243960,6212,243960
197,446,244960,6212,244960
197,446,245770,6212,245770
197,446,245990,6212,245990
198,450,246460,6212,246460
199,452,247270,6212,247270
199,452,247500,6212,247500
199,452,247970,6212,247970
199,452,248970,6212,248970
199,452,249130,6212,249130
199,452,250130,6212,250130
199,452,250780,6212,250780
200,454,251590,6212,251590
200,454,252140,6212,252140
201,456,252950,6212,252950
201,456,253420,6212,253420
201,456,253420,6212,253420
202,458,254230,6212,254230
202,458,255230,6212,255230
202,458,255690,6212,255690
203,460,256150,6212,256150
203,460,256150,6212,256150
203,460,256620,6212,256620
203,460,257620,6212,257620
203,460,257620,6212,257620
204,462,258430,6212,258430
204,462,259240,6212,259240
205,466,259890,6212,259890
205,466,260890,6212,260890
206,468,261890,6212,261890
206,468,262360,6212,262360
206,468,263170,6212,263170
206,468,263980,6212,263980
207,470,264450,6212,264450
207,470,264920,6212,264920
207,470,265920,6212,265920
207,470,266250,6212,266250
208,472,267250,6212,267250
208,472,268250,6212,268250
209,474,269250,6212,269250
209,474,270250,6212,270250
210,476,271060,6212,271060
210,476,271060,6212,271060
210,476,271710,6212,271710
211,478,272360,6212,272360
211,478,272360,6212,272360
211,478,272950,6212,272950
211,478,273110,6212,273110
211,478,273430,6212,273430
212,480,274430,6212,274430
212,480,275430,6212,275430
213,482,276240,6212,276240
213,482,276710,6212,276710
214,484,277520,6212,277520
214,484,278520,6212,278520
215,486,279330,6212,279330
215,486,279800,6212,279800
215,486,279800,6212,279800
215,486,280610,6212,280610
215,486,280610,6212,280610
216,490,281080,6212,281080
216,490,281730,6212,281730
216,490,281780,6212,281780
216,490,281780,6212,281780
216,490,282250,6212,282250
216,490,282360,6212,282360
216,490,282360,6212,282360
216,490,283360,6212,283360
216,490,283680,6212,283680
216,490,284490,6212,284490
217,492,284950,6212,284950
217,492,285760,6212,285760
217,492,285760,6212,285760
217,492,285990,6212,285990
217,492,285990,6212,285990
218,494,286990,6212,286990
218,494,287460,6212,287460
218,494,287930,6212,287930
219,496,288740,6212,288740
219,496,289330,6212,289330
219,496,289800,6212,289800
220,498,290800,6212,290800
220,498,291030,6212,291030
220,498,291350,6212,291350
220,498,292350,6212,292350
221,500,293350,6212,293350
221,500,294350,6212,294350
222,502,295160,6212,295160
222,502,295160,6212,295160
222,502,296160,6212,296160
223,504,296630,6212,296630
223,504,296950,6212,296950
223,504,297950,6212,297950
223,504,298270,6212,298270
224,506,298820,6212,298820
224,506,298820,6212,298820
224,506,299290,6212,299290
224,506,299520,6212,299520
224,506,299990,6212,299990
224,506,299990,6212,299990
225,508,300800,6212,300800
225,508,300800,6212,300800
225,508,301030,6212,301030
225,508,301500,6212,301500
225,508,301970,6212,301970
226,510,302780,6212,302780
226,510,303780,6212,303780
227,512,304590,6212,304590
227,512,305400,6212,305400
227,512,305400,6212,305400
227,512,305400,6212,305400
227,512,305630,6212,305630
228,514,306630,6212,306630
228,514,307630,6212,307630
229,518,308100,6212,308100
229,518,308570,6212,308570
229,518,309570,6212,309570
229,518,310570,6212,310570
229,518,311570,6212,311570
230,520,312040,6212,312040
230,520,312510,6212,312510
230,520,312510,6212,312510
230,520,313320,6212,313320
231,522,314320,6212,314320
231,522,315130,6212,315130
232,524,316130,6212,316130
232,524,316780,6212,316780
233,526,317250,6212,317250
233,526,317480,6212,317480
233,526,317800,6212,317800
233,526,318120,6212,318120
233,526,318930,6212,318930
234,528,319740,6212,319740
234,528,320210,6212,320210
235,530,320760,6212,320760
235,530,321760,6212,321760
236,532,322410,6212,322410
236,532,322410,6212,322410
236,532,323410,6212,323410
237,534,324410,6212,324410
237,534,325410,6212,325410
237,534,325730,6212,325730
238,536,326280,6212,326280
238,536,326280,6212,326280
238,536,327090,6212,327090
238,536,327410,6212,327410
239,538,327880,6212,327880
239,538,328350,6212,328350
239,538,329000,6212,329000
240,540,330000,6212,330000
240,540,331000,6212,331000
241,542,332000,6212,332000
241,542,332590,6212,332590
242,544,333240,6212,333240
242,544,333710,6212,333710
243,546,334710,6212,334710
243,546,335030,6212,335030
243,546,335030,6212,335030
243,546,336030,6212,336030
243,546,336030,6212,336030
243,546,336030,6212,336030
244,548,337030,6212,337030
244,548,338030,6212,338030
245,550,339030,6212,339030
245,550,339030,6212,339030
245,550,339840,6212,339840
246,552,340650,6212,340650
246,552,341650,6212,341650
246,552,342120,6212,342120
247,554,342930,6212,342930
247,554,343150,6212,343150
247,554,343800,6212,343800
247,554,343800,6212,343800
248,556,344800,6212,344800
248,556,345130,6212,345130
248,556,345940,6212,345940
249,558,346750,6212,346750
249,558,347400,6212,347400
249,558,347720,6212,347720
250,560,348370,6212,348370
250,560,349370,6212,349370
251,564,349840,6212,349840
252,566,350650,6212,350650
253,574,350880,6212,350880
253,574,351880,6212,351880
253,574,351880,6212,351880
253,574,352110,6212,352110
253,574,352340,6212,352340
253,574,352810,6212,352810
253,574,352810,6212,352810
254,576,353620,6212,353620
254,576,354620,6212,354620
255,578,355430,6212,355430
255,578,356430,6212,356430
255,578,357430,6212,357430
255,578,358240,6212,358240
255,578,358240,6212,358240
255,578,358240,6212,358240
255,578,358700,6212,358700
255,578,358700,6212,358700
255,578,358700,6212,358700
255,578,359290,6212,359290
256,586,367290,6212,367290
257,588,367940,6212,367940
257,588,368410,6212,368410
258,590,369220,6212,369220
258,590,370030,6212,370030
259,592,370840,6212,370840
259,592,371840,6212,371840
259,592,372160,6212,372160
260,594,373160,6212,373160
260,594,373390,6212,373390
260,594,374200,6212,374200
260,594,374200,6212,374200
261,596,375010,6212,375010
261,596,375820,6212,375820
262,598,376630,6212,376630
262,598,377100,6212,377100
262,598,377100,6212,377100
262,598,377570,6212,377570
262,598,378040,6212,378040
263,600,379040,6212,379040
263,600,379040,6212,379040
263,600,379150,6212,379150
263,600,379150,6212,379150
263,600,380150,6212,380150
263,600,380150,6212,380150
264,602,381150,6212,381150
264,602,381470,6212,381470
264,602,381470,6212,381470
264,602,381470,6212,381470
264,602,382470,6212,382470
265,604,383280,6212,383280
265,604,383750,6212,383750
265,604,383860,6212,383860
266,606,384670,6212,384670
266,606,385140,6212,385140
