ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
902856.74,14.73,1.11,207031.82,3.38
902468.51,14.73,1.11,206542.18,3.37
902082.97,14.72,1.1,206045.24,3.36
901694.74,14.72,1.1,205555.6,3.36
901995.01,14.72,1.1,205244.61,3.35
902118.3,14.73,1.11,205209.05,3.35
902893.13,14.74,1.12,205531.48,3.36
903506.79,14.75,1.13,205645.27,3.36
903747.35,14.76,1.14,205662.9,3.36
904522.18,14.77,1.15,205985.32,3.36
904100.03,14.77,1.15,205563.17,3.36
904328.1,14.77,1.15,205543.31,3.36
906016.22,14.8,1.18,206620.18,3.37
907144.3,14.82,1.2,207440.04,3.39
907444.57,14.82,1.2,207129.05,3.38
907059.03,14.82,1.2,206632.12,3.38
907192.79,14.83,1.2,206130.75,3.37
907162.83,14.83,1.21,205797.75,3.36
907286.12,14.83,1.21,205762.19,3.36
907305.72,14.83,1.21,205556.8,3.36
907223.07,14.83,1.21,205800.92,3.36
907086.86,14.83,1.21,205678.23,3.36
906664.71,14.82,1.2,205256.08,3.36
906724.04,14.82,1.2,204960.34,3.35
906808.41,14.83,1.21,205068.57,3.35
907074.76,14.83,1.21,204825.08,3.35
906686.53,14.83,1.21,204335.43,3.34
906738.46,14.83,1.21,204454.03,3.34
908994.62,14.87,1.25,207950.39,3.4
909141.66,14.87,1.25,208794.69,3.42
912449.8,14.93,1.31,211171.7,3.45
912750.07,14.93,1.31,210860.71,3.45
913438.19,14.95,1.33,210937.57,3.45
913016.04,14.94,1.32,210515.42,3.45
913790.87,14.96,1.34,210837.84,3.45
913810.48,14.96,1.34,210632.45,3.45
913528.86,14.95,1.33,210394.42,3.44
913750.18,14.96,1.34,210526.99,3.45
913750.18,14.96,1.34,210526.99,3.45
913802.11,14.96,1.34,210645.59,3.45
914498.89,14.97,1.35,211080.11,3.46
914765.24,14.98,1.36,210836.61,3.45
914735.28,14.98,1.36,210503.61,3.45
914347.06,14.98,1.35,210013.97,3.44
914398.99,14.98,1.36,210083.43,3.44
914840.33,14.99,1.37,210175.77,3.44
915615.16,15.0,1.38,210498.19,3.45
915881.51,15.01,1.39,210254.7,3.44
915881.51,15.01,1.39,210254.7,3.44
915731.92,15.0,1.38,210257.76,3.45
915945.21,15.01,1.39,210312.2,3.45
916078.97,15.01,1.39,209810.83,3.44
915500.74,15.01,1.39,209131.19,3.43
915243.24,15.0,1.38,208897.56,3.42
915856.9,15.02,1.4,209011.35,3.43
915990.66,15.02,1.4,208509.98,3.42
917160.91,15.04,1.42,209671.36,3.44
916775.38,15.04,1.42,209174.43,3.43
916859.74,15.04,1.42,209282.66,3.43
917878.62,15.06,1.44,210316.08,3.45
917930.56,15.06,1.44,210434.67,3.45
917982.49,15.06,1.44,210504.13,3.45
918034.42,15.07,1.45,210622.73,3.46
918157.71,15.07,1.45,210587.17,3.46
918424.06,15.08,1.46,210343.67,3.45
918547.35,15.08,1.46,210308.11,3.45
918159.12,15.07,1.45,209818.47,3.44
918387.19,15.08,1.46,209956.42,3.45
