ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
95,192,143810,6212,143810
95,192,143810,6212,143810
96,194,144810,6212,144810
96,194,144810,6212,144810
96,194,145810,6212,145810
97,196,146280,6212,146280
97,196,146510,6212,146510
98,198,147160,6212,147160
98,198,147630,6212,147630
98,198,148440,6212,148440
99,200,149440,6212,149440
100,202,150250,6212,150250
100,202,150710,6212,150710
100,202,151180,6212,151180
101,204,151990,6212,151990
101,204,152220,6212,152220
102,206,153220,6212,153220
102,206,153690,6212,153690
102,206,154340,6212,154340
103,208,155150,6212,155150
103,208,155310,6212,155310
103,208,155310,6212,155310
103,208,156120,6212,156120
103,208,157120,6212,157120
104,210,157770,6212,157770
104,210,158240,6212,158240
104,210,158290,6212,158290
104,210,158610,6212,158610
105,212,159420,6212,159420
105,212,159890,6212,159890
105,212,160540,6212,160540
106,214,161540,6212,161540
106,214,162540,6212,162540
107,216,163540,6212,163540
108,218,164000,6212,164000
108,218,164000,6212,164000
108,218,165000,6212,165000
108,218,165000,6212,165000
108,218,165000,6212,165000
109,220,166000,6212,166000
109,220,166320,6212,166320
109,220,167130,6212,167130
109,220,168130,6212,168130
109,220,169130,6212,169130
110,222,170130,6212,170130
110,222,170590,6212,170590
111,224,171400,6212,171400
111,224,172400,6212,172400
112,226,173400,6212,173400
112,226,174210,6212,174210
113,228,175020,6212,175020
113,228,175020,6212,175020
113,228,176020,6212,176020
113,228,177020,6212,177020
114,230,178020,6212,178020
114,230,178830,6212,178830
115,232,179300,6212,179300
115,232,180300,6212,180300
115,232,181110,6212,181110
115,232,181430,6212,181430
115,232,181430,6212,181430
115,232,181430,6212,181430
116,234,182430,6212,182430
116,234,183430,6212,183430
117,236,183650,6212,183650
117,236,183650,6212,183650
117,236,184460,6212,184460
118,238,185460,6212,185460
118,238,186460,6212,186460
119,240,187270,6212,187270
119,240,187740,6212,187740
119,240,188550,6212,188550
119,240,188550,6212,188550
120,242,189550,6212,189550
121,244,189820,6212,189820
121,244,190470,6212,190470
121,244,191280,6212,191280
122,246,192090,6212,192090
122,246,192560,6212,192560
123,248,193020,6212,193020
123,248,194020,6212,194020
123,248,194340,6212,194340
123,248,194810,6212,194810
123,248,195620,6212,195620
124,250,196430,6212,196430
125,252,197430,6212,197430
125,252,198430,6212,198430
125,252,199240,6212,199240
126,254,200240,6212,200240
127,256,201050,6212,201050
127,256,202050,6212,202050
128,258,203050,6212,203050
128,258,203050,6212,203050
128,258,203050,6212,203050
128,258,203860,6212,203860
129,260,204330,6212,204330
129,260,205140,6212,205140
130,262,205950,6212,205950
130,262,206320,6212,206320
130,262,206970,6212,206970
130,262,206970,6212,206970
130,262,207970,6212,207970
130,262,207970,6212,207970
131,264,208780,6212,208780
132,266,209780,6212,209780
133,268,210780,6212,210780
133,268,211590,6212,211590
134,270,212400,6212,212400
134,270,212870,6212,212870
134,270,212870,6212,212870
134,270,212870,6212,212870
134,270,213680,6212,213680
134,270,214680,6212,214680
134,270,215000,6212,215000
135,272,215320,6212,215320
135,272,216130,6212,216130
136,274,217130,6212,217130
136,274,217450,6212,217450
136,274,218450,6212,218450
136,274,218450,6212,218450
137,276,218920,6212,218920
137,276,218920,6212,218920
137,276,219150,6212,219150
137,276,220150,6212,220150
138,278,221150,6212,221150
139,280,222150,6212,222150
139,280,223150,6212,223150
139,280,223150,6212,223150
139,280,223150,6212,223150
139,280,223310,6212,223310
140,282,224310,6212,224310
140,282,224770,6212,224770
140,282,225240,6212,225240
140,282,226240,6212,226240
140,282,226350,6212,226350
141,284,227160,6212,227160
141,284,227630,6212,227630
142,286,228630,6212,228630
142,286,229280,6212,229280
143,288,230090,6212,230090
143,288,231090,6212,231090
143,288,231090,6212,231090
143,288,231900,6212,231900
144,290,232370,6212,232370
144,290,233180,6212,233180
145,298,233180,6212,233180
146,300,233830,6212,233830
146,300,234640,6212,234640
147,302,235450,6212,235450
147,302,236260,6212,236260
148,304,237260,6212,237260
148,304,237480,6212,237480
148,304,238480,6212,238480
149,306,239130,6212,239130
150,308,240130,6212,240130
150,308,240130,6212,240130
150,308,240450,6212,240450
150,308,240450,6212,240450
150,308,241450,6212,241450
150,308,242100,6212,242100
151,310,242750,6212,242750
151,310,243070,6212,243070
152,318,243070,6212,243070
152,318,243540,6212,243540
153,320,244350,6212,244350
153,320,244900,6212,244900
153,320,245220,6212,245220
154,322,246220,6212,246220
154,322,247220,6212,247220
154,322,248220,6212,248220
154,322,248680,6212,248680
155,324,249490,6212,249490
156,326,250490,6212,250490
156,326,251490,6212,251490
156,326,252140,6212,252140
157,328,252950,6212,252950
158,330,253950,6212,253950
158,330,254760,6212,254760
158,330,255080,6212,255080
158,330,255080,6212,255080
158,330,256080,6212,256080
159,332,256890,6212,256890
159,332,257540,6212,257540
160,334,258540,6212,258540
160,334,258770,6212,258770
161,336,259240,6212,259240
161,336,259240,6212,259240
161,336,259240,6212,259240
161,336,259470,6212,259470
161,336,260280,6212,260280
161,336,260280,6212,260280
161,336,260740,6212,260740
162,338,261210,6212,261210
162,338,262020,6212,262020
162,338,263020,6212,263020
163,340,264020,6212,264020
163,340,264250,6212,264250
164,342,264900,6212,264900
164,342,264900,6212,264900
164,342,265550,6212,265550
164,342,266550,6212,266550
165,350,266550,6212,266550
166,352,267550,6212,267550
166,352,268550,6212,268550
167,354,269360,6212,269360
167,354,270170,6212,270170
167,354,270640,6212,270640
168,356,271110,6212,271110
168,356,271920,6212,271920
169,358,272920,6212,272920
170,360,273570,6212,273570
170,360,274570,6212,274570
170,360,275040,6212,275040
170,360,275510,6212,275510
171,362,276320,6212,276320
172,364,277320,6212,277320
172,364,278130,6212,278130
172,364,278130,6212,278130
172,364,279130,6212,279130
173,366,280130,6212,280130
173,366,280600,6212,280600
174,368,281070,6212,281070
174,368,281070,6212,281070
174,368,281230,6212,281230
174,368,282230,6212,282230
174,368,282230,6212,282230
175,370,283230,6212,283230
175,370,284230,6212,284230
175,370,284550,6212,284550
176,372,285550,6212,285550
176,372,286550,6212,286550
176,372,287360,6212,287360
177,374,288360,6212,288360
177,374,288830,6212,288830
178,376,289640,6212,289640
178,376,290110,6212,290110
178,376,291110,6212,291110
178,376,291270,6212,291270
179,378,292270,6212,292270
179,378,293270,6212,293270
180,380,294270,6212,294270
180,380,295270,6212,295270
180,380,295380,6212,295380
181,388,295380,6212,295380
182,390,296380,6212,296380
182,390,296610,6212,296610
182,390,296610,6212,296610
183,392,297420,6212,297420
183,392,298010,6212,298010
183,392,298470,6212,298470
184,394,299470,6212,299470
184,394,300470,6212,300470
185,396,301280,6212,301280
185,396,302090,6212,302090
186,398,302740,6212,302740
186,398,303740,6212,303740
186,398,304060,6212,304060
186,398,304280,6212,304280
186,398,304280,6212,304280
186,398,304740,6212,304740
186,398,304740,6212,304740
186,398,304960,6212,304960
187,400,305510,6212,305510
187,400,306320,6212,306320
187,400,306320,6212,306320
188,402,307130,6212,307130
188,402,307940,6212,307940
189,410,307940,6212,307940
190,412,308940,6212,308940
190,412,309410,6212,309410
191,414,309880,6212,309880
191,414,310880,6212,310880
191,414,311350,6212,311350
191,414,311350,6212,311350
191,414,312160,6212,312160
191,414,312160,6212,312160
192,416,313160,6212,313160
193,418,313810,6212,313810
193,418,314620,6212,314620
194,420,315090,6212,315090
194,420,315900,6212,315900
194,420,316370,6212,316370
194,420,317370,6212,317370
195,422,318370,6212,318370
196,424,319180,6212,319180
196,424,320180,6212,320180
197,426,321180,6212,321180
197,426,322180,6212,322180
197,426,322730,6212,322730
197,426,322730,6212,322730
198,428,323730,6212,323730
199,430,324200,6212,324200
199,430,324520,6212,324520
199,430,325520,6212,325520
200,432,326520,6212,326520
200,432,327520,6212,327520
201,440,327520,6212,327520
201,440,327890,6212,327890
202,442,328890,6212,328890
202,442,329890,6212,329890
