ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9b1b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
859212.78,14.02,0.42,183907.39,3.0
859481.6,14.02,0.43,184371.89,3.01
859281.93,14.02,0.42,184253.28,3.01
858937.15,14.01,0.42,183908.77,3.0
858988.84,14.02,0.42,184031.88,3.0
858852.88,14.02,0.42,183948.58,3.0
859121.7,14.02,0.43,184174.58,3.01
859173.4,14.03,0.43,184297.68,3.01
859225.09,14.03,0.43,184395.31,3.01
859887.25,14.04,0.45,184457.17,3.01
859938.94,14.04,0.45,184580.28,3.01
859814.05,14.04,0.45,183964.07,3.0
859601.1,14.04,0.45,183642.15,3.0
859864.78,14.05,0.45,190171.71,3.11
863943.57,14.11,0.52,191365.81,3.13
864284.5,14.12,0.53,191106.45,3.12
864148.54,14.12,0.53,191106.71,3.12
864012.58,14.12,0.53,191003.54,3.12
863667.8,14.12,0.52,190793.41,3.12
863936.62,14.12,0.53,191019.4,3.12
865856.54,14.15,0.56,193034.59,3.16
866197.47,14.16,0.57,192775.23,3.15
866512.39,14.17,0.57,192562.99,3.15
866167.61,14.17,0.57,192352.85,3.15
866167.61,14.17,0.57,192352.66,3.15
866031.65,14.17,0.57,192333.05,3.15
865895.69,14.17,0.57,192249.75,3.15
866539.27,14.18,0.58,192412.25,3.15
866617.85,14.18,0.58,192371.62,3.15
866617.85,14.18,0.58,192371.62,3.15
866617.85,14.18,0.58,192523.3,3.15
866617.85,14.18,0.58,192587.38,3.15
866481.89,14.18,0.58,192484.48,3.15
866345.93,14.18,0.58,192484.48,3.15
866614.75,14.19,0.59,192558.96,3.15
866269.97,14.18,0.58,192381.57,3.15
866269.97,14.18,0.58,192215.79,3.15
866321.66,14.18,0.59,192457.66,3.15
866384.43,14.19,0.59,192070.93,3.14
866444.17,14.19,0.59,198118.76,3.24
866154.49,14.18,0.59,197836.88,3.24
865864.82,14.18,0.58,197629.94,3.24
864777.14,14.18,0.58,197629.94,3.24
865107.87,14.19,0.59,197774.13,3.24
865159.57,14.19,0.59,197897.23,3.25
865023.61,14.19,0.59,197877.62,3.25
864887.65,14.19,0.59,197794.33,3.24
864939.34,14.19,0.6,197891.95,3.25
864260.57,14.18,0.59,197213.18,3.24
871113.15,14.3,0.7,199115.37,3.27
870700.22,14.29,0.69,198738.44,3.26
870969.05,14.3,0.7,198809.0,3.26
870833.09,14.3,0.7,198789.39,3.26
870697.13,14.3,0.7,198706.09,3.26
870987.59,14.3,0.71,198396.26,3.26
870464.11,14.3,0.7,197872.78,3.25
869785.34,14.29,0.69,197194.01,3.24
869132.58,14.28,0.68,196468.12,3.23
868935.2,14.28,0.68,196288.17,3.22
868986.89,14.28,0.68,196678.26,3.23
869170.6,14.28,0.69,196762.89,3.23
869439.43,14.29,0.69,197127.8,3.24
869883.99,14.3,0.7,196827.52,3.24
869697.24,14.3,0.7,196769.93,3.23
869352.45,14.29,0.7,196589.35,3.23
869216.49,14.29,0.7,196486.45,3.23
