ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
50,118,58720,6212,58720
50,118,59530,6212,59530
51,120,60530,6212,60530
51,120,61530,6212,61530
51,120,61530,6212,61530
51,120,62340,6212,62340
52,122,63340,6212,63340
52,122,64340,6212,64340
53,124,65340,6212,65340
54,126,66340,6212,66340
55,128,66990,6212,66990
55,128,67800,6212,67800
56,129,68800,6212,68800
56,129,69800,6212,69800
57,131,70270,6212,70270
57,131,70590,6212,70590
58,133,70590,6212,70590
59,135,71400,6212,71400
60,136,72210,6212,72210
61,137,72760,6212,72760
61,137,73570,6212,73570
62,139,73570,6212,73570
63,141,73570,6212,73570
64,145,74570,6212,74570
64,145,75570,6212,75570
64,145,76570,6212,76570
64,145,77380,6212,77380
65,147,78380,6212,78380
66,149,78850,6212,78850
67,151,79850,6212,79850
68,153,80850,6212,80850
69,154,81660,6212,81660
70,156,82660,6212,82660
71,158,83660,6212,83660
71,158,84660,6212,84660
72,160,84660,6212,84660
73,164,84660,6212,84660
73,164,84660,6212,84660
73,164,84660,6212,84660
74,166,85660,6212,85660
75,167,86660,6212,86660
76,169,87660,6212,87660
76,169,88470,6212,88470
77,173,88470,6212,88470
77,173,88470,6212,88470
78,175,89470,6212,89470
79,177,89470,6212,89470
80,179,89470,6212,89470
81,181,89470,6212,89470
82,183,90120,6212,90120
82,183,90930,6212,90930
83,185,90930,6212,90930
83,185,91930,6212,91930
84,187,92930,6212,92930
85,188,93400,6212,93400
85,188,94400,6212,94400
86,189,95400,6212,95400
86,189,96210,6212,96210
87,191,97210,6212,97210
88,193,98210,6212,98210
89,195,98210,6212,98210
90,197,98860,6212,98860
