ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6d06-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1616969.17,26.36,0.91,217942.13,3.55
1617079.31,26.36,0.91,217685.57,3.55
1617722.75,26.38,0.93,218007.04,3.55
1617832.88,26.38,0.93,217750.48,3.55
1617960.58,26.39,0.94,217558.8,3.55
1617491.77,26.39,0.94,217030.3,3.54
1617619.46,26.39,0.94,216838.62,3.54
1618009.26,26.4,0.95,216899.84,3.54
1617803.06,26.4,0.95,216910.76,3.54
1618833.92,26.42,0.97,217780.65,3.55
1618866.46,26.42,0.97,217666.96,3.55
1618982.15,26.42,0.97,217446.44,3.55
1621716.3,26.47,1.02,220860.68,3.6
1621843.99,26.47,1.02,220669.0,3.6
1621186.41,26.47,1.02,219951.99,3.59
1620980.21,26.47,1.02,219949.97,3.59
1620962.05,26.47,1.02,220037.28,3.59
1621233.19,26.48,1.02,220894.54,3.61
1623827.9,26.52,1.07,223100.78,3.64
1623955.59,26.52,1.07,222909.09,3.64
1624986.45,26.54,1.09,223778.99,3.66
1626017.31,26.56,1.11,224648.88,3.67
1627048.17,26.57,1.12,225518.77,3.68
1627522.26,26.59,1.13,225620.3,3.69
1626996.05,26.58,1.13,225130.64,3.68
1628026.91,26.6,1.15,226000.53,3.69
1627762.35,26.6,1.15,225967.13,3.69
1627905.28,26.6,1.15,225745.69,3.69
1627777.7,26.6,1.15,225558.69,3.69
1627516.63,26.6,1.15,225544.42,3.69
1626859.04,26.6,1.15,224827.41,3.68
1626332.84,26.59,1.14,224337.75,3.67
1626460.53,26.6,1.15,224146.07,3.67
1626254.33,26.6,1.15,224075.24,3.67
1627648.27,26.62,1.17,225139.02,3.68
1628122.35,26.63,1.18,225240.54,3.68
1628250.05,26.64,1.19,225048.86,3.68
1629280.91,26.66,1.21,225918.75,3.7
1628634.22,26.65,1.2,225274.37,3.69
1628506.64,26.65,1.2,225087.37,3.68
1628300.44,26.65,1.2,225081.96,3.68
1627756.68,26.64,1.19,224527.42,3.68
1627212.91,26.64,1.19,223972.89,3.67
1626966.05,26.64,1.19,224601.12,3.68
1626422.28,26.63,1.18,224046.59,3.67
1626503.62,26.64,1.19,224023.78,3.67
1627147.06,26.65,1.2,224345.25,3.67
1626515.43,26.65,1.2,223707.43,3.66
1626282.89,26.65,1.2,223704.26,3.67
1625739.13,26.64,1.19,223149.73,3.66
1625848.1,26.65,1.2,222892.01,3.65
1625808.6,26.65,1.2,222844.32,3.65
1625524.83,26.65,1.2,222549.78,3.65
1625652.53,26.65,1.2,222358.09,3.65
1625780.22,26.66,1.21,222166.41,3.64
1625661.38,26.66,1.21,221988.15,3.64
1624912.38,26.65,1.2,221273.37,3.63
1624372.23,26.65,1.2,220775.62,3.62
1624515.16,26.65,1.2,220554.18,3.62
1624624.13,26.66,1.21,220296.46,3.61
1624584.63,26.66,1.21,220248.77,3.61
1624693.6,26.67,1.22,219991.05,3.61
1624716.01,26.67,1.22,219954.05,3.61
1624843.71,26.67,1.23,219762.36,3.61
1624557.93,26.67,1.22,219477.74,3.6
1624590.47,26.67,1.22,219364.05,3.6
1623856.7,26.66,1.21,218619.51,3.59
1626739.08,26.71,1.26,221699.54,3.64
1626882.01,26.72,1.27,221478.1,3.64
1626675.81,26.72,1.27,221476.08,3.64
1626135.66,26.71,1.26,220978.33,3.63
1626263.35,26.72,1.27,220786.64,3.63
1628013.13,26.75,1.3,222739.87,3.66
1628140.82,26.75,1.31,222548.19,3.66
1628784.26,26.77,1.32,222869.66,3.66
1628766.1,26.77,1.32,222956.97,3.66
1628909.03,26.78,1.33,222735.53,3.66
1629383.12,26.79,1.34,222837.05,3.66
1632265.49,26.84,1.39,225917.08,3.71
1633659.42,26.86,1.41,226980.86,3.73
1633995.9,26.87,1.42,227815.87,3.75
1633956.4,26.87,1.42,227768.18,3.75
1633914.33,26.87,1.42,227761.95,3.75
1633370.57,26.86,1.41,227207.41,3.74
1633337.9,26.87,1.42,227983.67,3.75
1632794.14,26.86,1.41,227429.13,3.74
1634709.18,26.89,1.44,228732.9,3.76
1636103.11,26.91,1.46,229796.68,3.78
1636230.81,26.92,1.47,229605.0,3.78
