ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e813-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
61,335,53500,6212,53500
62,337,53500,6212,53500
63,339,53500,6212,53500
64,341,54500,6212,54500
65,349,55310,6212,55310
66,357,55310,6212,55310
67,359,55780,6212,55780
68,361,56250,6212,56250
69,369,56720,6212,56720
70,377,57720,6212,57720
71,379,57720,6212,57720
72,387,58720,6212,58720
73,391,59720,6212,59720
74,399,60530,6212,60530
75,401,61000,6212,61000
76,405,61470,6212,61470
77,413,61470,6212,61470
78,421,61930,6212,61930
79,429,62930,6212,62930
80,437,62930,6212,62930
81,445,63160,6212,63160
82,453,64160,6212,64160
83,461,65160,6212,65160
84,469,65630,6212,65630
85,471,66440,6212,66440
86,473,67440,6212,67440
87,481,68440,6212,68440
88,489,69440,6212,69440
89,491,69910,6212,69910
90,499,77910,6212,77910
91,501,78370,6212,78370
92,503,79020,6212,79020
93,511,79020,6212,79020
94,513,79020,6212,79020
95,521,79180,6212,79180
96,529,79990,6212,79990
97,537,80990,6212,80990
98,539,81990,6212,81990
99,547,82990,6212,82990
100,555,83990,6212,83990
101,557,84800,6212,84800
102,565,85800,6212,85800
103,573,85910,6212,85910
104,581,93910,6212,93910
105,585,94910,6212,94910
106,587,95460,6212,95460
107,595,96460,6212,96460
108,597,97460,6212,97460
109,599,98270,6212,98270
110,601,99270,6212,99270
111,603,100270,6212,100270
112,611,102270,6212,102270
113,619,102740,6212,102740
114,621,103740,6212,103740
115,623,105740,6212,105740
116,625,105970,6212,105970
117,627,105970,6212,105970
118,635,106970,6212,106970
119,643,106970,6212,106970
120,651,106970,6212,106970
121,659,107780,6212,107780
122,661,108780,6212,108780
123,663,108780,6212,108780
123,663,109780,6212,109780
124,671,109780,6212,109780
125,673,110250,6212,110250
126,681,110470,6212,110470
126,681,111470,6212,111470
127,689,112470,6212,112470
128,697,112470,6212,112470
129,699,113470,6212,113470
130,707,114470,6212,114470
131,715,114790,6212,114790
131,715,114790,6212,114790
132,717,115790,6212,115790
133,725,116790,6212,116790
134,733,117790,6212,117790
135,741,118790,6212,118790
136,749,119790,6212,119790
137,757,120790,6212,120790
138,765,121110,6212,121110
138,765,121580,6212,121580
139,767,121900,6212,121900
140,775,122900,6212,122900
141,783,122900,6212,122900
142,791,123710,6212,123710
143,793,124710,6212,124710
144,795,125710,6212,125710
145,797,125710,6212,125710
146,805,126710,6212,126710
147,807,127710,6212,127710
148,809,128520,6212,128520
149,817,129520,6212,129520
150,819,130520,6212,130520
151,827,131170,6212,131170
152,835,132170,6212,132170
152,835,133170,6212,133170
152,835,134170,6212,134170
153,839,135170,6212,135170
154,847,135640,6212,135640
155,849,136640,6212,136640
156,857,136640,6212,136640
157,859,136640,6212,136640
158,867,137110,6212,137110
159,875,137660,6212,137660
160,883,138660,6212,138660
161,885,139660,6212,139660
162,893,140660,6212,140660
163,901,141470,6212,141470
164,909,141940,6212,141940
164,909,142940,6212,142940
165,917,143940,6212,143940
166,919,144750,6212,144750
167,921,145750,6212,145750
167,921,146070,6212,146070
168,923,147070,6212,147070
169,931,148070,6212,148070
170,939,148070,6212,148070
171,941,148540,6212,148540
172,943,148540,6212,148540
173,951,149010,6212,149010
174,959,150010,6212,150010
175,967,150010,6212,150010
176,969,150010,6212,150010
177,971,150820,6212,150820
178,973,151820,6212,151820
178,973,152470,6212,152470
179,975,153470,6212,153470
180,983,153790,6212,153790
180,983,154790,6212,154790
181,991,155260,6212,155260
182,999,156260,6212,156260
182,999,156630,6212,156630
183,1007,156630,6212,156630
183,1007,157100,6212,157100
184,1015,157100,6212,157100
185,1019,157910,6212,157910
186,1021,158380,6212,158380
187,1029,158700,6212,158700
188,1033,158700,6212,158700
189,1041,159700,6212,159700
190,1049,160350,6212,160350
191,1053,161160,6212,161160
192,1061,161750,6212,161750
193,1069,162560,6212,162560
193,1069,163560,6212,163560
194,1071,163560,6212,163560
195,1073,164560,6212,164560
196,1075,165370,6212,165370
197,1083,165370,6212,165370
198,1091,166020,6212,166020
198,1091,166250,6212,166250
199,1099,166480,6212,166480
199,1099,166800,6212,166800
200,1107,167610,6212,167610
201,1109,167610,6212,167610
202,1117,168070,6212,168070
203,1119,168290,6212,168290
204,1127,169290,6212,169290
205,1129,169450,6212,169450
206,1137,170000,6212,170000
207,1139,170000,6212,170000
208,1147,171000,6212,171000
208,1147,171810,6212,171810
209,1155,172810,6212,172810
210,1163,172810,6212,172810
211,1171,173810,6212,173810
212,1179,173810,6212,173810
213,1187,174270,6212,174270
214,1195,175270,6212,175270
215,1197,175270,6212,175270
215,1197,176270,6212,176270
