ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
139,260,168130,6212,168130
139,260,168130,6212,168130
139,260,168360,6212,168360
140,262,169010,6212,169010
141,264,169330,6212,169330
141,264,170330,6212,170330
141,264,170330,6212,170330
141,264,170790,6212,170790
142,266,171790,6212,171790
142,266,172790,6212,172790
143,268,173790,6212,173790
143,268,174790,6212,174790
143,268,175790,6212,175790
143,268,176600,6212,176600
144,270,177600,6212,177600
144,270,178410,6212,178410
144,270,179410,6212,179410
145,272,179880,6212,179880
145,272,180880,6212,180880
145,272,181350,6212,181350
145,272,182350,6212,182350
146,276,183000,6212,183000
146,276,184000,6212,184000
146,276,184810,6212,184810
147,278,185810,6212,185810
147,278,186810,6212,186810
147,278,186970,6212,186970
148,282,187970,6212,187970
148,282,188780,6212,188780
148,282,189010,6212,189010
148,282,189330,6212,189330
148,282,190330,6212,190330
148,282,190880,6212,190880
149,286,191880,6212,191880
149,286,192690,6212,192690
149,286,193500,6212,193500
149,286,193970,6212,193970
149,286,194970,6212,194970
150,290,195970,6212,195970
150,290,196970,6212,196970
151,292,197970,6212,197970
151,292,198970,6212,198970
151,292,199970,6212,199970
152,294,200970,6212,200970
152,294,201440,6212,201440
153,298,202440,6212,202440
153,298,202440,6212,202440
153,298,203090,6212,203090
154,302,204090,6212,204090
154,302,205090,6212,205090
154,302,205640,6212,205640
154,302,206450,6212,206450
155,306,207450,6212,207450
155,306,208450,6212,208450
156,310,209450,6212,209450
156,310,210450,6212,210450
157,314,211450,6212,211450
157,314,211590,6212,211590
157,314,212590,6212,212590
158,318,213590,6212,213590
158,318,214590,6212,214590
158,318,215590,6212,215590
159,322,216590,6212,216590
159,322,217060,6212,217060
159,322,218060,6212,218060
160,326,219060,6212,219060
161,330,223060,6212,223060
161,330,224060,6212,224060
161,330,224650,6212,224650
161,330,225650,6212,225650
161,330,225810,6212,225810
161,330,226130,6212,226130
161,330,226290,6212,226290
162,334,227290,6212,227290
162,334,228290,6212,228290
162,334,229290,6212,229290
163,336,230290,6212,230290
163,336,230760,6212,230760
164,340,231410,6212,231410
164,340,232410,6212,232410
164,340,232880,6212,232880
165,344,233880,6212,233880
165,344,234880,6212,234880
166,348,235880,6212,235880
166,348,236880,6212,236880
167,350,237880,6212,237880
167,350,238880,6212,238880
167,350,239880,6212,239880
167,350,240200,6212,240200
167,350,241200,6212,241200
167,350,242010,6212,242010
167,350,242820,6212,242820
168,354,243290,6212,243290
168,354,244100,6212,244100
168,354,244570,6212,244570
168,354,244890,6212,244890
168,354,245700,6212,245700
168,354,246700,6212,246700
168,354,247290,6212,247290
168,354,248290,6212,248290
169,358,249290,6212,249290
169,358,250100,6212,250100
169,358,251100,6212,251100
170,362,252100,6212,252100
170,362,252750,6212,252750
170,362,253750,6212,253750
171,366,254750,6212,254750
171,366,255560,6212,255560
171,366,256020,6212,256020
171,366,256670,6212,256670
171,366,257670,6212,257670
172,370,258670,6212,258670
172,370,259670,6212,259670
172,370,259720,6212,259720
173,372,260720,6212,260720
173,372,261190,6212,261190
173,372,261660,6212,261660
174,376,262310,6212,262310
174,376,263310,6212,263310
174,376,263780,6212,263780
174,376,264430,6212,264430
175,380,265430,6212,265430
175,380,266430,6212,266430
175,380,267240,6212,267240
175,380,268240,6212,268240
175,380,269240,6212,269240
176,384,270240,6212,270240
176,384,271050,6212,271050
176,384,271050,6212,271050
176,384,272050,6212,272050
176,384,272520,6212,272520
176,384,273520,6212,273520
176,384,274520,6212,274520
176,384,274840,6212,274840
176,384,275840,6212,275840
177,386,276840,6212,276840
177,386,277430,6212,277430
177,386,278430,6212,278430
178,390,279430,6212,279430
178,390,280430,6212,280430
179,392,281080,6212,281080
179,392,282080,6212,282080
179,392,283080,6212,283080
180,394,284080,6212,284080
180,394,285080,6212,285080
181,396,286080,6212,286080
181,396,286080,6212,286080
181,396,286550,6212,286550
181,396,287020,6212,287020
181,396,287830,6212,287830
181,396,288830,6212,288830
181,396,289830,6212,289830
182,400,290830,6212,290830
