ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_eee3-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
344574.08,5.55,0.38,171755.33,2.77
344007.37,5.54,0.37,171062.76,2.75
344993.14,5.56,0.38,171504.85,2.76
345139.19,5.56,0.39,171688.28,2.76
348932.3,5.62,0.45,174960.9,2.82
348509.54,5.61,0.44,174504.17,2.81
348978.16,5.62,0.45,174420.14,2.81
348926.44,5.62,0.45,174354.59,2.81
349378.1,5.63,0.46,174189.91,2.81
348710.21,5.62,0.45,173458.34,2.8
349178.84,5.63,0.46,173374.31,2.79
349647.47,5.64,0.46,173290.27,2.79
350116.09,5.65,0.47,173206.24,2.79
349638.2,5.64,0.47,172664.66,2.78
350127.74,5.65,0.47,172537.86,2.78
349476.81,5.64,0.47,171886.93,2.77
350827.57,5.66,0.49,172863.85,2.79
350775.85,5.66,0.49,172815.75,2.79
351244.48,5.67,0.5,172731.71,2.79
351677.77,5.67,0.5,173039.15,2.79
351641.07,5.67,0.5,172876.58,2.79
352441.8,5.69,0.52,173060.97,2.79
352441.8,5.69,0.52,173060.97,2.79
353259.04,5.7,0.53,173288.92,2.8
353727.66,5.71,0.54,173204.89,2.8
353689.77,5.71,0.54,173103.31,2.79
354158.4,5.72,0.55,173019.28,2.79
354239.59,5.72,0.55,173100.48,2.8
354516.87,5.73,0.55,174162.82,2.81
355502.63,5.74,0.57,174604.91,2.82
356319.86,5.76,0.58,174832.86,2.82
355753.16,5.75,0.58,174140.3,2.81
356738.92,5.76,0.59,174582.39,2.82
356071.03,5.75,0.58,173850.81,2.81
356871.76,5.77,0.6,174035.2,2.81
356820.04,5.77,0.6,173930.56,2.81
356152.15,5.76,0.59,173198.99,2.8
355674.26,5.75,0.58,172657.41,2.79
356660.02,5.77,0.6,173099.5,2.8
357149.56,5.78,0.6,173023.11,2.8
357122.85,5.78,0.6,172870.54,2.8
357336.15,5.78,0.61,172957.98,2.8
357232.7,5.78,0.61,172844.32,2.8
356666.0,5.77,0.6,172151.75,2.79
356188.11,5.77,0.59,171610.18,2.78
356188.11,5.77,0.59,171610.18,2.78
356161.4,5.77,0.59,171457.61,2.78
356978.64,5.78,0.61,171685.56,2.78
357447.26,5.79,0.62,171601.53,2.78
357936.8,5.8,0.62,171474.73,2.78
357438.0,5.79,0.62,170925.51,2.77
357889.67,5.8,0.63,170760.84,2.77
358690.4,5.81,0.64,170945.23,2.77
358653.7,5.81,0.64,170782.66,2.77
358175.8,5.8,0.63,170241.09,2.76
357487.0,5.79,0.62,169552.28,2.75
358304.23,5.81,0.64,169780.23,2.75
357653.3,5.8,0.63,169129.3,2.74
358104.97,5.81,0.63,168964.62,2.74
358134.03,5.81,0.63,168993.69,2.74
358280.09,5.81,0.64,169013.89,2.74
359265.85,5.83,0.65,169455.98,2.75
359214.13,5.83,0.65,169446.96,2.75
358737.63,5.82,0.65,168943.4,2.74
358170.92,5.81,0.64,168250.83,2.73
358134.22,5.81,0.64,168088.26,2.73
358951.45,5.82,0.65,168316.22,2.73
358474.95,5.82,0.65,167812.66,2.72
358438.25,5.82,0.65,167650.09,2.72
358906.88,5.83,0.65,167566.06,2.72
359724.11,5.84,0.67,167794.01,2.72
359687.41,5.84,0.67,167631.44,2.72
360156.03,5.85,0.68,167547.41,2.72
359678.14,5.84,0.67,167005.83,2.71
359626.42,5.84,0.67,166940.28,2.71
359739.71,5.84,0.67,167056.98,2.71
359687.99,5.84,0.67,167008.87,2.71
360156.62,5.85,0.68,166924.84,2.71
360625.24,5.86,0.69,166840.81,2.71
361076.91,5.87,0.7,166676.13,2.71
360599.02,5.86,0.69,166134.56,2.7
360121.13,5.86,0.68,165592.98,2.69
361106.89,5.87,0.7,166035.07,2.7
361575.51,5.88,0.71,165951.04,2.7
361538.81,5.88,0.71,165788.47,2.7
362007.44,5.89,0.72,165704.44,2.7
362824.67,5.9,0.73,165932.39,2.7
362346.78,5.9,0.72,165390.82,2.69
362836.32,5.9,0.73,165264.02,2.69
362688.43,5.9,0.73,165052.44,2.69
362700.54,5.9,0.73,165000.86,2.69
362201.73,5.9,0.72,164502.06,2.68
363018.97,5.91,0.74,164730.01,2.68
364004.73,5.93,0.75,165172.1,2.69
364473.35,5.94,0.76,165088.07,2.69
365274.09,5.95,0.78,165272.46,2.69
365742.71,5.96,0.79,165188.43,2.69
366232.26,5.97,0.79,165112.04,2.69
366700.88,5.98,0.8,165028.0,2.69
367169.51,5.98,0.81,164943.97,2.69
368155.27,6.0,0.83,165386.06,2.7
369141.03,6.02,0.84,165828.15,2.7
369104.33,6.02,0.84,165665.59,2.7
369905.06,6.03,0.86,165849.98,2.7
370373.69,6.04,0.87,165765.94,2.7
370825.36,6.05,0.88,165601.27,2.7
370546.55,6.04,0.87,165272.05,2.7
371347.29,6.06,0.89,165456.45,2.7
371815.91,6.07,0.89,165372.41,2.7
372284.54,6.08,0.9,165288.38,2.7
373085.27,6.09,0.92,165472.77,2.7
373553.9,6.1,0.93,165388.74,2.7
374005.57,6.11,0.93,165224.06,2.7
374806.3,6.12,0.95,165408.46,2.7
375792.06,6.14,0.96,165850.55,2.71
375551.13,6.13,0.96,165609.61,2.7
376019.76,6.14,0.97,165525.58,2.7
376471.42,6.15,0.98,165360.91,2.7
