ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
54,156,127070,6212,127070
54,156,127880,6212,127880
55,158,128880,6212,128880
56,160,129530,6212,129530
56,160,129530,6212,129530
56,160,129530,6212,129530
56,160,129760,6212,129760
56,160,130080,6212,130080
56,160,130400,6212,130400
56,160,131210,6212,131210
57,162,132210,6212,132210
57,162,133020,6212,133020
57,162,133020,6212,133020
57,162,133020,6212,133020
58,164,134020,6212,134020
58,164,134830,6212,134830
58,164,134830,6212,134830
58,164,134830,6212,134830
59,165,135640,6212,135640
60,166,135960,6212,135960
61,168,136960,6212,136960
61,168,137960,6212,137960
62,169,138960,6212,138960
63,171,139610,6212,139610
63,171,140610,6212,140610
64,172,141420,6212,141420
64,172,141420,6212,141420
65,174,142420,6212,142420
65,174,143420,6212,143420
66,176,144420,6212,144420
67,178,145230,6212,145230
67,178,145600,6212,145600
67,178,146070,6212,146070
68,180,147070,6212,147070
68,180,147540,6212,147540
68,180,148540,6212,148540
69,182,149540,6212,149540
69,182,150010,6212,150010
70,184,151010,6212,151010
70,184,151820,6212,151820
71,185,152630,6212,152630
72,186,153630,6212,153630
72,186,153630,6212,153630
73,188,154630,6212,154630
73,188,155100,6212,155100
73,188,156100,6212,156100
74,190,156570,6212,156570
74,190,156940,6212,156940
74,190,157940,6212,157940
75,191,158750,6212,158750
76,192,159560,6212,159560
77,193,160020,6212,160020
78,194,160830,6212,160830
79,196,161480,6212,161480
79,196,161710,6212,161710
80,204,161710,6212,161710
80,204,161710,6212,161710
80,204,161710,6212,161710
81,206,162710,6212,162710
81,206,163520,6212,163520
82,210,167520,6212,167520
83,212,168520,6212,168520
83,212,169520,6212,169520
84,214,170520,6212,170520
84,214,171520,6212,171520
85,216,172520,6212,172520
85,216,172990,6212,172990
86,218,173990,6212,173990
