ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
48,160,142000,6212,142000
48,160,142810,6212,142810
49,168,143810,6212,143810
49,168,143810,6212,143810
49,168,144810,6212,144810
49,168,144810,6212,144810
50,176,145810,6212,145810
50,176,146280,6212,146280
50,176,146510,6212,146510
50,176,147160,6212,147160
50,176,147630,6212,147630
50,176,148440,6212,148440
50,176,149440,6212,149440
50,176,150250,6212,150250
50,176,150710,6212,150710
50,176,151180,6212,151180
50,176,151990,6212,151990
50,176,152220,6212,152220
50,176,153220,6212,153220
51,184,153690,6212,153690
51,184,154340,6212,154340
51,184,155150,6212,155150
51,184,155310,6212,155310
51,184,155310,6212,155310
51,184,156120,6212,156120
51,184,157120,6212,157120
51,184,157770,6212,157770
51,184,158240,6212,158240
51,184,158290,6212,158290
51,184,158610,6212,158610
51,184,159420,6212,159420
51,184,159890,6212,159890
52,186,160540,6212,160540
52,186,161540,6212,161540
53,194,162540,6212,162540
53,194,163540,6212,163540
53,194,164000,6212,164000
53,194,164000,6212,164000
53,194,165000,6212,165000
53,194,165000,6212,165000
53,194,165000,6212,165000
53,194,166000,6212,166000
53,194,166320,6212,166320
53,194,167130,6212,167130
53,194,168130,6212,168130
53,194,169130,6212,169130
54,202,170130,6212,170130
54,202,170590,6212,170590
55,204,171400,6212,171400
55,204,172400,6212,172400
55,204,173400,6212,173400
