ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
849692.65,13.86,0.27,179159.01,2.92
849692.65,13.86,0.27,179159.01,2.92
849961.47,13.87,0.27,179023.89,2.92
849761.8,13.86,0.27,178806.06,2.92
849417.01,13.86,0.26,178892.13,2.92
849486.73,13.86,0.27,178600.88,2.91
849317.81,13.86,0.27,179002.53,2.92
849586.63,13.87,0.27,179002.33,2.92
849653.26,13.87,0.27,179712.34,2.93
849697.49,13.87,0.28,179505.26,2.93
849558.75,13.87,0.28,179328.08,2.93
849610.45,13.88,0.28,179328.08,2.93
849474.49,13.88,0.28,179328.08,2.93
849338.53,13.88,0.28,179341.38,2.93
849338.53,13.88,0.28,179341.38,2.93
849338.53,13.88,0.28,179341.38,2.93
849202.57,13.88,0.28,179333.26,2.93
849066.61,13.88,0.28,179328.08,2.93
848930.65,13.88,0.28,179852.31,2.94
848585.86,13.87,0.27,179587.77,2.94
848854.69,13.88,0.28,179846.87,2.94
848854.69,13.88,0.28,179846.87,2.94
848718.73,13.88,0.28,179846.68,2.94
848582.77,13.88,0.28,179846.68,2.94
848237.98,13.87,0.28,179635.25,2.94
848237.98,13.87,0.28,179635.25,2.94
848102.02,13.87,0.28,179682.92,2.94
847966.06,13.87,0.28,179685.9,2.94
848234.89,13.88,0.28,179749.35,2.94
847890.1,13.87,0.28,179637.97,2.94
847890.1,13.87,0.28,179637.97,2.94
847890.1,13.87,0.28,179637.97,2.94
847890.1,13.87,0.28,179637.97,2.94
847769.08,13.87,0.28,180348.15,2.95
847633.12,13.87,0.28,180347.95,2.95
847901.94,13.88,0.28,180347.95,2.95
847557.16,13.87,0.28,180465.04,2.95
847557.16,13.87,0.28,180465.04,2.95
847619.92,13.88,0.28,180080.49,2.95
847594.62,13.88,0.28,179902.78,2.95
847594.62,13.88,0.28,179902.78,2.95
847333.37,13.87,0.28,179641.53,2.94
847224.46,13.87,0.28,179383.8,2.94
846136.78,13.87,0.28,179383.8,2.94
846489.34,13.88,0.28,179243.91,2.94
846508.07,13.88,0.29,179248.39,2.94
846372.11,13.88,0.29,179209.53,2.94
846236.15,13.88,0.29,179283.49,2.94
846287.84,13.89,0.29,180076.68,2.95
846151.88,13.89,0.29,179416.34,2.94
846151.88,13.89,0.29,179416.34,2.94
845811.39,13.88,0.29,179215.99,2.94
846080.22,13.89,0.29,179215.8,2.94
845944.26,13.89,0.29,179215.8,2.94
845808.3,13.89,0.29,179329.31,2.94
845705.3,13.89,0.29,179594.79,2.95
845181.82,13.88,0.28,179071.31,2.94
845012.9,13.88,0.28,178749.97,2.94
844876.94,13.88,0.28,178649.37,2.93
844679.56,13.88,0.28,178636.46,2.93
844731.25,13.88,0.28,178636.46,2.94
844914.96,13.88,0.29,179313.37,2.95
845183.79,13.89,0.29,179357.31,2.95
845455.82,13.9,0.3,179787.12,2.95
845507.52,13.9,0.3,179787.3,2.96
845162.73,13.89,0.3,179857.89,2.96
845026.77,13.89,0.3,179857.52,2.96
845295.6,13.9,0.3,179866.03,2.96
845159.64,13.9,0.3,179889.97,2.96
845211.33,13.9,0.31,179866.93,2.96
845026.52,13.9,0.3,179663.22,2.96
844748.6,13.9,0.3,179365.67,2.95
844612.64,13.9,0.3,179440.38,2.95
844612.64,13.9,0.3,179440.38,2.95
844476.68,13.9,0.3,179356.26,2.95
844528.38,13.9,0.3,180320.17,2.97
844183.59,13.89,0.3,179944.96,2.96
844580.4,13.9,0.31,179945.61,2.96
844580.4,13.9,0.31,179963.68,2.96
844632.09,13.9,0.31,179956.4,2.96
844683.78,13.91,0.31,179944.76,2.96
844735.47,13.91,0.31,179944.76,2.96
844599.51,13.91,0.31,180759.23,2.98
844448.9,13.91,0.31,180601.21,2.97
844500.6,13.91,0.31,180333.75,2.97
844271.57,13.91,0.31,180381.23,2.97
844341.28,13.91,0.31,179944.91,2.96
844360.01,13.91,0.32,181216.0,2.99
844224.05,13.91,0.32,181215.8,2.99
844224.05,13.91,0.32,181215.8,2.99
844088.09,13.91,0.32,182807.7,3.01
844088.09,13.91,0.32,182807.7,3.01
843952.13,13.91,0.32,182807.51,3.01
844258.3,13.92,0.32,183389.88,3.02
844039.5,13.92,0.32,183126.84,3.02
844223.21,13.92,0.32,183126.84,3.02
844226.05,13.92,0.33,182849.4,3.02
844277.74,13.92,0.33,182849.4,3.02
844141.78,13.92,0.33,182977.78,3.02
844193.47,13.93,0.33,182916.04,3.02
844469.94,13.93,0.34,182849.4,3.02
844127.52,13.93,0.33,183580.16,3.03
844179.21,13.93,0.33,183663.04,3.03
843979.53,13.93,0.33,182915.12,3.02
843850.62,13.93,0.33,183609.4,3.03
844119.44,13.93,0.34,183609.21,3.03
844303.16,13.94,0.34,183609.21,3.03
844354.85,13.94,0.34,183609.21,3.03
844197.2,13.94,0.34,183462.96,3.03
844197.2,13.94,0.34,183584.23,3.03
844248.89,13.94,0.34,183547.6,3.03
844112.93,13.94,0.35,183586.67,3.03
844296.64,13.95,0.35,183597.74,3.03
843966.79,13.94,0.35,185272.06,3.06
843916.79,13.94,0.34,185222.06,3.06
843747.63,13.94,0.34,184809.9,3.05
843740.87,13.94,0.34,183977.82,3.04
844027.3,13.95,0.35,184933.62,3.06
844211.01,13.95,0.35,185018.25,3.06
844075.05,13.95,0.35,185145.21,3.06
843939.09,13.95,0.35,185145.01,3.06
843803.13,13.95,0.35,185145.01,3.06
844079.59,13.96,0.36,185173.87,3.06
844079.59,13.96,0.36,185212.91,3.06
843943.63,13.96,0.36,185184.07,3.06
843943.63,13.96,0.36,185144.99,3.06
843943.63,13.96,0.36,185184.16,3.06
843807.67,13.96,0.36,185184.14,3.06
843555.66,13.95,0.36,184883.47,3.06
843607.36,13.96,0.36,185311.75,3.07
843471.4,13.96,0.36,185308.55,3.07
843335.44,13.96,0.36,185497.47,3.07
843199.48,13.96,0.36,185497.28,3.07
842867.06,13.95,0.36,185126.62,3.06
842929.82,13.95,0.36,184742.07,3.06
842793.86,13.95,0.36,184742.07,3.06
842583.26,13.95,0.36,184388.11,3.05
842634.95,13.96,0.36,184474.78,3.06
