ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
30,65,49290,6212,49290
30,65,50290,6212,50290
31,67,51100,6212,51100
31,67,51100,6212,51100
31,67,52100,6212,52100
31,67,53100,6212,53100
32,68,53910,6212,53910
33,76,57910,6212,57910
33,76,57910,6212,57910
34,78,58720,6212,58720
34,78,58720,6212,58720
35,79,59530,6212,59530
35,79,60530,6212,60530
36,80,61530,6212,61530
36,80,61530,6212,61530
37,81,62340,6212,62340
37,81,63340,6212,63340
38,82,64340,6212,64340
38,82,65340,6212,65340
38,82,66340,6212,66340
39,90,66990,6212,66990
40,92,67800,6212,67800
40,92,68800,6212,68800
41,94,69800,6212,69800
41,94,70270,6212,70270
41,94,70590,6212,70590
41,94,70590,6212,70590
41,94,71400,6212,71400
42,96,72210,6212,72210
42,96,72760,6212,72760
42,96,73570,6212,73570
42,96,73570,6212,73570
42,96,73570,6212,73570
43,104,74570,6212,74570
43,104,75570,6212,75570
43,104,76570,6212,76570
43,104,77380,6212,77380
43,104,78380,6212,78380
43,104,78850,6212,78850
43,104,79850,6212,79850
44,106,80850,6212,80850
44,106,81660,6212,81660
44,106,82660,6212,82660
44,106,83660,6212,83660
44,106,84660,6212,84660
44,106,84660,6212,84660
45,114,84660,6212,84660
46,122,84660,6212,84660
46,122,84660,6212,84660
47,130,85660,6212,85660
48,132,86660,6212,86660
48,132,87660,6212,87660
49,134,88470,6212,88470
49,134,88470,6212,88470
49,134,88470,6212,88470
49,134,89470,6212,89470
49,134,89470,6212,89470
49,134,89470,6212,89470
49,134,89470,6212,89470
49,134,90120,6212,90120
49,134,90930,6212,90930
49,134,90930,6212,90930
49,134,91930,6212,91930
49,134,92930,6212,92930
49,134,93400,6212,93400
49,134,94400,6212,94400
50,136,95400,6212,95400
50,136,96210,6212,96210
51,144,97210,6212,97210
51,144,98210,6212,98210
51,144,98210,6212,98210
51,144,98860,6212,98860
51,144,99860,6212,99860
51,144,99860,6212,99860
51,144,100510,6212,100510
52,146,100980,6212,100980
52,146,101980,6212,101980
53,148,102790,6212,102790
53,148,103600,6212,103600
53,148,104600,6212,104600
53,148,105410,6212,105410
53,148,106410,6212,106410
53,148,106880,6212,106880
53,148,107880,6212,107880
53,148,108880,6212,108880
53,148,109690,6212,109690
54,152,110690,6212,110690
54,152,111010,6212,111010
54,152,111560,6212,111560
55,160,112560,6212,112560
56,162,113560,6212,113560
56,162,114020,6212,114020
57,166,115020,6212,115020
57,166,115830,6212,115830
58,168,116830,6212,116830
58,168,117830,6212,117830
58,168,118150,6212,118150
58,168,119150,6212,119150
58,168,119470,6212,119470
58,168,120470,6212,120470
58,168,120790,6212,120790
58,168,120790,6212,120790
58,168,121790,6212,121790
58,168,121790,6212,121790
58,168,122790,6212,122790
58,168,123790,6212,123790
58,168,124600,6212,124600
59,170,125600,6212,125600
59,170,125600,6212,125600
59,170,126600,6212,126600
59,170,127070,6212,127070
59,170,127880,6212,127880
59,170,128880,6212,128880
59,170,129530,6212,129530
59,170,129530,6212,129530
59,170,129530,6212,129530
59,170,129760,6212,129760
59,170,130080,6212,130080
59,170,130400,6212,130400
59,170,131210,6212,131210
60,178,132210,6212,132210
61,180,133020,6212,133020
61,180,133020,6212,133020
61,180,133020,6212,133020
61,180,134020,6212,134020
61,180,134830,6212,134830
61,180,134830,6212,134830
62,188,134830,6212,134830
62,188,135640,6212,135640
62,188,135960,6212,135960
63,192,136960,6212,136960
63,192,137960,6212,137960
64,194,138960,6212,138960
64,194,139610,6212,139610
64,194,140610,6212,140610
64,194,141420,6212,141420
64,194,141420,6212,141420
64,194,142420,6212,142420
64,194,143420,6212,143420
64,194,144420,6212,144420
64,194,145230,6212,145230
64,194,145600,6212,145600
64,194,146070,6212,146070
65,196,147070,6212,147070
65,196,147540,6212,147540
66,204,148540,6212,148540
66,204,149540,6212,149540
66,204,150010,6212,150010
66,204,151010,6212,151010
66,204,151820,6212,151820
67,206,152630,6212,152630
67,206,153630,6212,153630
67,206,153630,6212,153630
67,206,154630,6212,154630
67,206,155100,6212,155100
67,206,156100,6212,156100
68,208,156570,6212,156570
68,208,156940,6212,156940
68,208,157940,6212,157940
68,208,158750,6212,158750
68,208,159560,6212,159560
68,208,160020,6212,160020
69,212,160830,6212,160830
69,212,161480,6212,161480
69,212,161710,6212,161710
69,212,161710,6212,161710
69,212,161710,6212,161710
69,212,161710,6212,161710
69,212,162710,6212,162710
69,212,163520,6212,163520
70,216,167520,6212,167520
71,220,168520,6212,168520
71,220,169520,6212,169520
72,222,170520,6212,170520
72,222,171520,6212,171520
72,222,172520,6212,172520
72,222,172990,6212,172990
73,230,173990,6212,173990
73,230,174990,6212,174990
73,230,175460,6212,175460
73,230,176460,6212,176460
73,230,177460,6212,177460
73,230,178270,6212,178270
74,232,179270,6212,179270
74,232,179740,6212,179740
74,232,180740,6212,180740
74,232,181740,6212,181740
74,232,182740,6212,182740
74,232,183740,6212,183740
74,232,184740,6212,184740
75,234,185200,6212,185200
76,238,186200,6212,186200
76,238,186200,6212,186200
76,238,187200,6212,187200
76,238,188200,6212,188200
76,238,189200,6212,189200
76,238,189520,6212,189520
76,238,190330,6212,190330
77,240,191140,6212,191140
77,240,191690,6212,191690
77,240,192160,6212,192160
77,240,192160,6212,192160
77,240,192390,6212,192390
77,240,192860,6212,192860
77,240,193080,6212,193080
78,242,194080,6212,194080
78,242,194890,6212,194890
78,242,195890,6212,195890
78,242,196700,6212,196700
78,242,196700,6212,196700
78,242,197170,6212,197170
78,242,198170,6212,198170
78,242,199170,6212,199170
78,242,199980,6212,199980
78,242,200980,6212,200980
78,242,201980,6212,201980
79,250,202450,6212,202450
80,254,203450,6212,203450
80,254,204260,6212,204260
81,256,205260,6212,205260
81,256,205730,6212,205730
81,256,205730,6212,205730
81,256,206540,6212,206540
81,256,207350,6212,207350
81,256,207350,6212,207350
81,256,208350,6212,208350
81,256,209350,6212,209350
81,256,209580,6212,209580
82,264,211580,6212,211580
82,264,211580,6212,211580
82,264,212390,6212,212390
82,264,212390,6212,212390
82,264,213390,6212,213390
82,264,214390,6212,214390
82,264,215200,6212,215200
83,272,216200,6212,216200
83,272,217200,6212,217200
83,272,218200,6212,218200
84,274,219010,6212,219010
84,274,219330,6212,219330
85,276,220140,6212,220140
85,276,221140,6212,221140
85,276,222140,6212,222140
85,276,222140,6212,222140
85,276,223140,6212,223140
85,276,223790,6212,223790
85,276,223790,6212,223790
85,276,224790,6212,224790
85,276,226790,6212,226790
85,276,227020,6212,227020
85,276,227490,6212,227490
85,276,228490,6212,228490
85,276,229300,6212,229300
86,278,230300,6212,230300
86,278,231300,6212,231300
87,280,232300,6212,232300
88,288,233110,6212,233110
88,288,233110,6212,233110
88,288,233920,6212,233920
88,288,234510,6212,234510
88,288,234830,6212,234830
88,288,235830,6212,235830
88,288,235830,6212,235830
88,288,235830,6212,235830
88,288,236300,6212,236300
88,288,237110,6212,237110
88,288,237110,6212,237110
88,288,238110,6212,238110
88,288,238340,6212,238340
89,290,239340,6212,239340
89,290,240340,6212,240340
89,290,241340,6212,241340
89,290,241340,6212,241340
89,290,241660,6212,241660
89,290,242130,6212,242130
89,290,243130,6212,243130
89,290,243130,6212,243130
89,290,243780,6212,243780
89,290,244590,6212,244590
90,298,252590,6212,252590
90,298,253590,6212,253590
91,300,254590,6212,254590
92,308,255590,6212,255590
92,308,256240,6212,256240
93,316,257240,6212,257240
93,316,257710,6212,257710
93,316,258710,6212,258710
93,316,259710,6212,259710
93,316,260710,6212,260710
93,316,261710,6212,261710
93,316,262710,6212,262710
93,316,262940,6212,262940
93,316,263940,6212,263940
93,316,264940,6212,264940
93,316,265750,6212,265750
93,316,266560,6212,266560
93,316,267030,6212,267030
94,324,268030,6212,268030
94,324,269030,6212,269030
94,324,270030,6212,270030
94,324,271030,6212,271030
94,324,271030,6212,271030
95,326,271580,6212,271580
95,326,272050,6212,272050
96,328,272700,6212,272700
96,328,272700,6212,272700
96,328,273700,6212,273700
96,328,274700,6212,274700
96,328,275510,6212,275510
96,328,275980,6212,275980
96,328,276980,6212,276980
96,328,277980,6212,277980
97,336,278980,6212,278980
97,336,279790,6212,279790
97,336,280790,6212,280790
98,344,288790,6212,288790
98,344,289600,6212,289600
98,344,290600,6212,290600
99,346,291150,6212,291150
99,346,292150,6212,292150
99,346,293150,6212,293150
99,346,293620,6212,293620
100,348,294620,6212,294620
100,348,295430,6212,295430
101,356,296080,6212,296080
101,356,297080,6212,297080
101,356,298080,6212,298080
101,356,299080,6212,299080
102,358,300080,6212,300080
102,358,301080,6212,301080
103,366,302080,6212,302080
103,366,303080,6212,303080
103,366,304080,6212,304080
103,366,304550,6212,304550
103,366,305550,6212,305550
103,366,305550,6212,305550
103,366,306550,6212,306550
103,366,306550,6212,306550
104,370,307550,6212,307550
104,370,308550,6212,308550
104,370,308550,6212,308550
104,370,309550,6212,309550
104,370,309780,6212,309780
104,370,310780,6212,310780
104,370,311780,6212,311780
104,370,311780,6212,311780
104,370,311780,6212,311780
104,370,312240,6212,312240
104,370,313240,6212,313240
104,370,314050,6212,314050
104,370,314050,6212,314050
105,374,315050,6212,315050
105,374,315270,6212,315270
105,374,316270,6212,316270
105,374,317080,6212,317080
105,374,318080,6212,318080
106,378,318540,6212,318540
106,378,319350,6212,319350
106,378,320160,6212,320160
106,378,320810,6212,320810
106,378,321810,6212,321810
106,378,322040,6212,322040
107,386,323040,6212,323040
107,386,324040,6212,324040
107,386,325040,6212,325040
107,386,326040,6212,326040
107,386,326510,6212,326510
108,388,326980,6212,326980
108,388,327980,6212,327980
108,388,328980,6212,328980
109,396,329980,6212,329980
110,404,330980,6212,330980
110,404,331300,6212,331300
110,404,332300,6212,332300
110,404,333110,6212,333110
111,406,333920,6212,333920
111,406,334920,6212,334920
111,406,335920,6212,335920
111,406,336920,6212,336920
111,406,337730,6212,337730
112,408,338540,6212,338540
112,408,339540,6212,339540
112,408,340010,6212,340010
112,408,341010,6212,341010
112,408,341010,6212,341010
112,408,341010,6212,341010
112,408,342010,6212,342010
112,408,342010,6212,342010
112,408,343010,6212,343010
112,408,343010,6212,343010
113,410,343820,6212,343820
113,410,344820,6212,344820
113,410,345050,6212,345050
113,410,346050,6212,346050
113,410,346860,6212,346860
113,410,347670,6212,347670
113,410,347670,6212,347670
114,412,348670,6212,348670
114,412,349020,6212,349020
114,412,350020,6212,350020
115,414,351020,6212,351020
115,414,351020,6212,351020
115,414,351340,6212,351340
115,414,352340,6212,352340
115,414,353340,6212,353340
115,414,353340,6212,353340
115,414,354340,6212,354340
115,414,355340,6212,355340
116,416,356150,6212,356150
117,424,357150,6212,357150
117,424,357150,6212,357150
117,424,358150,6212,358150
117,424,359150,6212,359150
118,426,360150,6212,360150
118,426,360620,6212,360620
118,426,361620,6212,361620
118,426,362620,6212,362620
118,426,363430,6212,363430
118,426,364240,6212,364240
118,426,365240,6212,365240
118,426,365240,6212,365240
118,426,365240,6212,365240
119,428,366240,6212,366240
119,428,366470,6212,366470
119,428,367470,6212,367470
119,428,368470,6212,368470
119,428,369280,6212,369280
120,430,369930,6212,369930
120,430,369930,6212,369930
120,430,370930,6212,370930
121,432,371930,6212,371930
121,432,372390,6212,372390
121,432,373200,6212,373200
122,440,374200,6212,374200
122,440,375200,6212,375200
123,442,376200,6212,376200
123,442,377200,6212,377200
123,442,378010,6212,378010
123,442,378010,6212,378010
123,442,379010,6212,379010
123,442,380010,6212,380010
123,442,381010,6212,381010
124,444,381480,6212,381480
124,444,382480,6212,382480
124,444,383480,6212,383480
124,444,383480,6212,383480
125,452,384480,6212,384480
125,452,385290,6212,385290
125,452,385520,6212,385520
125,452,386520,6212,386520
126,456,387520,6212,387520
126,456,388520,6212,388520
126,456,389520,6212,389520
126,456,389990,6212,389990
126,456,390990,6212,390990
127,464,391990,6212,391990
127,464,392990,6212,392990
127,464,393990,6212,393990
127,464,394800,6212,394800
127,464,395800,6212,395800
128,466,396800,6212,396800
128,466,397800,6212,397800
129,474,398030,6212,398030
129,474,398030,6212,398030
129,474,399030,6212,399030
129,474,399840,6212,399840
129,474,400840,6212,400840
130,476,401840,6212,401840
131,478,402160,6212,402160
131,478,403160,6212,403160
131,478,403160,6212,403160
131,478,404160,6212,404160
131,478,404970,6212,404970
131,478,405520,6212,405520
131,478,405520,6212,405520
131,478,405680,6212,405680
131,478,406000,6212,406000
131,478,406810,6212,406810
131,478,407280,6212,407280
131,478,408280,6212,408280
132,480,409090,6212,409090
133,482,409560,6212,409560
133,482,410020,6212,410020
133,482,411020,6212,411020
134,490,412020,6212,412020
134,490,413020,6212,413020
134,490,413240,6212,413240
134,490,413240,6212,413240
134,490,414240,6212,414240
135,498,422240,6212,422240
135,498,423240,6212,423240
135,498,424050,6212,424050
135,498,424050,6212,424050
135,498,425050,6212,425050
135,498,426050,6212,426050
135,498,426270,6212,426270
135,498,426920,6212,426920
135,498,427920,6212,427920
136,506,428920,6212,428920
136,506,429920,6212,429920
136,506,430570,6212,430570
136,506,431380,6212,431380
136,506,432380,6212,432380
136,506,433030,6212,433030
136,506,433500,6212,433500
136,506,433500,6212,433500
136,506,434310,6212,434310
136,506,434780,6212,434780
136,506,435250,6212,435250
137,508,435720,6212,435720
138,510,436190,6212,436190
138,510,437000,6212,437000
138,510,438000,6212,438000
138,510,438320,6212,438320
139,518,439320,6212,439320
139,518,440130,6212,440130
139,518,440600,6212,440600
139,518,441600,6212,441600
139,518,441920,6212,441920
139,518,442730,6212,442730
139,518,442890,6212,442890
139,518,443890,6212,443890
139,518,444540,6212,444540
139,518,444540,6212,444540
140,522,445540,6212,445540
140,522,446010,6212,446010
140,522,447010,6212,447010
140,522,447330,6212,447330
140,522,448330,6212,448330
140,522,449330,6212,449330
140,522,449700,6212,449700
141,530,450700,6212,450700
142,538,451700,6212,451700
142,538,452700,6212,452700
143,540,453700,6212,453700
143,540,454700,6212,454700
143,540,455700,6212,455700
143,540,456700,6212,456700
143,540,456700,6212,456700
143,540,456700,6212,456700
143,540,456930,6212,456930
143,540,457930,6212,457930
143,540,457930,6212,457930
143,540,458250,6212,458250
143,540,458720,6212,458720
144,542,459720,6212,459720
144,542,460720,6212,460720
144,542,461720,6212,461720
144,542,462530,6212,462530
144,542,463340,6212,463340
144,542,463820,6212,463820
144,542,464820,6212,464820
145,546,465820,6212,465820
145,546,466820,6212,466820
145,546,466820,6212,466820
146,554,467820,6212,467820
146,554,468820,6212,468820
146,554,469630,6212,469630
146,554,470630,6212,470630
146,554,471100,6212,471100
147,556,472100,6212,472100
147,556,472910,6212,472910
147,556,473720,6212,473720
147,556,474720,6212,474720
147,556,475720,6212,475720
147,556,476720,6212,476720
147,556,477530,6212,477530
147,556,477760,6212,477760
148,560,478760,6212,478760
148,560,478760,6212,478760
148,560,479760,6212,479760
149,562,479980,6212,479980
149,562,480450,6212,480450
149,562,481260,6212,481260
149,562,482260,6212,482260
150,570,483260,6212,483260
151,578,484260,6212,484260
151,578,485070,6212,485070
151,578,485660,6212,485660
151,578,486660,6212,486660
152,586,494660,6212,494660
152,586,495210,6212,495210
152,586,496020,6212,496020
152,586,496020,6212,496020
152,586,497020,6212,497020
153,588,498020,6212,498020
153,588,498020,6212,498020
153,588,499020,6212,499020
153,588,500020,6212,500020
153,588,500250,6212,500250
154,596,501250,6212,501250
154,596,501410,6212,501410
154,596,502410,6212,502410
154,596,503410,6212,503410
154,596,504410,6212,504410
154,596,504880,6212,504880
154,596,505350,6212,505350
155,598,505820,6212,505820
155,598,506820,6212,506820
156,600,507630,6212,507630
156,600,508630,6212,508630
157,608,509630,6212,509630
158,610,509950,6212,509950
159,612,510760,6212,510760
159,612,511080,6212,511080
159,612,511550,6212,511550
159,612,512360,6212,512360
160,620,512830,6212,512830
160,620,513830,6212,513830
160,620,514300,6212,514300
160,620,514300,6212,514300
160,620,514620,6212,514620
160,620,515620,6212,515620
160,620,516620,6212,516620
160,620,517430,6212,517430
160,620,518430,6212,518430
161,622,518900,6212,518900
161,622,519220,6212,519220
161,622,519690,6212,519690
161,622,520500,6212,520500
161,622,520970,6212,520970
162,624,521970,6212,521970
162,624,522970,6212,522970
162,624,523970,6212,523970
162,624,523970,6212,523970
162,624,524620,6212,524620
163,632,525620,6212,525620
163,632,526430,6212,526430
163,632,526430,6212,526430
163,632,527240,6212,527240
163,632,528240,6212,528240
164,634,529240,6212,529240
164,634,529710,6212,529710
164,634,529710,6212,529710
164,634,529710,6212,529710
165,638,530710,6212,530710
166,640,531710,6212,531710
166,640,532710,6212,532710
166,640,533710,6212,533710
167,642,534710,6212,534710
168,644,535030,6212,535030
169,652,536030,6212,536030
169,652,537030,6212,537030
169,652,537030,6212,537030
169,652,537030,6212,537030
169,652,538030,6212,538030
169,652,539030,6212,539030
169,652,539500,6212,539500
169,652,540500,6212,540500
169,652,540500,6212,540500
169,652,541150,6212,541150
169,652,542150,6212,542150
170,660,542620,6212,542620
170,660,542620,6212,542620
170,660,542730,6212,542730
170,660,543200,6212,543200
170,660,544200,6212,544200
170,660,544200,6212,544200
170,660,545200,6212,545200
170,660,546200,6212,546200
171,662,547200,6212,547200
171,662,548200,6212,548200
171,662,549200,6212,549200
172,664,550200,6212,550200
173,672,551200,6212,551200
173,672,551430,6212,551430
173,672,552430,6212,552430
173,672,553430,6212,553430
173,672,554240,6212,554240
173,672,555240,6212,555240
173,672,556240,6212,556240
174,676,556700,6212,556700
174,676,557700,6212,557700
174,676,558160,6212,558160
174,676,559160,6212,559160
175,678,559970,6212,559970
175,678,559970,6212,559970
175,678,560970,6212,560970
175,678,561970,6212,561970
175,678,562970,6212,562970
175,678,563780,6212,563780
175,678,564370,6212,564370
175,678,564840,6212,564840
176,686,565840,6212,565840
177,694,569840,6212,569840
177,694,569840,6212,569840
177,694,570310,6212,570310
177,694,570310,6212,570310
178,696,570630,6212,570630
178,696,571440,6212,571440
179,700,572440,6212,572440
179,700,573440,6212,573440
179,700,573440,6212,573440
179,700,574440,6212,574440
179,700,574670,6212,574670
179,700,575670,6212,575670
179,700,576670,6212,576670
179,700,577670,6212,577670
179,700,577670,6212,577670
179,700,578670,6212,578670
179,700,579140,6212,579140
179,700,579790,6212,579790
180,708,580790,6212,580790
180,708,581790,6212,581790
180,708,581790,6212,581790
180,708,582790,6212,582790
180,708,583260,6212,583260
