ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7614-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
90,206,126240,6212,126240
91,208,127240,6212,127240
92,210,128240,6212,128240
92,210,128710,6212,128710
93,212,129710,6212,129710
93,212,129710,6212,129710
93,212,129710,6212,129710
93,212,129710,6212,129710
94,220,129710,6212,129710
94,220,129710,6212,129710
94,220,130710,6212,130710
94,220,131520,6212,131520
94,220,131980,6212,131980
95,222,132980,6212,132980
95,222,133790,6212,133790
95,222,134790,6212,134790
96,224,135600,6212,135600
96,224,135600,6212,135600
96,224,136070,6212,136070
96,224,136390,6212,136390
96,224,136850,6212,136850
97,226,137850,6212,137850
97,226,138850,6212,138850
97,226,138850,6212,138850
97,226,138850,6212,138850
97,226,138850,6212,138850
97,226,138850,6212,138850
98,228,139660,6212,139660
98,228,139890,6212,139890
98,228,140890,6212,140890
99,230,141890,6212,141890
99,230,141890,6212,141890
99,230,142700,6212,142700
100,232,142930,6212,142930
100,232,142930,6212,142930
100,232,143520,6212,143520
100,232,144520,6212,144520
101,234,145520,6212,145520
101,234,145520,6212,145520
101,234,146520,6212,146520
102,236,146990,6212,146990
102,236,147310,6212,147310
103,244,147310,6212,147310
103,244,147780,6212,147780
104,246,148780,6212,148780
104,246,149590,6212,149590
104,246,149590,6212,149590
104,246,149910,6212,149910
104,246,149910,6212,149910
105,248,150380,6212,150380
105,248,150930,6212,150930
106,250,151400,6212,151400
106,250,152210,6212,152210
106,250,152530,6212,152530
107,252,153530,6212,153530
107,252,154530,6212,154530
108,254,155530,6212,155530
108,254,155530,6212,155530
108,254,156180,6212,156180
108,254,156180,6212,156180
109,256,157180,6212,157180
110,258,158180,6212,158180
110,258,159180,6212,159180
110,258,159990,6212,159990
111,266,159990,6212,159990
112,268,160460,6212,160460
112,268,160460,6212,160460
112,268,161460,6212,161460
113,270,162460,6212,162460
113,270,162460,6212,162460
113,270,163460,6212,163460
114,272,164460,6212,164460
114,272,165460,6212,165460
115,274,166460,6212,166460
115,274,166460,6212,166460
115,274,166460,6212,166460
116,276,167460,6212,167460
117,278,168460,6212,168460
118,280,169460,6212,169460
119,282,170460,6212,170460
119,282,171460,6212,171460
119,282,171570,6212,171570
119,282,172220,6212,172220
119,282,172540,6212,172540
120,284,173540,6212,173540
120,284,173540,6212,173540
120,284,174540,6212,174540
120,284,174540,6212,174540
120,284,174770,6212,174770
120,284,175580,6212,175580
120,284,176050,6212,176050
120,284,177050,6212,177050
121,286,178050,6212,178050
121,286,178700,6212,178700
121,286,178700,6212,178700
122,288,179170,6212,179170
122,288,180170,6212,180170
122,288,180820,6212,180820
122,288,181290,6212,181290
123,290,181760,6212,181760
123,290,181760,6212,181760
124,292,182230,6212,182230
124,292,182700,6212,182700
