ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_228c-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
101,226,184610,6212,184610
102,228,185610,6212,185610
102,228,186420,6212,186420
102,228,186420,6212,186420
102,228,187420,6212,187420
103,230,188420,6212,188420
103,230,189420,6212,189420
103,230,189890,6212,189890
103,230,189890,6212,189890
104,232,190890,6212,190890
105,240,198890,6212,198890
105,240,199890,6212,199890
106,242,200890,6212,200890
107,244,201700,6212,201700
107,244,201700,6212,201700
107,244,202020,6212,202020
107,244,203020,6212,203020
108,246,204020,6212,204020
108,246,205020,6212,205020
109,248,206020,6212,206020
109,248,206180,6212,206180
109,248,207180,6212,207180
109,248,207770,6212,207770
109,248,208770,6212,208770
110,256,216770,6212,216770
111,258,217770,6212,217770
111,258,217770,6212,217770
111,258,218770,6212,218770
112,260,219580,6212,219580
112,260,220390,6212,220390
112,260,220390,6212,220390
113,262,221390,6212,221390
113,262,222390,6212,222390
113,262,222390,6212,222390
114,264,222940,6212,222940
115,266,223940,6212,223940
115,266,224940,6212,224940
116,268,225940,6212,225940
116,268,225940,6212,225940
116,268,226940,6212,226940
117,270,227940,6212,227940
117,270,228940,6212,228940
118,272,229940,6212,229940
118,272,230940,6212,230940
119,274,231940,6212,231940
119,274,232400,6212,232400
120,276,233400,6212,233400
120,276,233400,6212,233400
120,276,233870,6212,233870
120,276,233870,6212,233870
121,278,234680,6212,234680
121,278,234680,6212,234680
121,278,235000,6212,235000
121,278,235470,6212,235470
121,278,236470,6212,236470
121,278,236470,6212,236470
121,278,236790,6212,236790
122,280,237600,6212,237600
122,280,238600,6212,238600
122,280,239250,6212,239250
123,282,240250,6212,240250
124,284,241250,6212,241250
125,286,241900,6212,241900
125,286,241900,6212,241900
126,288,242900,6212,242900
126,288,243370,6212,243370
126,288,243370,6212,243370
126,288,243530,6212,243530
126,288,244530,6212,244530
127,290,245000,6212,245000
128,292,246000,6212,246000
128,292,246810,6212,246810
128,292,247810,6212,247810
128,292,247810,6212,247810
128,292,247810,6212,247810
129,294,248810,6212,248810
129,294,249810,6212,249810
129,294,250810,6212,250810
129,294,250810,6212,250810
129,294,251280,6212,251280
129,294,251280,6212,251280
129,294,251830,6212,251830
130,302,259830,6212,259830
130,302,260150,6212,260150
131,304,261150,6212,261150
131,304,261310,6212,261310
131,304,262310,6212,262310
132,306,262780,6212,262780
132,306,263590,6212,263590
133,308,264590,6212,264590
133,308,264910,6212,264910
134,310,265500,6212,265500
134,310,266310,6212,266310
135,312,266960,6212,266960
135,312,267960,6212,267960
135,312,268420,6212,268420
136,314,269420,6212,269420
136,314,269880,6212,269880
