ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
250,612,469600,6212,472100
250,612,470410,6212,472910
250,612,470410,6212,473720
251,614,471410,6212,474720
251,614,472410,6212,475720
252,616,473410,6212,476720
252,616,474220,6212,477530
253,618,474450,6212,477760
253,618,475450,6212,478760
253,618,475450,6212,478760
254,620,476450,6212,479760
254,620,476670,6212,479980
254,620,477140,6212,480450
254,620,477950,6212,481260
254,620,478950,6212,482260
255,622,479950,6212,483260
255,622,480950,6212,484260
256,624,481760,6212,485070
256,624,482350,6212,485660
257,626,483350,6212,486660
258,634,491350,6212,494660
258,634,491900,6212,495210
259,636,492710,6212,496020
259,636,492710,6212,496020
259,636,493710,6212,497020
260,638,494710,6212,498020
260,638,494710,6212,498020
260,638,495710,6212,499020
261,640,496710,6212,500020
261,640,496940,6212,500250
261,640,497940,6212,501250
261,640,498100,6212,501410
261,640,499100,6212,502410
261,640,500100,6212,503410
261,640,501100,6212,504410
261,640,501570,6212,504880
261,640,502040,6212,505350
261,640,502510,6212,505820
261,640,503510,6212,506820
261,640,504320,6212,507630
262,642,505320,6212,508630
262,642,506320,6212,509630
262,642,506640,6212,509950
263,644,507450,6212,510760
263,644,507770,6212,511080
263,644,508240,6212,511550
264,646,509050,6212,512360
264,646,509520,6212,512830
265,648,510520,6212,513830
265,648,510990,6212,514300
265,648,510990,6212,514300
265,648,511310,6212,514620
266,650,512310,6212,515620
266,650,513310,6212,516620
267,652,514120,6212,517430
267,652,515120,6212,518430
267,652,515590,6212,518900
268,654,515910,6212,519220
268,654,516380,6212,519690
268,654,517190,6212,520500
268,654,517190,6212,520970
269,656,518190,6212,521970
269,656,519190,6212,522970
270,658,520190,6212,523970
270,658,520190,6212,523970
270,658,520840,6212,524620
271,660,521840,6212,525620
271,660,522650,6212,526430
271,660,522650,6212,526430
272,662,523460,6212,527240
272,662,524460,6212,528240
273,670,525460,6212,529240
274,672,525930,6212,529710
274,672,525930,6212,529710
274,672,525930,6212,529710
274,672,526930,6212,530710
275,674,527930,6212,531710
275,674,528930,6212,532710
276,676,529930,6212,533710
276,676,530930,6212,534710
276,676,531250,6212,535030
276,676,532250,6212,536030
277,678,533250,6212,537030
277,678,533250,6212,537030
277,678,533250,6212,537030
277,678,534250,6212,538030
278,680,535250,6212,539030
278,680,535720,6212,539500
278,680,536720,6212,540500
278,680,536720,6212,540500
279,682,537370,6212,541150
279,682,538370,6212,542150
280,684,538840,6212,542620
280,684,538840,6212,542620
280,684,538950,6212,542730
280,684,539420,6212,543200
280,684,540420,6212,544200
280,684,540420,6212,544200
281,686,541420,6212,545200
281,686,542420,6212,546200
282,688,543420,6212,547200
282,688,544420,6212,548200
283,690,545420,6212,549200
283,690,546420,6212,550200
284,692,547420,6212,551200
284,692,547420,6212,551430
284,692,548420,6212,552430
285,694,549420,6212,553430
285,694,550230,6212,554240
286,696,551230,6212,555240
286,696,552230,6212,556240
287,698,552690,6212,556700
287,698,553690,6212,557700
287,698,554150,6212,558160
288,700,555150,6212,559160
288,700,555960,6212,559970
288,700,555960,6212,559970
288,700,556960,6212,560970
289,702,557960,6212,561970
289,702,558960,6212,562970
290,704,559770,6212,563780
290,704,560360,6212,564370
291,706,560830,6212,564840
291,706,561830,6212,565840
291,706,565830,6212,569840
291,706,565830,6212,569840
291,706,566300,6212,570310
291,706,566300,6212,570310
291,706,566620,6212,570630
291,706,567430,6212,571440
292,708,568430,6212,572440
292,708,569430,6212,573440
292,708,569430,6212,573440
293,710,570430,6212,574440
293,710,570660,6212,574670
293,710,571660,6212,575670
294,712,572660,6212,576670
294,712,573660,6212,577670
294,712,573660,6212,577670
295,714,574660,6212,578670
295,714,575130,6212,579140
296,716,575780,6212,579790
296,716,576780,6212,580790
296,716,577780,6212,581790
296,716,577780,6212,581790
296,716,578780,6212,582790
296,716,579250,6212,583260
296,716,579570,6212,583580
296,716,580380,6212,584390
296,716,581190,6212,585200
296,716,581660,6212,585670
296,716,582660,6212,586670
296,716,582660,6212,586670
297,718,583660,6212,587670
297,718,584660,6212,588670
298,720,585660,6212,589670
298,720,586660,6212,590670
298,720,586880,6212,590890
299,722,587880,6212,591890
299,722,588880,6212,592890
300,724,589880,6212,593890
300,724,590690,6212,594700
300,724,590690,6212,594700
301,726,591150,6212,595160
301,726,591150,6212,595380
301,726,592150,6212,596380
302,734,593150,6212,597380
302,734,593620,6212,597850
303,736,594620,6212,598850
303,736,595620,6212,599850
303,736,596620,6212,600850
304,744,604620,6212,608850
304,744,604620,6212,609170
305,746,605170,6212,609720
305,746,606170,6212,610720
305,746,606170,6212,610720
306,748,607170,6212,611720
306,748,607980,6212,612530
307,750,608450,6212,613000
307,750,608450,6212,613810
307,750,609450,6212,614810
307,750,609670,6212,615030
308,752,610670,6212,616030
308,752,611140,6212,616500
308,752,611950,6212,617310
309,754,612950,6212,618310
309,754,613760,6212,619120
309,754,614080,6212,619440
309,754,614080,6212,619440
310,756,614890,6212,620250
310,756,615700,6212,621060
310,756,615700,6212,621060
310,756,615700,6212,621060
311,758,616510,6212,621870
311,758,617510,6212,622870
312,760,618320,6212,623680
312,760,618640,6212,624000
313,762,619450,6212,624810
313,762,620450,6212,625810
314,764,621260,6212,626620
314,764,622260,6212,627620
314,764,623260,6212,628620
314,764,623580,6212,628940
314,764,624580,6212,629940
314,764,625040,6212,630400
314,764,626040,6212,631400
314,764,626850,6212,632210
314,764,627850,6212,633210
315,772,628850,6212,634210
316,774,629850,6212,635210
316,774,629850,6212,635210
316,774,630660,6212,636020
317,776,631660,6212,637020
317,776,631660,6212,637020
317,776,632660,6212,638020
318,778,633470,6212,638830
318,778,634470,6212,639830
319,780,635470,6212,640830
319,780,636470,6212,641830
320,782,637280,6212,642640
320,782,638090,6212,643450
320,782,638310,6212,643670
321,784,639310,6212,644670
321,784,639770,6212,645130
322,786,640580,6212,645940
322,786,641580,6212,646940
323,788,642580,6212,647940
323,788,643580,6212,648940
324,790,644580,6212,649940
324,790,645580,6212,650940
325,792,646580,6212,651940
325,792,646580,6212,651940
325,792,646580,6212,651940
325,792,647580,6212,652940
326,794,648580,6212,653940
326,794,649580,6212,654940
327,796,650580,6212,655940
327,796,651580,6212,656940
327,796,651580,6212,656940
327,796,651580,6212,656940
328,798,652580,6212,657940
328,798,653390,6212,658750
329,800,654390,6212,659750
329,800,655200,6212,660560
329,800,655200,6212,660560
330,802,656200,6212,661560
330,802,657200,6212,662560
331,804,658200,6212,663560
331,804,659200,6212,664560
331,804,659200,6212,664560
332,812,660200,6212,665560
332,812,661010,6212,666370
333,814,662010,6212,667370
333,814,663010,6212,668370
334,816,664010,6212,669370
334,816,665010,6212,670370
335,818,666010,6212,671370
335,818,666660,6212,672020
336,820,667660,6212,673020
336,820,668660,6212,674020
337,822,669660,6212,675020
337,822,670470,6212,675830
338,824,671470,6212,676830
338,824,671790,6212,677150
338,824,672790,6212,678150
339,826,673790,6212,679150
339,826,674790,6212,680150
339,826,674790,6212,680150
340,828,675790,6212,681150
340,828,676790,6212,682150
341,830,677790,6212,683150
341,830,678790,6212,684150
342,832,679790,6212,685150
342,832,680600,6212,685960
342,832,680600,6212,685960
342,832,680600,6212,685960
343,834,681600,6212,686960
343,834,682250,6212,687610
344,836,683250,6212,688610
344,836,684250,6212,689610
344,836,684250,6212,690200
344,836,684250,6212,690200
344,836,684480,6212,690430
345,838,685480,6212,691430
345,838,685940,6212,691890
346,840,686940,6212,692890
346,840,686940,6212,692890
346,840,687940,6212,693890
346,840,688310,6212,694260
346,840,689310,6212,695260
347,842,690120,6212,696070
347,842,691120,6212,697070
348,844,692120,6212,698070
348,844,693120,6212,699070
349,846,693590,6212,699540
349,846,694590,6212,700540
350,848,695590,6212,701540
350,848,696590,6212,702540
351,850,697590,6212,703540
351,850,698590,6212,704540
352,852,699590,6212,705540
352,852,699590,6212,705540
352,852,700050,6212,706000
352,852,701050,6212,707000
352,852,701050,6212,707000
353,854,702050,6212,708000
353,854,703050,6212,709000
353,854,703050,6212,709000
353,854,703050,6212,709000
354,856,704050,6212,710000
354,856,704050,6212,710000
354,856,705050,6212,711000
354,856,705050,6212,711000
354,856,705210,6212,711160
355,858,706210,6212,712160
355,858,707020,6212,712970
356,860,708020,6212,713970
356,860,708020,6212,713970
356,860,709020,6212,714970
357,862,710020,6212,715970
357,862,710670,6212,716620
358,864,711040,6212,716990
358,864,711040,6212,717220
358,864,712040,6212,718220
359,866,712850,6212,719030
359,866,713070,6212,719250
359,866,713540,6212,719720
359,866,714090,6212,720270
360,868,715090,6212,721270
360,868,716090,6212,722270
361,870,717090,6212,723270
361,870,717410,6212,723590
361,870,717410,6212,723590
361,870,718410,6212,724590
362,872,718880,6212,725060
362,872,719690,6212,725870
363,874,720690,6212,726870
