ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_bf96-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1607638.48,26.03,0.58,208194.02,3.37
1606889.48,26.03,0.58,207479.24,3.36
1606330.48,26.02,0.57,206954.45,3.35
1605672.89,26.01,0.56,206237.45,3.34
1604939.13,26.01,0.56,205492.91,3.33
1605257.09,26.01,0.56,206012.16,3.34
1605400.02,26.02,0.57,205798.94,3.34
1604651.02,26.01,0.56,205084.15,3.32
1604364.0,26.01,0.56,205057.01,3.32
1604491.69,26.02,0.57,204873.54,3.32
1605959.74,26.04,0.59,206733.14,3.35
1605672.71,26.04,0.59,206761.85,3.35
1605800.41,26.05,0.6,206578.38,3.35
1605484.08,26.04,0.59,206232.25,3.35
1604925.08,26.04,0.59,205707.46,3.34
1605052.78,26.04,0.6,205523.99,3.33
1604786.8,26.04,0.6,205446.31,3.33
1604243.03,26.04,0.59,204891.78,3.33
1605273.89,26.06,0.61,205769.88,3.34
1605401.59,26.06,0.61,205586.41,3.34
1605529.28,26.07,0.62,205402.94,3.34
1604985.52,26.06,0.61,204848.41,3.33
1603872.54,26.06,0.61,204622.25,3.32
1603872.54,26.06,0.61,204622.25,3.32
1603328.78,26.06,0.61,204067.71,3.32
1604359.64,26.07,0.63,204945.82,3.33
1603815.87,26.07,0.62,204391.28,3.32
1603609.68,26.07,0.62,204320.65,3.32
1602875.91,26.06,0.61,203576.11,3.31
1602943.7,26.06,0.61,203932.3,3.32
1602417.5,26.06,0.61,203442.64,3.31
1602083.73,26.06,0.61,203081.27,3.3
1601877.53,26.06,0.61,203075.67,3.3
1602271.47,26.07,0.62,203147.66,3.31
1602065.27,26.07,0.62,203145.49,3.31
1602539.35,26.08,0.63,203255.24,3.31
1601999.2,26.07,0.62,202757.49,3.3
1601341.61,26.07,0.62,202040.48,3.29
1601135.42,26.07,0.62,201966.42,3.29
1601778.85,26.08,0.63,202296.1,3.29
1601759.48,26.08,0.63,202210.72,3.29
1602790.33,26.1,0.65,203088.83,3.31
1602772.17,26.1,0.65,203185.22,3.31
1602303.36,26.1,0.65,202656.72,3.3
1602094.73,26.1,0.65,202388.67,3.3
1601625.92,26.09,0.64,201860.17,3.29
1602656.78,26.11,0.66,202738.28,3.3
1604050.71,26.13,0.68,203810.27,3.32
1603784.73,26.13,0.68,203732.83,3.32
1603520.17,26.13,0.68,203776.92,3.32
1603647.87,26.14,0.69,203593.45,3.32
1603104.1,26.13,0.68,203038.91,3.31
1603214.24,26.14,0.69,202790.57,3.31
1603857.68,26.15,0.7,203120.25,3.31
1603967.81,26.16,0.71,202871.91,3.31
1604095.51,26.16,0.71,202688.44,3.31
1603551.74,26.16,0.71,202133.9,3.3
1603679.44,26.16,0.72,201950.43,3.29
1604069.24,26.17,0.73,202019.87,3.3
1603863.04,26.18,0.73,202030.79,3.3
1604893.9,26.19,0.74,202908.9,3.31
1605250.26,26.2,0.75,203334.72,3.32
1605592.67,26.2,0.75,203617.72,3.32
1606986.61,26.23,0.78,204689.71,3.34
1607114.3,26.23,0.78,204506.24,3.34
1606456.72,26.23,0.78,203789.23,3.33
1606250.52,26.23,0.78,203787.21,3.33
1606232.36,26.23,0.78,203874.52,3.33
1606232.36,26.23,0.78,204047.01,3.33
1606269.41,26.23,0.78,204066.76,3.33
1605966.38,26.23,0.78,203869.11,3.33
1606997.24,26.25,0.8,204747.22,3.34
1608028.1,26.26,0.81,205625.32,3.36
1609058.96,26.28,0.83,206503.43,3.37
1609533.04,26.29,0.84,206613.17,3.37
1608989.28,26.29,0.84,206058.63,3.37
1610020.14,26.3,0.85,206936.74,3.38
1609755.58,26.3,0.85,206903.34,3.38
1609898.51,26.31,0.86,206690.12,3.38
1609784.87,26.31,0.86,206645.94,3.38
1609523.8,26.31,0.86,206631.67,3.38
1608866.21,26.3,0.85,205914.66,3.37
1608340.01,26.3,0.85,205425.0,3.36
1608467.7,26.3,0.85,205241.53,3.36
1608261.51,26.31,0.86,205170.7,3.36
1609655.44,26.33,0.88,206242.69,3.37
1610129.52,26.34,0.89,206352.43,3.38
1610257.22,26.35,0.89,206168.96,3.37
1611288.08,26.36,0.91,207047.07,3.39
1610679.87,26.35,0.9,206445.45,3.38
1610552.28,26.35,0.9,206258.44,3.38
1610346.09,26.36,0.91,206253.03,3.38
1609802.32,26.35,0.9,205698.5,3.37
1609243.32,26.34,0.89,205173.71,3.36
1608996.45,26.35,0.89,205801.95,3.37
1608452.69,26.34,0.89,205247.41,3.36
1608580.39,26.35,0.9,205063.94,3.36
1609223.82,26.36,0.91,205393.63,3.36
1608490.06,26.35,0.9,204649.09,3.35
1608293.93,26.35,0.9,204159.28,3.35
1607750.17,26.35,0.9,203604.74,3.34
1607396.01,26.35,0.9,203433.93,3.33
1607358.22,26.35,0.9,203432.68,3.33
1607149.59,26.34,0.9,203164.63,3.33
1607277.28,26.35,0.9,202981.16,3.33
1607404.98,26.36,0.91,202797.69,3.33
1607286.14,26.36,0.91,202619.43,3.32
1606552.38,26.35,0.9,201874.9,3.31
1606008.61,26.34,0.9,201320.36,3.3
1606151.54,26.35,0.9,201107.14,3.3
1606260.52,26.36,0.91,200857.63,3.3
1606191.52,26.36,0.91,200822.85,3.3
1606300.49,26.36,0.91,200573.34,3.29
1606693.21,26.37,0.92,200783.78,3.3
1606820.9,26.38,0.93,200600.31,3.29
1606502.16,26.37,0.93,200281.57,3.29
1607214.88,26.39,0.94,200812.01,3.3
1606481.11,26.38,0.93,200067.47,3.29
1606481.11,26.38,0.93,200093.31,3.29
1606624.04,26.38,0.94,199880.09,3.28
1606417.85,26.39,0.94,199878.06,3.28
1605858.85,26.38,0.93,199353.28,3.27
1605986.54,26.39,0.94,199169.8,3.27
1605986.54,26.39,0.94,199151.83,3.27
1606114.24,26.39,0.94,198968.36,3.27
1606757.67,26.41,0.96,199298.04,3.28
1606739.51,26.41,0.96,199385.35,3.28
1606882.45,26.42,0.97,199172.13,3.27
1607356.53,26.43,0.98,199281.87,3.28
1607356.53,26.43,0.98,199281.87,3.28
1607356.53,26.43,0.98,199303.31,3.28
1607377.53,26.43,0.98,199358.53,3.28
1607323.77,26.43,0.98,199293.99,3.28
1607270.01,26.43,0.98,199229.46,3.28
1606729.85,26.42,0.97,198731.71,3.27
1606463.87,26.42,0.97,198654.27,3.27
1605923.72,26.42,0.97,198156.52,3.26
1606954.58,26.43,0.99,199034.63,3.27
1608348.51,26.46,1.01,200106.62,3.29
1608476.2,26.46,1.01,199923.15,3.29
1607932.44,26.46,1.01,199368.61,3.28
1607934.61,26.46,1.01,199370.78,3.28
1608615.82,26.47,1.02,199912.33,3.29
1608089.55,26.46,1.02,199422.33,3.28
1608047.49,26.47,1.02,199416.1,3.28
1607317.33,26.46,1.01,198728.35,3.27
1607711.26,26.47,1.02,198800.35,3.27
1607423.98,26.47,1.02,198330.79,3.27
1607898.07,26.48,1.03,198440.53,3.27
1607691.87,26.48,1.03,198369.46,3.27
1607151.72,26.47,1.03,197871.71,3.26
1608182.57,26.49,1.04,198749.82,3.27
1608325.51,26.5,1.05,198536.59,3.27
1608453.2,26.5,1.06,198353.12,3.27
1607704.2,26.5,1.05,197638.34,3.26
1607160.44,26.49,1.04,197083.8,3.25
1607458.65,26.5,1.05,197582.49,3.26
1607957.45,26.51,1.06,197735.18,3.26
1607751.25,26.51,1.06,197664.11,3.26
1608394.69,26.52,1.07,197993.79,3.26
1608522.38,26.53,1.08,197810.32,3.26
1608650.08,26.53,1.08,197626.85,3.26
1608605.21,26.54,1.09,197606.15,3.26
1608732.9,26.54,1.09,197422.68,3.26
1608189.14,26.54,1.09,196868.14,3.25
1608170.98,26.54,1.09,197046.52,3.25
1607437.22,26.53,1.08,196301.98,3.24
1607437.22,26.53,1.08,196301.98,3.24
1607162.46,26.53,1.08,196245.33,3.24
1607805.9,26.55,1.1,196575.02,3.25
1607843.47,26.55,1.1,196221.19,3.24
1607729.83,26.55,1.1,196177.01,3.24
1607626.06,26.55,1.1,196062.47,3.24
1607753.76,26.56,1.11,195879.0,3.24
1607209.99,26.55,1.1,195324.47,3.23
1606680.49,26.55,1.1,194786.77,3.22
1607164.88,26.56,1.11,194789.54,3.22
1606635.37,26.55,1.1,194251.85,3.21
1607109.46,26.56,1.11,194361.59,3.21
1607149.31,26.56,1.11,194443.84,3.21
1607149.31,26.56,1.11,194443.84,3.21
1607231.55,26.56,1.12,194818.67,3.22
1607231.55,26.56,1.12,194818.67,3.22
1606883.33,26.56,1.11,194438.43,3.21
1606353.82,26.56,1.11,193900.74,3.21
1605240.85,26.56,1.11,193674.59,3.2
1605634.78,26.57,1.12,193746.58,3.21
1605402.24,26.57,1.12,193737.55,3.21
1605190.23,26.57,1.12,193733.82,3.21
1604470.73,26.56,1.12,193006.13,3.2
1604438.06,26.57,1.12,193782.45,3.21
1605029.33,26.58,1.13,194915.43,3.23
1606086.66,26.6,1.15,196237.27,3.25
1606480.59,26.61,1.16,196309.26,3.25
1607124.03,26.62,1.18,196638.95,3.26
1606917.83,26.62,1.18,196636.78,3.26
1607045.53,26.63,1.18,196453.31,3.26
1606501.76,26.63,1.18,195898.77,3.25
1606891.56,26.64,1.19,195966.63,3.25
1606866.97,26.64,1.19,196103.17,3.25
1606147.47,26.63,1.18,195375.48,3.24
1607054.25,26.65,1.2,195670.98,3.24
1607181.94,26.66,1.21,195487.51,3.24
1607309.64,26.66,1.22,195304.04,3.24
1607103.44,26.66,1.22,195229.98,3.24
1606955.96,26.66,1.22,195001.21,3.24
1606222.19,26.66,1.21,194256.67,3.22
1606222.19,26.66,1.21,194256.67,3.22
1606349.89,26.66,1.22,194073.2,3.22
1606477.58,26.67,1.22,193889.73,3.22
1606605.28,26.68,1.23,193706.26,3.22
1607222.85,26.69,1.24,193742.87,3.22
1606679.08,26.68,1.24,193188.33,3.21
1606135.32,26.68,1.23,192633.8,3.2
1605851.56,26.67,1.23,192339.26,3.19
1605837.92,26.68,1.23,192584.64,3.2
1605837.92,26.68,1.23,192584.64,3.2
1605702.89,26.67,1.23,192393.46,3.2
1606346.32,26.69,1.24,192723.14,3.2
1606392.56,26.69,1.24,192758.6,3.2
1605673.05,26.68,1.24,192030.91,3.19
1605143.55,26.68,1.23,191493.22,3.18
1605271.24,26.68,1.24,191309.75,3.18
1604727.48,26.68,1.23,190755.21,3.17
1604727.48,26.68,1.23,190755.21,3.17
1605226.28,26.69,1.24,190907.91,3.17
1604960.3,26.69,1.24,190830.47,3.17
1605070.44,26.69,1.25,190582.12,3.17
1604544.23,26.69,1.24,190092.46,3.16
1603969.36,26.68,1.24,189541.75,3.15
1603786.15,26.69,1.24,189297.45,3.15
1603957.65,26.69,1.25,189724.52,3.16
1603702.65,26.69,1.25,189755.97,3.16
1603173.14,26.69,1.24,189218.27,3.15
1603795.09,26.7,1.26,189664.21,3.16
1603417.61,26.7,1.25,189291.73,3.15
1603417.61,26.7,1.25,189291.73,3.15
1602888.11,26.69,1.25,188754.04,3.14
1602358.6,26.69,1.24,188216.34,3.13
1602358.6,26.69,1.24,188216.34,3.13
1602103.6,26.69,1.24,188293.12,3.14
1601897.4,26.69,1.24,188290.95,3.14
1601947.9,26.69,1.24,188333.26,3.14
1601415.94,26.69,1.24,188250.41,3.14
1601415.94,26.69,1.24,188250.41,3.14
1600969.01,26.68,1.24,187634.29,3.13
1600969.01,26.68,1.24,187634.29,3.13
1600332.09,26.68,1.23,186828.18,3.11
1599695.16,26.67,1.23,186022.06,3.1
1599248.23,26.67,1.22,185405.95,3.09
1600377.35,26.69,1.25,186401.0,3.11
1600122.34,26.69,1.25,186146.58,3.11
1600744.29,26.71,1.26,187259.32,3.12
1600297.37,26.7,1.26,186643.21,3.11
1600492.8,26.71,1.26,186925.92,3.12
1600194.09,26.71,1.26,186332.77,3.11
1599939.09,26.71,1.26,185593.16,3.1
1600038.9,26.71,1.27,186769.9,3.12
1600038.9,26.71,1.27,186769.9,3.12
1599832.7,26.71,1.27,186695.83,3.12
1599904.69,26.72,1.28,186722.16,3.12
1599904.69,26.72,1.28,186722.16,3.12
1600531.57,26.73,1.29,187903.56,3.14
1600077.08,26.73,1.29,187974.34,3.14
1600541.34,26.74,1.3,187936.76,3.14
1601231.76,26.76,1.32,188288.38,3.15
1600408.2,26.75,1.31,187476.08,3.13
1600390.04,26.75,1.31,187572.47,3.14
1600124.06,26.75,1.31,187494.78,3.13
1599858.08,26.75,1.31,187489.62,3.13
1599592.11,26.75,1.31,187412.0,3.13
1599067.53,26.75,1.3,186971.73,3.13
1599067.53,26.75,1.3,186971.73,3.13
1598620.6,26.74,1.3,186355.61,3.12
1598037.62,26.73,1.29,185773.34,3.11
1597775.52,26.73,1.29,185534.15,3.1
1597138.59,26.73,1.28,184728.04,3.09
1597138.59,26.73,1.28,184728.04,3.09
1597138.59,26.73,1.28,184728.04,3.09
1597310.1,26.73,1.29,185149.22,3.1
1596863.17,26.73,1.29,184533.11,3.09
1596863.17,26.73,1.29,184533.11,3.09
1596226.24,26.72,1.28,183726.99,3.08
1596079.54,26.72,1.28,183548.4,3.07
1595824.54,26.72,1.28,183579.84,3.07
1596268.31,26.73,1.29,183768.06,3.08
1596013.31,26.73,1.29,183844.84,3.08
1596013.31,26.73,1.29,183844.84,3.08
1596381.2,26.74,1.3,184382.71,3.09
1596684.91,26.75,1.31,183814.61,3.08
1596478.71,26.75,1.31,183803.5,3.08
1596478.71,26.75,1.31,183803.5,3.08
1597192.38,26.76,1.32,185254.92,3.1
1596745.46,26.76,1.32,184638.8,3.09
1594661.01,26.76,1.32,184583.69,3.1
1594396.46,26.76,1.32,184561.62,3.1
1594141.45,26.76,1.32,184593.06,3.1
1595270.57,26.78,1.34,185633.44,3.12
1594796.82,26.78,1.34,185339.18,3.11
1594541.82,26.78,1.34,184599.57,3.1
1594785.36,26.78,1.35,185875.04,3.12
1594148.43,26.78,1.34,185068.93,3.11
1593883.87,26.78,1.34,185608.38,3.12
1593617.9,26.78,1.34,185530.94,3.12
1593753.36,26.78,1.35,185307.87,3.11
1593487.38,26.78,1.35,185302.46,3.11
1593266.6,26.78,1.34,185124.64,3.11
1593233.94,26.79,1.35,185900.96,3.13
1592521.08,26.78,1.34,185197.03,3.11
1592074.15,26.77,1.34,184580.91,3.1
1592055.99,26.78,1.34,184510.82,3.1
1593491.54,26.8,1.37,185334.14,3.12
1593323.3,26.81,1.37,185361.76,3.12
1593888.95,26.82,1.38,186203.47,3.13
1593682.76,26.82,1.38,186380.86,3.14
1593416.78,26.82,1.38,186303.18,3.14
1593416.78,26.82,1.38,186303.18,3.14
1593626.13,26.83,1.39,186234.43,3.14
1593797.63,26.83,1.39,186659.35,3.14
1593857.88,26.84,1.4,186643.72,3.14
1593857.88,26.84,1.4,186643.72,3.14
1593591.9,26.84,1.4,186893.25,3.15
1593325.93,26.84,1.4,186886.42,3.15
1592879.0,26.83,1.39,186270.3,3.14
1592501.52,26.83,1.39,185900.22,3.13
1592241.61,26.83,1.39,185636.45,3.13
1591726.57,26.82,1.39,184847.21,3.12
1591460.59,26.82,1.39,184771.2,3.11
1591013.66,26.82,1.38,184155.08,3.1
1590776.22,26.82,1.38,184978.37,3.12
1588691.78,26.82,1.39,184923.26,3.12
1588244.85,26.82,1.38,184307.14,3.11
1588038.65,26.82,1.38,184709.6,3.12
1588248.0,26.82,1.39,184640.85,3.12
1588067.88,26.83,1.39,184007.11,3.11
1587812.88,26.83,1.39,184083.89,3.11
1588521.38,26.84,1.4,184808.95,3.12
1588054.88,26.84,1.4,184031.3,3.11
1587421.07,26.83,1.39,183536.98,3.1
1588191.83,26.85,1.41,183879.29,3.11
1587985.64,26.85,1.41,184281.75,3.12
1587730.63,26.85,1.41,184290.01,3.12
1588183.18,26.86,1.42,184530.98,3.12
1587610.3,26.85,1.42,184140.65,3.11
1587344.32,26.85,1.42,184065.85,3.11
1587078.34,26.85,1.42,184057.8,3.11
1586336.06,26.85,1.41,183278.99,3.1
1586081.05,26.85,1.41,183310.43,3.1
1586990.09,26.86,1.43,183800.64,3.11
1588047.41,26.89,1.45,185122.48,3.13
1588047.41,26.89,1.45,185122.48,3.13
1587792.41,26.89,1.45,185153.92,3.14
1587792.41,26.89,1.45,185153.92,3.14
1587586.21,26.89,1.45,185082.92,3.13
1588208.16,26.9,1.47,185908.88,3.15
1588208.16,26.9,1.47,185908.88,3.15
1588001.97,26.9,1.47,185903.65,3.15
1587800.84,26.9,1.47,185755.2,3.15
1587545.83,26.9,1.47,185831.98,3.15
1588167.78,26.92,1.48,186232.58,3.16
1588167.78,26.92,1.48,186232.58,3.16
1588167.78,26.92,1.48,186232.58,3.16
1588424.39,26.92,1.49,186783.58,3.17
1588182.74,26.92,1.49,186872.02,3.17
1587884.03,26.92,1.49,186661.84,3.16
1587884.03,26.92,1.49,186661.84,3.16
1587358.66,26.92,1.48,186226.2,3.16
1587162.2,26.92,1.48,186037.45,3.15
1586896.22,26.92,1.48,185960.04,3.15
1586436.64,26.91,1.48,185343.92,3.14
1586181.64,26.91,1.48,185375.36,3.15
1586361.39,26.92,1.48,185803.57,3.15
1586313.29,26.92,1.49,185063.17,3.14
1586235.62,26.92,1.49,185154.65,3.14
1586684.09,26.93,1.5,186261.54,3.16
1586418.11,26.93,1.5,186271.77,3.16
1586218.9,26.93,1.5,186047.46,3.16
1585952.92,26.93,1.5,185969.84,3.16
1585686.94,26.93,1.5,185964.61,3.16
1585420.96,26.93,1.5,185957.77,3.16
1585154.99,26.93,1.5,185881.76,3.16
1584779.25,26.93,1.49,185518.12,3.15
1584950.75,26.93,1.5,185577.99,3.15
1584684.77,26.93,1.5,185862.7,3.16
1584478.58,26.93,1.5,185792.07,3.16
1584223.57,26.93,1.5,185868.84,3.16
1584845.52,26.95,1.52,186269.45,3.17
1584616.17,26.95,1.51,186020.54,3.16
1584361.17,26.95,1.51,186051.98,3.16
1584062.47,26.94,1.51,185841.79,3.16
1584014.36,26.95,1.52,185101.4,3.15
1583836.05,26.95,1.52,184640.6,3.14
1583561.94,26.95,1.52,184979.65,3.15
1583211.54,26.95,1.52,184619.65,3.14
1583183.83,26.95,1.52,185555.46,3.16
1583282.28,26.96,1.53,185144.85,3.15
1583027.27,26.96,1.53,185153.11,3.15
1583254.79,26.96,1.53,185570.11,3.16
1582621.35,26.96,1.53,184963.21,3.15
1582623.22,26.96,1.53,184994.69,3.15
1582623.22,26.96,1.53,184983.17,3.15
1582386.81,26.96,1.53,184220.78,3.14
1582386.81,26.96,1.53,184220.78,3.14
1582502.89,26.96,1.54,184833.58,3.15
1582502.89,26.96,1.54,184833.58,3.15
1582484.73,26.97,1.54,184929.97,3.15
1582218.75,26.97,1.54,184923.14,3.15
1582555.35,26.97,1.54,185457.97,3.16
1582289.37,26.97,1.54,185380.29,3.16
1581737.09,26.97,1.54,184791.7,3.15
