ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
34,78,49290,6212,49290
34,78,50290,6212,50290
35,80,51100,6212,51100
35,80,51100,6212,51100
35,80,52100,6212,52100
36,82,53100,6212,53100
36,82,53910,6212,53910
36,82,57910,6212,57910
36,82,57910,6212,57910
36,82,58720,6212,58720
36,82,58720,6212,58720
36,82,59530,6212,59530
37,84,60530,6212,60530
37,84,61530,6212,61530
37,84,61530,6212,61530
37,84,62340,6212,62340
38,86,63340,6212,63340
38,86,64340,6212,64340
38,86,65340,6212,65340
39,88,66340,6212,66340
39,88,66990,6212,66990
40,89,67800,6212,67800
41,90,68800,6212,68800
42,92,69800,6212,69800
43,94,70270,6212,70270
43,94,70590,6212,70590
43,94,70590,6212,70590
43,94,71400,6212,71400
43,94,72210,6212,72210
44,95,72760,6212,72760
45,97,73570,6212,73570
45,97,73570,6212,73570
45,97,73570,6212,73570
46,101,74570,6212,74570
46,101,75570,6212,75570
46,101,76570,6212,76570
47,102,77380,6212,77380
48,104,78380,6212,78380
48,104,78850,6212,78850
49,106,79850,6212,79850
49,106,80850,6212,80850
50,107,81660,6212,81660
51,109,82660,6212,82660
51,109,83660,6212,83660
52,110,84660,6212,84660
53,118,84660,6212,84660
53,118,84660,6212,84660
53,118,84660,6212,84660
53,118,84660,6212,84660
54,120,85660,6212,85660
54,120,86660,6212,86660
55,122,87660,6212,87660
55,122,88470,6212,88470
55,122,88470,6212,88470
55,122,88470,6212,88470
56,124,89470,6212,89470
56,124,89470,6212,89470
56,124,89470,6212,89470
56,124,89470,6212,89470
57,126,90120,6212,90120
57,126,90930,6212,90930
57,126,90930,6212,90930
58,128,91930,6212,91930
58,128,92930,6212,92930
58,128,93400,6212,93400
59,130,94400,6212,94400
59,130,95400,6212,95400
60,131,96210,6212,96210
61,133,97210,6212,97210
61,133,98210,6212,98210
61,133,98210,6212,98210
62,135,98860,6212,98860
62,135,99860,6212,99860
62,135,99860,6212,99860
62,135,100510,6212,100510
63,137,100980,6212,100980
63,137,101980,6212,101980
63,137,102790,6212,102790
64,138,103600,6212,103600
65,140,104600,6212,104600
65,140,105410,6212,105410
66,142,106410,6212,106410
66,142,106880,6212,106880
66,142,107880,6212,107880
67,143,108880,6212,108880
68,144,109690,6212,109690
69,146,110690,6212,110690
69,146,111010,6212,111010
69,146,111560,6212,111560
70,148,112560,6212,112560
70,148,113560,6212,113560
71,150,114020,6212,114020
72,152,115020,6212,115020
73,154,115830,6212,115830
73,154,116830,6212,116830
73,154,117830,6212,117830
73,154,118150,6212,118150
74,156,119150,6212,119150
75,158,119470,6212,119470
75,158,120470,6212,120470
75,158,120790,6212,120790
75,158,120790,6212,120790
75,158,121790,6212,121790
75,158,121790,6212,121790
76,160,122790,6212,122790
76,160,123790,6212,123790
77,162,124600,6212,124600
78,164,125600,6212,125600
78,164,125600,6212,125600
78,164,126600,6212,126600
78,164,127070,6212,127070
78,164,127880,6212,127880
79,166,128880,6212,128880
80,168,129530,6212,129530
80,168,129530,6212,129530
81,176,129530,6212,129530
81,176,129760,6212,129760
81,176,130080,6212,130080
81,176,130400,6212,130400
82,178,131210,6212,131210
83,180,132210,6212,132210
83,180,133020,6212,133020
83,180,133020,6212,133020
83,180,133020,6212,133020
83,180,134020,6212,134020
84,182,134830,6212,134830
84,182,134830,6212,134830
84,182,134830,6212,134830
84,182,135640,6212,135640
84,182,135960,6212,135960
85,184,136960,6212,136960
85,184,137960,6212,137960
86,186,138960,6212,138960
86,186,139610,6212,139610
87,188,140610,6212,140610
87,188,141420,6212,141420
87,188,141420,6212,141420
88,190,142420,6212,142420
89,192,143420,6212,143420
89,192,144420,6212,144420
89,192,145230,6212,145230
90,194,145600,6212,145600
90,194,146070,6212,146070
90,194,147070,6212,147070
91,196,147540,6212,147540
91,196,148540,6212,148540
92,198,149540,6212,149540
92,198,150010,6212,150010
93,200,151010,6212,151010
93,200,151820,6212,151820
93,200,152630,6212,152630
94,202,153630,6212,153630
94,202,153630,6212,153630
94,202,154630,6212,154630
95,204,155100,6212,155100
95,204,156100,6212,156100
96,206,156570,6212,156570
96,206,156940,6212,156940
97,208,157940,6212,157940
97,208,158750,6212,158750
97,208,159560,6212,159560
98,210,160020,6212,160020
98,210,160830,6212,160830
99,212,161480,6212,161480
99,212,161710,6212,161710
99,212,161710,6212,161710
99,212,161710,6212,161710
99,212,161710,6212,161710
100,214,162710,6212,162710
100,214,163520,6212,163520
101,218,167520,6212,167520
102,220,168520,6212,168520
103,222,169520,6212,169520
103,222,170520,6212,170520
103,222,171520,6212,171520
104,224,172520,6212,172520
105,226,172990,6212,172990
105,226,173990,6212,173990
