ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_183a-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
892937.59,14.57,0.97,185037.47,3.02
893770.45,14.58,0.99,185357.35,3.02
893307.69,14.58,0.98,184835.54,3.02
892654.92,14.57,0.97,184109.64,3.0
893298.51,14.58,0.98,184272.14,3.01
892835.75,14.57,0.98,183736.25,3.0
892372.98,14.57,0.97,183200.35,2.99
893035.14,14.58,0.99,183262.22,2.99
892572.38,14.58,0.98,182740.4,2.98
891918.76,14.57,0.97,182040.97,2.97
892209.22,14.58,0.98,181731.14,2.97
893871.38,14.6,1.01,182793.01,2.99
895065.66,14.62,1.03,183639.27,3.0
895406.59,14.63,1.03,183379.9,3.0
895721.51,14.64,1.04,183167.67,2.99
896062.44,14.65,1.05,182908.3,2.99
896141.02,14.65,1.05,182867.67,2.99
896784.6,14.66,1.06,183030.17,2.99
897333.18,14.67,1.07,183459.54,3.0
897674.11,14.68,1.08,183200.18,3.0
897989.03,14.68,1.09,182987.94,2.99
898632.62,14.7,1.1,183150.44,3.0
899181.19,14.71,1.11,183579.81,3.0
899496.11,14.71,1.12,183353.5,3.0
899811.04,14.72,1.12,183127.18,3.0
900454.62,14.73,1.14,183289.68,3.0
900533.2,14.73,1.14,183249.05,3.0
901727.48,14.75,1.16,184095.31,3.01
901727.48,14.75,1.16,183985.93,3.01
903389.64,14.78,1.18,185047.79,3.03
903730.57,14.79,1.19,184788.43,3.02
904392.73,14.8,1.21,184850.3,3.03
905225.58,14.82,1.22,185170.19,3.03
906058.44,14.83,1.24,185490.07,3.04
906806.73,14.84,1.25,186152.18,3.05
906317.96,14.84,1.24,185663.41,3.04
905855.2,14.83,1.24,185127.52,3.03
905855.2,14.83,1.24,185463.04,3.04
905535.2,14.83,1.23,185143.04,3.03
905536.43,14.83,1.23,185144.28,3.03
904448.75,14.83,1.23,185144.28,3.04
904449.98,14.83,1.24,185145.51,3.04
903987.22,14.83,1.23,184609.61,3.03
904302.14,14.83,1.24,184383.3,3.02
904964.3,14.85,1.25,184445.16,3.03
904501.54,14.84,1.24,183923.35,3.02
903848.78,14.83,1.24,183211.53,3.01
903984.23,14.83,1.24,183558.2,3.01
903781.46,14.83,1.24,183296.39,3.01
904904.1,14.85,1.26,184144.19,3.02
905219.02,14.86,1.26,183917.88,3.02
905881.18,14.87,1.28,183979.74,3.02
906171.64,14.88,1.28,183669.91,3.02
905902.87,14.88,1.28,183401.14,3.01
905250.11,14.87,1.27,182689.33,3.0
904621.81,14.86,1.27,182061.03,2.99
904663.62,14.86,1.27,182104.14,2.99
904212.93,14.86,1.26,181566.12,2.98
904878.71,14.87,1.27,181677.42,2.99
905322.58,14.88,1.28,181607.18,2.98
905467.05,14.88,1.29,181301.8,2.98
905003.43,14.88,1.28,180792.37,2.97
905647.01,14.89,1.29,180954.87,2.97
905195.59,14.88,1.29,180384.24,2.97
905839.17,14.89,1.3,180546.74,2.97
905703.21,14.9,1.3,180437.35,2.97
905252.52,14.89,1.29,179899.34,2.96
905581.1,14.9,1.3,180108.71,2.96
906306.96,14.91,1.31,180457.65,2.97
906621.89,14.92,1.32,180245.41,2.97
906698.88,14.92,1.32,180632.89,2.97
906485.93,14.92,1.32,180245.41,2.97
906023.16,14.91,1.31,179709.52,2.96
906169.46,14.91,1.32,179632.44,2.96
906990.33,14.93,1.33,180112.26,2.96
906990.33,14.93,1.33,180126.62,2.96
906539.64,14.92,1.33,179588.6,2.96
906088.94,14.92,1.32,179050.58,2.95
905638.25,14.91,1.32,178512.56,2.94
905953.17,14.92,1.32,178286.25,2.94
906140.41,14.92,1.33,178414.43,2.94
905689.72,14.92,1.32,177876.41,2.93
906522.57,14.93,1.34,178196.3,2.94
906071.88,14.93,1.33,177658.28,2.93
905621.19,14.92,1.33,177120.26,2.92
905962.12,14.93,1.33,176860.9,2.91
907690.2,14.96,1.36,178737.16,2.95
907785.21,14.96,1.37,179560.32,2.96
908979.5,14.98,1.39,180406.58,2.97
908843.54,14.98,1.39,180297.2,2.97
909676.39,15.0,1.4,180617.08,2.98
909767.62,15.0,1.4,180708.31,2.98
910433.41,15.01,1.42,180819.61,2.98
910574.7,15.02,1.42,180701.66,2.98
910111.07,15.01,1.41,180192.23,2.97
910316.3,15.02,1.42,179797.17,2.97
909961.64,15.01,1.42,179442.51,2.96
910590.45,15.02,1.43,179481.75,2.96
911423.31,15.04,1.44,179801.64,2.97
