ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
99,284,234350,6212,234350
99,284,235160,6212,235160
100,286,236160,6212,236160
100,286,237160,6212,237160
100,286,237480,6212,237480
100,286,237800,6212,237800
101,288,239800,6212,239800
101,288,239800,6212,239800
102,290,240800,6212,240800
102,290,241800,6212,241800
103,292,242800,6212,242800
103,292,243800,6212,243800
104,296,244450,6212,244450
105,304,252450,6212,252450
106,306,253450,6212,253450
106,306,254450,6212,254450
107,308,255450,6212,255450
107,308,255450,6212,255450
107,308,256260,6212,256260
108,310,257260,6212,257260
108,310,257260,6212,257260
108,310,258070,6212,258070
109,312,259070,6212,259070
109,312,259660,6212,259660
110,314,260660,6212,260660
110,314,261660,6212,261660
111,316,262660,6212,262660
111,316,263130,6212,263130
112,318,263780,6212,263780
112,318,264590,6212,264590
113,320,265590,6212,265590
114,322,266590,6212,266590
114,322,267590,6212,267590
115,330,275590,6212,275590
115,330,276590,6212,276590
116,332,277590,6212,277590
116,332,278590,6212,278590
117,334,279400,6212,279400
118,336,280400,6212,280400
118,336,280870,6212,280870
118,336,281870,6212,281870
118,336,281870,6212,281870
118,336,282870,6212,282870
119,338,283870,6212,283870
119,338,284870,6212,284870
119,338,284870,6212,284870
119,338,284870,6212,284870
119,338,284920,6212,284920
120,340,285920,6212,285920
121,342,286920,6212,286920
121,342,287240,6212,287240
121,342,288240,6212,288240
121,342,289240,6212,289240
122,344,290240,6212,290240
122,344,290240,6212,290240
122,344,291050,6212,291050
122,344,291050,6212,291050
122,344,291210,6212,291210
123,346,292210,6212,292210
123,346,292210,6212,292210
123,346,293020,6212,293020
123,346,293020,6212,293020
124,354,301020,6212,301020
125,358,305020,6212,305020
126,360,306020,6212,306020
126,360,306020,6212,306020
126,360,306670,6212,306670
127,362,308670,6212,308670
127,362,308670,6212,308670
128,364,309480,6212,309480
128,364,310480,6212,310480
128,364,310480,6212,310480
129,366,311480,6212,311480
129,366,311480,6212,311480
129,366,312480,6212,312480
130,368,313130,6212,313130
130,368,314130,6212,314130
131,372,315130,6212,315130
131,372,316130,6212,316130
131,372,316450,6212,316450
132,374,316920,6212,316920
132,374,317570,6212,317570
132,374,317800,6212,317800
132,374,318270,6212,318270
133,376,319270,6212,319270
134,380,323270,6212,323270
134,380,324080,6212,324080
135,382,324550,6212,324550
136,384,326550,6212,326550
136,384,327550,6212,327550
136,384,329550,6212,329550
136,384,330200,6212,330200
137,386,330850,6212,330850
137,386,331660,6212,331660
137,386,332660,6212,332660
137,386,333130,6212,333130
137,386,334130,6212,334130
138,388,334600,6212,334600
138,388,335600,6212,335600
139,392,339600,6212,339600
139,392,339920,6212,339920
140,394,340920,6212,340920
140,394,341140,6212,341140
140,394,342140,6212,342140
140,394,342140,6212,342140
140,394,343140,6212,343140
140,394,343140,6212,343140
141,396,344140,6212,344140
141,396,344610,6212,344610
141,396,345610,6212,345610
141,396,346080,6212,346080
141,396,347080,6212,347080
141,396,347080,6212,347080
142,398,348080,6212,348080
142,398,349080,6212,349080
142,398,349560,6212,349560
142,398,349880,6212,349880
143,406,357880,6212,357880
144,414,365880,6212,365880
145,416,366880,6212,366880
145,416,367880,6212,367880
145,416,367880,6212,367880
146,418,368880,6212,368880
147,426,376880,6212,376880
148,434,384880,6212,384880
148,434,385880,6212,385880
149,436,386350,6212,386350
149,436,387350,6212,387350
149,436,387350,6212,387350
149,436,387820,6212,387820
149,436,387820,6212,387820
149,436,387820,6212,387820
149,436,387820,6212,387820
150,438,388820,6212,388820
150,438,389820,6212,389820
151,440,390820,6212,390820
151,440,391820,6212,391820
152,442,392820,6212,392820
152,442,393470,6212,393470
153,444,393940,6212,393940
153,444,393940,6212,393940
153,444,394940,6212,394940
153,444,395410,6212,395410
154,446,395880,6212,395880
154,446,396350,6212,396350
154,446,397350,6212,397350
155,448,397820,6212,397820
155,448,398820,6212,398820
156,456,406820,6212,406820
157,458,407630,6212,407630
158,460,408630,6212,408630
158,460,408950,6212,408950
158,460,409950,6212,409950
159,462,410950,6212,410950
159,462,411270,6212,411270
159,462,412270,6212,412270
159,462,413270,6212,413270
160,464,414270,6212,414270
161,472,422270,6212,422270
161,472,422270,6212,422270
161,472,422730,6212,422730
161,472,423730,6212,423730
162,474,424380,6212,424380
163,476,425190,6212,425190
163,476,426190,6212,426190
163,476,427190,6212,427190
164,478,428190,6212,428190
165,480,429000,6212,429000
165,480,430000,6212,430000
166,482,430810,6212,430810
166,482,431810,6212,431810
166,482,432810,6212,432810
167,484,433810,6212,433810
167,484,434810,6212,434810
168,488,435620,6212,435620
169,490,436090,6212,436090
169,490,436900,6212,436900
170,498,444900,6212,444900
170,498,445370,6212,445370
170,498,446370,6212,446370
171,500,447370,6212,447370
171,500,448370,6212,448370
171,500,448690,6212,448690
171,500,448690,6212,448690
171,500,448690,6212,448690
172,504,449500,6212,449500
172,504,450310,6212,450310
173,508,450770,6212,450770
174,510,451770,6212,451770
174,510,452240,6212,452240
174,510,453240,6212,453240
175,512,453470,6212,453470
175,512,453470,6212,453470
175,512,454470,6212,454470
176,514,455470,6212,455470
176,514,456280,6212,456280
177,516,456750,6212,456750
177,516,457400,6212,457400
178,518,458400,6212,458400
179,520,459210,6212,459210
179,520,459210,6212,459210
179,520,460210,6212,460210
179,520,460670,6212,460670
180,522,461480,6212,461480
180,522,462290,6212,462290
181,524,463100,6212,463100
181,524,464100,6212,464100
181,524,464330,6212,464330
182,532,472330,6212,472330
182,532,472880,6212,472880
182,532,472880,6212,472880
182,532,473880,6212,473880
182,532,473880,6212,473880
183,534,474880,6212,474880
183,534,474880,6212,474880
183,534,475880,6212,475880
183,534,475880,6212,475880
183,534,476690,6212,476690
184,536,477500,6212,477500
184,536,478500,6212,478500
185,538,479500,6212,479500
185,538,480500,6212,480500
185,538,480500,6212,480500
186,540,481150,6212,481150
186,540,481150,6212,481150
187,542,482150,6212,482150
187,542,482620,6212,482620
187,542,483620,6212,483620
188,546,484620,6212,484620
189,548,485430,6212,485430
189,548,486430,6212,486430
190,552,490430,6212,490430
191,554,491430,6212,491430
191,554,491430,6212,491430
192,562,499430,6212,499430
192,562,500430,6212,500430
193,566,504430,6212,504430
194,568,504900,6212,504900
194,568,505900,6212,505900
195,572,506900,6212,506900
196,574,507900,6212,507900
196,574,508120,6212,508120
196,574,509120,6212,509120
197,576,510120,6212,510120
197,576,510930,6212,510930
198,578,511930,6212,511930
198,578,512930,6212,512930
199,580,513930,6212,513930
199,580,514930,6212,514930
200,582,515930,6212,515930
200,582,516160,6212,516160
201,584,516970,6212,516970
201,584,517780,6212,517780
202,586,518590,6212,518590
203,590,522590,6212,522590
