ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
145,329,126240,6212,126240
146,331,126240,6212,126240
147,332,127240,6212,127240
148,334,128240,6212,128240
148,334,128710,6212,128710
149,336,129710,6212,129710
150,338,129710,6212,129710
151,340,129710,6212,129710
151,340,129710,6212,129710
152,344,129710,6212,129710
152,344,129710,6212,129710
153,346,130710,6212,130710
153,346,131520,6212,131520
153,346,131980,6212,131980
154,348,132980,6212,132980
154,348,133790,6212,133790
154,348,134790,6212,134790
154,348,135600,6212,135600
155,350,135600,6212,135600
156,351,136070,6212,136070
156,351,136390,6212,136390
157,352,136850,6212,136850
158,354,137850,6212,137850
159,356,138850,6212,138850
160,358,138850,6212,138850
161,362,138850,6212,138850
161,362,138850,6212,138850
162,364,138850,6212,138850
162,364,139660,6212,139660
162,364,139890,6212,139890
162,364,140890,6212,140890
163,366,141890,6212,141890
164,370,141890,6212,141890
164,370,142700,6212,142700
164,370,142930,6212,142930
165,372,142930,6212,142930
165,372,143520,6212,143520
166,374,144520,6212,144520
166,374,145520,6212,145520
166,374,145520,6212,145520
167,376,146520,6212,146520
167,376,146990,6212,146990
167,376,147310,6212,147310
167,376,147310,6212,147310
167,376,147780,6212,147780
167,376,148780,6212,148780
167,376,149590,6212,149590
167,376,149590,6212,149590
167,376,149910,6212,149910
167,376,149910,6212,149910
168,378,150380,6212,150380
168,378,150930,6212,150930
168,378,151400,6212,151400
168,378,152210,6212,152210
168,378,152530,6212,152530
169,380,153530,6212,153530
169,380,154530,6212,154530
170,382,155530,6212,155530
170,382,155530,6212,155530
170,382,156180,6212,156180
170,382,156180,6212,156180
171,384,157180,6212,157180
171,384,158180,6212,158180
171,384,159180,6212,159180
171,384,159990,6212,159990
171,384,159990,6212,159990
172,386,160460,6212,160460
172,386,160460,6212,160460
172,386,161460,6212,161460
172,386,162460,6212,162460
172,386,162460,6212,162460
172,386,163460,6212,163460
173,388,164460,6212,164460
173,388,165460,6212,165460
173,388,166460,6212,166460
173,388,166460,6212,166460
173,388,166460,6212,166460
174,390,167460,6212,167460
174,390,168460,6212,168460
175,392,169460,6212,169460
175,392,170460,6212,170460
175,392,171460,6212,171460
175,392,171570,6212,171570
176,396,172220,6212,172220
176,396,172540,6212,172540
176,396,173540,6212,173540
176,396,173540,6212,173540
176,396,174540,6212,174540
176,396,174540,6212,174540
176,396,174770,6212,174770
176,396,175580,6212,175580
177,398,176050,6212,176050
177,398,177050,6212,177050
177,398,178050,6212,178050
178,402,178700,6212,178700
178,402,178700,6212,178700
178,402,179170,6212,179170
178,402,180170,6212,180170
178,402,180820,6212,180820
178,402,181290,6212,181290
178,402,181760,6212,181760
178,402,181760,6212,181760
179,404,182230,6212,182230
179,404,182700,6212,182700
179,404,183700,6212,183700
180,406,184700,6212,184700
180,406,185700,6212,185700
180,406,186700,6212,186700
180,406,186700,6212,186700
180,406,186700,6212,186700
181,408,187700,6212,187700
181,408,187700,6212,187700
181,408,187700,6212,187700
181,408,188510,6212,188510
181,408,189510,6212,189510
182,410,190510,6212,190510
182,410,191510,6212,191510
183,412,192510,6212,192510
183,412,193320,6212,193320
183,412,194320,6212,194320
184,414,195320,6212,195320
184,414,196320,6212,196320
184,414,197320,6212,197320
184,414,197320,6212,197320
184,414,197640,6212,197640
184,414,197640,6212,197640
185,416,198640,6212,198640
185,416,199640,6212,199640
186,418,200640,6212,200640
186,418,201640,6212,201640
187,422,202290,6212,202290
187,422,202290,6212,202290
187,422,202290,6212,202290
187,422,203100,6212,203100
187,422,203100,6212,203100
187,422,204100,6212,204100
187,422,204910,6212,204910
187,422,205720,6212,205720
187,422,206720,6212,206720
187,422,207190,6212,207190
187,422,208190,6212,208190
188,423,209000,6212,209000
189,424,210000,6212,210000
190,426,211000,6212,211000
190,426,211810,6212,211810
190,426,212810,6212,212810
190,426,212810,6212,212810
190,426,213620,6212,213620
190,426,214620,6212,214620
191,430,214940,6212,214940
191,430,215940,6212,215940
191,430,216940,6212,216940
191,430,217310,6212,217310
191,430,218310,6212,218310
192,434,219310,6212,219310
192,434,220310,6212,220310
192,434,221310,6212,221310
193,436,222310,6212,222310
194,444,230310,6212,230310
194,444,230310,6212,230310
194,444,231310,6212,231310
194,444,231310,6212,231310
194,444,232310,6212,232310
195,446,233310,6212,233310
195,446,233310,6212,233310
195,446,233310,6212,233310
195,446,234120,6212,234120
195,446,234120,6212,234120
195,446,234120,6212,234120
196,448,235120,6212,235120
196,448,235930,6212,235930
196,448,235930,6212,235930
197,450,236930,6212,236930
197,450,237740,6212,237740
197,450,238740,6212,238740
197,450,239550,6212,239550
198,452,240550,6212,240550
198,452,241020,6212,241020
199,454,243020,6212,243020
199,454,243020,6212,243020
199,454,243020,6212,243020
199,454,243830,6212,243830
199,454,244300,6212,244300
199,454,244410,6212,244410
200,456,245410,6212,245410
200,456,246220,6212,246220
201,458,247220,6212,247220
201,458,247220,6212,247220
201,458,247220,6212,247220
201,458,247440,6212,247440
201,458,248090,6212,248090
202,460,249090,6212,249090
202,460,249900,6212,249900
203,462,250370,6212,250370
203,462,250370,6212,250370
203,462,251370,6212,251370
203,462,251370,6212,251370
203,462,251370,6212,251370
204,464,252370,6212,252370
204,464,252370,6212,252370
204,464,252370,6212,252370
204,464,253370,6212,253370
204,464,254370,6212,254370
204,464,254690,6212,254690
204,464,255500,6212,255500
205,466,256500,6212,256500
205,466,257500,6212,257500
206,468,258500,6212,258500
206,468,259500,6212,259500
207,470,260500,6212,260500
207,470,260500,6212,260500
207,470,260500,6212,260500
207,470,260970,6212,260970
207,470,261780,6212,261780
208,472,262780,6212,262780
208,472,263780,6212,263780
209,474,264430,6212,264430
209,474,265430,6212,265430
209,474,265430,6212,265430
209,474,265750,6212,265750
210,476,266750,6212,266750
210,476,266750,6212,266750
210,476,267340,6212,267340
210,476,268340,6212,268340
210,476,269340,6212,269340
210,476,269340,6212,269340
210,476,269340,6212,269340
210,476,269340,6212,269340
210,476,270340,6212,270340
210,476,270340,6212,270340
210,476,271340,6212,271340
211,484,279340,6212,279340
212,486,279810,6212,279810
212,486,280810,6212,280810
213,488,281810,6212,281810
213,488,282280,6212,282280
213,488,282280,6212,282280
213,488,283280,6212,283280
214,490,284280,6212,284280
214,490,285280,6212,285280
215,492,287280,6212,287280
215,492,288090,6212,288090
216,494,289090,6212,289090
216,494,290090,6212,290090
216,494,290900,6212,290900
217,502,290900,6212,290900
218,504,291900,6212,291900
218,504,292900,6212,292900
218,504,292900,6212,292900
219,506,293900,6212,293900
219,506,294710,6212,294710
219,506,294710,6212,294710
219,506,294710,6212,294710
220,508,295360,6212,295360
220,508,296170,6212,296170
221,510,296980,6212,296980
221,510,297450,6212,297450
222,512,298450,6212,298450
223,520,298450,6212,298450
223,520,299450,6212,299450
224,522,300450,6212,300450
224,522,300450,6212,300450
224,522,301450,6212,301450
224,522,301450,6212,301450
224,522,302450,6212,302450
225,524,303100,6212,303100
225,524,304100,6212,304100
225,524,304420,6212,304420
225,524,304420,6212,304420
225,524,304890,6212,304890
225,524,304890,6212,304890
226,526,305890,6212,305890
226,526,306120,6212,306120
226,526,307120,6212,307120
227,528,307590,6212,307590
227,528,308400,6212,308400
227,528,308870,6212,308870
228,530,309870,6212,309870
228,530,310330,6212,310330
228,530,311140,6212,311140
229,532,312140,6212,312140
229,532,312610,6212,312610
230,534,313610,6212,313610
230,534,314610,6212,314610
230,534,315610,6212,315610
231,536,316610,6212,316610
231,536,316610,6212,316610
231,536,317080,6212,317080
231,536,318080,6212,318080
232,538,319080,6212,319080
232,538,319550,6212,319550
232,538,319550,6212,319550
232,538,320360,6212,320360
232,538,320360,6212,320360
232,538,320830,6212,320830
232,538,321830,6212,321830
233,540,322830,6212,322830
233,540,322830,6212,322830
233,540,323300,6212,323300
233,540,324300,6212,324300
233,540,324760,6212,324760
234,542,325760,6212,325760
234,542,326230,6212,326230
234,542,326230,6212,326230
234,542,327040,6212,327040
235,544,327850,6212,327850
235,544,328170,6212,328170
235,544,328820,6212,328820
235,544,328820,6212,328820
235,544,329140,6212,329140
236,546,330140,6212,330140
236,546,330140,6212,330140
236,546,331140,6212,331140
237,548,331730,6212,331730
237,548,332050,6212,332050
237,548,333050,6212,333050
238,550,334050,6212,334050
238,550,334050,6212,334050
238,550,334210,6212,334210
238,550,334430,6212,334430
238,550,334430,6212,334430
238,550,335080,6212,335080
238,550,335080,6212,335080
238,550,335080,6212,335080
239,552,336080,6212,336080
239,552,337080,6212,337080
240,554,337890,6212,337890
240,554,338890,6212,338890
241,556,339350,6212,339350
241,556,340350,6212,340350
241,556,340350,6212,340350
241,556,340820,6212,340820
241,556,340820,6212,340820
242,560,344820,6212,344820
242,560,344820,6212,344820
243,562,345280,6212,345280
243,562,346280,6212,346280
