ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b4a5-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1616367.07,26.1,0.53,207707.3,3.35
1616780.04,26.11,0.54,207597.05,3.35
1616780.04,26.11,0.54,207597.05,3.35
1616892.05,26.11,0.54,207619.99,3.35
1617230.25,26.12,0.54,207858.12,3.36
1617384.81,26.12,0.55,207539.68,3.35
1617539.37,26.13,0.56,207210.77,3.35
1618597.54,26.15,0.57,207948.71,3.36
1618362.34,26.15,0.57,207510.52,3.35
1621339.38,26.2,0.62,210138.66,3.4
1620787.8,26.19,0.62,209547.32,3.39
1621458.76,26.2,0.63,209784.14,3.39
1621747.15,26.21,0.63,210837.02,3.41
1621511.95,26.21,0.63,210398.83,3.4
1620960.36,26.2,0.63,209797.02,3.39
1622667.52,26.23,0.65,210390.78,3.4
1622822.07,26.24,0.66,210061.86,3.4
1622825.75,26.24,0.67,210693.59,3.41
1622274.16,26.23,0.66,210091.78,3.4
1622562.55,26.24,0.66,211144.67,3.41
1621900.75,26.23,0.66,210382.8,3.4
1622874.12,26.25,0.68,210379.21,3.4
1623545.08,26.27,0.69,210616.02,3.41
1624216.04,26.28,0.7,210852.84,3.41
1624504.43,26.28,0.71,211905.72,3.43
1623966.21,26.28,0.7,211367.5,3.42
1623844.41,26.28,0.7,211145.64,3.42
1623102.82,26.27,0.7,210353.83,3.4
1622361.24,26.26,0.69,209572.5,3.39
1621699.44,26.26,0.68,208955.83,3.38
1620957.85,26.25,0.67,208174.5,3.37
1621370.82,26.26,0.68,208064.25,3.37
1621525.38,26.27,0.69,207745.8,3.37
1621679.94,26.27,0.7,207427.36,3.36
1621631.95,26.27,0.7,207290.3,3.36
1621635.63,26.28,0.7,207922.02,3.37
1621790.18,26.28,0.71,207603.58,3.36
1624767.23,26.33,0.76,210231.72,3.41
1624709.24,26.33,0.76,210084.66,3.4
1624047.44,26.33,0.75,209322.79,3.39
1625648.95,26.35,0.78,209854.63,3.4
1626148.96,26.36,0.79,209826.13,3.4
1626885.53,26.37,0.8,210293.59,3.41
1627040.09,26.38,0.81,209964.68,3.4
1627716.49,26.39,0.82,210386.97,3.41
1627871.05,26.4,0.83,210068.52,3.41
1630559.7,26.44,0.87,211643.78,3.43
1630714.26,26.45,0.88,211325.33,3.43
1630162.67,26.44,0.87,210723.53,3.42
1631575.64,26.47,0.89,211613.29,3.43
1630834.06,26.46,0.89,210821.48,3.42
1631247.03,26.47,0.9,210711.24,3.42
1630585.23,26.46,0.89,209949.37,3.41
1630739.78,26.47,0.9,209630.93,3.4
1631410.74,26.48,0.91,209867.74,3.41
1631414.42,26.49,0.91,210499.46,3.42
1632150.99,26.5,0.93,210966.93,3.43
1632507.39,26.51,0.93,211069.21,3.43
1633007.4,26.52,0.94,211040.71,3.43
1632265.81,26.51,0.94,210248.91,3.41
1635242.85,26.56,0.98,212877.05,3.46
1637216.22,26.59,1.02,213873.46,3.47
1638414.35,26.61,1.04,214094.64,3.48
1638827.32,26.62,1.05,213984.39,3.48
1638085.73,26.61,1.04,213203.06,3.46
1638423.93,26.62,1.05,213441.19,3.47
1638578.49,26.63,1.05,213122.74,3.46
1638582.17,26.63,1.06,213754.47,3.47
1639246.39,26.64,1.07,213680.23,3.47
1639746.4,26.65,1.08,213651.73,3.47
1640159.37,26.66,1.09,213541.48,3.47
1640313.92,26.67,1.1,213212.57,3.47
1640022.34,26.67,1.09,212870.77,3.46
1642999.38,26.72,1.14,215498.9,3.5
1643820.88,26.73,1.16,216320.4,3.52
1644211.64,26.74,1.16,216453.62,3.52
1644882.6,26.75,1.18,216690.43,3.52
1645855.97,26.77,1.2,216686.85,3.52
1646010.52,26.78,1.2,216357.94,3.52
1646423.5,26.79,1.22,216247.69,3.52
1646475.51,26.79,1.22,216210.63,3.52
1646975.51,26.8,1.23,216182.13,3.52
1646934.26,26.8,1.23,216356.13,3.52
1647434.27,26.81,1.24,216327.62,3.52
1647601.86,26.82,1.25,215972.0,3.52
1648660.03,26.84,1.26,216709.95,3.53
1649718.2,26.86,1.28,217447.9,3.54
1649586.4,26.86,1.28,217216.03,3.54
1650644.57,26.87,1.3,217953.97,3.55
1651702.73,26.89,1.32,218691.92,3.56
1651857.29,26.9,1.32,218373.48,3.56
1651310.26,26.89,1.32,217831.73,3.55
1650758.67,26.89,1.31,217229.93,3.54
1650913.23,26.89,1.32,216911.49,3.53
1651413.23,26.9,1.33,216882.98,3.53
1651441.65,26.91,1.33,216861.18,3.53
1651479.09,26.91,1.33,216741.93,3.53
1651592.75,26.91,1.33,216024.7,3.52
1654569.79,26.96,1.38,218652.84,3.56
1656686.13,26.99,1.42,221965.65,3.62
1656853.73,27.0,1.42,221610.03,3.61
1656895.74,27.0,1.43,221562.97,3.61
1657050.3,27.01,1.43,221234.06,3.61
1657946.44,27.02,1.45,221934.6,3.62
1658087.63,27.03,1.45,221552.57,3.61
1657955.82,27.03,1.45,221320.7,3.61
1658123.42,27.03,1.46,220965.08,3.6
1658277.98,27.04,1.47,220636.17,3.6
1658948.94,27.05,1.48,220872.98,3.6
1661925.98,27.1,1.53,223501.12,3.64
1662093.58,27.11,1.54,223145.49,3.64
1662131.02,27.11,1.54,223026.24,3.64
1662073.98,27.11,1.54,222974.5,3.64
1661522.4,27.11,1.53,222372.7,3.63
1660780.81,27.1,1.52,221591.36,3.62
1662193.78,27.12,1.55,222481.12,3.63
1662361.38,27.13,1.55,222125.5,3.62
1662774.35,27.14,1.57,222015.25,3.62
1662915.53,27.15,1.57,221633.22,3.62
