ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
132,288,143810,6212,143810
132,288,144810,6212,144810
133,290,144810,6212,144810
134,294,145810,6212,145810
135,296,146280,6212,146280
135,296,146510,6212,146510
136,298,147160,6212,147160
137,300,147630,6212,147630
137,300,148440,6212,148440
137,300,149440,6212,149440
137,300,150250,6212,150250
138,302,150710,6212,150710
139,304,151180,6212,151180
139,304,151990,6212,151990
139,304,152220,6212,152220
140,308,153220,6212,153220
141,310,153690,6212,153690
142,312,154340,6212,154340
142,312,155150,6212,155150
142,312,155310,6212,155310
143,314,155310,6212,155310
143,314,156120,6212,156120
144,316,157120,6212,157120
145,318,157770,6212,157770
145,318,158240,6212,158240
145,318,158290,6212,158290
145,318,158610,6212,158610
145,318,159420,6212,159420
145,318,159890,6212,159890
146,320,160540,6212,160540
147,322,161540,6212,161540
148,324,162540,6212,162540
149,326,163540,6212,163540
149,326,164000,6212,164000
149,326,164000,6212,164000
150,328,165000,6212,165000
151,330,165000,6212,165000
151,330,165000,6212,165000
152,332,166000,6212,166000
152,332,166320,6212,166320
152,332,167130,6212,167130
153,334,168130,6212,168130
153,334,169130,6212,169130
154,336,170130,6212,170130
155,338,170590,6212,170590
155,338,171400,6212,171400
155,338,172400,6212,172400
156,340,173400,6212,173400
156,340,174210,6212,174210
156,340,175020,6212,175020
156,340,175020,6212,175020
157,342,176020,6212,176020
158,344,177020,6212,177020
159,346,178020,6212,178020
159,346,178830,6212,178830
