ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_617f-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
1631992.2,26.59,1.01,204502.61,3.33
1632007.58,26.59,1.01,204517.98,3.33
1632683.98,26.6,1.03,204940.27,3.34
1633360.38,26.61,1.04,205362.56,3.35
1633360.38,26.61,1.04,205552.93,3.35
1634418.54,26.63,1.05,206290.87,3.36
1634586.14,26.64,1.06,205935.25,3.36
1634601.52,26.64,1.06,205950.63,3.36
1634756.07,26.64,1.07,205621.72,3.35
1635652.22,26.66,1.08,206322.26,3.36
1635793.4,26.66,1.09,205940.23,3.36
1636336.28,26.68,1.1,206014.25,3.36
1636503.88,26.68,1.11,205658.63,3.35
1636658.43,26.69,1.12,205329.72,3.35
1637329.39,26.7,1.13,205566.53,3.35
1638817.92,26.73,1.15,207304.52,3.38
1638985.51,26.73,1.16,206948.9,3.38
1639385.6,26.74,1.17,207294.63,3.38
1639324.02,26.74,1.17,207193.3,3.38
1638772.43,26.74,1.16,206591.5,3.37
1638017.81,26.73,1.15,205836.87,3.36
1639430.78,26.75,1.18,206726.63,3.37
1639598.37,26.76,1.18,206371.0,3.37
1640011.34,26.77,1.19,206260.76,3.37
1640152.53,26.78,1.2,205878.73,3.36
1641565.5,26.8,1.22,206768.48,3.38
1641720.06,26.81,1.23,206439.57,3.37
1642391.02,26.82,1.24,206676.38,3.37
1645368.06,26.87,1.29,209304.52,3.42
1645368.06,26.87,1.29,209266.1,3.42
1645522.62,26.87,1.3,208947.65,3.41
1646259.19,26.89,1.31,209415.12,3.42
1646012.81,26.89,1.31,209681.56,3.42
1645747.71,26.89,1.31,209381.9,3.42
1645902.27,26.89,1.32,209063.46,3.42
1645905.95,26.9,1.32,209695.18,3.43
1646073.54,26.9,1.33,209339.56,3.42
1646241.14,26.91,1.34,208983.94,3.42
1647299.31,26.93,1.36,209721.88,3.43
1646747.72,26.92,1.35,209120.08,3.42
1646902.28,26.93,1.36,208791.17,3.41
1647108.68,26.94,1.36,208743.46,3.41
1646557.09,26.93,1.36,208152.12,3.4
1646724.68,26.94,1.36,207796.5,3.4
1646724.68,26.94,1.36,207758.08,3.4
1647782.85,26.95,1.38,208496.03,3.41
1648325.73,26.97,1.39,208570.05,3.41
1649383.9,26.98,1.41,209308.0,3.42
1648629.27,26.98,1.4,208553.37,3.41
1648567.69,26.98,1.4,208452.04,3.41
1648711.88,26.98,1.4,208802.6,3.42
1648797.8,26.98,1.41,209229.61,3.42
1648043.17,26.98,1.4,208474.99,3.41
1648154.96,26.98,1.4,208586.77,3.41
1648253.37,26.98,1.41,208615.98,3.41
1648407.93,26.99,1.41,208287.07,3.41
1649466.1,27.01,1.43,209025.02,3.42
1649633.69,27.01,1.44,208669.39,3.42
1649922.08,27.02,1.44,209722.28,3.43
1650980.25,27.03,1.46,210460.22,3.45
1651651.21,27.05,1.47,210697.04,3.45
1652331.66,27.06,1.49,210943.85,3.45
1652499.26,27.07,1.49,210588.23,3.45
1653912.23,27.09,1.52,211477.98,3.46
1654200.62,27.1,1.52,212530.86,3.48
1654200.62,27.1,1.52,212530.86,3.48
1653600.71,27.09,1.52,211876.59,3.47
1653755.27,27.1,1.52,211558.15,3.47
1653013.68,27.09,1.52,210776.82,3.45
1653088.45,27.1,1.52,210283.24,3.45
1652832.72,27.1,1.52,210225.67,3.45
1652576.98,27.1,1.52,210211.6,3.45
1652731.53,27.1,1.53,209882.69,3.44
1652731.53,27.1,1.53,209882.69,3.44
1652069.73,27.1,1.52,209266.02,3.43
1652612.61,27.11,1.53,209340.04,3.43
1652616.29,27.11,1.54,209971.77,3.44
1653116.29,27.12,1.55,209943.26,3.44
1652564.71,27.12,1.54,209341.46,3.44
1652013.12,27.11,1.54,208739.66,3.43
1653071.29,27.13,1.56,209477.61,3.44
1653071.29,27.13,1.56,209477.61,3.44
1652506.66,27.12,1.55,208912.98,3.43
1652256.76,27.12,1.55,208608.72,3.42
1651502.13,27.11,1.54,207854.09,3.41
1652173.09,27.13,1.55,208090.9,3.42
1652327.65,27.13,1.56,207761.99,3.41
1652740.62,27.15,1.57,207651.74,3.41
1653798.79,27.16,1.59,208389.69,3.42
1656775.83,27.21,1.64,211017.83,3.47
1656224.25,27.21,1.63,210426.49,3.46
1655659.62,27.2,1.63,209861.87,3.45
1655814.18,27.21,1.63,209543.42,3.44
1656872.35,27.23,1.65,210281.37,3.46
1657328.89,27.24,1.66,209760.96,3.45
1658302.26,27.26,1.68,209757.37,3.45
1659805.62,27.28,1.71,210283.79,3.46
1660967.31,27.31,1.73,211286.05,3.47
1663655.97,27.35,1.78,212861.31,3.5
1665629.34,27.38,1.81,213857.72,3.52
1665629.34,27.38,1.81,214048.09,3.52
1667117.86,27.41,1.84,215786.08,3.55
1669806.52,27.45,1.88,217361.34,3.57
1670719.93,27.47,1.9,217161.35,3.57
1670168.35,27.47,1.89,216570.02,3.56
1669980.13,27.47,1.89,216381.8,3.56
1669837.72,27.47,1.89,215942.95,3.55
1669273.09,27.46,1.89,215378.32,3.54
1668518.47,27.46,1.88,214623.7,3.53
1667966.88,27.45,1.88,214021.9,3.52
1669554.14,27.48,1.9,215556.69,3.55
1669771.67,27.48,1.91,215175.88,3.54
1669710.08,27.48,1.91,215074.54,3.54
1670065.44,27.49,1.92,215240.42,3.54
1669954.56,27.49,1.92,214771.21,3.54
1669812.15,27.49,1.92,214009.07,3.52
1669849.59,27.5,1.92,214790.58,3.54
1669849.59,27.5,1.92,214980.95,3.54
1669868.31,27.5,1.92,215006.33,3.54
1670794.54,27.51,1.94,216175.37,3.56
1670242.96,27.51,1.93,215584.04,3.55
1670271.37,27.51,1.93,215562.23,3.55
1669534.33,27.5,1.93,214830.49,3.54
1669934.72,27.51,1.94,215838.65,3.56
1672911.77,27.56,1.99,218466.78,3.6
1672364.73,27.55,1.98,217925.04,3.59
1672397.7,27.56,1.98,217963.29,3.59
1674250.16,27.59,2.01,219158.18,3.61
1673923.13,27.58,2.01,218836.43,3.61
1674525.76,27.6,2.02,220037.5,3.63
1674270.02,27.6,2.02,220028.51,3.63
1674270.02,27.6,2.02,219965.86,3.63
1674014.28,27.6,2.03,219965.86,3.63
1674203.73,27.6,2.03,220018.44,3.63
1674146.69,27.6,2.03,219966.69,3.63
1674146.69,27.6,2.03,219966.69,3.63
1673761.5,27.6,2.03,219842.48,3.63
1673024.47,27.59,2.02,219110.74,3.61
1672477.43,27.59,2.01,218568.99,3.61
1672563.91,27.59,2.02,219084.51,3.61
1672515.92,27.59,2.02,218947.46,3.61
1672515.92,27.59,2.02,218947.46,3.61
1672677.07,27.59,2.02,218992.28,3.61
1672643.9,27.6,2.02,218959.11,3.61
1672833.35,27.6,2.03,219025.26,3.61
1672295.36,27.6,2.02,218398.2,3.6
1672058.91,27.59,2.02,218552.86,3.61
1671803.17,27.59,2.02,218429.76,3.61
1671575.51,27.6,2.02,218267.9,3.6
1672094.68,27.61,2.03,218282.1,3.6
1675071.72,27.66,2.08,220910.24,3.65
1675107.26,27.66,2.09,221036.04,3.65
1675107.26,27.66,2.09,221075.36,3.65
1674879.6,27.66,2.09,220972.03,3.65
1675398.77,27.68,2.1,221028.81,3.65
1674670.78,27.67,2.09,220211.75,3.64
1674132.79,27.66,2.09,219584.69,3.63
1674132.79,27.66,2.09,219530.03,3.63
1674348.33,27.67,2.09,219734.72,3.63
1674349.59,27.67,2.09,219736.04,3.63
1673621.6,27.66,2.09,218918.98,3.62
1673365.86,27.66,2.09,219106.96,3.62
1673403.64,27.66,2.09,219101.98,3.62
1672675.65,27.65,2.08,218284.92,3.61
1672382.13,27.65,2.08,218084.95,3.61
1671654.15,27.65,2.07,217267.89,3.59
1671426.49,27.65,2.07,217106.03,3.59
1672616.59,27.67,2.09,217935.52,3.6
1672654.03,27.67,2.09,217816.27,3.6
1672620.27,27.67,2.1,217611.3,3.6
1673593.64,27.69,2.12,218563.66,3.62
1673337.9,27.69,2.12,218554.67,3.62
1673082.16,27.69,2.12,218492.02,3.62
1672354.17,27.69,2.11,217674.96,3.6
1672270.81,27.68,2.11,217594.62,3.6
1672372.75,27.69,2.12,217597.13,3.6
1672324.76,27.69,2.12,217460.07,3.6
1672843.93,27.7,2.13,217524.13,3.6
1672843.93,27.7,2.13,217524.13,3.6
1672549.86,27.7,2.13,217435.69,3.6
1672549.86,27.7,2.13,217435.69,3.6
1672592.38,27.7,2.13,217388.64,3.6
1672054.39,27.7,2.13,216761.58,3.59
1672243.84,27.7,2.13,216827.73,3.59
1671598.64,27.7,2.12,215979.54,3.58
1671342.9,27.7,2.13,216274.0,3.58
1671416.77,27.7,2.13,216274.95,3.58
1671439.68,27.7,2.13,216313.21,3.59
1671031.58,27.7,2.13,215902.7,3.58
1670548.4,27.7,2.12,215091.91,3.57
1670622.27,27.7,2.13,215676.44,3.58
1670839.8,27.71,2.13,215847.86,3.58
