ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
92,198,145230,6212,145230
92,198,145600,6212,145600
92,198,146070,6212,146070
92,198,147070,6212,147070
93,200,147540,6212,147540
94,202,148540,6212,148540
94,202,149540,6212,149540
95,204,150010,6212,150010
96,206,151010,6212,151010
96,206,151820,6212,151820
97,208,152630,6212,152630
97,208,153630,6212,153630
97,208,153630,6212,153630
98,210,154630,6212,154630
98,210,155100,6212,155100
98,210,156100,6212,156100
99,212,156570,6212,156570
99,212,156940,6212,156940
100,214,157940,6212,157940
100,214,158750,6212,158750
100,214,159560,6212,159560
101,216,160020,6212,160020
101,216,160830,6212,160830
102,218,161480,6212,161480
102,218,161710,6212,161710
102,218,161710,6212,161710
102,218,161710,6212,161710
102,218,161710,6212,161710
102,218,162710,6212,162710
102,218,163520,6212,163520
103,222,167520,6212,167520
104,224,168520,6212,168520
105,226,169520,6212,169520
105,226,170520,6212,170520
106,228,171520,6212,171520
106,228,172520,6212,172520
107,230,172990,6212,172990
108,232,173990,6212,173990
109,240,174990,6212,174990
109,240,175460,6212,175460
109,240,176460,6212,176460
110,242,177460,6212,177460
110,242,178270,6212,178270
110,242,179270,6212,179270
111,244,179740,6212,179740
111,244,180740,6212,180740
112,246,181740,6212,181740
112,246,182740,6212,182740
112,246,183740,6212,183740
112,246,184740,6212,184740
112,246,185200,6212,185200
112,246,186200,6212,186200
112,246,186200,6212,186200
112,246,187200,6212,187200
113,248,188200,6212,188200
113,248,189200,6212,189200
114,250,189520,6212,189520
114,250,190330,6212,190330
114,250,191140,6212,191140
114,250,191690,6212,191690
115,252,192160,6212,192160
115,252,192160,6212,192160
115,252,192390,6212,192390
115,252,192860,6212,192860
115,252,193080,6212,193080
115,252,194080,6212,194080
116,254,194890,6212,194890
116,254,195890,6212,195890
116,254,196700,6212,196700
117,262,196700,6212,196700
117,262,197170,6212,197170
118,264,198170,6212,198170
118,264,199170,6212,199170
119,266,199980,6212,199980
120,268,200980,6212,200980
120,268,201980,6212,201980
120,268,202450,6212,202450
121,272,203450,6212,203450
122,274,204260,6212,204260
123,276,205260,6212,205260
123,276,205730,6212,205730
123,276,205730,6212,205730
123,276,206540,6212,206540
124,278,207350,6212,207350
124,278,207350,6212,207350
124,278,208350,6212,208350
124,278,209350,6212,209350
124,278,209580,6212,209580
125,280,211580,6212,211580
125,280,211580,6212,211580
125,280,212390,6212,212390
125,280,212390,6212,212390
125,280,213390,6212,213390
125,280,214390,6212,214390
126,282,215200,6212,215200
126,282,216200,6212,216200
127,284,217200,6212,217200
127,284,218200,6212,218200
128,286,219010,6212,219010
128,286,219330,6212,219330
129,288,220140,6212,220140
130,290,221140,6212,221140
130,290,222140,6212,222140
130,290,222140,6212,222140
131,292,223140,6212,223140
131,292,223790,6212,223790
132,300,223790,6212,223790
133,302,224790,6212,224790
134,306,226790,6212,226790
134,306,227020,6212,227020
134,306,227490,6212,227490
134,306,228490,6212,228490
134,306,229300,6212,229300
135,308,230300,6212,230300
135,308,231300,6212,231300
136,310,232300,6212,232300
137,312,233110,6212,233110
137,312,233110,6212,233110
137,312,233920,6212,233920
138,314,234510,6212,234510
138,314,234830,6212,234830
138,314,235830,6212,235830
138,314,235830,6212,235830
138,314,235830,6212,235830
138,314,236300,6212,236300
139,316,237110,6212,237110
139,316,237110,6212,237110
139,316,238110,6212,238110
139,316,238340,6212,238340
140,318,239340,6212,239340
140,318,240340,6212,240340
140,318,241340,6212,241340
140,318,241340,6212,241340
140,318,241660,6212,241660
140,318,242130,6212,242130
140,318,243130,6212,243130
141,326,243130,6212,243130
142,328,243780,6212,243780
142,328,244590,6212,244590
143,336,252590,6212,252590
144,338,253590,6212,253590
144,338,254590,6212,254590
145,340,255590,6212,255590
146,342,256240,6212,256240
146,342,257240,6212,257240
146,342,257710,6212,257710
146,342,258710,6212,258710
146,342,259710,6212,259710
146,342,260710,6212,260710
146,342,261710,6212,261710
147,344,262710,6212,262710
147,344,262940,6212,262940
147,344,263940,6212,263940
147,344,264940,6212,264940
147,344,265750,6212,265750
148,346,266560,6212,266560
148,346,267030,6212,267030
148,346,268030,6212,268030
149,350,269030,6212,269030
149,350,270030,6212,270030
149,350,271030,6212,271030
150,358,271030,6212,271030
151,360,271580,6212,271580
151,360,272050,6212,272050
152,362,272700,6212,272700
152,362,272700,6212,272700
153,370,273700,6212,273700
153,370,274700,6212,274700
153,370,275510,6212,275510
154,372,275980,6212,275980
154,372,276980,6212,276980
154,372,277980,6212,277980
154,372,278980,6212,278980
154,372,279790,6212,279790
154,372,280790,6212,280790
154,372,288790,6212,288790
154,372,289600,6212,289600
155,374,290600,6212,290600
156,376,291150,6212,291150
156,376,292150,6212,292150
156,376,293150,6212,293150
157,378,293620,6212,293620
158,380,294620,6212,294620
158,380,295430,6212,295430
159,382,296080,6212,296080
159,382,297080,6212,297080
160,384,298080,6212,298080
160,384,299080,6212,299080
161,386,300080,6212,300080
161,386,301080,6212,301080
162,390,302080,6212,302080
163,392,303080,6212,303080
163,392,304080,6212,304080
163,392,304550,6212,304550
163,392,305550,6212,305550
163,392,305550,6212,305550
163,392,306550,6212,306550
164,400,306550,6212,306550
165,402,307550,6212,307550
165,402,308550,6212,308550
165,402,308550,6212,308550
165,402,309550,6212,309550
165,402,309780,6212,309780
165,402,310780,6212,310780
166,404,311780,6212,311780
166,404,311780,6212,311780
166,404,311780,6212,311780
166,404,312240,6212,312240
166,404,313240,6212,313240
167,406,314050,6212,314050
167,406,314050,6212,314050
167,406,315050,6212,315050
167,406,315270,6212,315270
168,408,316270,6212,316270
168,408,317080,6212,317080
168,408,318080,6212,318080
168,408,318540,6212,318540
168,408,319350,6212,319350
169,410,320160,6212,320160
169,410,320810,6212,320810
170,412,321810,6212,321810
170,412,322040,6212,322040
170,412,323040,6212,323040
171,414,324040,6212,324040
171,414,325040,6212,325040
171,414,326040,6212,326040
172,416,326510,6212,326510
172,416,326980,6212,326980
173,418,327980,6212,327980
174,420,328980,6212,328980
175,428,329980,6212,329980
176,430,330980,6212,330980
176,430,331300,6212,331300
176,430,332300,6212,332300
176,430,333110,6212,333110
177,432,333920,6212,333920
177,432,334920,6212,334920
177,432,335920,6212,335920
177,432,336920,6212,336920
177,432,337730,6212,337730
178,434,338540,6212,338540
178,434,339540,6212,339540
178,434,340010,6212,340010
179,436,341010,6212,341010
179,436,341010,6212,341010
179,436,341010,6212,341010
179,436,342010,6212,342010
179,436,342010,6212,342010
179,436,343010,6212,343010
179,436,343010,6212,343010
180,438,343820,6212,343820
180,438,344820,6212,344820
180,438,345050,6212,345050
180,438,346050,6212,346050
180,438,346860,6212,346860
181,440,347670,6212,347670
182,448,347670,6212,347670
183,450,348670,6212,348670
183,450,349020,6212,349020
184,454,350020,6212,350020
184,454,351020,6212,351020
184,454,351020,6212,351020
184,454,351340,6212,351340
185,456,352340,6212,352340
185,456,353340,6212,353340
185,456,353340,6212,353340
185,456,354340,6212,354340
186,458,355340,6212,355340
186,458,356150,6212,356150
186,458,357150,6212,357150
186,458,357150,6212,357150
187,460,358150,6212,358150
187,460,359150,6212,359150
188,462,360150,6212,360150
189,464,360620,6212,360620
189,464,361620,6212,361620
190,466,362620,6212,362620
190,466,363430,6212,363430
