ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1785812.58,29.14,0.61,216275.23,3.53
1785519.62,29.14,0.61,216319.64,3.53
1784772.82,29.14,0.6,215577.72,3.52
1784557.32,29.14,0.6,215582.98,3.52
1784070.03,29.13,0.6,215052.92,3.51
1784085.52,29.13,0.6,215047.46,3.51
1784085.52,29.13,0.6,215994.56,3.53
1783868.48,29.14,0.6,215920.5,3.53
1783874.68,29.14,0.6,216006.89,3.53
1784162.86,29.14,0.6,216292.23,3.53
1787394.88,29.19,0.65,222700.9,3.64
1787503.99,29.2,0.66,222696.87,3.64
1787474.91,29.2,0.66,223055.17,3.64
1787474.91,29.2,0.66,223011.88,3.64
1787494.93,29.21,0.67,223048.46,3.64
1787209.84,29.21,0.67,223024.07,3.64
1786837.9,29.2,0.66,222786.7,3.64
1786622.41,29.2,0.66,222791.95,3.64
1786354.23,29.21,0.66,222788.56,3.64
1785883.03,29.2,0.66,222405.16,3.64
1785665.99,29.2,0.66,222331.1,3.64
1785450.5,29.2,0.66,222267.83,3.64
1785450.5,29.2,0.66,222311.81,3.64
1785872.74,29.21,0.67,222433.5,3.64
1785655.69,29.21,0.67,222427.95,3.64
1785655.69,29.21,0.67,222383.98,3.64
1785262.07,29.21,0.67,222046.96,3.63
1785116.15,29.21,0.67,221858.55,3.63
1784822.54,29.21,0.67,221859.33,3.63
1784795.01,29.21,0.67,221955.46,3.63
1784765.93,29.22,0.67,222113.41,3.64
1785808.41,29.24,0.69,223237.04,3.66
