ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3add-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
82,200,145230,6212,145230
82,200,145600,6212,145600
82,200,146070,6212,146070
82,200,147070,6212,147070
83,202,147540,6212,147540
83,202,148540,6212,148540
83,202,149540,6212,149540
83,202,150010,6212,150010
83,202,151010,6212,151010
83,202,151820,6212,151820
84,204,152630,6212,152630
84,204,153630,6212,153630
84,204,153630,6212,153630
85,206,154630,6212,154630
85,206,155100,6212,155100
85,206,156100,6212,156100
86,208,156570,6212,156570
86,208,156940,6212,156940
86,208,157940,6212,157940
86,208,158750,6212,158750
87,210,159560,6212,159560
87,210,160020,6212,160020
88,212,160830,6212,160830
88,212,161480,6212,161480
88,212,161710,6212,161710
88,212,161710,6212,161710
88,212,161710,6212,161710
88,212,161710,6212,161710
89,214,162710,6212,162710
90,216,163520,6212,163520
91,220,167520,6212,167520
92,222,168520,6212,168520
92,222,169520,6212,169520
93,224,170520,6212,170520
93,224,171520,6212,171520
94,226,172520,6212,172520
94,226,172990,6212,172990
94,226,173990,6212,173990
95,228,174990,6212,174990
95,228,175460,6212,175460
95,228,176460,6212,176460
96,230,177460,6212,177460
97,232,178270,6212,178270
97,232,179270,6212,179270
97,232,179740,6212,179740
97,232,180740,6212,180740
98,234,181740,6212,181740
98,234,182740,6212,182740
99,242,183740,6212,183740
99,242,184740,6212,184740
100,244,185200,6212,185200
100,244,186200,6212,186200
101,252,186200,6212,186200
102,254,187200,6212,187200
102,254,188200,6212,188200
102,254,189200,6212,189200
102,254,189520,6212,189520
102,254,190330,6212,190330
103,256,191140,6212,191140
104,258,191690,6212,191690
104,258,192160,6212,192160
104,258,192160,6212,192160
104,258,192390,6212,192390
104,258,192860,6212,192860
104,258,193080,6212,193080
104,258,194080,6212,194080
104,258,194890,6212,194890
104,258,195890,6212,195890
105,260,196700,6212,196700
