ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4759-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
851653.44,13.93,0.58,325600.77,5.32
851278.57,13.92,0.58,325192.06,5.32
851559.68,13.93,0.58,325386.69,5.32
851599.91,13.93,0.59,325556.8,5.33
851451.44,13.93,0.59,325444.39,5.32
851491.67,13.93,0.59,325613.8,5.33
851343.2,13.93,0.59,325570.91,5.33
851383.43,13.93,0.59,325649.01,5.33
851383.43,13.93,0.59,325649.01,5.33
851652.66,13.94,0.6,325542.66,5.33
851504.19,13.94,0.6,325936.85,5.34
851355.72,13.94,0.6,325808.08,5.33
851355.72,13.94,0.6,325808.08,5.33
851355.72,13.94,0.6,325808.08,5.33
851207.25,13.94,0.6,325701.44,5.33
851058.78,13.94,0.6,325588.33,5.33
851328.01,13.94,0.6,327640.46,5.37
851188.26,13.94,0.6,327012.09,5.36
851188.26,13.94,0.6,326914.42,5.36
850938.07,13.94,0.6,326581.76,5.35
850789.6,13.94,0.6,326566.72,5.35
850641.13,13.94,0.6,326453.61,5.35
850492.66,13.94,0.6,326438.57,5.35
850344.18,13.94,0.6,326326.16,5.35
850195.71,13.94,0.6,326310.43,5.35
850235.95,13.94,0.6,325497.9,5.34
850087.48,13.94,0.6,325385.48,5.34
849893.41,13.94,0.6,325162.44,5.33
850071.81,13.95,0.6,325467.23,5.34
849923.34,13.95,0.6,325424.57,5.34
849774.86,13.95,0.6,325339.08,5.34
849774.86,13.95,0.6,325241.41,5.34
849626.39,13.95,0.6,325128.3,5.34
849477.92,13.95,0.6,325113.27,5.34
849477.92,13.95,0.6,325113.27,5.34
849477.92,13.95,0.6,325113.27,5.34
849181.05,13.94,0.6,324822.75,5.33
849253.13,13.94,0.6,324179.88,5.32
849570.33,13.95,0.61,324423.59,5.33
849421.86,13.95,0.61,324380.93,5.33
849273.39,13.95,0.61,324295.44,5.33
849124.92,13.95,0.61,324268.9,5.33
848827.97,13.95,0.61,324134.15,5.33
848679.5,13.95,0.61,324032.54,5.33
848531.03,13.95,0.61,323919.43,5.33
847937.15,13.95,0.61,323579.83,5.32
847836.63,13.95,0.61,322959.86,5.31
848121.99,13.95,0.61,323378.13,5.32
847973.52,13.95,0.61,323265.02,5.32
847973.52,13.95,0.61,323265.02,5.32
846906.04,13.96,0.61,323057.29,5.32
846746.96,13.95,0.61,322437.83,5.31
846598.49,13.95,0.61,322422.79,5.31
846450.02,13.95,0.61,322310.38,5.31
846323.15,13.95,0.61,323174.88,5.33
846135.94,13.95,0.61,322936.26,5.33
846184.89,13.96,0.61,322500.59,5.32
845936.0,13.95,0.61,322165.22,5.31
845787.53,13.95,0.61,322149.49,5.32
845628.96,13.95,0.61,322005.55,5.31
845898.19,13.96,0.61,321237.94,5.3
845749.72,13.96,0.61,321061.84,5.3
845601.25,13.96,0.61,320949.43,5.3
845452.78,13.96,0.61,320933.7,5.3
845304.31,13.96,0.61,320820.59,5.3
845155.84,13.96,0.61,320805.55,5.3
845007.37,13.96,0.61,320779.02,5.3
844858.89,13.96,0.61,320677.4,5.3
844858.89,13.96,0.61,320677.4,5.3
844710.42,13.96,0.61,320650.87,5.3
844572.57,13.96,0.61,321120.84,5.31
844602.18,13.96,0.62,321056.37,5.31
844453.71,13.96,0.62,320954.76,5.31
844305.24,13.96,0.62,320928.23,5.31
843931.41,13.95,0.61,320554.91,5.3
844216.77,13.96,0.62,320816.41,5.31
844068.3,13.96,0.62,320789.88,5.31
843000.83,13.96,0.62,320669.77,5.31
842852.35,13.96,0.62,320568.16,5.31
842703.88,13.96,0.62,320525.26,5.31
842555.41,13.96,0.62,320440.01,5.31
842331.78,13.96,0.61,320247.06,5.31
842372.01,13.96,0.62,320327.18,5.31
842223.54,13.96,0.62,320282.27,5.31
842223.54,13.96,0.62,320282.27,5.31
842075.07,13.96,0.62,320239.61,5.31
842075.07,13.96,0.62,320239.61,5.31
841926.6,13.96,0.62,320154.12,5.31
841778.12,13.96,0.62,320127.59,5.31
