ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
82,164,110520,6212,110520
82,164,110520,6212,110520
83,166,111170,6212,111170
83,166,111630,6212,111630
84,168,112280,6212,112280
84,168,112500,6212,112500
84,168,112820,6212,112820
84,168,113630,6212,113630
85,170,114630,6212,114630
85,170,115280,6212,115280
85,170,115500,6212,115500
85,170,115960,6212,115960
86,172,116550,6212,116550
86,172,117360,6212,117360
87,174,118170,6212,118170
87,174,118490,6212,118490
87,174,118810,6212,118810
87,174,119280,6212,119280
88,176,119740,6212,119740
88,176,119740,6212,119740
88,176,120550,6212,120550
89,178,121550,6212,121550
89,178,122020,6212,122020
89,178,122490,6212,122490
89,178,122810,6212,122810
90,180,123280,6212,123280
90,180,123750,6212,123750
90,180,124300,6212,124300
90,180,124620,6212,124620
91,182,125170,6212,125170
91,182,125980,6212,125980
91,182,126300,6212,126300
92,184,126530,6212,126530
92,184,126530,6212,126530
92,184,127340,6212,127340
92,184,127340,6212,127340
92,184,127340,6212,127340
92,184,127660,6212,127660
93,186,128310,6212,128310
93,186,128770,6212,128770
94,188,129420,6212,129420
94,188,130230,6212,130230
94,188,130700,6212,130700
95,190,131170,6212,131170
95,190,131720,6212,131720
95,190,132040,6212,132040
96,192,132850,6212,132850
96,192,133660,6212,133660
96,192,134010,6212,134010
97,200,134010,6212,134010
97,200,134470,6212,134470
98,202,134940,6212,134940
98,202,135940,6212,135940
98,202,136410,6212,136410
98,202,136730,6212,136730
98,202,136960,6212,136960
99,204,137770,6212,137770
99,204,138230,6212,138230
99,204,138230,6212,138230
99,204,138230,6212,138230
100,206,139230,6212,139230
100,206,139700,6212,139700
100,206,140250,6212,140250
100,206,140250,6212,140250
101,208,140720,6212,140720
101,208,141040,6212,141040
101,208,141270,6212,141270
101,208,141920,6212,141920
102,210,142390,6212,142390
102,210,143200,6212,143200
102,210,143200,6212,143200
103,212,144200,6212,144200
103,212,144520,6212,144520
103,212,145330,6212,145330
104,214,146140,6212,146140
104,214,146510,6212,146510
104,214,146980,6212,146980
105,216,147790,6212,147790
105,216,148260,6212,148260
105,216,148580,6212,148580
106,218,149390,6212,149390
106,218,149860,6212,149860
106,218,150670,6212,150670
107,220,151670,6212,151670
107,220,152670,6212,152670
108,222,153040,6212,153040
109,224,153510,6212,153510
109,224,153740,6212,153740
109,224,154550,6212,154550
109,224,155360,6212,155360
110,232,155360,6212,155360
110,232,155360,6212,155360
110,232,155830,6212,155830
110,232,156300,6212,156300
111,234,156770,6212,156770
111,234,157000,6212,157000
112,236,157810,6212,157810
112,236,158130,6212,158130
112,236,158130,6212,158130
112,236,158350,6212,158350
112,236,158350,6212,158350
112,236,158670,6212,158670
112,236,158890,6212,158890
113,238,159540,6212,159540
113,238,160010,6212,160010
113,238,160330,6212,160330
113,238,160700,6212,160700
113,238,160700,6212,160700
113,238,160700,6212,160700
114,240,161020,6212,161020
114,240,161830,6212,161830
114,240,162150,6212,162150
114,240,162470,6212,162470
115,242,163280,6212,163280
115,242,164090,6212,164090
116,244,164900,6212,164900
116,244,165120,6212,165120
116,244,165120,6212,165120
116,244,165590,6212,165590
116,244,165590,6212,165590
117,246,166240,6212,166240
118,248,166710,6212,166710
118,248,167520,6212,167520
118,248,167840,6212,167840
118,248,168490,6212,168490
119,256,168490,6212,168490
119,256,168490,6212,168490
120,258,169300,6212,169300
120,258,169620,6212,169620
120,258,170270,6212,170270
120,258,170590,6212,170590
121,260,171400,6212,171400
121,260,172050,6212,172050
122,262,172860,6212,172860
122,262,173090,6212,173090
123,264,174090,6212,174090
123,264,174410,6212,174410
123,264,175220,6212,175220
124,266,176030,6212,176030
124,266,176030,6212,176030
124,266,176490,6212,176490
124,266,176960,6212,176960
124,266,177430,6212,177430
124,266,177430,6212,177430
125,268,178240,6212,178240
125,268,179050,6212,179050
126,270,179860,6212,179860
126,270,180670,6212,180670
127,272,181140,6212,181140
127,272,181620,6212,181620
127,272,181850,6212,181850
128,274,182660,6212,182660
129,276,183660,6212,183660
129,276,183660,6212,183660
129,276,183980,6212,183980
129,276,183980,6212,183980
129,276,184630,6212,184630
129,276,184950,6212,184950
129,276,185760,6212,185760
130,278,186230,6212,186230
130,278,186230,6212,186230
131,280,186880,6212,186880
131,280,187690,6212,187690
131,280,188160,6212,188160
131,280,188620,6212,188620
131,280,188780,6212,188780
132,282,189780,6212,189780
132,282,190330,6212,190330
132,282,190650,6212,190650
133,284,191460,6212,191460
133,284,191830,6212,191830
133,284,192640,6212,192640
134,286,193110,6212,193110
134,286,193920,6212,193920
135,288,194730,6212,194730
135,288,195200,6212,195200
135,288,195670,6212,195670
135,288,195670,6212,195670
135,288,195990,6212,195990
135,288,196450,6212,196450
136,290,197260,6212,197260
136,290,197910,6212,197910
137,292,198560,6212,198560
137,292,199370,6212,199370
137,292,199370,6212,199370
137,292,199370,6212,199370
138,294,199830,6212,199830
138,294,200640,6212,200640
138,294,200640,6212,200640
139,296,201450,6212,201450
139,296,201920,6212,201920
139,296,202390,6212,202390
139,296,202610,6212,202610
140,298,203420,6212,203420
140,298,204070,6212,204070
140,298,204540,6212,204540
140,298,204540,6212,204540
141,300,205350,6212,205350
141,300,206160,6212,206160
142,308,206160,6212,206160
143,310,207160,6212,207160
143,310,207620,6212,207620
143,310,208090,6212,208090
143,310,208250,6212,208250
144,312,208710,6212,208710
144,312,209260,6212,209260
145,314,209730,6212,209730
145,314,210730,6212,210730
146,316,211540,6212,211540
146,316,211860,6212,211860
146,316,212180,6212,212180
146,316,212830,6212,212830
146,316,213200,6212,213200
147,318,214010,6212,214010
147,318,214600,6212,214600
147,318,214600,6212,214600
148,320,215070,6212,215070
148,320,215880,6212,215880
149,322,216690,6212,216690
149,322,217500,6212,217500
149,322,217500,6212,217500
150,324,218310,6212,218310
151,326,218780,6212,218780
151,326,218780,6212,218780
151,326,219010,6212,219010
151,326,219820,6212,219820
151,326,220140,6212,220140
151,326,220950,6212,220950
152,328,221760,6212,221760
152,328,222130,6212,222130
152,328,222780,6212,222780
153,330,223330,6212,223330
153,330,223800,6212,223800
153,330,224610,6212,224610
154,332,225420,6212,225420
154,332,225890,6212,225890
155,334,226540,6212,226540
156,336,227540,6212,227540
156,336,228540,6212,228540
156,336,228860,6212,228860
156,336,229670,6212,229670
157,344,229670,6212,229670
158,346,230480,6212,230480
158,346,230950,6212,230950
158,346,230950,6212,230950
158,346,231180,6212,231180
159,348,231990,6212,231990
159,348,232800,6212,232800
159,348,233280,6212,233280
160,356,241280,6212,241280
160,356,241600,6212,241600
160,356,241760,6212,241760
161,358,242080,6212,242080
161,358,242890,6212,242890
161,358,243360,6212,243360
162,360,243680,6212,243680
162,360,243680,6212,243680
162,360,244490,6212,244490
162,360,244490,6212,244490
162,360,244950,6212,244950
163,362,245600,6212,245600
163,362,246410,6212,246410
163,362,246410,6212,246410
164,364,247220,6212,247220
164,364,247680,6212,247680
164,364,247680,6212,247680
165,366,248680,6212,248680
165,366,249000,6212,249000
165,366,249810,6212,249810
166,368,250360,6212,250360
167,370,250830,6212,250830
168,378,250830,6212,250830
168,378,251300,6212,251300
168,378,251300,6212,251300
168,378,252300,6212,252300
168,378,253110,6212,253110
169,380,253920,6212,253920
169,380,254730,6212,254730
170,382,255280,6212,255280
170,382,256090,6212,256090
171,384,256900,6212,256900
171,384,257220,6212,257220
171,384,257680,6212,257680
171,384,258680,6212,258680
172,386,259680,6212,259680
172,386,260330,6212,260330
173,388,261140,6212,261140
173,388,261140,6212,261140
173,388,262140,6212,262140
174,390,262610,6212,262610
174,390,263200,6212,263200
175,392,264200,6212,264200
175,392,265010,6212,265010
176,394,265480,6212,265480
176,394,265480,6212,265480
176,394,265800,6212,265800
176,394,266170,6212,266170
176,394,266640,6212,266640
177,402,266640,6212,266640
177,402,267110,6212,267110
177,402,267110,6212,267110
177,402,267570,6212,267570
177,402,267800,6212,267800
178,404,268610,6212,268610
178,404,268930,6212,268930
179,406,269930,6212,269930
179,406,270740,6212,270740
180,408,271550,6212,271550
180,408,271550,6212,271550
180,408,271550,6212,271550
181,410,272020,6212,272020
181,410,273020,6212,273020
181,410,273830,6212,273830
182,412,274640,6212,274640
182,412,275450,6212,275450
182,412,275770,6212,275770
183,414,276090,6212,276090
183,414,277090,6212,277090
183,414,277250,6212,277250
183,414,277720,6212,277720
183,414,277720,6212,277720
183,414,278310,6212,278310
184,416,279120,6212,279120
184,416,279440,6212,279440
184,416,279910,6212,279910
185,418,280500,6212,280500
185,418,281310,6212,281310
185,418,281470,6212,281470
186,420,282280,6212,282280
186,420,282600,6212,282600
186,420,283410,6212,283410
187,422,284220,6212,284220
187,422,284540,6212,284540
188,424,285350,6212,285350
188,424,286000,6212,286000
188,424,286470,6212,286470
188,424,286470,6212,286470
189,426,287470,6212,287470
189,426,288470,6212,288470
190,428,289280,6212,289280
190,428,290090,6212,290090
191,430,290740,6212,290740
191,430,290740,6212,290740
191,430,291220,6212,291220
191,430,291380,6212,291380
191,430,291700,6212,291700
192,432,292510,6212,292510
192,432,292830,6212,292830
193,434,293640,6212,293640
193,434,294290,6212,294290
193,434,294940,6212,294940
194,436,295750,6212,295750
194,436,296220,6212,296220
194,436,296540,6212,296540
194,436,296650,6212,296650
195,438,297120,6212,297120
195,438,297120,6212,297120
195,438,297590,6212,297590
195,438,297590,6212,297590
195,438,297590,6212,297590
195,438,298240,6212,298240
196,440,299050,6212,299050
196,440,299640,6212,299640
196,440,299640,6212,299640
197,442,300450,6212,300450
197,442,301040,6212,301040
198,444,302040,6212,302040
198,444,302510,6212,302510
198,444,302730,6212,302730
199,446,303540,6212,303540
199,446,304010,6212,304010
200,454,304010,6212,304010
200,454,305010,6212,305010
201,456,305820,6212,305820
201,456,306290,6212,306290
202,458,306940,6212,306940
202,458,307490,6212,307490
203,460,308300,6212,308300
203,460,308950,6212,308950
203,460,309420,6212,309420
204,462,310230,6212,310230
204,462,310550,6212,310550
204,462,311360,6212,311360
205,464,311950,6212,311950
205,464,311950,6212,311950
205,464,312420,6212,312420
205,464,312890,6212,312890
205,464,312940,6212,312940
205,464,312940,6212,312940
205,464,313260,6212,313260
206,466,313730,6212,313730
206,466,314050,6212,314050
206,466,315050,6212,315050
207,468,316050,6212,316050
207,468,316860,6212,316860
208,476,316860,6212,316860
208,476,316860,6212,316860
209,478,317670,6212,317670
209,478,317670,6212,317670
209,478,317670,6212,317670
209,478,318480,6212,318480
210,480,319030,6212,319030
210,480,319840,6212,319840
210,480,320160,6212,320160
210,480,320480,6212,320480
210,480,320950,6212,320950
211,482,321410,6212,321410
211,482,322220,6212,322220
212,484,322870,6212,322870
212,484,323340,6212,323340
212,484,324150,6212,324150
212,484,324470,6212,324470
212,484,324470,6212,324470
213,486,324940,6212,324940
213,486,325750,6212,325750
213,486,326070,6212,326070
214,488,326620,6212,326620
214,488,326620,6212,326620
214,488,327430,6212,327430
215,490,328240,6212,328240
215,490,329050,6212,329050
216,498,329050,6212,329050
217,500,329700,6212,329700
217,500,329700,6212,329700
218,502,330700,6212,330700
218,502,330700,6212,330700
218,502,330920,6212,330920
218,502,331390,6212,331390
218,502,331390,6212,331390
218,502,331390,6212,331390
218,502,332200,6212,332200
218,502,333010,6212,333010
219,504,333820,6212,333820
219,504,334630,6212,334630
220,506,335440,6212,335440
220,506,335910,6212,335910
221,508,336380,6212,336380
221,508,336850,6212,336850
221,508,337660,6212,337660
222,510,338130,6212,338130
222,510,338130,6212,338130
223,518,338130,6212,338130
223,518,338940,6212,338940
224,520,339750,6212,339750
224,520,340220,6212,340220
224,520,341030,6212,341030
225,522,341840,6212,341840
225,522,341840,6212,341840
225,522,342110,6212,342110
225,522,342920,6212,342920
226,524,343730,6212,343730
227,526,344200,6212,344200
227,526,344670,6212,344670
227,526,345140,6212,345140
227,526,345790,6212,345790
228,528,346260,6212,346260
228,528,346630,6212,346630
228,528,347280,6212,347280
228,528,347750,6212,347750
229,530,348560,6212,348560
229,530,349210,6212,349210
230,532,350210,6212,350210
230,532,350680,6212,350680
231,534,351270,6212,351270
231,534,351920,6212,351920
231,534,352380,6212,352380
232,536,353190,6212,353190
232,536,353190,6212,353190
232,536,353650,6212,353650
233,538,354460,6212,354460
233,538,354930,6212,354930
233,538,355250,6212,355250
233,538,356250,6212,356250
233,538,356470,6212,356470
234,540,356940,6212,356940
234,540,357530,6212,357530
234,540,357530,6212,357530
234,540,358010,6212,358010
235,542,359010,6212,359010
235,542,359480,6212,359480
236,550,359480,6212,359480
236,550,360030,6212,360030
236,550,360030,6212,360030
237,552,361030,6212,361030
237,552,361030,6212,361030
237,552,361500,6212,361500
238,554,362310,6212,362310
238,554,362900,6212,362900
239,556,363550,6212,363550
239,556,363780,6212,363780
239,556,364780,6212,364780
239,556,364780,6212,364780
239,556,365250,6212,365250
240,558,365720,6212,365720
240,558,365940,6212,365940
240,558,366490,6212,366490
241,566,374490,6212,374490
242,568,375080,6212,375080
242,568,376080,6212,376080
242,568,376310,6212,376310
243,570,377120,6212,377120
243,570,377120,6212,377120
244,574,377120,6212,377120
244,574,377440,6212,377440
244,574,378250,6212,378250
245,576,378900,6212,378900
245,576,379220,6212,379220
245,576,380030,6212,380030
245,576,380350,6212,380350
246,578,381160,6212,381160
246,578,382160,6212,382160
246,578,382480,6212,382480
247,580,382940,6212,382940
247,580,383750,6212,383750
247,580,384070,6212,384070
247,580,384540,6212,384540
247,580,384700,6212,384700
248,582,385290,6212,385290
248,582,386100,6212,386100
249,584,387100,6212,387100
249,584,387100,6212,387100
249,584,388100,6212,388100
249,584,388910,6212,388910
250,586,389560,6212,389560
250,586,389780,6212,389780
250,586,390430,6212,390430
251,588,391080,6212,391080
251,588,391550,6212,391550
252,590,392360,6212,392360
252,590,393010,6212,393010
252,590,393330,6212,393330
252,590,393650,6212,393650
253,592,394460,6212,394460
253,592,394930,6212,394930
253,592,395740,6212,395740
254,594,396550,6212,396550
254,594,397200,6212,397200
255,596,398010,6212,398010
255,596,398820,6212,398820
256,598,399630,6212,399630
256,598,399630,6212,399630
256,598,399950,6212,399950
256,598,400760,6212,400760
257,600,401230,6212,401230
257,600,402040,6212,402040
257,600,402360,6212,402360
258,602,403010,6212,403010
258,602,403330,6212,403330
258,602,403800,6212,403800
258,602,404800,6212,404800
259,604,405260,6212,405260
259,604,406260,6212,406260
259,604,406260,6212,406260
260,606,407070,6212,407070
260,606,407720,6212,407720
261,608,408720,6212,408720
261,608,409190,6212,409190
261,608,410000,6212,410000
262,610,410810,6212,410810
262,610,411620,6212,411620
263,612,412090,6212,412090
263,612,412900,6212,412900
263,612,412900,6212,412900
263,612,412900,6212,412900
263,612,413220,6212,413220
263,612,413690,6212,413690
264,614,414500,6212,414500
264,614,415500,6212,415500
265,616,416310,6212,416310
266,624,416310,6212,416310
266,624,417120,6212,417120
266,624,417120,6212,417120
267,626,417590,6212,417590
267,626,417590,6212,417590
267,626,418400,6212,418400
268,628,419210,6212,419210
268,628,419580,6212,419580
268,628,420390,6212,420390
269,630,421040,6212,421040
269,630,421510,6212,421510
270,632,421980,6212,421980
270,632,422450,6212,422450
270,632,422930,6212,422930
270,632,423740,6212,423740
271,634,424390,6212,424390
271,634,424620,6212,424620
271,634,425090,6212,425090
271,634,425560,6212,425560
272,636,426030,6212,426030
272,636,426840,6212,426840
272,636,427310,6212,427310
272,636,427310,6212,427310
273,638,428310,6212,428310
273,638,428780,6212,428780
274,640,429430,6212,429430
274,640,430240,6212,430240
274,640,430700,6212,430700
274,640,431020,6212,431020
275,642,431830,6212,431830
275,642,431830,6212,431830
275,642,432150,6212,432150
275,642,432470,6212,432470
275,642,432950,6212,432950
276,644,433270,6212,433270
276,644,434080,6212,434080
277,646,434890,6212,434890
277,646,435540,6212,435540
277,646,435860,6212,435860
278,648,436860,6212,436860
278,648,436860,6212,436860
279,650,437670,6212,437670
279,650,438220,6212,438220
279,650,438690,6212,438690
280,652,439500,6212,439500
280,652,439820,6212,439820
280,652,440140,6212,440140
280,652,440300,6212,440300
280,652,440760,6212,440760
280,652,440920,6212,440920
281,654,441570,6212,441570
281,654,442040,6212,442040
281,654,442040,6212,442040
281,654,442510,6212,442510
282,656,442970,6212,442970
282,656,443780,6212,443780
283,658,444780,6212,444780
283,658,445590,6212,445590
283,658,445590,6212,445590
283,658,445590,6212,445590
284,660,446400,6212,446400
284,660,446630,6212,446630
284,660,446740,6212,446740
284,660,447390,6212,447390
284,660,447860,6212,447860
285,662,448670,6212,448670
285,662,449670,6212,449670
286,664,450140,6212,450140
