ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
888316.95,14.67,1.98,575239.06,9.5
888215.46,14.67,1.97,575029.89,9.5
888648.03,14.67,1.98,575020.72,9.5
888771.83,14.68,1.99,575093.72,9.5
888602.84,14.68,1.99,574890.38,9.5
888240.34,14.68,1.99,574626.19,9.5
888071.35,14.68,1.98,574428.58,9.49
888091.13,14.68,1.99,574423.84,9.49
888377.66,14.68,1.99,574555.23,9.5
888208.67,14.68,1.99,574448.04,9.5
888478.21,14.69,2.0,574472.34,9.5
888309.22,14.69,2.0,574277.66,9.5
888671.48,14.7,2.0,574321.96,9.5
888795.28,14.7,2.01,574394.96,9.5
889338.35,14.71,2.02,574370.32,9.5
889462.15,14.72,2.02,574402.52,9.5
891001.81,14.74,2.05,575385.38,9.52
890839.07,14.74,2.05,575192.48,9.52
890962.87,14.74,2.05,575265.49,9.52
891525.19,14.76,2.06,575329.38,9.52
891356.2,14.76,2.06,575131.77,9.52
890340.82,14.76,2.07,574648.3,9.53
890903.14,14.77,2.08,574721.12,9.53
891026.94,14.77,2.08,574706.52,9.53
891150.74,14.78,2.08,574667.67,9.53
891274.53,14.78,2.09,574601.0,9.53
891587.1,14.79,2.1,574701.22,9.53
891710.9,14.79,2.1,574679.55,9.53
891980.43,14.8,2.11,574705.32,9.54
892542.75,14.81,2.12,574778.14,9.54
892373.76,14.81,2.12,574583.46,9.54
892393.54,14.81,2.12,574578.72,9.54
892955.86,14.82,2.13,574675.22,9.54
893079.66,14.83,2.13,574663.69,9.54
893203.46,14.83,2.14,574624.84,9.54
893327.26,14.84,2.14,574618.35,9.54
892964.76,14.83,2.14,574354.16,9.54
892964.76,14.83,2.14,574280.92,9.54
893470.56,14.84,2.15,574252.8,9.54
893873.49,14.85,2.16,574080.39,9.54
893704.5,14.85,2.16,573885.71,9.54
894137.07,14.86,2.17,573870.8,9.54
894260.87,14.86,2.17,573918.51,9.54
894823.19,14.87,2.18,573982.4,9.54
895566.08,14.89,2.19,574278.5,9.55
895711.28,14.89,2.2,574170.33,9.54
895731.05,14.89,2.2,574165.59,9.55
895562.06,14.89,2.2,573968.74,9.54
895562.06,14.89,2.2,573980.19,9.54
895393.07,14.89,2.2,573868.84,9.54
895224.08,14.89,2.2,573745.44,9.54
895786.4,14.9,2.21,573809.33,9.55
895623.66,14.9,2.21,573447.35,9.54
895893.2,14.91,2.21,573382.99,9.54
896333.4,14.91,2.22,573445.11,9.54
896457.2,14.92,2.23,573438.62,9.54
896457.2,14.92,2.23,573144.1,9.54
895441.81,14.92,2.23,572660.63,9.54
895272.82,14.92,2.23,572536.26,9.54
895812.49,14.93,2.24,572519.12,9.54
896062.77,14.94,2.25,572351.48,9.54
895893.78,14.94,2.25,572153.87,9.54
896017.58,14.94,2.25,572226.88,9.54
896141.38,14.95,2.25,572274.58,9.55
896354.4,14.95,2.26,572098.54,9.54
896478.2,14.96,2.26,572171.55,9.55
896602.0,14.96,2.27,572189.94,9.55
896439.25,14.96,2.27,571907.19,9.54
896245.75,14.96,2.27,572191.33,9.55
896603.44,14.97,2.27,572007.88,9.55
896860.65,14.97,2.28,571762.45,9.55
897117.86,14.98,2.29,571517.03,9.54
896948.87,14.98,2.29,571322.35,9.54
896786.13,14.98,2.29,571129.08,9.54
896423.63,14.98,2.29,570864.89,9.54
896875.43,14.99,2.3,570891.98,9.54
896895.2,14.99,2.3,570887.24,9.54
897327.78,15.0,2.31,570878.06,9.54
897779.57,15.01,2.32,571092.9,9.55
897644.48,15.01,2.32,571019.98,9.55
897450.97,15.01,2.31,570946.08,9.55
897728.77,15.01,2.32,571220.23,9.55
897728.77,15.01,2.32,571122.28,9.55
897559.78,15.01,2.32,570997.91,9.55
897390.79,15.01,2.32,570873.54,9.55
897703.36,15.02,2.33,570973.76,9.55
897827.16,15.02,2.33,570976.71,9.55
897950.95,15.03,2.34,570995.1,9.56
898606.0,15.04,2.35,570985.28,9.56
899261.05,15.05,2.36,571038.71,9.56
899048.31,15.05,2.36,570125.31,9.55
899334.85,15.06,2.37,570256.7,9.55
899165.86,15.06,2.37,570149.51,9.55
899289.66,15.06,2.37,570134.91,9.55
899297.71,15.07,2.37,570911.5,9.56
899128.72,15.07,2.37,570719.14,9.56
899580.52,15.07,2.38,570746.23,9.56
898565.13,15.08,2.39,570262.76,9.57
898402.39,15.08,2.39,570018.0,9.57
898526.19,15.08,2.39,570091.01,9.57
898649.99,15.09,2.39,570186.78,9.57
898936.53,15.09,2.4,570318.17,9.57
898956.3,15.09,2.4,570313.43,9.58
898787.31,15.09,2.4,570115.82,9.57
899073.85,15.1,2.41,570247.21,9.58
899386.41,15.11,2.41,570347.43,9.58
899510.21,15.11,2.42,570389.82,9.58
900016.02,15.12,2.43,570361.7,9.58
900139.82,15.12,2.43,570364.65,9.58
900263.62,15.13,2.44,570556.74,9.59
900387.41,15.13,2.44,570629.74,9.59
900949.74,15.14,2.45,570693.63,9.59
901555.76,15.16,2.46,570737.15,9.6
901868.33,15.16,2.47,570627.2,9.59
901705.59,15.16,2.47,570360.46,9.59
901829.39,15.17,2.48,570368.06,9.59
901666.65,15.17,2.48,570112.76,9.59
900651.26,15.17,2.48,569629.29,9.6
900775.06,15.18,2.48,569647.68,9.6
900898.86,15.18,2.49,569608.83,9.6
900705.35,15.18,2.49,569894.2,9.6
901017.91,15.19,2.5,569994.43,9.61
901141.71,15.19,2.5,569955.25,9.61
901704.03,15.2,2.51,570019.15,9.61
901535.04,15.2,2.51,569895.75,9.61
901535.04,15.2,2.51,569724.61,9.61
901366.05,15.2,2.51,569600.23,9.61
901489.85,15.21,2.51,569673.24,9.61
901320.86,15.21,2.51,569702.25,9.61
901320.86,15.21,2.51,569480.9,9.61
901466.05,15.21,2.52,569437.13,9.61
901916.16,15.22,2.52,569675.34,9.61
902039.96,15.22,2.53,569707.53,9.61
901846.45,15.22,2.53,569635.7,9.61
901851.97,15.22,2.53,569533.54,9.61
901658.46,15.22,2.53,569614.83,9.62
901901.25,15.23,2.54,569300.82,9.61
902025.05,15.23,2.54,569373.83,9.61
902025.05,15.23,2.54,569152.47,9.61
902337.61,15.24,2.55,569252.69,9.61
902482.8,15.24,2.55,569208.93,9.61
903154.01,15.25,2.56,569190.28,9.61
903277.81,15.26,2.57,569355.75,9.62
903277.81,15.26,2.57,569248.05,9.62
903590.38,15.27,2.57,569348.27,9.62
903706.72,15.27,2.58,570119.25,9.63
902691.34,15.27,2.58,569635.78,9.64
902326.92,15.28,2.58,569404.13,9.64
902450.71,15.28,2.59,569397.64,9.64
902737.25,15.29,2.59,569529.03,9.64
903189.05,15.29,2.6,569556.12,9.64
903150.11,15.3,2.61,569372.07,9.64
903150.11,15.3,2.61,569150.72,9.64
903165.32,15.3,2.61,568677.87,9.63
903289.11,15.31,2.61,568725.57,9.64
904003.57,15.32,2.63,569371.29,9.65
903840.83,15.32,2.63,569626.53,9.65
904127.37,15.32,2.63,569757.92,9.66
904251.16,15.33,2.64,569661.73,9.66
904463.14,15.33,2.64,569858.05,9.66
904586.93,15.34,2.65,569876.44,9.66
904710.73,15.34,2.65,569924.14,9.66
904834.53,15.35,2.65,569997.15,9.67
905172.27,15.35,2.66,570402.83,9.68
905948.54,15.37,2.68,570665.04,9.68
906400.34,15.38,2.68,570692.14,9.68
906475.54,15.38,2.69,571109.03,9.69
907037.86,15.39,2.7,571172.93,9.69
906868.87,15.39,2.7,571065.74,9.69
906521.27,15.39,2.7,570792.28,9.69
906833.84,15.4,2.71,570892.5,9.7
907109.62,15.41,2.72,570655.18,9.69
906784.14,15.41,2.71,570717.6,9.7
906621.4,15.41,2.71,570507.2,9.7
906582.46,15.41,2.72,570323.16,9.7
906747.72,15.42,2.72,570408.71,9.7
906912.97,15.42,2.73,570107.77,9.69
906932.75,15.42,2.73,570103.03,9.7
907056.55,15.43,2.74,570135.22,9.7
907301.56,15.43,2.74,570365.68,9.7
907425.36,15.44,2.75,570384.08,9.7
907728.79,15.44,2.75,570551.05,9.71
907559.8,15.44,2.75,570443.86,9.71
907212.2,15.45,2.76,570170.4,9.71
907574.46,15.46,2.76,570214.69,9.71
907698.26,15.46,2.77,570217.64,9.71
908134.08,15.47,2.78,569671.39,9.7
908010.04,15.47,2.78,569476.83,9.7
908010.04,15.47,2.78,569344.35,9.7
907841.05,15.47,2.78,569219.97,9.7
907986.24,15.47,2.78,569176.21,9.7
907817.25,15.47,2.78,568978.6,9.7
908062.27,15.48,2.78,569223.49,9.7
907888.71,15.48,2.78,568572.18,9.69
908523.1,15.49,2.8,568705.26,9.7
908329.59,15.49,2.8,568564.46,9.69
909124.06,15.5,2.81,569020.35,9.7
909247.86,15.51,2.81,569116.13,9.71
909078.87,15.51,2.81,569008.94,9.71
909632.92,15.52,2.82,569255.3,9.71
909995.18,15.52,2.83,569299.6,9.71
908979.79,15.53,2.83,568816.12,9.72
907964.41,15.53,2.84,568358.16,9.72
908504.07,15.54,2.85,568341.02,9.72
908335.08,15.54,2.85,568137.69,9.72
908480.28,15.55,2.85,567827.01,9.72
908311.28,15.54,2.85,567629.4,9.71
907295.9,15.55,2.86,567145.93,9.72
906280.52,15.55,2.86,566687.97,9.73
906111.53,15.55,2.86,566490.36,9.72
906381.06,15.56,2.87,566516.13,9.72
906212.07,15.56,2.87,566392.73,9.72
906357.26,15.56,2.87,566348.96,9.72
906919.58,15.57,2.88,566421.78,9.73
906919.58,15.57,2.88,566174.48,9.72
907064.78,15.57,2.88,566057.04,9.72
