ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
200,1006,237480,6212,237480
201,1014,237800,6212,237800
202,1018,239800,6212,239800
203,1026,239800,6212,239800
204,1028,240800,6212,240800
205,1036,241800,6212,241800
205,1036,242800,6212,242800
206,1038,243800,6212,243800
207,1046,244450,6212,244450
208,1054,252450,6212,252450
208,1054,253450,6212,253450
209,1062,254450,6212,254450
210,1070,255450,6212,255450
211,1078,255450,6212,255450
212,1080,256260,6212,256260
213,1082,257260,6212,257260
214,1090,257260,6212,257260
215,1098,258070,6212,258070
216,1106,259070,6212,259070
217,1114,259660,6212,259660
218,1122,260660,6212,260660
219,1130,261660,6212,261660
220,1138,262660,6212,262660
221,1146,263130,6212,263130
222,1148,263780,6212,263780
223,1156,264590,6212,264590
223,1156,265590,6212,265590
224,1164,266590,6212,266590
224,1164,267590,6212,267590
225,1172,275590,6212,275590
226,1180,276590,6212,276590
227,1188,277590,6212,277590
227,1188,278590,6212,278590
228,1196,279400,6212,279400
229,1204,280400,6212,280400
230,1212,280870,6212,280870
231,1214,281870,6212,281870
231,1214,281870,6212,281870
232,1216,282870,6212,282870
233,1224,283870,6212,283870
233,1224,284870,6212,284870
234,1232,284870,6212,284870
235,1240,284870,6212,284870
236,1242,284920,6212,284920
237,1250,285920,6212,285920
237,1250,286920,6212,286920
238,1251,287240,6212,287240
238,1251,288240,6212,288240
239,1253,289240,6212,289240
240,1261,290240,6212,290240
241,1269,290240,6212,290240
242,1277,291050,6212,291050
243,1285,291050,6212,291050
244,1293,291210,6212,291210
245,1301,292210,6212,292210
246,1303,292210,6212,292210
247,1311,293020,6212,293020
248,1319,293020,6212,293020
249,1327,301020,6212,301020
250,1335,305020,6212,305020
251,1343,306020,6212,306020
252,1351,306020,6212,306020
253,1359,306670,6212,306670
254,1367,308670,6212,308670
255,1375,308670,6212,308670
256,1377,309480,6212,309480
257,1385,310480,6212,310480
257,1385,310480,6212,310480
257,1385,311480,6212,311480
258,1393,311480,6212,311480
259,1401,312480,6212,312480
259,1401,313130,6212,313130
260,1409,314130,6212,314130
261,1417,315130,6212,315130
262,1425,316130,6212,316130
262,1425,316450,6212,316450
263,1427,316920,6212,316920
264,1435,317570,6212,317570
264,1435,317800,6212,317800
265,1443,318270,6212,318270
266,1445,319270,6212,319270
267,1453,323270,6212,323270
268,1461,324080,6212,324080
268,1461,324550,6212,324550
268,1461,326550,6212,326550
268,1461,327550,6212,327550
269,1469,329550,6212,329550
269,1469,330200,6212,330200
269,1469,330850,6212,330850
270,1471,331660,6212,331660
271,1479,332660,6212,332660
271,1479,333130,6212,333130
272,1487,334130,6212,334130
273,1491,334600,6212,334600
274,1493,335600,6212,335600
275,1501,339600,6212,339600
276,1503,339920,6212,339920
277,1511,340920,6212,340920
278,1513,341140,6212,341140
279,1517,342140,6212,342140
280,1519,342140,6212,342140
281,1521,343140,6212,343140
282,1529,343140,6212,343140
283,1531,344140,6212,344140
283,1531,344610,6212,344610
284,1533,345610,6212,345610
285,1535,346080,6212,346080
285,1535,347080,6212,347080
286,1537,347080,6212,347080
287,1545,348080,6212,348080
288,1547,349080,6212,349080
289,1555,349560,6212,349560
290,1557,349880,6212,349880
291,1565,357880,6212,357880
292,1573,365880,6212,365880
293,1575,366880,6212,366880
294,1577,367880,6212,367880
295,1585,367880,6212,367880
296,1587,368880,6212,368880
297,1595,376880,6212,376880
298,1603,384880,6212,384880
299,1605,385880,6212,385880
300,1607,386350,6212,386350
301,1609,387350,6212,387350
302,1617,387350,6212,387350
303,1625,387820,6212,387820
303,1625,387820,6212,387820
304,1633,387820,6212,387820
305,1641,387820,6212,387820
306,1649,388820,6212,388820
