ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7f77-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
35,83,42010,6212,42010
36,87,43010,6212,43010
37,89,44010,6212,44010
38,91,44660,6212,44660
39,93,45660,6212,45660
39,93,46470,6212,46470
40,95,47470,6212,47470
41,97,48470,6212,48470
42,99,49470,6212,49470
43,101,50470,6212,50470
44,103,51470,6212,51470
45,105,52470,6212,52470
45,105,53280,6212,53280
46,109,53280,6212,53280
46,109,53500,6212,53500
47,111,53500,6212,53500
48,113,53500,6212,53500
48,113,54500,6212,54500
48,113,55310,6212,55310
49,117,55310,6212,55310
50,119,55780,6212,55780
51,121,56250,6212,56250
52,123,56720,6212,56720
53,125,57720,6212,57720
53,125,57720,6212,57720
53,125,58720,6212,58720
54,127,59720,6212,59720
54,127,60530,6212,60530
55,128,61000,6212,61000
56,129,61470,6212,61470
57,131,61470,6212,61470
58,132,61930,6212,61930
59,134,62930,6212,62930
60,138,62930,6212,62930
61,140,63160,6212,63160
61,140,64160,6212,64160
62,141,65160,6212,65160
63,143,65630,6212,65630
63,143,66440,6212,66440
64,145,67440,6212,67440
65,147,68440,6212,68440
66,149,69440,6212,69440
67,151,69910,6212,69910
68,159,77910,6212,77910
68,159,78370,6212,78370
69,161,79020,6212,79020
70,165,79020,6212,79020
71,167,79020,6212,79020
71,167,79180,6212,79180
71,167,79990,6212,79990
72,169,80990,6212,80990
73,171,81990,6212,81990
74,173,82990,6212,82990
75,175,83990,6212,83990
75,175,84800,6212,84800
76,177,85800,6212,85800
77,181,85910,6212,85910
78,189,93910,6212,93910
79,193,94910,6212,94910
79,193,95460,6212,95460
80,195,96460,6212,96460
81,197,97460,6212,97460
81,197,98270,6212,98270
81,197,99270,6212,99270
81,197,100270,6212,100270
81,197,102270,6212,102270
82,199,102740,6212,102740
83,201,103740,6212,103740
84,203,105740,6212,105740
84,203,105970,6212,105970
84,203,105970,6212,105970
84,203,106970,6212,106970
84,203,106970,6212,106970
84,203,106970,6212,106970
84,203,107780,6212,107780
85,205,108780,6212,108780
86,209,108780,6212,108780
87,211,109780,6212,109780
87,211,109780,6212,109780
88,213,110250,6212,110250
89,215,110470,6212,110470
90,217,111470,6212,111470
90,217,112470,6212,112470
91,219,112470,6212,112470
92,221,113470,6212,113470
92,221,114470,6212,114470
92,221,114790,6212,114790
93,225,114790,6212,114790
94,226,115790,6212,115790
95,230,116790,6212,116790
96,232,117790,6212,117790
97,234,118790,6212,118790
98,238,119790,6212,119790
99,240,120790,6212,120790
99,240,121110,6212,121110
99,240,121580,6212,121580
100,242,121900,6212,121900
100,242,122900,6212,122900
101,244,122900,6212,122900
101,244,123710,6212,123710
101,244,124710,6212,124710
101,244,125710,6212,125710
102,246,125710,6212,125710
103,247,126710,6212,126710
104,249,127710,6212,127710
104,249,128520,6212,128520
104,249,129520,6212,129520
105,251,130520,6212,130520
106,253,131170,6212,131170
106,253,132170,6212,132170
106,253,133170,6212,133170
107,255,134170,6212,134170
108,257,135170,6212,135170
109,259,135640,6212,135640
109,259,136640,6212,136640
109,259,136640,6212,136640
110,261,136640,6212,136640
111,262,137110,6212,137110
111,262,137660,6212,137660
111,262,138660,6212,138660
112,264,139660,6212,139660
113,266,140660,6212,140660
113,266,141470,6212,141470
114,268,141940,6212,141940
114,268,142940,6212,142940
115,270,143940,6212,143940
115,270,144750,6212,144750
116,272,145750,6212,145750
117,274,146070,6212,146070
118,276,147070,6212,147070
119,278,148070,6212,148070
120,280,148070,6212,148070
121,281,148540,6212,148540
122,285,148540,6212,148540
123,286,149010,6212,149010
124,288,150010,6212,150010
125,292,150010,6212,150010
126,296,150010,6212,150010
126,296,150820,6212,150820
127,298,151820,6212,151820
128,300,152470,6212,152470
129,302,153470,6212,153470
130,304,153790,6212,153790
131,306,154790,6212,154790
131,306,155260,6212,155260
132,307,156260,6212,156260
132,307,156630,6212,156630
133,309,156630,6212,156630
134,311,157100,6212,157100
135,313,157100,6212,157100
135,313,157910,6212,157910
136,314,158380,6212,158380
137,316,158700,6212,158700
137,316,158700,6212,158700
138,318,159700,6212,159700
139,320,160350,6212,160350
139,320,161160,6212,161160
139,320,161750,6212,161750
139,320,162560,6212,162560
140,322,163560,6212,163560
140,322,163560,6212,163560
141,324,164560,6212,164560
141,324,165370,6212,165370
142,326,165370,6212,165370
143,328,166020,6212,166020
143,328,166250,6212,166250
144,329,166480,6212,166480
144,329,166800,6212,166800
144,329,167610,6212,167610
145,331,167610,6212,167610
145,331,168070,6212,168070
145,331,168290,6212,168290
146,333,169290,6212,169290
146,333,169450,6212,169450
146,333,170000,6212,170000
147,335,170000,6212,170000
148,339,171000,6212,171000
148,339,171810,6212,171810
149,341,172810,6212,172810
150,343,172810,6212,172810
151,345,173810,6212,173810
152,349,173810,6212,173810
153,350,174270,6212,174270
154,352,175270,6212,175270
155,354,175270,6212,175270
156,356,176270,6212,176270
156,356,177270,6212,177270
157,358,178270,6212,178270
157,358,178430,6212,178430
158,360,179430,6212,179430
158,360,179430,6212,179430
158,360,180430,6212,180430
158,360,181430,6212,181430
158,360,182430,6212,182430
159,361,182890,6212,182890
159,361,182890,6212,182890
159,361,183890,6212,183890
159,361,184700,6212,184700
160,365,185700,6212,185700
160,365,186350,6212,186350
160,365,186350,6212,186350
160,365,186900,6212,186900
160,365,187710,6212,187710
160,365,188710,6212,188710
160,365,188710,6212,188710
160,365,188710,6212,188710
160,365,188710,6212,188710
160,365,188710,6212,188710
161,369,188710,6212,188710
162,371,189710,6212,189710
