ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ae15-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ae15-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ae15-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ae15-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ae15-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
139,293,168130,6212,168130
139,293,168130,6212,168130
139,293,168360,6212,168360
139,293,169010,6212,169010
140,295,169330,6212,169330
141,297,170330,6212,170330
142,301,170330,6212,170330
143,302,170790,6212,170790
143,302,171790,6212,171790
144,304,172790,6212,172790
144,304,173790,6212,173790
145,305,174790,6212,174790
145,305,175790,6212,175790
145,305,176600,6212,176600
145,305,177600,6212,177600
146,306,178410,6212,178410
147,308,179410,6212,179410
147,308,179880,6212,179880
148,309,180880,6212,180880
148,309,181350,6212,181350
149,311,182350,6212,182350
149,311,183000,6212,183000
150,313,184000,6212,184000
150,313,184810,6212,184810
150,313,185810,6212,185810
151,315,186810,6212,186810
151,315,186970,6212,186970
152,316,187970,6212,187970
152,316,188780,6212,188780
152,316,189010,6212,189010
152,316,189330,6212,189330
153,318,190330,6212,190330
153,318,190880,6212,190880
153,318,191880,6212,191880
153,318,192690,6212,192690
153,318,193500,6212,193500
154,319,193970,6212,193970
155,321,194970,6212,194970
155,321,195970,6212,195970
156,323,196970,6212,196970
156,323,197970,6212,197970
157,324,198970,6212,198970
158,326,199970,6212,199970
158,326,200970,6212,200970
159,330,201440,6212,201440
160,332,202440,6212,202440
160,332,202440,6212,202440
160,332,203090,6212,203090
161,334,204090,6212,204090
161,334,205090,6212,205090
161,334,205640,6212,205640
161,334,206450,6212,206450
162,336,207450,6212,207450
162,336,208450,6212,208450
163,338,209450,6212,209450
163,338,210450,6212,210450
164,340,211450,6212,211450
165,342,211590,6212,211590
165,342,212590,6212,212590
165,342,213590,6212,213590
165,342,214590,6212,214590
166,344,215590,6212,215590
166,344,216590,6212,216590
167,348,217060,6212,217060
167,348,218060,6212,218060
168,350,219060,6212,219060
169,354,223060,6212,223060
169,354,224060,6212,224060
169,354,224650,6212,224650
169,354,225650,6212,225650
169,354,225810,6212,225810
169,354,226130,6212,226130
169,354,226290,6212,226290
170,356,227290,6212,227290
170,356,228290,6212,228290
170,356,229290,6212,229290
171,358,230290,6212,230290
172,362,230760,6212,230760
172,362,231410,6212,231410
172,362,232410,6212,232410
173,366,232880,6212,232880
173,366,233880,6212,233880
174,368,234880,6212,234880
174,368,235880,6212,235880
175,370,236880,6212,236880
175,370,237880,6212,237880
175,370,238880,6212,238880
175,370,239880,6212,239880
175,370,240200,6212,240200
176,374,241200,6212,241200
176,374,242010,6212,242010
176,374,242820,6212,242820
176,374,243290,6212,243290
176,374,244100,6212,244100
176,374,244570,6212,244570
176,374,244890,6212,244890
176,374,245700,6212,245700
176,374,246700,6212,246700
176,374,247290,6212,247290
176,374,248290,6212,248290
177,378,249290,6212,249290
177,378,250100,6212,250100
177,378,251100,6212,251100
178,382,252100,6212,252100
178,382,252750,6212,252750
178,382,253750,6212,253750
178,382,254750,6212,254750
178,382,255560,6212,255560
178,382,256020,6212,256020
179,386,256670,6212,256670
179,386,257670,6212,257670
179,386,258670,6212,258670
179,386,259670,6212,259670
179,386,259720,6212,259720
179,386,260720,6212,260720
179,386,261190,6212,261190
180,390,261660,6212,261660
180,390,262310,6212,262310
180,390,263310,6212,263310
180,390,263780,6212,263780
181,394,264430,6212,264430
181,394,265430,6212,265430
181,394,266430,6212,266430
181,394,267240,6212,267240
182,396,268240,6212,268240
182,396,269240,6212,269240
183,400,270240,6212,270240
184,401,271050,6212,271050
184,401,271050,6212,271050
184,401,272050,6212,272050
184,401,272520,6212,272520
184,401,273520,6212,273520
184,401,274520,6212,274520
184,401,274840,6212,274840
185,405,275840,6212,275840
185,405,276840,6212,276840
185,405,277430,6212,277430
185,405,278430,6212,278430
186,409,279430,6212,279430
186,409,280430,6212,280430
187,413,281080,6212,281080
187,413,282080,6212,282080
187,413,283080,6212,283080
187,413,284080,6212,284080
187,413,285080,6212,285080
188,417,286080,6212,286080
188,417,286080,6212,286080
188,417,286550,6212,286550
188,417,287020,6212,287020
188,417,287830,6212,287830
188,417,288830,6212,288830
188,417,289830,6212,289830
189,421,290830,6212,290830
189,421,291640,6212,291640
189,421,292110,6212,292110
189,421,292920,6212,292920
189,421,293730,6212,293730
189,421,294540,6212,294540
190,425,295540,6212,295540
190,425,296540,6212,296540
190,425,297350,6212,297350
190,425,298160,6212,298160
190,425,298970,6212,298970
190,425,299290,6212,299290
190,425,299750,6212,299750
191,429,300220,6212,300220
192,437,308220,6212,308220
192,437,308770,6212,308770
192,437,309770,6212,309770
192,437,310580,6212,310580
193,441,311580,6212,311580
193,441,311810,6212,311810
193,441,312280,6212,312280
194,445,312750,6212,312750
194,445,313560,6212,313560
194,445,314560,6212,314560
195,447,315030,6212,315030
195,447,316030,6212,316030
195,447,317030,6212,317030
195,447,318030,6212,318030
196,448,319030,6212,319030
197,450,320030,6212,320030
197,450,320840,6212,320840
197,450,321650,6212,321650
197,450,322120,6212,322120
198,452,323120,6212,323120
198,452,323120,6212,323120
198,452,324120,6212,324120
199,460,332120,6212,332120
200,462,333120,6212,333120
200,462,333590,6212,333590
201,464,334590,6212,334590
201,464,335400,6212,335400
202,466,336400,6212,336400
202,466,336870,6212,336870
202,466,337870,6212,337870
203,468,338870,6212,338870
203,468,339870,6212,339870
204,470,340870,6212,340870
204,470,341340,6212,341340
204,470,342340,6212,342340
204,470,342930,6212,342930
205,472,343930,6212,343930
205,472,344930,6212,344930
205,472,345740,6212,345740
206,474,346740,6212,346740
206,474,347740,6212,347740
206,474,348210,6212,348210
207,476,349210,6212,349210
208,484,357210,6212,357210
208,484,358210,6212,358210
209,486,358530,6212,358530
209,486,359530,6212,359530
209,486,360180,6212,360180
209,486,360180,6212,360180
210,488,361180,6212,361180
210,488,361990,6212,361990
211,492,362460,6212,362460
211,492,362930,6212,362930
211,492,363930,6212,363930
211,492,364930,6212,364930
211,492,365930,6212,365930
211,492,365930,6212,365930
212,494,366930,6212,366930
212,494,367930,6212,367930
213,496,368930,6212,368930
213,496,369930,6212,369930
214,498,370930,6212,370930
214,498,371930,6212,371930
215,500,372400,6212,372400
215,500,372400,6212,372400
215,500,373400,6212,373400
215,500,373720,6212,373720
216,502,374190,6212,374190
216,502,375000,6212,375000
217,504,376000,6212,376000
217,504,376000,6212,376000
217,504,376000,6212,376000
217,504,377000,6212,377000
218,506,378000,6212,378000
218,506,379000,6212,379000
219,508,380000,6212,380000
219,508,381000,6212,381000
220,510,382000,6212,382000
220,510,383000,6212,383000
220,510,383000,6212,383000
221,512,383590,6212,383590
221,512,384590,6212,384590
221,512,384910,6212,384910
222,514,385910,6212,385910
222,514,386720,6212,386720
223,516,387720,6212,387720
223,516,388720,6212,388720
224,518,389720,6212,389720
224,518,389720,6212,389720
224,518,389720,6212,389720
224,518,390720,6212,390720
225,520,391720,6212,391720
225,520,392720,6212,392720
225,520,392940,6212,392940
226,522,393750,6212,393750
227,526,394220,6212,394220
227,526,395030,6212,395030
228,528,396030,6212,396030
228,528,396030,6212,396030
228,528,397030,6212,397030
228,528,398030,6212,398030
228,528,398350,6212,398350
228,528,398820,6212,398820
228,528,399050,6212,399050
228,528,399640,6212,399640
229,530,400450,6212,400450
229,530,401450,6212,401450
230,532,402260,6212,402260
230,532,402730,6212,402730
230,532,403200,6212,403200
231,536,403670,6212,403670
231,536,404670,6212,404670
231,536,405480,6212,405480
231,536,405850,6212,405850
231,536,406850,6212,406850
231,536,407070,6212,407070
232,538,408070,6212,408070
232,538,408720,6212,408720
232,538,408880,6212,408880
232,538,409350,6212,409350
233,540,410350,6212,410350
233,540,411350,6212,411350
234,542,411900,6212,411900
234,542,412710,6212,412710
235,544,413710,6212,413710
235,544,414710,6212,414710
236,546,415710,6212,415710
236,546,416710,6212,416710
237,548,417180,6212,417180
237,548,417180,6212,417180
237,548,417650,6212,417650
237,548,418300,6212,418300
237,548,418460,6212,418460
238,550,419460,6212,419460
238,550,420460,6212,420460
239,552,421270,6212,421270
239,552,422270,6212,422270
240,554,422740,6212,422740
240,554,423740,6212,423740
241,556,424740,6212,424740
241,556,425200,6212,425200
241,556,425660,6212,425660
242,558,426660,6212,426660
242,558,426980,6212,426980
242,558,427980,6212,427980
242,558,428450,6212,428450
243,560,429450,6212,429450
243,560,430450,6212,430450
244,562,431260,6212,431260
244,562,432260,6212,432260
245,564,433260,6212,433260
245,564,433730,6212,433730
246,566,434730,6212,434730
246,566,435730,6212,435730
247,568,436730,6212,436730
247,568,437730,6212,437730
248,570,438730,6212,438730
249,578,446730,6212,446730
249,578,447540,6212,447540
250,580,448540,6212,448540
250,580,449540,6212,449540
251,582,450540,6212,450540
251,582,451540,6212,451540
252,584,452130,6212,452130
252,584,452290,6212,452290
252,584,453290,6212,453290
253,586,454290,6212,454290
254,590,458290,6212,458290
254,590,459290,6212,459290
255,592,459940,6212,459940
255,592,460410,6212,460410
255,592,460630,6212,460630
255,592,461630,6212,461630
256,594,462630,6212,462630
256,594,462630,6212,462630
256,594,463630,6212,463630
257,596,464630,6212,464630
257,596,464630,6212,464630
257,596,465630,6212,465630
258,598,466440,6212,466440
258,598,467440,6212,467440
259,600,468440,6212,468440
259,600,468760,6212,468760
259,600,469760,6212,469760
260,602,470760,6212,470760
260,602,471760,6212,471760
260,602,472080,6212,472080
260,602,472190,6212,472190
261,604,473190,6212,473190
261,604,474190,6212,474190
262,606,474660,6212,474660
262,606,474660,6212,474660
262,606,475660,6212,475660
263,608,476250,6212,476250
263,608,477250,6212,477250
263,608,477410,6212,477410
263,608,477880,6212,477880
263,608,478200,6212,478200
264,610,478670,6212,478670
264,610,479670,6212,479670
265,612,480320,6212,480320
265,612,481320,6212,481320
266,614,481910,6212,481910
266,614,482560,6212,482560
266,614,482560,6212,482560
267,616,483560,6212,483560
267,616,484560,6212,484560
268,618,485560,6212,485560
268,618,486560,6212,486560
269,620,487210,6212,487210
269,620,488210,6212,488210
270,622,489210,6212,489210
270,622,490210,6212,490210
271,624,491020,6212,491020
271,624,492020,6212,492020
272,626,492830,6212,492830
272,626,493640,6212,493640
272,626,494010,6212,494010
272,626,494010,6212,494010
272,626,494480,6212,494480
273,628,495290,6212,495290
273,628,496290,6212,496290
274,630,497100,6212,497100
274,630,497910,6212,497910
275,632,498910,6212,498910
275,632,499910,6212,499910
276,634,500720,6212,500720
276,634,500720,6212,500720
276,634,501720,6212,501720
276,634,501950,6212,501950
277,636,502950,6212,502950
277,636,503420,6212,503420
278,638,504420,6212,504420
278,638,505230,6212,505230
279,640,506230,6212,506230
279,640,506460,6212,506460
279,640,507110,6212,507110
280,642,508110,6212,508110
280,642,509110,6212,509110
281,644,510110,6212,510110
281,644,510340,6212,510340
281,644,510660,6212,510660
281,644,511660,6212,511660
281,644,512130,6212,512130
282,646,512590,6212,512590
282,646,512910,6212,512910
282,646,513910,6212,513910
283,648,514910,6212,514910
283,648,515910,6212,515910
284,650,517910,6212,517910
285,658,525910,6212,525910
285,658,526910,6212,526910
286,660,527560,6212,527560
286,660,528560,6212,528560
287,662,529560,6212,529560
287,662,530560,6212,530560
288,664,531370,6212,531370
288,664,531840,6212,531840
288,664,532070,6212,532070
288,664,533070,6212,533070
289,666,534070,6212,534070
289,666,534390,6212,534390
289,666,534710,6212,534710
290,668,535180,6212,535180
290,668,536180,6212,536180
290,668,536500,6212,536500
291,670,537500,6212,537500
291,670,538500,6212,538500
291,670,538970,6212,538970
292,672,539970,6212,539970
292,672,540780,6212,540780
293,674,541780,6212,541780
293,674,542780,6212,542780
294,676,543780,6212,543780
294,676,543940,6212,543940
294,676,543940,6212,543940
294,676,544310,6212,544310
294,676,544900,6212,544900
295,678,545900,6212,545900
295,678,546900,6212,546900
296,680,547900,6212,547900
296,680,548900,6212,548900
296,680,548900,6212,548900
297,682,549900,6212,549900
297,682,550900,6212,550900
298,684,551900,6212,551900
298,684,552360,6212,552360
299,686,553170,6212,553170
299,686,553390,6212,553390
299,686,553550,6212,553550
299,686,554550,6212,554550
300,688,555550,6212,555550
300,688,556360,6212,556360
301,690,557360,6212,557360
301,690,558360,6212,558360
302,692,559360,6212,559360
302,692,560360,6212,560360
303,694,561360,6212,561360
303,694,561360,6212,561360
303,694,562360,6212,562360
304,696,563360,6212,563360
304,696,564360,6212,564360
305,698,565360,6212,565360
305,698,566010,6212,566010
306,700,567010,6212,567010
306,700,568010,6212,568010
307,702,569010,6212,569010
307,702,570010,6212,570010
307,702,570010,6212,570010
308,704,571010,6212,571010
308,704,572010,6212,572010
309,706,572480,6212,572480
309,706,572950,6212,572950
309,706,573950,6212,573950
310,708,574760,6212,574760
310,708,575760,6212,575760
310,708,576030,6212,576030
311,710,577030,6212,577030
311,710,578030,6212,578030
312,712,579030,6212,579030
312,712,580030,6212,580030
313,714,580500,6212,580500
313,714,581500,6212,581500
314,716,582150,6212,582150
314,716,583150,6212,583150
315,718,584150,6212,584150
315,718,584960,6212,584960
315,718,585430,6212,585430
316,720,585890,6212,585890
316,720,586890,6212,586890
317,722,587890,6212,587890
317,722,588890,6212,588890
318,724,589890,6212,589890
318,724,590700,6212,590700
319,726,591700,6212,591700
319,726,592700,6212,592700
320,728,593700,6212,593700
320,728,594510,6212,594510
321,730,595320,6212,595320
321,730,596130,6212,596130
322,732,597130,6212,597130
322,732,598130,6212,598130
323,734,598940,6212,598940
323,734,599940,6212,599940
324,736,600750,6212,600750
324,736,601340,6212,601340
325,738,602340,6212,602340
325,738,603340,6212,603340
325,738,603340,6212,603340
326,740,604340,6212,604340
326,740,604570,6212,604570
326,740,605380,6212,605380
327,742,606380,6212,606380
327,742,606850,6212,606850
327,742,607170,6212,607170
327,742,608170,6212,608170
327,742,608490,6212,608490
328,744,609300,6212,609300
328,744,610300,6212,610300
329,746,611300,6212,611300
329,746,611760,6212,611760
330,748,612760,6212,612760
330,748,613760,6212,613760
330,748,614230,6212,614230
331,750,615230,6212,615230
331,750,616230,6212,616230
332,752,617230,6212,617230
332,752,617780,6212,617780
333,754,618780,6212,618780
333,754,619780,6212,619780
334,756,620590,6212,620590
334,756,621590,6212,621590
335,758,622140,6212,622140
335,758,623140,6212,623140
335,758,623510,6212,623510
336,760,624510,6212,624510
336,760,625510,6212,625510
336,760,625830,6212,625830
337,762,626640,6212,626640
338,770,634640,6212,634640
338,770,635640,6212,635640
339,772,636640,6212,636640
339,772,637640,6212,637640
340,774,638640,6212,638640
340,774,639640,6212,639640
341,776,639870,6212,639870
341,776,640340,6212,640340
341,776,640570,6212,640570
341,776,641570,6212,641570
342,778,641890,6212,641890
342,778,642360,6212,642360
342,778,643360,6212,643360
343,780,644360,6212,644360
343,780,645170,6212,645170
344,782,645980,6212,645980
344,782,646980,6212,646980
345,784,647980,6212,647980
345,784,648980,6212,648980
346,786,649980,6212,649980
346,786,650980,6212,650980
346,786,650980,6212,650980
347,788,651980,6212,651980
347,788,652790,6212,652790
348,790,653600,6212,653600
349,794,654070,6212,654070
349,794,655070,6212,655070
349,794,656070,6212,656070
349,794,657070,6212,657070
349,794,657540,6212,657540
349,794,658540,6212,658540
350,796,659540,6212,659540
350,796,660540,6212,660540
351,798,661540,6212,661540
351,798,662540,6212,662540
352,800,662860,6212,662860
352,800,663670,6212,663670
353,802,664670,6212,664670
353,802,665670,6212,665670
354,804,666670,6212,666670
354,804,667670,6212,667670
355,806,668480,6212,668480
355,806,669480,6212,669480
356,808,670290,6212,670290
356,808,670610,6212,670610
356,808,671610,6212,671610
356,808,672260,6212,672260
357,810,673260,6212,673260
357,810,674260,6212,674260
358,812,675260,6212,675260
358,812,675580,6212,675580
358,812,676580,6212,676580
359,814,677580,6212,677580
359,814,678580,6212,678580
360,818,679050,6212,679050
360,818,679280,6212,679280
360,818,680280,6212,680280
360,818,680280,6212,680280
360,818,680600,6212,680600
360,818,681070,6212,681070
360,818,682070,6212,682070
361,820,682550,6212,682550
361,820,683360,6212,683360
362,822,684170,6212,684170
362,822,684330,6212,684330
362,822,685140,6212,685140
363,824,685950,6212,685950
363,824,686760,6212,686760
363,824,686760,6212,686760
363,824,687230,6212,687230
364,826,688230,6212,688230
364,826,689230,6212,689230
365,828,690230,6212,690230
365,828,691230,6212,691230
366,830,692040,6212,692040
366,830,692850,6212,692850
367,832,693320,6212,693320
367,832,693910,6212,693910
368,834,694910,6212,694910
368,834,695910,6212,695910
368,834,696380,6212,696380
369,836,697380,6212,697380
369,836,698380,6212,698380
370,838,699380,6212,699380
370,838,700190,6212,700190
371,840,701190,6212,701190
371,840,702190,6212,702190
372,842,703190,6212,703190
372,842,704190,6212,704190
372,842,704190,6212,704190
372,842,704410,6212,704410
373,844,705410,6212,705410
373,844,706410,6212,706410
374,846,707410,6212,707410
374,846,708410,6212,708410
375,848,709410,6212,709410
375,848,710060,6212,710060
376,850,710870,6212,710870
376,850,711870,6212,711870
377,852,712870,6212,712870
377,852,713340,6212,713340
377,852,713800,6212,713800
378,854,714800,6212,714800
378,854,715610,6212,715610
379,856,716610,6212,716610
379,856,716610,6212,716610
379,856,716610,6212,716610
379,856,717610,6212,717610
380,858,718420,6212,718420
380,858,719420,6212,719420
381,860,720420,6212,720420
381,860,721420,6212,721420
382,864,721890,6212,721890
382,864,722890,6212,722890
382,864,723890,6212,723890
382,864,724540,6212,724540
383,866,725540,6212,725540
383,866,726350,6212,726350
384,868,727350,6212,727350
384,868,727350,6212,727350
384,868,727350,6212,727350
384,868,727350,6212,727350
384,868,728160,6212,728160
384,868,728160,6212,728160
385,870,729160,6212,729160
385,870,730160,6212,730160
386,872,731160,6212,731160
386,872,731630,6212,731630
387,876,735630,6212,735630
387,876,736440,6212,736440
388,878,736910,6212,736910
388,878,737230,6212,737230
388,878,738040,6212,738040
389,880,738850,6212,738850
389,880,739660,6212,739660
390,882,740660,6212,740660
390,882,741660,6212,741660
391,884,742660,6212,742660
391,884,743470,6212,743470
392,886,744470,6212,744470
392,886,745470,6212,745470
393,888,746280,6212,746280
393,888,747280,6212,747280
394,890,748090,6212,748090
394,890,749090,6212,749090
394,890,749560,6212,749560
394,890,749560,6212,749560
395,892,750560,6212,750560
395,892,751030,6212,751030
396,894,752030,6212,752030
396,894,752840,6212,752840
396,894,753310,6212,753310
397,896,754310,6212,754310
397,896,755310,6212,755310
397,896,755680,6212,755680
398,900,756150,6212,756150
398,900,757150,6212,757150
398,900,757610,6212,757610
398,900,758080,6212,758080
398,900,759080,6212,759080
398,900,759550,6212,759550
399,902,760550,6212,760550
399,902,761550,6212,761550
399,902,761870,6212,761870
400,904,762870,6212,762870
400,904,763870,6212,763870
401,906,764870,6212,764870
401,906,765680,6212,765680
402,908,766680,6212,766680
402,908,767150,6212,767150
402,908,767260,6212,767260
403,910,768260,6212,768260
403,910,769260,6212,769260
403,910,769260,6212,769260
404,912,770260,6212,770260
404,912,770730,6212,770730
404,912,771730,6212,771730
405,914,772540,6212,772540
405,914,773350,6212,773350
406,918,773820,6212,773820
406,918,774820,6212,774820
406,918,775630,6212,775630
406,918,776440,6212,776440
407,920,777440,6212,777440
407,920,778440,6212,778440
407,920,778440,6212,778440
408,922,779250,6212,779250
408,922,779570,6212,779570
408,922,780570,6212,780570
409,924,780890,6212,780890
409,924,781120,6212,781120
409,924,781120,6212,781120
409,924,781590,6212,781590
410,926,782590,6212,782590
410,926,783400,6212,783400
411,928,784050,6212,784050
411,928,785050,6212,785050
412,930,786050,6212,786050
412,930,786280,6212,786280
412,930,786600,6212,786600
412,930,787600,6212,787600
413,932,788410,6212,788410
413,932,789410,6212,789410
414,934,790410,6212,790410
414,934,791410,6212,791410
415,936,792220,6212,792220
415,936,792770,6212,792770
416,938,793770,6212,793770
416,938,794770,6212,794770
417,940,795770,6212,795770
417,940,796360,6212,796360
417,940,796730,6212,796730
417,940,797050,6212,797050
418,942,798050,6212,798050
418,942,798370,6212,798370
419,950,798600,6212,798600
419,950,799070,6212,799070
419,950,799070,6212,799070
420,952,800070,6212,800070
420,952,801070,6212,801070
421,954,802070,6212,802070
